         2232065 function calls (2223159 primitive calls) in 32.806 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      255    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:1573(construct_1d_object_array_from_listlike)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:5314(equals)
       73    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/socket.py:495(_real_close)
     1336    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:119(_coerce_args)
      368    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/warnings.py:181(_add_filter)
     3790    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       82    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/email/feedparser.py:137(__init__)
      123    0.001    0.000    0.001    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       97    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:306(apply)
    11445    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_iterator}
     3440    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/flags.py:85(allows_duplicate_labels)
       82    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/poolmanager.py:79(_default_key_normalizer)
       73    0.001    0.000    0.001    0.000 {function socket.close at 0x7d8963604860}
       59    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:820(_engine)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:263(extract_zipped_paths)
     2518    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/PIL/GifImagePlugin.py:1(<module>)
       84    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/runtime/app_session.py:459(_on_scriptrunner_event)
     1224    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:1043(_validate_header_part)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/response.py:40(assert_header_parsing)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      200    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
       80    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/credentials.py:71(__init__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       81    0.001    0.000    0.001    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:898(default_headers)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/http/cookiejar.py:1356(add_cookie_header)
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/ssl.py:503(_encode_hostname)
       81    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/ssl.py:566(set_alpn_protocols)
      425    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:223(set_axis)
      586    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copyto)
       84    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/asyncio/base_events.py:804(call_soon_threadsafe)
        2    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/type_util.py:817(pyarrow_table_to_bytes)
      170    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:509(urlunparse)
      162    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/ssl.py:732(verify_mode)
        3    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/elements/layouts.py:269(<listcomp>)
       10    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/re/_parser.py:972(parse)
      246    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/url.py:244(_remove_path_dot_segments)
      392    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1244(is_bool_dtype)
     3551    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:167(blknos)
     1280    0.001    0.000    0.001    0.000 <frozen os>:806(fsencode)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:589(prepare_auth)
      488    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1631(validate_all_hashable)
    19481    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       61    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(atleast_2d)
      201    0.000    0.000    0.001    0.000 <frozen os>:773(getenv)
      162    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/socket.py:220(__init__)
       39    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/_helpers.py:672(_get_default_headers)
      609    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/series.py:869(__array__)
       40    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:935(<listcomp>)
       41    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/_helpers.py:668(_get_invocation_id)
     1777    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/threading.py:264(__enter__)
     3174    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1459(get_dtype)
     3631    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1322(is_1d_only_ea_dtype)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/PIL/TiffImagePlugin.py:1(<module>)
    14/10    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/re/_parser.py:449(_parse_sub)
       36    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/transport/requests.py:145(__del__)
      246    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:84(<listcomp>)
     3671    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:1847(__init__)
     2430    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:875(__len__)
      324    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/compat/_optional.py:91(import_optional_dependency)
      530    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/contextlib.py:104(__init__)
      124    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/json/decoder.py:343(raw_decode)
      327    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/timeout.py:101(__init__)
     1656    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/email/feedparser.py:77(readline)
     5650    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/blocks.py:479(dtype)
       81    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:838(__init__)
     3827    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       82    0.001    0.000    0.001    0.000 {built-in method today}
     3432    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/structures.py:58(<genexpr>)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:1016(get_auth_from_url)
      528    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/series.py:621(name)
       61    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
     3303    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/base_parser.py:108(__init__)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit_searchbox/__init__.py:39(inner_function)
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/ipaddress.py:1282(__init__)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit_searchbox/__init__.py:119(st_searchbox)
       37    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:796(close)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/client.py:368(bucket)
     2994    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:144(<lambda>)
      431    0.001    0.000    0.001    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/importlib/__init__.py:108(import_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1192(_gcd_import)
      160    0.001    0.000    0.001    0.000 {built-in method posix.pipe}
       40    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/common.py:1219(dedup_names)
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/ipaddress.py:1889(__init__)
      368    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/warnings.py:466(__enter__)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/bucket.py:757(blob)
    17/10    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/re/_parser.py:509(_parse)
      656    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:205(_hostinfo)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:324(path)
       59    0.000    0.000    0.001    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
     3284    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:55(is_nonempty)
      425    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/base.py:58(_validate_set_axis)
      114    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:417(close)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/nanops.py:264(_get_values)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:725(<listcomp>)
     1704    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/threading.py:279(_is_owned)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/range.py:108(__new__)
      196    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/indexes/base.py:640(_simple_new)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     5738    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:147(classes_and_not_datetimelike)
      414    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/logging/__init__.py:1467(debug)
      389    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2305(maybe_coerce_values)
     6880    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:359(flags)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/bucket.py:661(__init__)
     4530    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
       76    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/re/__init__.py:163(match)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/_client.py:421(_handle_refresh_grant_response)
       80    0.000    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      243    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/threading.py:236(__init__)
      164    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connectionpool.py:342(_get_timeout)
       74    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/adapters.py:360(close)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:455(array_equivalent)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:201(_set_noconvert_columns)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:159(resolve_redirects)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:206(__init__)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:412(_close_conn)
     2004    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
       80    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/_default.py:526(_apply_quota_project_id)
     6766    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_integer}
     1777    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/threading.py:267(__exit__)
      530    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/contextlib.py:132(__enter__)
       13    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/dateutil/parser/_parser.py:199(split)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:659(requote_uri)
       41    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/uuid.py:721(uuid4)
     3631    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:1944(_block)
      123    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:106(_encode_params)
     1905    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/email/utils.py:51(_has_surrogates)
       80    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/credentials.py:359(__init__)
     5046    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     3440    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:338(attrs)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:296(path_helper)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/oauth2/_client.py:116(_parse_expiry)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1(<module>)
      424    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/generic.py:5975(__getattr__)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/email/message.py:243(get_payload)
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/socket.py:515(family)
        2    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pyarrow/pandas_compat.py:184(construct_metadata)
       84    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/asyncio/selector_events.py:128(_write_to_self)
       38    0.001    0.000    0.001    0.000 {built-in method _warnings.warn}
     1777    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/queue.py:15(_qsize)
     2454    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:705(<lambda>)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:538(get_encoding_from_headers)
      387    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/_config/config.py:596(_get_root)
     3284    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:72(<setcomp>)
      246    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/url.py:91(__new__)
     1189    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/packages/six.py:1014(ensure_text)
      202    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/sessions.py:801(mount)
      164    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/cookies.py:542(merge_cookies)
       59    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/construction.py:476(<listcomp>)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1469(_clean_options)
     3284    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:382(<setcomp>)
       74    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/poolmanager.py:216(clear)
     3303    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:183(blklocs)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:553(_array_equivalent_object)
     1410    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/email/message.py:506(set_raw)
      328    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2401(check_ndim)
      169    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/dateutil/parser/_parser.py:189(__next__)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:495(prepare_body)
       10    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/re/_compiler.py:571(_code)
        2    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/_http/__init__.py:227(build_api_url)
        2    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pyarrow/ipc.py:83(__init__)
       84    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/blob.py:4792(_quote)
     6606    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_float}
     1476    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/url.py:416(ensure_type)
      240    0.001    0.000    0.001    0.000 {built-in method posix.close}
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1414(_get_options_with_defaults)
      656    0.000    0.000    0.001    0.000 <frozen _collections_abc>:790(items)
      134    0.001    0.000    0.001    0.000 {built-in method now}
     2600    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/socket.py:731(readable)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/response.py:323(_init_length)
       61    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(argsort)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/cloud/storage/_http.py:46(__init__)
      120    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/credentials.py:443(with_scopes_if_required)
      164    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/timeout.py:184(clone)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/components/v1/components.py:77(__call__)
      164    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connectionpool.py:979(_prepare_conn)
       81    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/ipaddress.py:1183(_ip_int_from_string)
       82    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/utils.py:772(get_proxy)
     3284    0.001    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:71(<setcomp>)
       40    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1738(__exit__)
        2    0.001    0.000    0.001    0.000 {method '_open' of 'pyarrow.lib._RecordBatchStreamWriter' objects}
     2204    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      169    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/dateutil/parser/_parser.py:77(get_token)
       86    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/streamlit/runtime/metrics_util.py:230(_get_arg_metadata)
      204    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/inspect.py:2686(__init__)
        1    0.000    0.000    0.001    0.001 /home/lucas/anaconda3/lib/python3.11/site-packages/zstandard/__init__.py:1(<module>)
      562    0.000    0.000    0.001    0.000 /home/lucas/anaconda3/lib/python3.11/re/__init__.py:253(escape)
      407    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      387    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/_config/config.py:649(_warn_if_deprecated)
       61    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:2288(<listcomp>)
     3957    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       82    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:338(geturl)
       20    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      491    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/http/cookiejar.py:1227(deepvalues)
       40    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/base_parser.py:178(_validate_parse_dates_presence)
       40    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1409(close)
       80    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/auth/credentials.py:49(__init__)
     2518    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     3284    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/concat.py:79(<setcomp>)
       82    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:258(__init__)
       61    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1038(argsort)
       82    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/models.py:631(prepare_hooks)
      170    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:520(urlunsplit)
       80    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/contextlib.py:546(__exit__)
      245    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/cookies.py:534(<listcomp>)
       38    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/google/resumable_media/_helpers.py:204(_get_expected_checksum)
       84    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/blinker/_utilities.py:112(is_coroutine_function)
       82    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/socket.py:769(close)
       40    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:266(_isna_array)
      492    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/requests/structures.py:57(__iter__)
      248    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/internals/managers.py:277(<listcomp>)
      833    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/construction.py:458(ensure_wrapped_if_datetimelike)
      981    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/util/timeout.py:122(_validate_timeout)
       80    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:33(seterr)
       40    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:55(_any)
     1468    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/urllib3/connection.py:223(<genexpr>)
       38    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/urllib/parse.py:687(parse_qs)
      424    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/base.py:494(find)
     2994    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/pandas/core/dtypes/common.py:142(classes)
      160    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
      168    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/site-packages/blinker/base.py:372(receivers_for)
      406    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      529    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/threading.py:90(RLock)
      735    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/http/client.py:1290(<genexpr>)
       80    0.000    0.000    0.000    0.000 /home/lucas/anaconda3/lib/python3.11/contextlib.py:509(callback)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
