,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
30,RJ Barrett,SG,23,TOT,45,1406,.475,10.8,,.697,.348,.256,.066,.026,.303,,.532,.671,.412,.318,.412,.343,,.602,.986,,.045,27,,.358,.431,,0,0,barrerj01
31,Charles Bassey,C,23,SAS,19,205,.725,5.0,,.975,.650,.100,.200,.025,.025,,.744,.846,.750,.500,.000,.000,,.793,,,.250,10,,.000,,,0,0,bassech01
32,Emoni Bates,SF,20,CLE,10,76,.240,23.1,,.200,.080,.040,.000,.080,.800,,.200,.000,.000,,.500,.250,,.000,1.000,,.000,0,,.100,.500,,0,0,batesem01
33,Keita Bates-Diop,SF,28,TOT,41,613,.439,12.3,,.581,.335,.181,.065,.000,.419,,.522,.615,.357,.500,,.323,,.617,.952,,.097,14,,.646,.333,,0,0,bateske01
34,Nicolas Batum,PF,35,TOT,34,846,.519,19.0,,.281,.200,.037,.030,.015,.719,,.684,.704,.800,.500,.500,.454,,.615,1.000,,.022,3,,.464,.533,,0,0,batumni01
35,Bradley Beal,SG,30,PHO,30,979,.495,13.5,,.688,.218,.211,.130,.130,.313,,.556,.713,.473,.500,.482,.363,,.442,.878,,.039,14,,.296,.375,,0,0,bealbr01
36,Malik Beasley,SG,27,MIL,53,1565,.472,20.5,,.265,.075,.106,.047,.037,.735,,.537,.714,.510,.455,.353,.449,,.621,.941,,.009,3,,.387,.523,,0,0,beaslma01
37,MarJon Beauchamp,SF,23,MIL,40,567,.477,14.9,,.537,.282,.121,.047,.087,.463,,.550,.619,.500,.429,.462,.391,,.591,.963,,.107,12,,.406,.429,,0,0,beaucma01
38,Jules Bernard,SG,24,WAS,6,28,.250,18.6,,.333,.250,.000,.083,.000,.667,,.500,.667,,.000,,.125,,.000,1.000,,.000,0,,.250,.000,,0,0,bernaju01
39,Dāvis Bertāns,PF,31,TOT,18,127,.366,24.3,,.049,.024,.000,.024,.000,.951,,.000,.000,,.000,,.385,,,.933,,.000,0,,.385,.333,,0,0,bertada01
40,Patrick Beverley,PG,35,TOT,50,963,.429,14.9,,.547,.154,.307,.071,.016,.453,,.504,.692,.462,.333,.250,.339,,.357,.795,,.004,1,,.243,.571,,0,0,beverpa01
41,Saddiq Bey,SF,24,ATL,54,1757,.422,14.6,,.480,.287,.157,.027,.009,.520,,.537,.637,.402,.313,.400,.316,,.483,.979,,.070,39,,.454,.283,,1,0,beysa01
42,Goga Bitadze,C,24,ORL,46,836,.619,3.5,,.945,.702,.232,.006,.006,.055,,.643,.724,.429,.000,.000,.200,,.655,1.000,,.304,49,,.200,.000,,0,0,bitadgo01
43,Onuralp Bitim,SG,24,CHI,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,bitimon01
44,Bismack Biyombo,C,31,MEM,30,718,.563,3.7,,1.000,.487,.504,.008,.000,.000,,.563,.724,.417,.000,,,,.776,,,.210,24,,,,,0,0,biyombi01
45,Anthony Black,PG,20,ORL,50,906,.486,12.8,,.645,.306,.175,.087,.077,.355,,.551,.732,.438,.375,.286,.369,,.723,.958,,.098,16,,.523,.382,,0,0,blackan01
46,Leaky Black,SF,24,CHO,22,218,.436,12.1,,.615,.308,.231,.026,.051,.385,,.417,.667,.222,.000,.000,.467,,.600,1.000,,.077,3,,.467,.571,,0,0,blackle01
47,Bogdan Bogdanović,SG,31,ATL,53,1534,.432,18.6,,.402,.116,.150,.080,.057,.598,,.520,.593,.523,.458,.452,.372,,.594,.903,,.011,7,,.212,.447,,2,0,bogdabo01
48,Bojan Bogdanović,PF-SF,34,TOT,30,977,.467,16.6,,.513,.112,.201,.141,.060,.487,,.522,.720,.467,.492,.407,.408,,.575,.865,,.002,1,,.239,.423,,0,0,bogdabo02
49,Bol Bol,PF,24,PHO,18,158,.674,11.5,,.739,.239,.283,.196,.022,.261,,.794,1.000,.692,.778,.000,.333,,.667,1.000,,.130,5,,.500,.500,,0,0,bolbo01
50,Marques Bolden,C,25,MIL,2,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,boldema01
51,Devin Booker,PG,27,PHO,45,1597,.500,15.3,,.698,.132,.161,.242,.163,.302,,.552,.789,.482,.531,.461,.379,,.369,.636,,.016,11,,.077,.500,,0,0,bookede01
52,Brandon Boston Jr.,SF,22,LAC,16,119,.379,14.7,,.655,.172,.155,.224,.103,.345,,.421,.600,.333,.462,.167,.300,,.625,.667,,.034,2,,.250,.600,,0,0,bostobr01
53,Chris Boucher,PF,31,TOR,46,641,.493,12.6,,.562,.369,.163,.010,.020,.438,,.623,.760,.364,.500,.250,.326,,.592,1.000,,.089,16,,.427,.263,,0,0,bouchch01
54,James Bouknight,SG,23,CHO,14,81,.439,20.2,,.268,.171,.049,.024,.024,.732,,.455,.714,.000,.000,.000,.433,,.400,.538,,.024,1,,.233,.286,,0,0,bouknja01
55,Jamaree Bouyea,PG,24,POR,6,57,.238,15.6,,.619,.238,.333,.000,.048,.381,,.385,.600,.143,,1.000,.000,,.400,,,.000,0,,.000,,,1,0,bouyeja01
56,Malaki Branham,PG,20,SAS,50,1010,.426,15.0,,.595,.175,.196,.149,.076,.405,,.504,.761,.307,.579,.276,.310,,.600,.958,,.021,8,,.252,.308,,0,0,branhma01
57,Christian Braun,SG,22,DEN,55,1046,.438,11.2,,.683,.324,.302,.029,.029,.317,,.474,.686,.295,.111,.333,.360,,.676,.972,,.063,18,,.280,.286,,1,0,braunch01
58,Mikal Bridges,SF,27,BRK,54,1900,.452,14.9,,.592,.188,.170,.170,.064,.408,,.508,.673,.426,.490,.293,.371,,.482,.870,,.018,15,,.363,.415,,2,0,bridgmi01
59,Miles Bridges,SF,25,CHO,43,1593,.464,13.7,,.627,.294,.192,.058,.083,.373,,.519,.655,.411,.409,.365,.371,,.591,.857,,.054,37,,.163,.348,,4,0,bridgmi02
60,Oshae Brissett,SF,25,BOS,36,399,.460,12.4,,.590,.340,.200,.010,.040,.410,,.576,.676,.450,1.000,.250,.293,,.647,1.000,,.140,13,,.561,.348,,0,0,brissos01
61,Malcolm Brogdon,PG,31,POR,39,1121,.440,15.4,,.599,.206,.157,.117,.119,.401,,.458,.608,.385,.431,.322,.412,,.257,.756,,.002,0,,.121,.500,,0,0,brogdma01
62,Armoni Brooks,PG,25,BRK,10,104,.326,20.0,,.304,.109,.152,.022,.022,.696,,.286,.000,.571,.000,.000,.344,,.750,.909,,.000,0,,.063,.000,,0,0,brookar01
63,Dillon Brooks,SF,28,HOU,45,1414,.448,15.0,,.552,.189,.244,.083,.037,.448,,.488,.708,.331,.452,.474,.399,,.599,.978,,.018,7,,.140,.469,,2,0,brookdi01
64,Bruce Brown,SG-PG,27,TOT,47,1346,.472,12.1,,.702,.244,.258,.160,.040,.298,,.536,.714,.432,.464,.412,.320,,.580,.902,,.026,11,,.414,.377,,1,0,brownbr01
65,Charlie Brown Jr.,SG,26,NYK,6,33,.222,18.2,,.333,.111,.222,.000,.000,.667,,.000,.000,.000,,,.333,,,1.000,,.000,0,,.333,.500,,0,0,brownch02
66,Greg Brown III,PF,22,DAL,6,40,.455,8.5,,.727,.636,.091,.000,.000,.273,,.500,.571,.000,,,.333,,.750,1.000,,.273,2,,.000,,,0,0,browngr01
67,Jaylen Brown,SF,27,BOS,50,1670,.492,13.4,,.672,.220,.249,.126,.077,.328,,.566,.747,.460,.560,.403,.342,,.404,.649,,.081,58,,.197,.375,,0,0,brownja02
68,Kendall Brown,SG,20,IND,5,20,.500,9.0,,.833,.333,.333,.167,.000,.167,,.600,1.000,.500,.000,,.000,,.667,,,.000,0,,.000,,,0,0,brownke03
69,Kobe Brown,PF,24,LAC,32,279,.371,17.7,,.371,.226,.081,.048,.016,.629,,.478,.571,.400,.000,1.000,.308,,.727,1.000,,.048,3,,.308,.167,,0,0,brownko01
70,Moses Brown,C,24,POR,9,82,.429,3.0,,1.000,.429,.571,.000,.000,.000,,.429,.444,.417,,,,,.667,,,.333,5,,,,,0,0,brownmo01
71,Troy Brown Jr.,SF,24,TOT,40,458,.440,20.0,,.299,.134,.090,.037,.037,.701,,.600,.722,.333,.600,.800,.372,,.500,.886,,.000,0,,.309,.379,,2,0,browntr01
72,Jalen Brunson,PG,27,NYK,52,1865,.483,14.5,,.681,.126,.270,.182,.103,.319,,.516,.654,.497,.466,.486,.411,,.218,.590,,.001,1,,.118,.500,,1,0,brunsja01
73,Thomas Bryant,C,26,MIA,25,259,.571,5.9,,.948,.481,.312,.091,.065,.052,,.603,.757,.542,.429,.000,.000,,.682,,,.286,20,,.250,.000,,0,0,bryanth01
74,Kobe Bufkin,SG,20,ATL,5,25,.300,22.0,,.300,.000,.100,.100,.100,.700,,.333,,.000,.000,1.000,.286,,1.000,.500,,.000,0,,.143,.000,,0,0,bufkiko01
75,Reggie Bullock,SF,32,HOU,22,206,.426,21.5,,.234,.043,.064,.043,.085,.766,,.455,1.000,.333,.500,.250,.417,,1.000,.933,,.000,0,,.444,.500,,0,0,bullore01
