,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
132,Joel Embiid,C,29,PHI,34,1157,.533,11.9,,.851,.233,.198,.243,.178,.149,,.562,.744,.470,.492,.522,.366,,.532,.805,,.029,19,,.027,.333,,1,0,embiijo01
133,Drew Eubanks,C,26,PHO,49,785,.626,4.7,,.983,.458,.441,.056,.028,.017,,.619,.768,.544,.300,.000,1.000,,.807,1.000,,.313,46,,1.000,1.000,,0,0,eubandr01
134,Tosan Evbuomwan,SF,22,TOT,5,82,.353,14.1,,.471,.118,.353,.000,.000,.529,,.375,1.000,.167,,,.333,,1.000,1.000,,.000,0,,.778,.429,,0,0,evbuoto01
135,Dante Exum,PG,28,DAL,32,631,.571,11.4,,.680,.335,.261,.054,.030,.320,,.616,.779,.434,.727,.167,.477,,.529,.968,,.074,14,,.354,.435,,2,0,exumda01
136,Bruno Fernando,C,25,ATL,18,161,.529,5.0,,.941,.510,.353,.059,.020,.059,,.563,.808,.333,.000,.000,.000,,.741,,,.216,10,,.000,,,0,0,fernabr01
137,Dorian Finney-Smith,PF,30,BRK,45,1265,.409,18.1,,.323,.203,.097,.011,.011,.677,,.478,.592,.265,.750,.000,.376,,.778,.978,,.060,17,,.342,.420,,2,0,finnedo01
138,Malachi Flynn,PG,25,TOT,47,544,.402,17.4,,.421,.189,.128,.061,.043,.579,,.478,.548,.429,.600,.143,.347,,.424,.879,,.000,0,,.179,.471,,0,0,flynnma01
139,Simone Fontecchio,SF,28,TOT,53,1238,.450,17.4,,.364,.176,.161,.020,.008,.636,,.559,.643,.484,.375,.667,.387,,.704,.990,,.053,17,,.435,.382,,0,0,fontesi01
140,Jordan Ford,PG,25,SAC,6,22,.571,18.2,,.571,.143,.000,.286,.143,.429,,.500,1.000,,.500,.000,.667,,.000,.500,,.000,0,,.333,1.000,,0,0,fordjo01
141,Trent Forrest,SG,25,ATL,20,210,.319,9.7,,.851,.191,.468,.191,.000,.149,,.325,.333,.182,.667,,.286,,.154,1.000,,.021,1,,.286,.000,,0,0,forretr01
142,Evan Fournier,SG,31,TOT,5,89,.293,19.5,,.341,.122,.073,.122,.024,.659,,.429,.600,.000,.600,.000,.222,,.333,1.000,,.000,0,,.222,.500,,0,0,fournev01
143,De'Aaron Fox,PG,26,SAC,48,1709,.464,14.8,,.622,.153,.244,.159,.066,.378,,.518,.671,.533,.449,.273,.376,,.166,.610,,.017,14,,.125,.489,,1,0,foxde01
144,Javon Freeman-Liberty,PG,24,TOR,2,4,.333,6.8,,1.000,.333,.333,.333,.000,.000,,.333,1.000,.000,.000,,,,.000,,,.000,0,,,,,0,0,freemja01
145,Alex Fudge,SF,20,LAL,4,14,.167,15.9,,.667,.000,.333,.167,.167,.333,,.250,,.000,1.000,.000,.000,,.000,,,.000,0,,.500,.000,,0,0,fudgeal01
146,Markelle Fultz,PG,25,ORL,21,504,.491,6.7,,.959,.408,.337,.160,.053,.041,,.506,.667,.421,.370,.222,.143,,.354,1.000,,.059,8,,.857,.167,,1,0,fultzma01
147,Daniel Gafford,C-PF,25,TOT,48,1256,.683,3.1,,1.000,.652,.302,.040,.006,.000,,.683,.764,.551,.385,.500,,,.725,,,.348,103,,,,,0,0,gaffoda01
148,Danilo Gallinari,PF-SF,35,TOT,32,475,.451,18.1,,.503,.137,.105,.150,.111,.497,,.545,.810,.438,.522,.353,.355,,.524,.852,,.046,5,,.092,.571,,0,0,gallida01
149,Darius Garland,PG,24,CLE,29,922,.471,14.3,,.648,.199,.250,.124,.075,.352,,.547,.683,.476,.490,.516,.331,,.315,.708,,.000,0,,.166,.375,,0,0,garlada01
150,Usman Garuba,PF,21,GSW,2,6,.000,1.1,,1.000,1.000,.000,.000,.000,.000,,.000,.000,,,,,,,,,.000,0,,,,,0,0,garubus01
151,Luka Garza,C,25,MIN,13,39,.440,13.3,,.640,.200,.320,.120,.000,.360,,.500,.400,.375,1.000,,.333,,.375,1.000,,.040,1,,.111,.000,,0,0,garzalu01
152,Kaiser Gates,SF,27,NOP,1,7,.000,13.7,,.500,.500,.000,.000,.000,.500,,.000,.000,,,,.000,,,,,.000,0,,.000,,,0,0,gateska01
153,Keyonte George,PG,20,UTA,49,1206,.385,18.2,,.441,.086,.227,.081,.046,.559,,.450,.692,.398,.432,.286,.335,,.411,.694,,.022,10,,.130,.364,,3,0,georgke01
154,Paul George,PF,33,LAC,50,1685,.458,17.6,,.518,.128,.144,.113,.134,.482,,.518,.718,.460,.474,.426,.393,,.494,.712,,.031,20,,.135,.429,,1,0,georgpa01
155,Taj Gibson,PF,38,NYK,16,165,.304,10.1,,.739,.391,.217,.000,.130,.261,,.412,.444,.200,,.667,.000,,.571,,,.087,1,,1.000,.000,,0,0,gibsota01
156,Josh Giddey,SG,21,OKC,53,1321,.447,10.8,,.715,.269,.353,.067,.025,.285,,.496,.615,.402,.541,.429,.325,,.554,.961,,.005,3,,.389,.344,,0,0,giddejo01
157,Harry Giles,C,25,BRK,16,81,.500,9.8,,.750,.386,.250,.068,.045,.250,,.576,.647,.545,.333,.500,.273,,.684,1.000,,.136,5,,.273,.333,,0,0,gilesha01
158,Shai Gilgeous-Alexander,PG,25,OKC,53,1831,.546,10.8,,.835,.263,.245,.257,.071,.165,,.580,.743,.488,.509,.547,.371,,.237,.354,,.031,32,,.074,.538,,0,0,gilgesh01
159,Anthony Gill,PF,31,WAS,29,163,.489,9.1,,.745,.383,.319,.043,.000,.255,,.571,.722,.400,.500,,.250,,.650,1.000,,.043,2,,.333,.000,,0,0,gillan01
160,Collin Gillespie,PG,24,DEN,18,137,.444,18.6,,.444,.111,.139,.056,.139,.556,,.563,.500,.600,1.000,.400,.350,,.222,.857,,.000,0,,.100,.000,,0,0,gilleco01
161,Jacob Gilyard,PG,25,MEM,36,639,.426,23.7,,.156,.021,.043,.014,.078,.844,,.409,.333,.500,.000,.455,.429,,.111,.824,,.000,0,,.252,.500,,1,0,gilyaja01
162,Rudy Gobert,C,31,MIN,53,1775,.648,2.6,,.995,.749,.204,.026,.014,.005,,.651,.737,.414,.364,.167,.000,,.696,,,.441,171,,.000,,,0,0,goberru01
163,Jordan Goodwin,PG,25,TOT,41,582,.393,14.6,,.592,.214,.204,.114,.060,.408,,.462,.674,.341,.348,.333,.293,,.364,.875,,.005,0,,.244,.350,,0,0,goodwjo01
164,Aaron Gordon,PF,28,DEN,49,1555,.545,7.4,,.811,.541,.199,.051,.020,.189,,.598,.750,.330,.120,.400,.315,,.633,.793,,.254,113,,.359,.424,,1,0,gordoaa01
165,Eric Gordon,SG,35,PHO,47,1394,.460,18.3,,.364,.170,.157,.032,.004,.636,,.585,.763,.405,.533,.500,.388,,.590,.931,,.002,1,,.194,.431,,1,0,gordoer01
166,Devonte' Graham,PG,28,SAS,12,99,.367,21.5,,.267,.100,.000,.100,.067,.733,,.500,.667,,.333,.500,.318,,.500,.571,,.000,0,,.182,.250,,0,0,grahade01
167,Jerami Grant,PF,29,POR,46,1564,.457,13.1,,.678,.214,.256,.097,.111,.322,,.483,.604,.416,.417,.463,.402,,.440,.979,,.028,15,,.335,.463,,0,0,grantje01
168,A.J. Green,SG,24,MIL,35,321,.427,24.0,,.128,.026,.026,.026,.051,.872,,.533,1.000,.333,.333,.500,.412,,1.000,.929,,.000,0,,.225,.522,,0,0,greenaj01
169,Danny Green,SG,36,PHI,2,18,.000,22.5,,.500,.000,.000,.000,.500,.500,,.000,,,,.000,.000,,,,,.000,0,,1.000,.000,,0,0,greenda02
170,Draymond Green,PF,33,GSW,28,752,.500,12.0,,.638,.306,.270,.051,.010,.362,,.552,.667,.491,.100,1.000,.408,,.783,.897,,.020,4,,.296,.476,,0,0,greendr01
171,Jalen Green,SG,21,HOU,54,1653,.411,15.4,,.568,.223,.177,.070,.098,.432,,.490,.676,.340,.316,.463,.307,,.392,.574,,.038,28,,.091,.375,,2,0,greenja05
172,Jeff Green,PF,37,HOU,52,881,.482,12.7,,.655,.241,.291,.091,.032,.345,,.583,.774,.469,.600,.143,.289,,.690,.909,,.073,13,,.487,.324,,2,0,greenje02
173,Josh Green,SG,23,DAL,42,1148,.491,14.8,,.491,.251,.162,.038,.041,.509,,.573,.795,.298,.364,.500,.412,,.732,.951,,.079,21,,.588,.425,,0,0,greenjo02
174,AJ Griffin,SF,20,ATL,18,132,.289,21.3,,.267,.044,.111,.044,.067,.733,,.333,1.000,.200,.000,.333,.273,,.750,.889,,.022,1,,.242,.250,,0,0,griffaj01
175,Quentin Grimes,SG,23,NYK,45,910,.395,19.6,,.259,.171,.045,.010,.031,.741,,.486,.592,.385,.000,.222,.363,,.750,.961,,.014,1,,.325,.391,,0,0,grimequ01
176,Mouhamadou Gueye,PF,25,TOR,1,6,.333,2.6,,1.000,.667,.333,.000,.000,.000,,.333,.500,.000,,,,,1.000,,,.000,0,,,,,0,0,gueyemo01
177,Mouhamed Gueye,PF,21,ATL,2,4,.000,22.6,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0,gueyemo02
178,Rui Hachimura,PF,25,LAL,42,1018,.515,13.0,,.651,.292,.182,.083,.091,.349,,.576,.771,.441,.452,.353,.400,,.793,.981,,.115,41,,.331,.395,,0,0,hachiru01
179,Ashton Hagans,PG,24,POR,3,54,.364,12.4,,.636,.364,.182,.091,.000,.364,,.571,.750,.000,1.000,,.000,,.750,,,.000,0,,.000,,,0,0,haganas01
180,Tyrese Haliburton,PG,23,IND,43,1376,.492,17.4,,.501,.157,.173,.097,.073,.499,,.584,.617,.602,.561,.500,.400,,.276,.426,,.023,16,,.068,.478,,2,0,halibty01
181,R.J. Hampton,PG,22,MIA,8,76,.286,17.0,,.429,.143,.143,.143,.000,.571,,.500,.500,.500,.500,,.125,,.333,1.000,,.000,0,,.375,.000,,0,0,hamptrj01
182,Tim Hardaway Jr.,SF,31,DAL,52,1547,.414,19.6,,.394,.099,.086,.107,.103,.606,,.490,.699,.406,.456,.395,.365,,.685,.878,,.018,12,,.241,.407,,2,0,hardati02
183,James Harden,PG,34,LAC,48,1661,.450,18.4,,.412,.142,.146,.093,.031,.588,,.491,.731,.313,.471,.294,.421,,.180,.449,,.002,1,,.065,.429,,0,0,hardeja01
184,Jaden Hardy,SG,21,DAL,50,783,.409,16.9,,.497,.177,.116,.126,.078,.503,,.449,.591,.302,.468,.310,.369,,.458,.812,,.024,7,,.257,.375,,2,0,hardyja02
185,Ron Harper Jr.,PF,23,TOR,1,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,harpero02
186,Gary Harris,SG,29,ORL,33,743,.432,19.5,,.322,.120,.126,.044,.033,.678,,.644,.773,.609,.625,.333,.331,,.763,.976,,.022,4,,.379,.340,,1,0,harriga01
187,Joe Harris,SG,32,DET,16,170,.359,20.3,,.231,.103,.128,.000,.000,.769,,.444,.500,.400,,,.333,,1.000,1.000,,.000,0,,.467,.500,,0,0,harrijo01
188,Kevon Harris,SG,26,ORL,2,6,.667,11.5,,1.000,.333,.000,.333,.333,.000,,.667,1.000,,.000,1.000,,,.500,,,.000,0,,,,,0,0,harrike01
189,Tobias Harris,PF,31,PHI,48,1630,.507,11.2,,.746,.291,.264,.139,.052,.254,,.562,.688,.450,.584,.364,.346,,.429,.929,,.055,33,,.241,.385,,0,0,harrito02
190,Shaquille Harrison,SG,30,MEM,3,6,.500,1.1,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,1.000,,,.000,0,,,,,0,0,harrish01
191,Josh Hart,SF,28,NYK,54,1613,.423,13.5,,.584,.286,.171,.096,.031,.416,,.507,.673,.348,.405,.167,.306,,.614,.878,,.016,6,,.269,.349,,0,0,hartjo01
192,Isaiah Hartenstein,C,25,NYK,50,1280,.619,3.1,,.987,.693,.242,.052,.000,.013,,.623,.700,.500,.167,,.333,,.613,1.000,,.255,54,,.000,,,0,0,harteis01
193,Sam Hauser,SF,26,BOS,54,1162,.443,23.2,,.138,.073,.047,.009,.009,.862,,.638,.640,.563,.667,1.000,.412,,.733,.983,,.023,8,,.221,.523,,2,0,hausesa01
194,Jordan Hawkins,SG,21,NOP,48,969,.401,20.3,,.348,.087,.077,.071,.113,.652,,.439,.576,.379,.333,.442,.381,,.759,.989,,.026,7,,.263,.477,,2,0,hawkijo01
195,Jaxson Hayes,C,23,LAL,45,496,.701,4.6,,.938,.680,.247,.000,.010,.062,,.747,.833,.500,,1.000,.000,,.853,,,.361,32,,.167,.000,,1,0,hayesja02
196,Killian Hayes,PG,22,DET,42,1008,.413,14.7,,.739,.060,.226,.343,.110,.261,,.455,.706,.469,.423,.387,.297,,.484,.864,,.018,5,,.284,.381,,0,0,hayeski01
197,Gordon Hayward,SF,33,CHO,25,798,.468,12.3,,.795,.209,.249,.202,.135,.205,,.496,.742,.432,.467,.275,.361,,.556,.955,,.051,14,,.279,.412,,0,0,haywago01
198,Scoot Henderson,PG,19,POR,42,1128,.374,13.4,,.668,.298,.150,.140,.081,.332,,.403,.503,.257,.435,.250,.317,,.308,.654,,.028,12,,.140,.261,,2,0,hendesc01
199,Taylor Hendricks,PF,20,UTA,16,234,.378,16.8,,.392,.162,.176,.041,.014,.608,,.483,.667,.308,.667,.000,.311,,.643,1.000,,.095,6,,.400,.444,,0,0,hendrita01
200,Tyler Herro,SG,24,MIA,35,1179,.437,17.2,,.546,.088,.185,.167,.106,.454,,.471,.589,.462,.472,.388,.396,,.411,.807,,.008,3,,.118,.441,,1,0,herroty01
201,Buddy Hield,SF-SG,31,TOT,56,1492,.452,19.3,,.318,.168,.095,.019,.036,.682,,.584,.643,.527,.364,.571,.390,,.704,.897,,.010,5,,.156,.387,,0,0,hieldbu01
202,Haywood Highsmith,PF,27,MIA,40,847,.421,17.0,,.406,.168,.188,.025,.025,.594,,.500,.588,.447,.600,.200,.367,,.683,1.000,,.054,10,,.425,.412,,0,0,highsha01
203,Nate Hinton,SG,24,HOU,11,58,.500,16.8,,.450,.250,.100,.000,.100,.550,,.333,.400,.500,,.000,.636,,.000,.714,,.000,0,,.091,.000,,0,0,hintona01
204,D'Moi Hodge,SG,25,LAL,7,41,.333,21.8,,.200,.133,.000,.000,.067,.800,,.667,.500,,,1.000,.250,,1.000,1.000,,.000,0,,.250,.333,,0,0,hodgedm01
205,Aaron Holiday,PG,27,HOU,51,913,.462,17.6,,.452,.124,.169,.110,.048,.548,,.527,.667,.490,.531,.286,.409,,.275,.846,,.007,2,,.226,.444,,1,0,holidaa01
206,Jrue Holiday,PG,33,BOS,50,1665,.473,15.5,,.555,.171,.222,.101,.061,.445,,.500,.667,.487,.302,.406,.440,,.466,.718,,.011,4,,.226,.642,,1,0,holidjr01
207,Justin Holiday,SG,34,DEN,32,474,.446,20.1,,.297,.119,.030,.020,.129,.703,,.567,.750,.333,.500,.462,.394,,.706,1.000,,.069,7,,.563,.475,,0,0,holidju01
208,Richaun Holmes,C-PF,30,TOT,25,261,.574,3.3,,1.000,.647,.309,.044,.000,.000,,.574,.705,.333,.333,,,,.667,,,.162,11,,,,,0,0,holmeri01
209,Chet Holmgren,C,21,OKC,54,1624,.535,12.9,,.639,.282,.216,.104,.038,.361,,.616,.749,.577,.455,.292,.393,,.672,.978,,.142,83,,.105,.250,,2,0,holmgch01
210,Jalen Hood-Schifino,SG,20,LAL,17,96,.237,15.3,,.711,.132,.237,.079,.263,.289,,.296,.600,.111,.333,.300,.091,,.625,1.000,,.026,1,,.091,.000,,0,0,hoodsja01
211,Al Horford,C,37,BOS,45,1224,.484,18.1,,.347,.159,.134,.029,.025,.653,,.625,.773,.514,.500,.429,.409,,.667,1.000,,.043,11,,.398,.403,,0,0,horfoal01
212,Talen Horton-Tucker,PG,23,UTA,35,721,.410,13.4,,.626,.201,.307,.088,.030,.374,,.461,.652,.446,.172,.200,.325,,.263,.800,,.040,10,,.236,.345,,2,0,hortota01
213,Danuel House Jr.,SF,30,PHI,34,509,.448,14.5,,.524,.343,.124,.019,.038,.476,,.582,.694,.308,1.000,.250,.300,,.719,.933,,.038,4,,.480,.375,,2,0,houseda01
214,Caleb Houstan,SF,21,ORL,40,596,.390,24.0,,.071,.019,.019,.019,.013,.929,,.636,.667,.667,1.000,.000,.371,,.571,.981,,.000,0,,.357,.373,,0,0,houstca01
215,Jett Howard,SF,20,ORL,13,49,.364,22.8,,.227,.045,.091,.045,.045,.773,,.600,.000,1.000,1.000,.000,.294,,1.000,.800,,.000,0,,.059,.000,,0,0,howarje01
216,Kevin Huerter,SG,25,SAC,52,1298,.452,18.3,,.383,.152,.141,.073,.017,.617,,.587,.718,.591,.382,.250,.368,,.790,.943,,.021,8,,.188,.444,,0,0,huertke01
217,Jay Huff,C,25,DEN,8,22,.571,19.6,,.286,.143,.143,.000,.000,.714,,1.000,1.000,1.000,,,.400,,1.000,1.000,,.000,0,,.000,,,0,0,huffja01
218,De'Andre Hunter,SF,26,ATL,31,881,.470,15.6,,.558,.183,.149,.149,.076,.442,,.508,.650,.490,.449,.320,.421,,.634,.852,,.027,7,,.352,.412,,0,0,huntede01
219,Matthew Hurt,PF,23,MEM,3,56,.333,19.2,,.444,.056,.167,.000,.222,.556,,.500,.000,.667,,.500,.200,,.750,1.000,,.000,0,,.400,.250,,0,0,hurtma01
220,Bones Hyland,PG,23,LAC,19,251,.367,17.8,,.467,.117,.192,.125,.033,.533,,.429,.500,.435,.400,.250,.313,,.375,.600,,.008,1,,.109,.571,,0,0,hylanbo01
221,Joe Ingles,SF,36,ORL,41,711,.413,19.6,,.313,.088,.206,.013,.006,.688,,.420,.714,.303,.000,1.000,.409,,.429,.933,,.000,0,,.173,.421,,2,0,inglejo01
222,Brandon Ingram,SF,26,NOP,51,1701,.490,14.5,,.762,.144,.148,.286,.184,.238,,.531,.725,.460,.519,.455,.362,,.399,.750,,.031,26,,.126,.400,,2,0,ingrabr01
223,Kyrie Irving,SG,31,DAL,33,1119,.491,14.6,,.642,.170,.219,.167,.086,.358,,.534,.664,.563,.454,.357,.414,,.351,.729,,.005,2,,.172,.575,,0,0,irvinky01
224,Jonathan Isaac,PF,26,ORL,37,549,.474,11.7,,.634,.423,.114,.051,.046,.366,,.586,.743,.350,.222,.125,.281,,.646,1.000,,.211,33,,.469,.367,,1,0,isaacjo01
225,Jaden Ivey,SG,21,DET,50,1383,.454,13.3,,.637,.257,.240,.113,.027,.363,,.507,.686,.399,.373,.313,.361,,.432,.872,,.018,10,,.264,.404,,5,0,iveyja01
226,Andre Jackson Jr.,SG,22,MIL,44,494,.529,14.0,,.529,.271,.129,.106,.024,.471,,.667,.783,.364,.667,1.000,.375,,.533,1.000,,.165,14,,.625,.360,,0,0,jacksan01
227,GG Jackson II,PF,19,MEM,22,417,.443,15.3,,.497,.301,.131,.016,.049,.503,,.495,.636,.292,.667,.111,.391,,.667,.944,,.093,14,,.250,.522,,0,0,jacksgg01
228,Isaiah Jackson,C,22,IND,43,590,.652,3.3,,.978,.663,.272,.033,.011,.022,,.667,.770,.420,.667,.500,.000,,.817,,,.353,57,,.500,.000,,0,0,jacksis01
229,Jaren Jackson Jr.,C,24,MEM,51,1623,.449,12.2,,.670,.224,.368,.067,.010,.330,,.510,.638,.438,.508,.333,.325,,.478,.957,,.034,26,,.142,.317,,6,0,jacksja02
230,Reggie Jackson,PG,33,DEN,55,1272,.457,14.5,,.639,.194,.238,.096,.111,.361,,.505,.653,.476,.420,.379,.372,,.387,.757,,.013,5,,.223,.452,,3,0,jacksre01
231,Trayce Jackson-Davis,PF,23,GSW,39,506,.688,2.3,,1.000,.675,.318,.006,.000,.000,,.688,.731,.592,1.000,,,,.774,,,.370,51,,,,,0,0,jackstr02
232,LeBron James,PF,39,LAL,49,1711,.520,12.1,,.700,.335,.209,.074,.082,.300,,.573,.741,.486,.246,.403,.395,,.463,.712,,.068,56,,.095,.400,,1,0,jamesle01
233,Jaime Jaquez Jr.,SF,22,MIA,49,1444,.492,10.4,,.718,.302,.337,.067,.012,.282,,.559,.680,.485,.424,.333,.321,,.518,.978,,.058,24,,.536,.307,,1,0,jaqueja01
234,DaQuan Jeffries,SG,26,NYK,10,30,.417,14.9,,.583,.083,.250,.250,.000,.417,,.571,1.000,.667,.333,,.200,,1.000,1.000,,.000,0,,.600,.333,,0,0,jeffrda01
235,Trey Jemison,C,24,TOT,8,118,.520,4.2,,1.000,.600,.320,.040,.040,.000,,.520,.733,.125,1.000,.000,,,.615,,,.160,3,,,,,0,0,jemistr01
236,Ty Jerome,SG,26,CLE,2,15,.500,10.6,,.750,.250,.250,.250,.000,.250,,.667,.000,1.000,1.000,,.000,,.000,,,.000,0,,.000,,,0,0,jeromty01
237,Isaiah Joe,SG,24,OKC,50,929,.465,21.5,,.261,.089,.041,.070,.061,.739,,.573,.821,.462,.455,.421,.427,,.723,.980,,.035,10,,.211,.490,,1,0,joeis01
238,Cameron Johnson,PF,27,BRK,41,1156,.455,17.1,,.451,.167,.136,.086,.062,.549,,.522,.737,.403,.385,.393,.400,,.589,.960,,.033,13,,.348,.448,,1,0,johnsca02
239,Jalen Johnson,SF,22,ATL,41,1394,.524,10.3,,.718,.369,.261,.065,.022,.282,,.594,.707,.492,.406,.455,.348,,.732,.979,,.171,79,,.326,.289,,1,0,johnsja05
240,James Johnson,PF,36,IND,5,24,.400,12.0,,.800,.200,.400,.200,.000,.200,,.500,1.000,.500,.000,,.000,,.500,,,.200,1,,.000,,,0,0,johnsja01
241,Keldon Johnson,SF,24,SAS,51,1526,.448,12.8,,.605,.272,.274,.037,.021,.395,,.525,.621,.443,.480,.429,.330,,.467,.897,,.048,27,,.299,.316,,1,0,johnske04
242,Keon Johnson,SG,21,BRK,3,47,.375,17.8,,.500,.188,.063,.063,.188,.500,,.250,.333,.000,.000,.333,.500,,1.000,1.000,,.063,1,,.125,1.000,,0,0,johnske07
243,Keyontae Johnson,SF,23,OKC,7,57,.333,7.7,,.833,.333,.417,.083,.000,.167,,.300,.250,.200,1.000,,.500,,.667,1.000,,.083,1,,.500,1.000,,0,0,johnske08
244,Nikola Jokić,C,28,DEN,53,1793,.577,9.8,,.830,.257,.390,.124,.060,.170,,.623,.739,.597,.578,.393,.352,,.559,.750,,.012,10,,.038,.167,,3,0,jokicni01
245,Colby Jones,SG,21,SAC,17,121,.370,11.5,,.717,.196,.326,.196,.000,.283,,.485,.333,.533,.556,,.077,,.563,1.000,,.000,0,,.385,.000,,0,0,jonesco02
246,Damian Jones,C,28,CLE,25,150,.531,9.1,,.781,.500,.156,.031,.094,.219,,.600,.750,.200,1.000,.333,.286,,.867,1.000,,.219,7,,.714,.400,,0,0,jonesda03
247,Derrick Jones Jr.,SF,26,DAL,50,1265,.486,13.5,,.503,.339,.147,.011,.006,.497,,.630,.697,.509,.500,.000,.341,,.746,1.000,,.167,48,,.564,.327,,0,0,jonesde02
248,Herbert Jones,SF,25,NOP,50,1434,.497,13.4,,.551,.327,.162,.018,.043,.449,,.571,.744,.313,.286,.353,.407,,.613,.958,,.081,31,,.554,.418,,0,0,joneshe01
249,Tre Jones,PG,24,SAS,50,1300,.495,11.2,,.699,.330,.249,.110,.010,.301,,.588,.754,.484,.357,.250,.278,,.408,.875,,.003,0,,.365,.262,,1,0,jonestr01
250,Tyus Jones,PG,27,WAS,54,1565,.500,14.4,,.640,.111,.313,.178,.037,.360,,.541,.667,.497,.554,.476,.426,,.423,.793,,.000,0,,.279,.474,,0,0,jonesty01
251,DeAndre Jordan,C,35,DEN,29,327,.632,2.0,,1.000,.816,.171,.013,.000,.000,,.632,.677,.462,.000,,,,.729,,,.421,31,,,,,0,0,jordade01
252,Cory Joseph,PG,32,GSW,26,296,.359,20.4,,.344,.031,.156,.078,.078,.656,,.455,.000,.700,.400,.200,.310,,.600,.923,,.000,0,,.238,.400,,1,0,josepco01
253,Nikola Jović,PF,20,MIA,22,364,.430,15.4,,.486,.206,.224,.047,.009,.514,,.404,.409,.500,.000,.000,.455,,.619,.800,,.000,0,,.164,.556,,0,0,jovicni01
254,Johnny Juzang,SG,22,UTA,2,6,.000,24.2,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.667,.000,,0,0,juzanjo01
255,Luke Kennard,SG,27,MEM,27,667,.444,21.8,,.236,.056,.060,.088,.032,.764,,.412,.667,.231,.368,.429,.455,,.762,.947,,.000,0,,.127,.381,,0,0,kennalu01
256,Walker Kessler,C,22,UTA,47,1098,.653,3.5,,.938,.686,.241,.004,.007,.062,,.681,.745,.530,.000,.000,.235,,.737,1.000,,.361,96,,1.000,.235,,0,0,kesslwa01
257,Braxton Key,SF,26,DEN,15,51,.400,9.4,,.733,.467,.200,.000,.067,.267,,.455,.429,.333,,1.000,.250,,1.000,1.000,,.000,0,,.250,.000,,0,0,keybr01
258,Corey Kispert,SF,24,WAS,53,1191,.481,18.0,,.378,.210,.137,.023,.008,.622,,.678,.780,.554,.545,.500,.361,,.713,.944,,.036,13,,.209,.371,,2,0,kispeco01
259,Maxi Kleber,C,32,DAL,19,411,.463,16.9,,.415,.220,.098,.061,.037,.585,,.618,.778,.250,.800,.333,.354,,.905,.941,,.061,5,,.375,.222,,0,0,klebima01
260,Kevin Knox,SF,24,DET,31,560,.462,15.6,,.495,.188,.194,.081,.032,.505,,.598,.686,.583,.600,.167,.330,,.782,.968,,.124,20,,.372,.343,,0,0,knoxke01
261,John Konchar,SF,27,MEM,44,855,.424,14.7,,.437,.329,.101,.006,.000,.563,,.594,.673,.375,.000,,.292,,.683,1.000,,.013,2,,.506,.244,,0,0,konchjo01
262,Furkan Korkmaz,SG,26,PHI,35,300,.395,17.4,,.474,.184,.171,.053,.066,.526,,.444,.643,.462,.000,.200,.350,,.750,.714,,.026,2,,.100,.500,,0,0,korkmfu01
263,Luke Kornet,C,28,BOS,39,581,.689,2.0,,1.000,.765,.227,.008,.000,.000,,.689,.780,.370,1.000,,,,.695,,,.361,34,,,,,0,0,kornelu01
264,Vit Krejci,PG,23,ATL,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,krejcvi01
265,Jonathan Kuminga,PF,21,GSW,51,1306,.531,9.7,,.783,.303,.344,.109,.026,.217,,.590,.762,.513,.387,.467,.317,,.603,.923,,.182,91,,.285,.429,,0,0,kuminjo01
266,Kyle Kuzma,PF,28,WAS,52,1649,.456,14.2,,.635,.199,.253,.120,.064,.365,,.529,.768,.474,.342,.355,.329,,.543,.778,,.046,42,,.211,.440,,1,0,kuzmaky01
267,Jock Landale,C,28,HOU,29,269,.377,9.4,,.739,.420,.246,.058,.014,.261,,.471,.517,.412,.500,.000,.111,,.667,1.000,,.130,7,,.167,.333,,0,0,landajo01
268,Jake LaRavia,PF,22,MEM,11,122,.372,16.4,,.442,.186,.209,.023,.023,.558,,.579,.500,.556,1.000,1.000,.208,,.636,1.000,,.047,2,,.208,.400,,0,0,laravja01
269,Zach LaVine,SG,28,CHI,25,872,.452,15.7,,.551,.237,.136,.053,.125,.449,,.536,.640,.431,.500,.468,.349,,.396,.525,,.040,13,,.183,.452,,0,0,lavinza01
270,A.J. Lawson,SG,23,DAL,27,230,.464,12.9,,.524,.321,.190,.012,.000,.476,,.591,.852,.188,.000,,.325,,.538,1.000,,.131,10,,.650,.308,,0,0,lawsoaj01
