,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
56,56,228,2019,Bryn Forbes,5,SG,5,SAS,5,82.0,1,81.0,1,4.4,7,9.6,7,5.0,4,0.426,1,4.6,8,0.489,7,0.568,2,0.8,10,1.0,10,0.885,1,0.2,10,2.7,8,2.9,9,2.1,4,2.1,7,0.5,10,0.0,10,1.0,9,1.9,8,11.8,7,12.0,9,0.586,3,0.522,2,0.099,10,0.9,10,10.4,8,5.7,9,10.6,7,1.0,9,0.1,10,8.8,9,17.4,8,2.5,5,1.3,8,3.8,6,0.079,7,-0.3,7,-0.9,8,-1.2,8,0.5,7,18.7,1,0.104,10,0.115,8,0.095,5,0.164,2,0.4,9,11.600000000000001,8,0.522,2,0.2,3
57,57,229,2019,Evan Fournier,5,SG,5,ORL,5,81.0,2,81.0,1,5.8,4,13.2,4,5.6,3,0.34,7,7.6,5,0.509,6,0.509,7,1.7,7,2.1,7,0.806,5,0.5,9,2.7,8,3.2,9,1.9,5,3.6,4,0.9,6,0.1,10,1.9,4,2.8,2,15.1,5,12.3,8,0.536,8,0.421,4,0.159,9,1.6,9,9.4,9,5.4,9,17.6,5,1.4,6,0.4,10,11.9,5,22.1,5,0.8,8,2.5,4,3.2,7,0.061,8,-1.8,10,-0.6,7,-2.4,10,-0.3,10,15.7,4,0.206,7,0.148,6,0.105,4,0.121,3,1.0999999999999999,8,17.8,5,0.42000000000000004,4,0.1,7
58,58,230,2019,De'Aaron Fox,5,PG,5,SAC,5,81.0,2,81.0,1,6.2,4,13.6,3,2.9,8,0.371,3,10.7,3,0.482,8,0.497,8,3.7,2,5.1,2,0.727,8,0.5,9,3.2,7,3.8,7,2.6,2,7.3,1,1.6,1,0.6,4,2.8,2,2.5,4,17.3,3,18.1,3,0.544,7,0.211,9,0.378,2,1.7,9,10.8,8,6.2,8,33.2,1,2.4,1,1.5,4,15.0,2,24.5,3,3.2,4,2.5,4,5.6,4,0.106,5,1.3,4,0.2,5,1.5,4,2.3,3,11.6,8,0.279,5,0.254,2,0.118,4,0.139,2,3.9,5,12.9,7,0.20999999999999996,9,0.1,7
59,59,236,2019,Enes Freedom,5,C,5,TOT,5,67.0,7,31.0,8,5.6,5,10.2,7,0.5,10,0.294,9,9.7,3,0.562,2,0.556,3,2.3,5,2.9,5,0.787,6,3.8,1,6.0,2,9.8,1,0.9,10,1.7,8,0.5,10,0.4,6,1.8,5,2.5,4,13.7,6,22.3,2,0.594,2,0.05,10,0.288,4,16.4,1,26.1,1,21.1,1,12.1,6,0.9,10,1.3,5,13.3,4,23.1,4,3.9,3,1.6,7,5.4,4,0.159,2,2.5,2,-1.5,9,1.0,4,1.2,5,4.7,10,0.66,1,0.202,3,0.059,8,0.029,9,3.8,5,2.9000000000000004,10,0.04999999999999993,10,0.2,3
60,60,241,2019,Danilo Gallinari,5,SF,5,LAC,5,68.0,7,68.0,4,6.0,4,13.0,4,5.5,3,0.433,1,7.5,6,0.484,7,0.554,3,5.4,1,6.0,1,0.904,1,0.8,6,5.3,3,6.1,4,1.7,6,2.6,6,0.7,8,0.3,8,1.5,6,1.9,8,19.8,2,21.0,2,0.633,1,0.421,4,0.459,1,2.9,6,18.1,3,10.7,4,13.2,6,1.1,8,0.9,8,8.5,9,23.8,4,6.4,1,1.8,6,8.2,2,0.191,1,4.9,1,-0.5,7,4.3,2,3.3,2,16.1,3,0.232,6,0.101,8,0.102,5,0.145,2,5.2,4,5.1,9,0.42000000000000004,4,0.1,7
61,61,245,2019,Marc Gasol,5,C,5,TOT,5,79.0,3,72.0,4,4.9,6,11.0,6,3.5,7,0.363,5,7.6,5,0.487,7,0.505,8,2.4,5,3.2,4,0.759,7,1.0,4,6.9,1,7.9,2,2.2,4,4.4,3,1.1,4,1.1,2,2.0,4,2.7,3,13.6,6,16.7,5,0.546,7,0.314,7,0.291,4,3.6,4,25.1,2,14.3,2,22.2,3,1.7,4,3.2,2,13.6,3,20.7,6,2.0,6,4.0,1,6.0,4,0.118,4,0.8,5,2.3,1,3.1,2,3.1,2,14.3,5,0.156,9,0.248,2,0.163,2,0.118,4,3.1,5,2.6,10,0.31499999999999995,7,0.1,7
62,62,251,2019,Rudy Gay,5,PF,5,SAS,5,69.0,6,51.0,7,5.4,5,10.8,6,2.7,8,0.402,2,8.1,5,0.537,3,0.554,3,1.7,7,2.1,7,0.816,4,0.9,5,5.9,3,6.8,3,1.5,7,2.6,6,0.8,7,0.5,5,1.7,5,2.3,5,13.7,6,17.5,4,0.583,3,0.247,8,0.197,8,3.8,4,23.9,2,13.9,3,14.7,5,1.4,6,1.6,4,12.3,5,22.1,5,2.2,5,2.2,5,4.4,5,0.115,4,0.8,5,0.6,4,1.4,4,1.6,4,13.2,7,0.193,8,0.225,3,0.185,1,0.15,2,5.800000000000001,3,31.5,2,0.247,8,0.0,10
63,63,252,2019,Paul George,5,SF,5,OKC,5,77.0,4,77.0,3,9.2,1,21.0,1,9.8,1,0.386,2,11.1,2,0.484,7,0.529,5,5.9,1,7.0,1,0.839,3,1.4,3,6.8,2,8.2,2,1.5,7,4.1,3,2.2,1,0.4,6,2.7,2,2.8,2,28.0,1,23.3,2,0.583,3,0.469,3,0.335,3,3.7,4,19.6,3,11.4,4,17.7,5,2.8,1,1.0,7,10.0,8,29.5,1,7.0,1,4.9,1,11.9,1,0.201,1,5.6,1,1.6,2,7.2,1,6.6,1,16.6,3,0.211,7,0.097,9,0.108,4,0.115,4,3.5000000000000004,5,13.200000000000001,7,0.469,3,0.1,7
64,64,253,2019,Taj Gibson,5,PF,5,MIN,5,70.0,6,57.0,6,4.3,7,7.7,9,0.5,10,0.324,8,7.2,6,0.583,1,0.576,1,1.9,6,2.5,6,0.757,7,2.5,1,4.1,5,6.5,3,1.2,9,1.2,10,0.8,7,0.6,4,1.0,9,2.7,3,10.8,8,17.8,4,0.612,2,0.063,10,0.33,3,10.8,1,18.3,3,14.5,2,7.3,9,1.5,6,2.0,3,10.6,7,17.2,8,3.7,3,1.4,7,5.1,5,0.144,3,0.3,6,-0.4,6,-0.1,6,0.8,7,5.9,10,0.547,1,0.248,2,0.069,7,0.073,6,10.4,2,76.5,1,0.06299999999999994,10,0.2,3
65,65,255,2019,Shai Gilgeous-Alexander,5,PG,5,LAC,5,82.0,1,73.0,3,4.2,8,8.7,8,1.7,9,0.367,4,7.0,6,0.503,6,0.512,7,1.9,6,2.4,7,0.8,5,0.7,7,2.1,10,2.8,9,1.9,5,3.3,5,1.2,3,0.5,5,1.7,5,2.1,7,10.8,8,13.4,7,0.554,6,0.194,9,0.272,4,2.9,6,8.3,10,5.7,9,17.8,5,2.1,2,1.6,4,15.0,2,18.3,7,1.5,7,1.9,5,3.3,7,0.074,8,-0.9,8,0.4,4,-0.5,7,0.8,7,11.2,8,0.314,4,0.161,5,0.222,1,0.109,4,2.8000000000000003,6,46.0,1,0.19400000000000006,9,0.1,7
