,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,2,2016,Paint Threat,No significant defensive role,Steven Adams,C,OKC,80.0,80.0,3.3,5.3,0.0,,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.7,0.8,0.5,1.1,1.1,2.8,8.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.0,0.2,0.2,1.1,2.2,0.721,0.258,0.016,0.005,27.700000000000003,,0.0,0.28
1,1,3,2016,No significant offensive role,No significant defensive role,Arron Afflalo,SG,NYK,71.0,57.0,5.0,11.3,3.4,0.382,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,1.7,2.0,0.4,0.1,1.2,2.0,12.8,10.9,0.531,0.298,0.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-1.3,-1.6,-2.9,-0.5,14.8,0.115,0.178,0.193,0.217,0.3,42.4,0.29700000000000004,0.06
2,2,6,2016,Slasher,Switchable Defender,LaMarcus Aldridge,PF,SAS,74.0,74.0,7.2,14.1,0.2,0.0,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.2,1.5,0.5,1.1,1.3,2.0,18.0,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,2.0,0.3,2.3,2.5,10.0,0.279,0.191,0.211,0.303,4.7,50.0,0.016000000000000014,0.1
3,3,9,2016,No significant offensive role,Perimeter Defender,Tony Allen,SG,MEM,64.0,57.0,3.4,7.3,0.7,0.357,6.7,0.468,0.474,1.4,2.2,0.652,1.6,3.0,4.6,0.9,1.1,1.7,0.3,1.2,2.7,8.4,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.072,-2.2,1.2,-1.0,0.4,6.3,0.582,0.168,0.047,0.113,5.1,71.39999999999999,0.08999999999999997,0.19
4,4,10,2016,No significant offensive role,No significant defensive role,Al-Farouq Aminu,SF,POR,82.0,82.0,3.6,8.8,4.3,0.361,4.5,0.468,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.1,1.7,0.9,0.6,1.5,2.1,10.2,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.082,-0.2,0.2,0.1,1.2,14.9,0.252,0.121,0.047,0.095,6.1,41.0,0.485,0.16
5,5,19,2016,Versatile Scorer,No significant defensive role,Ryan Anderson,PF,NOP,66.0,7.0,6.0,14.1,5.4,0.366,8.7,0.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,0.8,1.1,0.6,0.4,1.4,1.7,17.0,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,3.1,0.8,3.9,0.092,2.2,-2.4,-0.2,0.9,15.3,0.227,0.097,0.112,0.179,2.0,16.5,0.385,0.1
6,6,20,2016,Slasher,Perimeter Defender,Giannis Antetokounmpo,PG,MIL,80.0,79.0,6.4,12.7,1.4,0.257,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,1.7,4.3,1.2,1.4,2.6,3.2,16.9,18.8,0.566,0.108,0.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,7.5,0.509,0.18,0.058,0.143,14.299999999999999,32.1,0.10999999999999988,0.2
7,7,23,2016,Versatile Scorer,No significant defensive role,Carmelo Anthony,SF,NYK,72.0,72.0,7.9,18.2,4.3,0.339,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,1.8,4.2,0.9,0.5,2.4,2.5,21.8,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,0.121,3.8,-0.5,3.3,3.4,14.0,0.213,0.087,0.208,0.255,1.7999999999999998,10.299999999999999,0.237,0.1
8,8,26,2016,Pure Shooter/Stretcher,Perimeter Defender,Trevor Ariza,SF,HOU,81.0,81.0,4.4,10.6,6.2,0.371,4.4,0.478,0.523,1.6,2.0,0.783,0.8,3.7,4.5,1.6,2.3,2.0,0.3,1.4,2.2,12.7,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,3.1,2.3,5.4,0.09,0.1,0.3,0.4,1.7,16.2,0.255,0.054,0.035,0.077,6.800000000000001,41.5,0.579,0.2
9,9,38,2016,No significant offensive role,No significant defensive role,Harrison Barnes,SF,GSW,66.0,59.0,4.5,9.6,3.2,0.383,6.3,0.508,0.531,1.5,2.0,0.761,1.2,3.8,4.9,2.0,1.8,0.6,0.2,0.9,2.1,11.7,12.3,0.559,0.338,0.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,3.1,1.9,4.9,0.116,-0.2,-1.1,-1.3,0.3,13.9,0.227,0.147,0.104,0.183,9.3,44.4,0.33899999999999997,0.1
