,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,0,2007,Shareef Abdur-Rahim,5,C,5,SAC,5,80.0,3,45.0,8,3.9,9,8.2,9,0.3,8,0.15,9,7.9,7,0.484,5,0.476,8,2.1,7,2.9,7,0.726,8,1.5,4,3.5,5,5.0,5,0.9,8,1.4,9,0.7,8,0.5,4,1.5,8,3.0,3,9.9,9,13.1,8,0.524,8,0.031,8,0.358,4,7.0,3,16.4,4,11.6,4,9.2,8,1.3,7,1.5,3,13.3,6,19.5,7,1.1,9,1.7,6,2.8,9,0.067,9,-2.0,10,-0.5,7,-2.5,10,-0.2,10,,10,,10,,10,,10,,10,,10,,10,1,1,0.0,10
1,1,5,2007,Ray Allen*,5,SG,5,SEA,5,55.0,9,55.0,7,9.2,1,21.0,1,8.1,1,0.372,4,12.9,2,0.479,6,0.51,4,5.1,2,5.6,2,0.903,1,1.0,6,3.5,5,4.5,6,1.5,6,4.1,3,1.5,2,0.2,7,2.8,2,2.1,8,26.4,1,21.6,2,0.564,4,0.384,2,0.268,7,3.1,6,10.4,7,6.7,7,19.0,4,1.9,3,0.4,8,10.7,9,29.5,1,5.4,2,0.9,9,6.3,4,0.136,4,5.0,1,-1.3,9,3.7,2,3.2,2,16.2,2,0.181,9,0.09,7,0.129,4,0.215,6,0.8,7,18.099999999999998,6,0.385,2,0.1,7
2,2,6,2007,Tony Allen,5,SG,5,BOS,5,33.0,10,18.0,10,4.0,8,7.8,9,1.0,7,0.242,8,6.8,8,0.553,2,0.529,3,3.2,4,4.1,4,0.784,5,1.1,5,2.7,8,3.8,7,0.7,9,1.7,8,1.5,2,0.4,5,2.3,4,2.6,5,11.5,7,17.0,4,0.596,1,0.127,7,0.517,2,5.1,4,13.6,5,9.2,5,12.5,6,3.2,1,1.2,4,19.1,1,22.1,5,0.8,9,1.1,9,1.9,10,0.111,5,-0.2,7,1.2,2,1.0,4,0.6,8,7.7,9,0.548,1,0.124,4,0.062,8,0.139,8,6.6000000000000005,3,36.4,2,0.127,7,0.18,4
3,3,7,2007,Rafer Alston,5,PG,5,HOU,5,82.0,1,82.0,1,4.7,6,12.4,4,6.5,1,0.363,4,6.0,8,0.389,10,0.47,8,1.6,9,2.2,9,0.734,7,0.4,9,3.1,7,3.4,7,2.6,1,5.4,2,1.6,1,0.1,9,2.1,5,2.4,7,13.3,6,12.9,9,0.496,10,0.519,1,0.174,10,1.1,10,9.5,8,5.3,9,24.1,3,2.2,2,0.3,9,13.4,5,19.4,7,1.7,8,4.9,1,6.6,3,0.104,6,-0.7,9,1.3,2,0.6,5,2.0,4,16.4,2,0.22,8,0.113,5,0.043,9,0.106,9,0.0,10,17.4,6,0.518,1,0.17,4
4,4,13,2007,Carmelo Anthony,5,SF,5,DEN,5,65.0,8,65.0,5,10.6,1,22.4,1,2.3,6,0.268,8,20.1,1,0.499,4,0.489,7,7.1,1,8.7,1,0.808,4,2.2,2,3.8,5,6.0,4,1.1,7,3.8,4,1.2,3,0.4,5,3.6,1,3.1,2,28.9,1,22.1,2,0.552,5,0.103,7,0.391,4,6.6,3,11.1,7,8.9,5,19.2,4,1.5,6,0.7,6,12.1,7,33.4,1,5.2,2,2.1,5,7.3,3,0.14,3,3.2,2,-1.3,9,1.9,3,2.5,3,10.0,8,0.422,2,0.081,8,0.114,5,0.281,4,11.5,2,12.1,7,0.10199999999999998,7,0.13,4
5,5,15,2007,Gilbert Arenas,5,PG,5,WAS,5,74.0,5,73.0,3,8.7,1,20.9,1,7.9,1,0.351,5,13.0,2,0.459,8,0.484,7,8.2,1,9.7,1,0.844,2,0.8,7,3.7,5,4.6,6,1.9,4,6.0,1,1.9,1,0.2,7,3.2,1,3.4,1,28.4,1,24.0,1,0.565,4,0.377,2,0.464,2,2.3,8,11.1,7,6.6,7,27.2,2,2.4,1,0.3,9,11.2,8,31.4,1,9.3,1,1.5,7,10.8,1,0.177,2,5.5,1,-0.8,8,4.7,1,5.0,1,16.2,2,0.242,7,0.048,10,0.066,8,0.267,4,0.6,8,8.7,8,0.377,2,0.1,7
6,6,20,2007,Chucky Atkins,5,PG,5,MEM,5,75.0,5,23.0,10,4.1,8,9.5,7,4.1,3,0.379,3,5.5,9,0.474,6,0.515,4,3.4,4,4.1,4,0.81,4,0.2,10,1.6,10,1.9,10,2.7,1,4.6,3,0.7,8,0.1,9,1.7,7,1.8,10,13.2,6,17.4,4,0.58,3,0.428,1,0.435,3,1.0,10,7.0,10,4.0,10,27.9,2,1.2,8,0.1,10,13.0,6,21.4,5,5.1,2,-0.2,10,4.9,5,0.114,5,2.9,2,-2.5,10,0.4,6,1.2,6,15.5,3,0.291,5,0.059,9,0.059,9,0.164,8,0.0,10,17.0,6,0.42700000000000005,1,0.1,7
7,7,26,2007,Leandro Barbosa,5,SG,5,PHO,5,80.0,3,18.0,10,6.6,3,13.9,3,5.5,1,0.434,1,8.4,6,0.504,4,0.562,1,2.5,6,2.9,7,0.845,2,0.3,10,2.4,9,2.7,9,2.2,3,4.0,4,1.2,3,0.2,7,1.8,6,2.6,5,18.1,3,18.4,3,0.595,2,0.394,2,0.209,9,1.0,10,8.1,9,4.8,10,18.7,4,1.8,3,0.4,8,10.7,9,23.4,3,6.1,2,2.1,5,8.2,2,0.151,3,2.6,3,0.1,4,2.7,3,3.1,2,14.4,4,0.325,4,0.059,9,0.065,8,0.157,8,0.0,10,32.6,3,0.394,2,0.1,7
8,8,28,2007,Andrea Bargnani,5,PF,5,TOR,5,65.0,8,2.0,10,4.1,8,9.6,7,4.1,3,0.373,3,5.5,9,0.468,7,0.507,5,1.8,8,2.2,9,0.824,3,0.8,7,3.1,7,3.9,7,0.5,10,0.8,10,0.5,10,0.8,2,1.6,8,2.8,4,11.6,7,12.8,9,0.546,6,0.429,1,0.227,8,3.7,6,14.8,5,9.2,5,5.1,10,1.0,9,2.5,2,13.5,5,22.6,4,0.2,10,1.7,6,1.9,10,0.057,9,-1.1,9,-0.6,7,-1.8,9,0.1,9,17.1,1,0.19,9,0.05,9,0.11,5,0.221,6,4.6,4,2.6,9,0.42900000000000005,1,0.1,7
9,9,37,2007,Shane Battier,5,SF,5,HOU,5,82.0,1,82.0,1,3.6,9,8.0,9,4.5,2,0.421,1,3.4,10,0.48,6,0.567,1,1.1,10,1.4,10,0.779,6,0.8,7,3.3,6,4.1,6,2.3,2,2.1,7,1.0,5,0.7,3,0.9,10,2.3,7,10.1,9,12.0,10,0.589,2,0.57,1,0.173,10,2.6,7,10.4,7,6.5,7,9.2,8,1.4,6,1.5,3,9.3,10,12.1,10,4.4,3,4.6,1,9.0,2,0.144,3,0.3,6,2.0,1,2.3,3,3.2,2,16.7,2,0.159,10,0.165,3,0.055,9,0.05,10,0.2,9,55.800000000000004,1,0.571,1,0.2,2
