,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,1,2012,Slasher,No significant defensive role,Arron Afflalo,SG,DEN,62.0,62.0,5.3,11.3,3.6,0.398,7.7,0.504,0.534,3.2,4.0,0.798,0.6,2.5,3.2,1.7,2.4,0.6,0.2,1.4,2.2,15.2,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,0.121,1.4,-1.2,0.1,1.1,13.5,0.272,0.142,0.107,0.163,0.8999999999999999,49.3,0.31599999999999995,0.08
1,1,5,2012,Slasher,No significant defensive role,LaMarcus Aldridge,PF,POR,55.0,55.0,8.8,17.1,0.2,0.182,16.9,0.516,0.513,4.1,5.0,0.814,2.7,5.3,8.0,1.2,2.4,0.9,0.8,2.0,2.8,21.7,22.7,0.56,0.012,0.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,5.4,1.6,7.0,0.169,3.4,-0.4,3.0,2.5,10.6,0.281,0.182,0.205,0.32,6.2,36.4,0.01200000000000001,0.11
2,2,7,2012,No significant offensive role,Perimeter Defender,Ray Allen*,SG,BOS,46.0,42.0,4.9,10.7,5.1,0.453,5.6,0.463,0.566,2.1,2.3,0.915,0.3,2.8,3.1,1.6,2.4,1.1,0.2,1.5,1.8,14.2,14.8,0.607,0.475,0.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,0.145,1.5,0.7,2.2,1.6,17.4,0.148,0.085,0.103,0.189,0.6,36.8,0.4750000000000001,0.14
3,3,8,2012,No significant offensive role,Perimeter Defender,Tony Allen,SG,MEM,58.0,57.0,3.6,7.7,0.4,0.308,7.3,0.479,0.478,2.4,3.0,0.8,1.7,2.3,4.0,0.9,1.4,1.8,0.6,1.6,2.4,9.8,15.7,0.541,0.058,0.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,0.131,-0.6,2.3,1.7,1.4,7.4,0.533,0.167,0.071,0.17,3.3000000000000003,57.699999999999996,0.05899999999999994,0.17
4,4,15,2012,No significant offensive role,No significant defensive role,Ryan Anderson,PF,ORL,61.0,61.0,5.4,12.4,6.9,0.393,5.5,0.496,0.548,2.5,2.8,0.877,3.7,4.0,7.7,1.0,0.9,0.8,0.4,0.9,2.4,16.1,21.2,0.589,0.557,0.226,13.0,14.7,13.8,5.1,1.4,1.0,6.4,21.2,7.0,1.9,8.9,0.219,5.2,-1.1,4.0,3.0,16.2,0.296,0.065,0.02,0.062,3.5999999999999996,26.3,0.5569999999999999,0.2
5,5,16,2012,Versatile Scorer,No significant defensive role,Carmelo Anthony,SF,NYK,55.0,55.0,8.0,18.6,3.7,0.335,14.9,0.454,0.463,5.4,6.7,0.804,1.6,4.7,6.3,1.4,3.6,1.1,0.4,2.6,2.8,22.6,21.1,0.525,0.198,0.358,5.4,15.9,10.6,21.0,1.7,1.0,10.8,31.8,3.7,2.6,6.2,0.16,3.8,-0.2,3.6,2.7,12.8,0.294,0.101,0.154,0.253,2.8000000000000003,11.799999999999999,0.19799999999999995,0.1
6,6,19,2012,No significant offensive role,Perimeter Defender,Trevor Ariza,SF,NOH,41.0,41.0,4.1,9.8,2.1,0.333,7.7,0.44,0.453,1.9,2.5,0.775,1.0,4.2,5.2,1.7,3.3,1.7,0.6,1.9,1.8,10.8,14.2,0.496,0.216,0.253,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,0.5,1.7,2.2,0.078,-0.4,1.7,1.3,1.1,11.7,0.34,0.156,0.062,0.226,4.5,44.800000000000004,0.21599999999999997,0.1
7,7,22,2012,Creator/Facilitator,No significant defensive role,D.J. Augustin,PG,CHA,48.0,46.0,3.8,10.1,3.7,0.341,6.4,0.396,0.438,2.2,2.5,0.875,0.5,1.8,2.3,2.8,6.4,0.8,0.0,2.3,1.4,11.1,14.1,0.493,0.368,0.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,0.7,-0.2,0.5,0.018,0.7,-3.2,-2.5,-0.2,14.4,0.294,0.127,0.064,0.148,0.0,13.4,0.367,0.1
8,8,31,2012,Creator/Facilitator,No significant defensive role,J.J. Barea,PG,MIN,41.0,11.0,4.1,10.2,3.5,0.371,6.7,0.415,0.463,1.9,2.4,0.776,0.3,2.4,2.8,2.3,5.7,0.5,0.0,2.5,1.5,11.3,14.9,0.502,0.342,0.234,1.5,10.8,6.1,39.0,1.0,0.0,18.3,24.3,0.8,0.4,1.2,0.056,1.1,-2.1,-1.0,0.3,13.2,0.289,0.196,0.084,0.089,0.0,14.000000000000002,0.3420000000000001,0.1
9,9,32,2012,Versatile Scorer,No significant defensive role,Andrea Bargnani,C,TOR,31.0,31.0,6.7,15.6,3.7,0.296,11.9,0.474,0.467,4.9,5.6,0.873,0.8,4.8,5.5,0.9,2.0,0.6,0.5,2.2,1.7,19.5,17.9,0.538,0.238,0.357,2.8,16.6,9.8,11.6,0.9,1.2,11.0,28.7,1.3,0.9,2.2,0.104,2.4,-1.3,1.1,0.8,14.9,0.178,0.143,0.14,0.302,3.6999999999999997,1.7000000000000002,0.2370000000000001,0.1
