,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,7,2014,Versatile Scorer,No significant defensive role,Arron Afflalo,SG,ORL,73.0,73.0,6.4,13.8,4.1,0.427,9.7,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,1.7,3.4,0.5,0.0,2.0,1.9,18.2,16.0,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1.0,5.3,0.099,1.4,-1.6,-0.2,1.1,16.1,0.157,0.081,0.161,0.304,0.2,30.0,0.29699999999999993,0.09
1,1,10,2014,No significant offensive role,Rebounding Specialist,LaMarcus Aldridge,PF,POR,69.0,69.0,9.4,20.6,0.2,0.2,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,1.4,2.6,0.9,1.0,1.8,2.1,23.2,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,4.0,3.5,7.5,0.144,2.3,0.1,2.3,2.7,12.5,0.186,0.162,0.226,0.415,2.7,6.7,0.01100000000000012,0.13
2,2,14,2014,Pure Shooter/Stretcher,No significant defensive role,Ray Allen*,SG,MIA,73.0,9.0,3.3,7.4,4.2,0.375,3.2,0.53,0.549,1.4,1.6,0.905,0.3,2.5,2.8,1.7,2.0,0.7,0.1,1.2,1.6,9.6,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,2.5,1.5,4.1,0.101,0.5,-0.9,-0.4,0.8,18.2,0.166,0.063,0.087,0.118,1.0999999999999999,41.099999999999994,0.5660000000000001,0.19
3,3,16,2014,No significant offensive role,Perimeter Defender,Al-Farouq Aminu,SF,NOP,80.0,65.0,2.9,6.2,0.6,0.271,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.3,1.4,1.0,0.5,1.1,1.8,7.2,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7,8.6,0.453,0.204,0.04,0.202,8.7,62.5,0.10099999999999998,0.14
4,4,22,2014,No significant offensive role,No significant defensive role,James Anderson,SG,PHI,80.0,62.0,3.9,9.0,4.4,0.328,4.6,0.53,0.511,1.0,1.3,0.726,0.7,3.0,3.8,1.5,1.9,0.9,0.4,1.3,1.9,10.1,10.9,0.53,0.49,0.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,0.9,0.9,1.9,0.039,-1.5,-1.0,-2.6,-0.3,15.1,0.308,0.098,0.049,0.056,5.7,27.1,0.489,0.17
5,5,24,2014,No significant offensive role,No significant defensive role,Giannis Antetokounmpo,SF,MIL,77.0,23.0,2.2,5.4,1.5,0.347,3.9,0.44,0.463,1.8,2.6,0.683,1.0,3.4,4.4,1.2,1.9,0.8,0.8,1.6,2.2,6.8,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.1,1.1,1.2,0.031,-2.4,-0.1,-2.5,-0.2,10.8,0.476,0.098,0.045,0.098,16.0,12.7,0.28300000000000003,0.2
6,6,25,2014,Versatile Scorer,No significant defensive role,Carmelo Anthony,PF,NYK,77.0,77.0,9.6,21.3,5.4,0.402,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,1.2,3.1,1.2,0.7,2.6,2.9,27.4,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,8.1,2.5,10.7,0.172,5.8,-0.8,5.0,5.3,15.2,0.191,0.078,0.199,0.279,2.1999999999999997,8.0,0.2529999999999999,0.1
7,7,31,2014,Pure Shooter/Stretcher,Perimeter Defender,Trevor Ariza,SF,WAS,77.0,77.0,5.1,11.1,5.7,0.407,5.3,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2,1.5,2.5,1.6,0.3,1.7,2.3,14.4,15.8,0.59,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,4.3,3.7,8.0,0.141,1.3,1.0,2.3,3.0,16.6,0.254,0.07,0.033,0.124,5.0,39.6,0.519,0.2
8,8,35,2014,Creator/Facilitator,No significant defensive role,D.J. Augustin,PG,TOT,71.0,9.0,4.2,10.1,4.7,0.401,5.4,0.427,0.508,2.8,3.2,0.885,0.2,1.6,1.8,2.4,4.4,0.7,0.0,1.8,2.1,13.1,16.2,0.569,0.462,0.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,3.8,2.4,6.2,0.154,1.9,-0.4,1.4,1.7,16.6,0.224,0.096,0.068,0.149,0.0,19.0,0.46299999999999997,0.1
9,9,44,2014,Versatile Scorer,No significant defensive role,Andrea Bargnani,C,NYK,42.0,39.0,5.3,12.0,2.6,0.278,9.4,0.487,0.472,2.0,2.4,0.824,1.6,3.6,5.3,0.8,1.1,0.3,1.2,1.4,2.4,13.3,14.5,0.51,0.215,0.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,0.8,0.7,1.5,0.058,-0.7,-1.6,-2.3,-0.1,13.7,0.207,0.165,0.147,0.265,2.6,1.9,0.21599999999999997,0.0
10,10,45,2014,No significant offensive role,Perimeter Defender,Harrison Barnes,SF,GSW,78.0,24.0,3.5,8.7,2.4,0.347,6.3,0.419,0.448,1.7,2.3,0.718,0.8,3.1,4.0,1.4,1.5,0.8,0.3,1.1,2.0,9.5,9.8,0.486,0.28,0.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,0.4,2.8,3.2,0.07,-2.2,0.5,-1.6,0.2,12.9,0.224,0.225,0.138,0.131,5.6000000000000005,40.0,0.28200000000000003,0.1
11,11,46,2014,No significant offensive role,Perimeter Defender,Matt Barnes,SF,LAC,63.0,40.0,3.7,8.4,4.5,0.343,3.9,0.549,0.53,1.0,1.4,0.733,1.0,3.7,4.6,1.5,2.0,0.9,0.4,1.3,2.9,9.9,12.0,0.552,0.537,0.171,4.0,14.4,9.3,10.6,1.6,1.2,13.0,16.6,1.5,2.0,3.5,0.097,-0.4,0.2,-0.2,0.8,16.1,0.262,0.12,0.009,0.072,4.2,37.5,0.5369999999999999,0.2
12,12,48,2014,No significant offensive role,No significant defensive role,Brandon Bass,PF,BOS,82.0,73.0,4.3,8.8,0.1,0.333,8.8,0.487,0.487,2.5,2.9,0.858,2.0,3.8,5.7,0.9,1.1,0.4,0.9,1.2,2.3,11.1,15.0,0.549,0.008,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,3.2,1.9,5.1,0.107,-0.6,-0.6,-1.1,0.5,9.3,0.348,0.171,0.233,0.24,11.0,33.300000000000004,0.008000000000000007,0.1
13,13,50,2014,No significant offensive role,No significant defensive role,Nicolas Batum,SF,POR,82.0,82.0,4.6,10.0,4.9,0.361,5.1,0.566,0.554,2.0,2.5,0.803,1.4,6.0,7.5,2.0,5.1,0.9,0.7,2.5,1.9,13.0,15.8,0.589,0.491,0.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,4.8,3.1,7.9,0.128,2.2,1.2,3.4,4.0,16.9,0.219,0.055,0.077,0.159,6.1,25.1,0.49,0.2
14,14,59,2014,Versatile Scorer,No significant defensive role,Bradley Beal,SG,WAS,73.0,73.0,6.6,15.7,4.7,0.402,11.0,0.426,0.479,2.0,2.6,0.788,0.7,3.0,3.7,1.8,3.3,1.0,0.2,1.8,2.1,17.1,14.3,0.507,0.299,0.164,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,1.6,2.4,4.0,0.076,0.3,-0.7,-0.4,1.0,16.7,0.151,0.065,0.124,0.361,1.9,32.9,0.29900000000000004,0.1
