,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,0,2010,No significant offensive role,No significant defensive role,Arron Afflalo,SG,DEN,82.0,75.0,3.3,7.1,3.0,0.434,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.9,1.7,0.6,0.4,0.9,2.7,8.8,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,2.8,1.4,4.3,0.092,-0.2,-0.2,-0.4,0.9,,,,,,,,1,0.0
1,1,2,2010,Versatile Scorer,No significant defensive role,LaMarcus Aldridge,PF,POR,78.0,78.0,7.4,15.0,0.2,0.313,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8.0,1.6,2.1,0.9,0.6,1.3,3.0,17.9,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,5.5,3.3,8.8,0.145,1.4,-0.2,1.2,2.3,10.8,0.247,0.215,0.21,0.314,7.8,37.5,0.014000000000000012,0.1
2,2,5,2010,No significant offensive role,No significant defensive role,Ray Allen*,SG,BOS,80.0,80.0,5.8,12.2,5.0,0.363,7.2,0.556,0.551,2.9,3.2,0.913,0.6,2.6,3.2,1.6,2.6,0.8,0.3,1.6,2.3,16.3,15.2,0.601,0.41,0.26,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3,15.8,0.224,0.085,0.084,0.196,1.0,28.599999999999998,0.41100000000000003,0.12
3,3,7,2010,No significant offensive role,No significant defensive role,Rafer Alston,PG,TOT,52.0,38.0,3.0,8.6,3.2,0.345,5.3,0.349,0.413,1.1,1.6,0.728,0.3,2.2,2.5,1.9,3.4,1.0,0.2,1.8,2.0,8.2,8.2,0.443,0.377,0.182,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,-1.6,1.2,-0.4,-0.013,-3.3,-0.5,-3.8,-0.6,14.7,0.233,0.168,0.049,0.173,0.0,19.0,0.377,0.11
4,4,15,2010,No significant offensive role,No significant defensive role,Carmelo Anthony,SF,DEN,69.0,69.0,10.0,21.8,2.7,0.316,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,1.1,3.2,1.3,0.4,3.0,3.3,28.2,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9,11.1,0.362,0.099,0.125,0.291,4.1000000000000005,10.7,0.123,0.11
5,5,17,2010,Creator/Facilitator,No significant defensive role,Gilbert Arenas,PG,WAS,32.0,32.0,7.9,19.3,5.7,0.348,13.6,0.437,0.462,4.8,6.5,0.739,0.5,3.6,4.2,1.9,7.2,1.3,0.3,3.7,3.0,22.6,18.7,0.511,0.294,0.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,0.9,0.9,1.8,0.072,2.9,-1.2,1.7,1.1,15.6,0.203,0.11,0.093,0.3,0.3,6.6000000000000005,0.29400000000000004,0.1
6,6,18,2010,Versatile Scorer,Perimeter Defender,Trevor Ariza,SF,HOU,72.0,71.0,5.5,13.9,5.7,0.334,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,1.7,3.8,1.8,0.6,2.2,2.3,14.9,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,0.1,3.1,3.2,0.058,-0.4,0.9,0.5,1.7,14.3,0.329,0.055,0.062,0.146,7.3999999999999995,21.6,0.40800000000000003,0.1
7,7,34,2010,Versatile Scorer,No significant defensive role,Andrea Bargnani,PF,TOR,80.0,80.0,6.7,14.3,4.1,0.372,10.2,0.509,0.523,2.3,2.9,0.774,1.3,4.9,6.2,0.8,1.2,0.3,1.4,1.5,2.7,17.2,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3.0,8.8,22.3,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9,14.7,0.198,0.148,0.144,0.226,3.9,3.1,0.28400000000000003,0.0
8,8,35,2010,No significant offensive role,No significant defensive role,Matt Barnes,SF,ORL,81.0,58.0,3.3,6.9,2.6,0.319,4.3,0.586,0.546,1.3,1.8,0.74,1.3,4.2,5.5,1.2,1.7,0.7,0.4,1.4,2.3,8.8,13.6,0.576,0.372,0.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,2.5,3.4,5.9,0.135,-0.1,1.3,1.3,1.7,11.6,0.452,0.088,0.023,0.065,4.3,48.3,0.3719999999999999,0.2
9,9,39,2010,No significant offensive role,No significant defensive role,Shane Battier,SG,HOU,67.0,62.0,2.7,6.7,4.2,0.362,2.5,0.458,0.511,1.1,1.6,0.726,1.1,3.6,4.7,2.4,2.4,0.8,1.1,1.0,2.1,8.0,11.1,0.541,0.624,0.237,3.8,13.1,8.2,10.9,1.2,2.6,11.5,11.4,2.2,2.1,4.3,0.095,0.1,1.4,1.5,1.9,17.3,0.197,0.096,0.06,0.022,0.7000000000000001,47.0,0.625,0.2
10,10,40,2010,No significant offensive role,No significant defensive role,Nicolas Batum,SF,POR,37.0,25.0,3.8,7.2,3.6,0.409,3.7,0.625,0.619,1.2,1.4,0.843,0.9,2.9,3.8,1.7,1.2,0.6,0.7,0.7,2.2,10.1,17.3,0.646,0.493,0.19,4.3,14.8,9.5,8.0,1.4,2.2,8.5,16.4,2.4,1.1,3.5,0.181,2.8,1.1,3.9,1.4,15.4,0.299,0.037,0.034,0.138,8.6,39.4,0.492,0.2
11,11,42,2010,Versatile Scorer,No significant defensive role,Michael Beasley,PF,MIA,78.0,78.0,6.0,13.3,1.3,0.275,12.0,0.469,0.463,2.5,3.1,0.8,1.6,4.8,6.4,0.8,1.3,1.0,0.6,1.7,2.8,14.8,16.1,0.505,0.098,0.231,6.3,18.8,12.6,7.8,1.8,1.7,10.3,25.8,0.8,3.8,4.6,0.095,-0.9,0.1,-0.8,0.7,11.6,0.285,0.144,0.154,0.319,7.199999999999999,40.2,0.09800000000000009,0.1
12,12,51,2010,Pure Shooter/Stretcher,No significant defensive role,Mike Bibby,PG,ATL,80.0,80.0,3.4,8.1,4.1,0.389,4.0,0.444,0.514,0.9,1.0,0.861,0.3,2.1,2.3,3.5,3.9,0.8,0.0,1.1,2.0,9.1,12.7,0.538,0.503,0.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,3.0,1.7,4.8,0.104,0.1,-0.2,-0.2,1.0,20.2,0.07,0.033,0.045,0.349,0.0,23.799999999999997,0.503,0.2
13,13,53,2010,Creator/Facilitator,No significant defensive role,Chauncey Billups,PG,DEN,73.0,73.0,5.5,13.2,5.6,0.386,7.6,0.441,0.499,6.4,7.0,0.91,0.3,2.8,3.1,2.3,5.6,1.1,0.1,2.4,2.1,19.5,20.2,0.601,0.423,0.532,1.2,9.3,5.3,26.1,1.7,0.3,13.0,24.3,7.7,1.7,9.5,0.182,4.5,-0.8,3.7,3.6,16.5,0.213,0.062,0.103,0.199,0.0,13.5,0.42300000000000004,0.1
14,14,55,2010,Pure Shooter/Stretcher,No significant defensive role,Steve Blake,PG,TOT,80.0,38.0,2.7,6.5,3.7,0.395,2.9,0.443,0.527,0.5,0.6,0.75,0.3,2.1,2.3,3.0,4.8,0.7,0.1,1.6,1.5,7.3,11.6,0.539,0.563,0.092,1.2,9.4,5.2,26.9,1.4,0.2,19.1,14.5,1.9,1.4,3.3,0.074,-0.1,-0.4,-0.5,0.8,20.2,0.09,0.029,0.079,0.239,0.0,39.1,0.563,0.2
15,15,58,2010,Versatile Scorer,Perimeter Defender,Andray Blatche,PF,WAS,81.0,36.0,5.9,12.3,0.5,0.295,11.8,0.487,0.485,2.1,2.9,0.744,2.0,4.3,6.3,1.0,2.1,1.0,0.9,2.2,2.7,14.1,17.6,0.519,0.044,0.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,0.8,2.6,3.4,0.073,0.2,0.4,0.6,1.5,9.7,0.345,0.194,0.159,0.257,5.3,43.2,0.04500000000000004,0.1
