,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,6,2008,LaMarcus Aldridge,5,PF,5,POR,5,76.0,6,76.0,4,7.4,2,15.3,2,0.1,9,0.143,8,15.2,1,0.486,5,0.484,7,3.0,4,3.9,4,0.762,6,2.9,2,4.7,4,7.6,3,0.9,9,1.6,8,0.7,8,1.2,2,1.7,6,3.2,2,17.8,3,18.5,3,0.523,8,0.006,9,0.257,7,9.8,2,15.8,4,12.8,3,8.8,8,1.1,9,2.8,2,8.9,10,25.3,3,3.5,5,2.8,4,6.2,5,0.113,5,0.6,6,-0.4,7,0.2,6,1.5,5,10.9,7,0.197,8,0.272,1,0.218,1,0.308,3,7.9,3,14.299999999999999,7,0.004999999999999893,9,0.11,4
1,1,10,2008,Ray Allen*,5,SG,5,BOS,5,73.0,7,73.0,4,6.0,4,13.5,4,6.2,1,0.398,2,7.3,7,0.485,5,0.537,3,2.9,4,3.2,5,0.907,1,1.0,6,2.6,8,3.7,7,1.8,4,3.1,5,0.9,6,0.2,8,1.7,6,2.0,8,17.4,3,16.4,5,0.584,2,0.458,1,0.24,8,3.6,6,8.3,9,6.1,8,14.6,5,1.3,7,0.5,8,10.4,8,21.6,5,5.6,2,4.1,2,9.7,2,0.177,2,2.9,2,0.2,4,3.0,2,3.3,2,16.7,2,0.2,8,0.08,7,0.092,6,0.169,8,0.8999999999999999,8,26.3,4,0.45899999999999996,1,0.14,4
2,2,14,2008,Rafer Alston,5,PG,5,HOU,5,74.0,6,74.0,4,4.9,6,12.5,4,5.5,1,0.351,5,7.0,7,0.427,10,0.471,9,1.3,9,1.9,9,0.715,9,0.4,9,3.1,7,3.5,8,2.4,2,5.3,2,1.3,2,0.2,8,2.2,4,1.9,9,13.1,6,13.2,8,0.492,10,0.44,2,0.148,10,1.3,10,10.2,8,5.8,9,25.2,2,2.1,2,0.5,8,14.0,4,20.7,5,1.0,9,4.0,2,5.0,6,0.095,7,-0.5,7,1.0,2,0.5,5,1.6,5,16.0,2,0.214,8,0.126,4,0.054,9,0.166,8,0.0,10,9.1,8,0.44000000000000006,2,0.13,4
3,3,18,2008,Carmelo Anthony,5,SF,5,DEN,5,77.0,5,77.0,3,9.5,1,19.2,1,2.1,6,0.354,5,17.1,1,0.509,3,0.511,5,6.0,1,7.7,1,0.786,5,2.3,3,5.1,3,7.4,3,1.0,8,3.4,4,1.3,2,0.5,5,3.3,1,3.3,1,25.7,1,21.1,2,0.568,4,0.111,7,0.398,3,7.0,3,14.9,5,11.0,4,16.1,4,1.7,4,1.0,5,12.7,5,30.2,1,5.2,3,3.0,3,8.2,3,0.14,4,2.5,3,-0.9,8,1.6,4,2.5,4,10.9,7,0.375,3,0.084,7,0.146,3,0.285,4,8.799999999999999,3,9.8,8,0.1100000000000001,7,0.11,4
4,4,35,2008,Leandro Barbosa,5,SG,5,PHO,5,82.0,1,12.0,10,5.8,4,12.5,4,5.1,1,0.389,2,7.3,7,0.514,3,0.543,2,2.1,6,2.6,7,0.822,3,0.5,8,2.3,9,2.8,9,1.9,4,2.6,5,0.9,6,0.2,8,1.4,8,2.4,6,15.6,4,15.8,5,0.575,3,0.413,2,0.209,8,2.0,8,8.2,10,5.4,10,13.5,5,1.5,5,0.5,8,9.5,9,22.8,4,3.9,4,1.6,7,5.5,6,0.109,5,1.1,5,-0.9,8,0.2,6,1.4,6,14.5,4,0.312,5,0.072,8,0.062,9,0.14,8,0.1,9,30.8,3,0.4139999999999999,2,0.14,4
5,5,44,2008,Shane Battier,5,SF,5,HOU,5,80.0,4,78.0,3,3.3,9,7.7,9,4.6,2,0.377,3,3.1,10,0.504,4,0.54,2,0.9,10,1.3,10,0.743,7,1.6,4,3.5,6,5.1,5,1.9,4,1.9,7,1.0,4,1.1,2,1.0,10,2.5,5,9.3,9,11.7,10,0.561,4,0.596,1,0.163,10,5.2,4,10.5,7,7.9,6,8.0,9,1.4,6,2.3,3,10.5,8,11.7,10,3.6,5,4.6,1,8.2,3,0.135,4,0.0,6,1.9,1,2.0,3,2.9,3,17.8,1,0.158,9,0.099,6,0.079,7,0.068,9,0.3,9,44.4,2,0.596,1,0.2,2
6,6,47,2008,Raja Bell,5,SG,5,PHO,5,75.0,6,75.0,4,4.2,7,10.0,7,5.9,1,0.401,2,4.2,10,0.449,9,0.538,3,1.1,10,1.2,10,0.868,1,0.6,8,3.0,7,3.7,7,2.4,2,2.2,6,0.7,8,0.4,6,0.9,10,2.9,3,11.9,7,10.5,10,0.561,4,0.583,1,0.121,10,2.2,8,9.0,9,5.9,8,8.6,8,1.0,9,0.7,7,7.6,10,14.5,9,3.0,5,1.5,8,4.5,7,0.082,7,-0.3,7,-0.5,7,-0.8,8,0.8,7,20.4,1,0.07,10,0.025,10,0.054,9,0.267,4,0.1,9,40.8,2,0.584,1,0.2,2
7,7,48,2008,Mike Bibby,5,PG,5,TOT,5,48.0,10,44.0,8,5.2,5,12.6,4,5.2,1,0.375,3,7.4,7,0.437,9,0.488,7,1.6,8,2.1,8,0.78,5,0.3,10,3.0,7,3.3,8,2.4,2,6.0,1,1.1,3,0.1,9,2.5,3,2.0,8,13.9,5,14.5,7,0.515,9,0.411,2,0.166,10,1.2,10,10.6,7,6.0,8,30.9,1,1.8,3,0.2,10,15.5,2,22.0,5,1.1,8,0.9,9,2.1,9,0.063,9,0.4,6,-1.6,10,-1.3,8,0.3,9,18.8,1,0.134,10,0.032,10,0.04,10,0.383,1,0.0,10,14.899999999999999,6,0.41100000000000003,2,0.2,2
8,8,52,2008,Andris Biedriņš,5,C,5,GSW,5,76.0,6,59.0,7,4.5,7,7.1,10,0.0,10,,9,7.1,7,0.626,1,0.626,1,1.5,8,2.5,7,0.62,10,3.4,1,6.4,2,9.8,1,0.9,9,1.0,10,0.7,8,1.2,2,1.1,9,3.4,1,10.5,8,19.2,2,0.637,1,0.0,10,0.344,4,12.7,1,26.2,1,19.1,1,5.2,10,1.3,7,3.3,2,12.0,6,14.4,10,5.4,3,2.6,4,8.0,3,0.185,1,1.1,5,0.1,5,1.1,5,1.6,5,1.6,10,0.805,1,0.19,2,0.006,10,0.0,10,11.799999999999999,2,,10,-0.001000000000000112,10,0.3,1
9,9,53,2008,Chauncey Billups,5,PG,5,DET,5,78.0,5,78.0,3,5.0,6,11.2,5,4.4,3,0.401,2,6.9,7,0.479,6,0.526,3,5.1,1,5.6,2,0.918,1,0.5,8,2.2,10,2.7,10,3.2,1,6.8,1,1.3,2,0.2,8,2.1,4,1.7,9,17.0,4,23.6,1,0.619,1,0.39,2,0.498,1,2.0,8,8.1,10,5.0,10,34.7,1,2.2,2,0.5,8,13.0,5,23.0,4,10.2,1,3.4,3,13.5,1,0.257,1,6.5,1,1.2,2,7.7,1,6.2,1,17.4,1,0.187,9,0.036,10,0.098,6,0.288,4,0.1,9,12.6,7,0.391,2,0.1,7
