,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,std_areas_FGA
44,44,177,2024,Creator/Facilitator,Perimeter Defender,Luka Dončić,PG,DAL,70.0,70.0,11.5,23.6,10.6,0.382,13.0,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,2.4,9.8,1.4,0.5,4.0,2.1,33.9,28.1,0.617,0.45,0.368,2.7,26.5,14.6,43.9,1.8,1.3,12.8,36.3,8.0,3.6,11.6,0.212,8.4,1.7,10.1,8.1,16.9,0.123,0.192,0.152,0.082,0.1,3.2,1.2
45,45,178,2024,No significant offensive role,No significant defensive role,Luguentz Dort,SF,OKC,77.0,77.0,3.7,8.4,5.0,0.395,3.4,0.506,0.557,1.6,2.0,0.824,1.0,2.7,3.6,1.4,1.4,0.9,0.6,1.0,2.9,11.0,11.1,0.593,0.598,0.238,4.3,11.0,7.8,6.2,1.5,2.0,9.4,15.6,1.8,2.3,4.1,0.088,-1.5,-0.3,-1.8,0.1,17.3,0.216,0.096,0.051,0.039,4.2,28.1,11.2
46,46,179,2024,No significant offensive role,No significant defensive role,Ayo Dosunmu,SG,CHI,76.0,37.0,4.7,9.5,3.9,0.403,5.6,0.568,0.583,1.1,1.4,0.81,0.7,2.1,2.8,2.3,3.2,0.9,0.5,1.4,2.2,12.2,13.4,0.604,0.41,0.146,2.9,8.9,5.8,15.7,1.6,1.7,11.9,17.4,2.3,1.5,3.9,0.084,-0.6,-0.3,-0.9,0.6,13.0,0.334,0.164,0.05,0.042,1.9,48.5,19.3
47,47,186,2024,Versatile Scorer,No significant defensive role,Kevin Durant,PF,PHO,73.0,73.0,10.1,19.2,5.4,0.413,13.8,0.567,0.582,4.9,5.7,0.854,0.5,6.1,6.7,1.6,5.1,0.9,1.2,3.2,1.8,27.2,21.4,0.627,0.283,0.298,1.8,18.8,10.8,22.7,1.2,2.9,13.0,29.3,4.6,3.2,7.8,0.138,4.1,0.1,4.3,4.3,15.0,0.126,0.153,0.279,0.159,5.6000000000000005,16.1,6.4
48,48,187,2024,Paint Threat,Paint Protector,Jalen Duren,C,DET,60.0,59.0,5.7,9.3,0.1,0.0,9.2,0.621,0.616,2.3,2.9,0.787,3.2,8.5,11.6,1.1,2.4,0.6,0.8,2.1,3.2,13.7,18.6,0.65,0.007,0.314,12.7,34.5,23.5,12.6,0.9,2.3,16.5,18.5,2.6,1.9,4.6,0.125,-0.2,0.1,0.0,0.9,3.9,0.528,0.391,0.056,0.018,29.7,0.0,0.2
49,49,189,2024,Slasher,Perimeter Defender,Anthony Edwards,SG,MIN,77.0,76.0,9.2,20.0,6.8,0.362,13.2,0.514,0.524,5.3,6.4,0.833,0.7,4.8,5.5,1.7,5.2,1.3,0.5,3.0,1.7,26.3,19.9,0.576,0.341,0.32,2.5,16.1,9.6,24.7,1.8,1.3,11.7,32.7,2.6,4.5,7.1,0.126,3.0,0.5,3.5,3.8,14.1,0.227,0.193,0.124,0.114,5.1,8.799999999999999,3.4
50,50,193,2024,Creator/Facilitator,Paint Protector,Joel Embiid,C,PHI,38.0,38.0,11.6,21.8,3.5,0.379,18.3,0.56,0.562,10.3,11.7,0.883,2.5,8.5,11.0,1.5,5.6,1.2,1.7,3.8,2.9,34.8,34.1,0.646,0.159,0.535,8.7,30.4,19.3,32.2,1.8,4.7,12.5,39.8,4.8,2.3,7.0,0.264,8.6,3.1,11.6,4.4,12.2,0.227,0.187,0.244,0.182,2.7,4.5,1.7
51,51,200,2024,No significant offensive role,No significant defensive role,Dorian Finney-Smith,PF,BRK,68.0,56.0,3.2,7.5,4.9,0.348,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.8,1.6,0.8,0.6,0.9,2.2,8.5,10.1,0.546,0.658,0.09,6.4,13.0,9.6,7.6,1.5,1.8,10.0,13.3,0.9,1.7,2.6,0.064,-1.9,-0.1,-2.0,0.0,17.6,0.225,0.096,0.012,0.01,5.7,34.8,13.9
52,52,206,2024,Pure Shooter/Stretcher,No significant defensive role,Simone Fontecchio,SF,TOT,66.0,43.0,3.8,8.3,5.1,0.401,3.2,0.551,0.582,0.8,1.0,0.818,1.0,2.8,3.7,1.5,1.5,0.7,0.3,1.0,1.7,10.5,12.1,0.6,0.609,0.12,4.6,13.0,8.8,8.7,1.3,1.2,10.5,16.6,1.4,0.7,2.0,0.059,0.0,-1.0,-1.0,0.4,17.0,0.17,0.177,0.033,0.011,4.9,43.4,17.3
53,53,214,2024,Creator/Facilitator,No significant defensive role,De'Aaron Fox,PG,SAC,71.0,71.0,9.7,21.0,7.9,0.367,13.1,0.519,0.531,4.2,5.8,0.733,0.9,3.7,4.6,2.2,5.6,2.0,0.4,2.6,2.6,26.6,19.9,0.563,0.376,0.274,3.1,12.7,7.7,25.2,2.7,1.1,10.0,31.3,2.6,3.1,5.7,0.107,2.6,-0.1,2.5,2.9,15.0,0.134,0.247,0.172,0.071,1.7000000000000002,13.200000000000001,5.2
54,54,221,2024,Paint Threat,Perimeter Defender,Daniel Gafford,C-PF,TOT,73.0,65.0,4.7,6.5,0.0,,6.5,0.725,0.725,1.6,2.4,0.674,2.7,5.0,7.7,1.6,1.6,0.9,2.1,1.0,3.1,11.1,21.6,0.731,0.0,0.368,12.5,23.9,18.2,9.0,1.7,7.1,11.4,14.8,5.0,2.5,7.6,0.201,0.8,1.9,2.7,2.2,2.8,0.666,0.303,0.027,0.004,39.1,,0.3
55,55,228,2024,Creator/Facilitator,No significant defensive role,Darius Garland,PG,CLE,56.0,56.0,6.6,14.8,6.3,0.365,8.6,0.503,0.522,2.6,3.1,0.834,0.5,2.1,2.7,2.1,6.6,1.3,0.1,3.1,1.7,18.1,14.6,0.558,0.423,0.211,2.0,7.7,4.9,29.7,2.0,0.3,15.9,25.7,0.4,1.9,2.3,0.06,0.2,-1.2,-1.0,0.5,15.7,0.169,0.217,0.114,0.077,0.0,14.000000000000002,5.5
56,56,232,2024,No significant offensive role,No significant defensive role,Keyonte George,PG,UTA,72.0,41.0,4.2,10.8,5.8,0.328,4.9,0.455,0.475,2.5,3.0,0.855,0.2,2.6,2.8,1.8,4.5,0.5,0.1,2.5,1.2,12.8,10.3,0.529,0.543,0.276,0.9,11.4,6.2,23.2,0.9,0.3,16.9,22.7,-0.7,0.2,-0.5,-0.011,-1.7,-2.8,-4.5,-1.2,17.9,0.076,0.226,0.102,0.053,1.4000000000000001,13.100000000000001,5.2
57,57,233,2024,Versatile Scorer,Perimeter Defender,Paul George,PF,LAC,73.0,73.0,7.9,16.9,8.0,0.412,8.8,0.523,0.568,3.6,4.0,0.907,0.5,4.8,5.3,1.7,3.6,1.5,0.5,2.1,2.8,22.8,19.3,0.611,0.475,0.235,1.9,17.0,9.7,16.1,2.3,1.3,10.1,26.9,4.2,2.7,6.9,0.133,2.8,0.2,3.0,3.2,17.7,0.128,0.123,0.123,0.15,3.2,13.8,5.5
58,58,237,2024,Creator/Facilitator,Switchable Defender,Josh Giddey,SG,OKC,79.0,79.0,5.1,10.6,3.0,0.339,7.6,0.53,0.524,1.3,1.6,0.805,1.4,5.1,6.4,2.3,4.8,0.6,0.6,2.1,1.4,12.4,16.7,0.548,0.285,0.147,7.0,23.5,15.6,26.4,1.3,2.1,15.6,23.3,1.1,2.7,3.9,0.093,1.1,0.4,1.4,1.7,10.8,0.284,0.337,0.064,0.03,0.6,37.2,14.8
59,59,241,2024,Creator/Facilitator,Perimeter Defender,Shai Gilgeous-Alexander,PG,OKC,73.0,73.0,10.7,19.9,3.5,0.368,16.4,0.576,0.571,7.6,8.7,0.871,0.9,4.7,5.6,2.8,6.2,2.1,0.9,2.2,2.5,30.4,29.3,0.639,0.177,0.436,3.2,16.1,9.9,30.0,2.9,2.4,8.5,33.2,9.9,4.0,13.8,0.265,6.8,2.3,9.1,7.0,11.2,0.255,0.225,0.26,0.082,2.7,6.2,2.4
60,60,247,2024,Paint Threat,Paint Protector,Rudy Gobert,C,MIN,74.0,74.0,5.3,8.0,0.0,0.0,8.0,0.657,0.654,3.2,5.0,0.635,3.8,9.2,12.9,0.9,1.4,0.7,2.1,1.6,3.1,13.7,19.0,0.669,0.005,0.627,14.4,31.7,23.5,5.7,1.0,5.5,13.3,15.5,5.1,5.7,10.8,0.205,0.0,1.7,1.6,2.3,2.7,0.751,0.2,0.03,0.013,43.7,0.0,0.3
61,61,251,2024,Paint Threat,No significant defensive role,Aaron Gordon,PF,DEN,71.0,71.0,5.5,9.9,1.9,0.287,8.0,0.614,0.579,2.4,3.7,0.651,2.4,4.1,6.5,2.3,3.5,0.8,0.6,1.5,2.0,13.9,16.5,0.601,0.193,0.371,9.5,15.8,12.7,15.0,1.3,1.7,11.3,18.2,3.9,2.4,6.3,0.135,1.0,0.1,1.1,1.8,7.4,0.55,0.186,0.054,0.017,25.6,39.7,15.8
62,62,252,2024,Pure Shooter/Stretcher,No significant defensive role,Eric Gordon,SG,PHO,67.0,24.0,4.1,9.1,5.9,0.382,3.3,0.559,0.568,0.8,1.0,0.797,0.2,1.6,1.8,1.8,2.0,1.0,0.4,1.1,1.2,11.1,10.9,0.583,0.641,0.104,1.1,6.4,3.9,9.9,1.7,1.4,10.2,16.6,0.9,1.5,2.4,0.061,-1.3,-0.5,-1.8,0.1,18.4,0.176,0.148,0.026,0.008,0.2,20.1,8.0
63,63,255,2024,No significant offensive role,No significant defensive role,Jerami Grant,PF,POR,54.0,54.0,7.1,15.7,5.1,0.402,10.6,0.474,0.516,4.7,5.8,0.817,0.7,2.9,3.5,1.3,2.8,0.8,0.6,2.1,2.2,21.0,15.3,0.573,0.325,0.367,2.3,10.7,6.2,13.7,1.2,1.7,10.5,25.9,1.4,1.1,2.5,0.065,1.0,-1.1,-0.1,0.9,13.2,0.214,0.255,0.096,0.109,2.8000000000000003,33.300000000000004,13.2
64,64,259,2024,No significant offensive role,Paint Protector,Draymond Green,PF,GSW,54.0,51.0,3.4,6.9,2.4,0.395,4.5,0.551,0.566,1.0,1.4,0.73,1.4,5.8,7.1,2.4,5.9,1.0,0.9,2.5,3.0,8.8,14.7,0.587,0.347,0.199,6.2,25.4,15.8,28.4,1.8,2.9,24.7,15.8,1.2,2.0,3.2,0.106,-0.5,2.9,2.4,1.6,11.6,0.293,0.296,0.056,0.008,2.1999999999999997,31.0,12.3
65,65,260,2024,Versatile Scorer,No significant defensive role,Jalen Green,SG,HOU,79.0,79.0,6.9,16.3,7.3,0.331,9.0,0.499,0.498,3.6,4.4,0.803,0.5,4.6,5.2,1.6,3.6,0.8,0.4,2.3,1.4,19.8,14.9,0.542,0.449,0.272,1.8,16.7,9.2,17.6,1.3,1.0,11.3,27.6,-0.1,2.9,2.9,0.054,0.5,-0.8,-0.3,1.1,15.6,0.223,0.17,0.063,0.095,4.3,9.1,3.6
66,66,263,2024,No significant offensive role,No significant defensive role,Josh Green,SG,DAL,55.0,32.0,3.2,6.5,3.3,0.4,3.3,0.578,0.589,0.7,1.0,0.673,0.7,2.5,3.2,2.3,2.3,0.8,0.2,1.0,1.9,8.4,10.3,0.6,0.5,0.153,3.2,11.3,7.3,11.2,1.6,0.5,12.9,13.2,1.1,1.2,2.3,0.075,-2.1,-0.3,-2.3,-0.1,14.5,0.267,0.158,0.042,0.033,9.2,62.2,24.8
67,67,270,2024,No significant offensive role,No significant defensive role,Rui Hachimura,PF,LAL,66.0,37.0,5.3,10.0,3.4,0.422,6.6,0.593,0.607,1.5,2.0,0.735,0.8,3.4,4.3,1.7,1.2,0.6,0.4,0.7,1.5,13.6,15.0,0.625,0.341,0.2,4.0,14.8,9.6,6.2,1.0,1.2,5.8,18.9,2.3,1.4,3.7,0.1,-0.1,-1.0,-1.1,0.4,12.6,0.294,0.197,0.092,0.074,12.1,44.9,17.9
68,68,272,2024,Creator/Facilitator,No significant defensive role,Tyrese Haliburton,PG,IND,67.0,66.0,7.3,15.3,7.8,0.367,7.5,0.589,0.569,2.9,3.3,0.857,0.5,3.4,3.9,4.7,10.9,1.2,0.7,2.3,1.1,20.3,23.2,0.605,0.508,0.218,1.9,12.7,7.3,44.9,1.8,1.7,11.9,24.9,7.0,1.5,8.5,0.188,7.3,-0.4,6.9,4.9,17.6,0.153,0.173,0.087,0.079,2.3,7.7,3.0
69,69,274,2024,No significant offensive role,No significant defensive role,Tim Hardaway Jr.,SF,DAL,77.0,10.0,5.0,12.5,7.6,0.355,4.8,0.48,0.512,1.9,2.2,0.856,0.3,3.0,3.3,1.9,1.7,0.5,0.1,0.9,1.4,14.6,12.3,0.545,0.612,0.174,1.3,13.0,7.1,9.0,0.9,0.3,6.2,22.9,0.7,1.4,2.1,0.049,-0.7,-2.1,-2.8,-0.4,19.7,0.093,0.087,0.102,0.106,1.7000000000000002,25.5,10.2
70,70,275,2024,Creator/Facilitator,Perimeter Defender,James Harden,PG,LAC,71.0,71.0,4.9,11.5,6.8,0.383,4.7,0.497,0.543,4.2,4.8,0.88,0.5,4.7,5.2,3.3,8.6,1.1,0.8,2.6,1.8,16.7,18.6,0.614,0.594,0.417,1.8,16.4,9.4,33.5,1.6,2.1,16.0,20.8,5.7,2.3,8.1,0.157,3.8,0.3,4.1,3.8,18.5,0.143,0.137,0.099,0.027,0.2,7.3999999999999995,2.9
71,71,282,2024,Slasher,No significant defensive role,Tobias Harris,PF,PHI,68.0,68.0,6.6,13.6,3.7,0.348,9.9,0.537,0.533,2.7,3.1,0.875,1.1,5.3,6.5,2.4,3.1,1.0,0.6,1.3,1.6,17.2,16.4,0.574,0.27,0.225,3.8,19.0,11.3,13.9,1.5,1.7,8.2,21.0,2.8,2.6,5.4,0.112,0.9,-0.2,0.7,1.6,11.9,0.265,0.254,0.141,0.07,4.3999999999999995,25.6,10.2
72,72,284,2024,No significant offensive role,Rebounding Specialist,Josh Hart,SF,NYK,78.0,39.0,3.5,8.3,3.2,0.309,5.1,0.503,0.488,1.1,1.4,0.786,1.6,6.7,8.2,2.9,4.1,0.9,0.3,1.4,2.1,9.2,11.7,0.516,0.386,0.174,5.8,24.5,15.2,16.5,1.4,0.8,13.9,13.5,1.8,3.4,5.2,0.095,-1.4,1.4,0.0,1.3,12.9,0.315,0.169,0.102,0.028,1.6,24.9,9.9
73,73,285,2024,Paint Threat,Perimeter Defender,Isaiah Hartenstein,C,NYK,73.0,47.0,3.1,4.8,0.0,0.333,4.8,0.651,0.65,1.5,2.1,0.72,3.2,5.0,8.2,2.0,2.4,1.2,1.1,1.2,2.8,7.7,18.8,0.677,0.009,0.429,15.5,24.6,20.1,13.3,2.4,4.1,17.3,11.9,4.3,3.3,7.6,0.199,0.6,2.8,3.5,2.5,3.5,0.64,0.269,0.077,0.006,26.0,0.0,0.2
74,74,289,2024,No significant offensive role,Perimeter Defender,Killian Hayes,PG,DET,42.0,31.0,2.8,6.7,1.8,0.297,5.0,0.455,0.452,0.8,1.2,0.66,0.3,2.6,2.8,4.1,4.9,0.9,0.5,1.2,1.8,6.9,10.5,0.474,0.261,0.177,1.3,12.7,6.9,27.7,1.7,1.7,14.3,15.1,-0.1,0.7,0.6,0.03,-2.9,0.2,-2.7,-0.2,14.7,0.06,0.226,0.343,0.11,1.7999999999999998,28.4,11.3
75,75,290,2024,No significant offensive role,No significant defensive role,Gordon Hayward,SF,TOT,49.0,27.0,3.7,8.0,1.8,0.416,6.2,0.47,0.505,1.8,2.4,0.75,0.7,2.8,3.5,2.4,3.1,0.8,0.3,1.3,1.3,9.9,12.8,0.545,0.226,0.295,3.6,13.6,8.6,18.6,1.6,1.0,12.4,18.8,0.4,0.8,1.2,0.05,-1.6,-0.6,-2.2,-0.1,12.4,0.226,0.242,0.176,0.13,5.1,31.5,12.5
76,76,293,2024,Creator/Facilitator,No significant defensive role,Scoot Henderson,PG,POR,60.0,30.0,4.8,12.6,4.2,0.312,8.4,0.421,0.437,2.7,3.3,0.821,0.8,2.3,3.1,1.6,5.3,0.8,0.2,3.4,3.2,13.7,9.3,0.488,0.336,0.26,3.3,10.3,6.6,29.1,1.3,0.6,19.4,26.4,-2.8,1.0,-1.9,-0.053,-3.8,-2.4,-6.1,-1.8,13.9,0.245,0.176,0.164,0.078,2.4,12.6,5.0
77,77,295,2024,Versatile Scorer,No significant defensive role,Tyler Herro,SG,MIA,40.0,38.0,7.9,17.9,8.1,0.394,9.8,0.48,0.53,2.1,2.5,0.84,0.5,4.9,5.3,2.1,4.4,0.7,0.1,2.1,1.5,21.0,15.8,0.555,0.451,0.14,1.7,18.1,9.8,22.0,1.1,0.2,10.1,28.2,0.1,1.5,1.7,0.059,1.6,-0.7,0.9,1.0,17.1,0.084,0.196,0.168,0.101,0.7000000000000001,11.799999999999999,4.7
78,78,296,2024,Pure Shooter/Stretcher,No significant defensive role,Buddy Hield,SF-SG,TOT,82.0,42.0,4.4,10.1,6.8,0.384,3.4,0.543,0.566,0.6,0.7,0.875,0.7,2.5,3.2,2.3,2.8,0.8,0.5,1.2,2.0,12.0,13.1,0.578,0.667,0.067,3.2,11.4,7.3,14.4,1.6,1.6,10.6,19.2,1.6,1.6,3.2,0.071,0.9,-0.6,0.2,1.2,19.5,0.16,0.099,0.029,0.045,0.8,17.7,7.0
79,79,304,2024,No significant offensive role,No significant defensive role,Jrue Holiday,PG,BOS,68.0,68.0,4.8,10.0,4.7,0.431,5.4,0.525,0.581,0.9,1.1,0.833,1.2,4.2,5.4,2.7,4.9,0.9,0.8,1.8,1.6,12.5,14.5,0.598,0.466,0.106,4.4,13.8,9.4,19.6,1.3,2.0,14.6,16.4,3.0,3.1,6.2,0.133,1.1,1.1,2.2,2.4,15.7,0.163,0.22,0.098,0.053,1.0,26.1,10.4
80,80,309,2024,Slasher,Switchable Defender,Chet Holmgren,C,OKC,80.0,80.0,6.1,11.7,4.3,0.372,7.4,0.616,0.594,2.7,3.4,0.79,1.6,6.3,7.9,1.6,2.5,0.7,2.3,1.6,2.4,16.5,20.2,0.629,0.369,0.291,6.7,24.9,16.2,11.6,1.1,7.3,10.8,21.7,4.1,4.1,8.2,0.165,1.7,1.4,3.2,3.1,12.9,0.293,0.209,0.091,0.038,15.6,10.8,4.3
81,81,311,2024,Pure Shooter/Stretcher,Switchable Defender,Al Horford,C,BOS,64.0,33.0,3.3,6.5,4.0,0.416,2.5,0.658,0.637,0.4,0.5,0.867,1.3,5.1,6.4,3.7,2.6,0.6,0.9,0.7,1.4,8.7,15.0,0.648,0.613,0.072,5.7,20.7,13.5,12.4,1.1,3.1,9.9,12.1,3.3,2.8,6.1,0.171,1.6,2.0,3.6,2.4,17.2,0.185,0.156,0.024,0.022,4.6,38.800000000000004,15.5
82,82,316,2024,No significant offensive role,No significant defensive role,Kevin Huerter,SG,SAC,64.0,59.0,3.9,8.8,5.3,0.361,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,3.2,2.6,0.7,0.4,0.8,2.1,10.2,12.4,0.564,0.609,0.084,2.8,14.8,8.6,14.4,1.4,1.3,8.4,17.4,1.3,1.5,2.8,0.087,-0.5,-0.4,-0.9,0.4,18.2,0.146,0.152,0.075,0.018,2.0,17.299999999999997,6.9
83,83,318,2024,No significant offensive role,No significant defensive role,De'Andre Hunter,SF,ATL,55.0,35.0,5.4,11.7,5.4,0.389,6.3,0.53,0.554,2.9,3.4,0.84,0.5,3.4,4.0,1.0,1.5,0.7,0.3,1.5,2.6,15.8,13.1,0.6,0.46,0.291,2.1,14.2,7.9,7.4,1.2,0.9,10.0,20.8,1.5,0.6,2.1,0.063,-0.8,-1.4,-2.2,-0.1,16.1,0.165,0.151,0.134,0.09,2.8000000000000003,32.1,12.8
84,84,322,2024,Creator/Facilitator,No significant defensive role,Brandon Ingram,SF,NOP,63.0,63.0,7.8,16.0,3.8,0.356,12.2,0.532,0.532,3.9,4.9,0.801,0.7,4.4,5.1,2.2,5.8,0.8,0.6,2.6,2.3,20.9,18.2,0.577,0.237,0.305,2.4,15.3,8.9,27.1,1.2,1.9,12.3,27.4,2.3,2.6,4.8,0.112,1.5,-0.2,1.2,1.7,14.3,0.148,0.155,0.281,0.18,3.5000000000000004,13.0,5.1
85,85,323,2024,Versatile Scorer,Perimeter Defender,Kyrie Irving,SG,DAL,58.0,58.0,9.7,19.5,7.3,0.411,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5.0,2.9,5.2,1.3,0.5,1.8,1.9,25.6,21.9,0.608,0.372,0.186,2.6,14.3,8.5,23.6,1.8,1.2,8.0,28.4,4.6,2.0,6.7,0.157,4.8,0.1,4.9,3.6,15.1,0.144,0.226,0.171,0.087,0.6,16.6,6.6
86,86,326,2024,No significant offensive role,No significant defensive role,Jaden Ivey,SG,DET,74.0,58.0,5.4,12.7,4.8,0.339,7.9,0.485,0.494,3.0,4.0,0.756,1.2,2.4,3.5,1.5,3.8,0.7,0.6,2.5,2.7,15.5,12.6,0.538,0.377,0.314,4.7,9.7,7.2,20.1,1.2,1.6,14.6,25.1,-0.7,1.1,0.4,0.009,-1.3,-1.7,-3.0,-0.5,13.8,0.224,0.252,0.116,0.031,1.5,22.900000000000002,9.1
87,87,328,2024,No significant offensive role,No significant defensive role,GG Jackson II,PF,MEM,46.0,16.0,4.6,11.0,5.7,0.35,5.3,0.496,0.511,2.4,3.1,0.757,1.0,3.0,4.0,0.9,1.2,0.5,0.5,1.3,1.3,13.6,13.1,0.55,0.516,0.286,4.7,14.7,9.4,8.2,1.0,1.9,9.6,23.7,-0.1,1.0,0.9,0.038,-0.7,-1.8,-2.5,-0.1,15.9,0.258,0.155,0.034,0.038,7.9,22.7,9.0
88,88,330,2024,Slasher,Perimeter Defender,Jaren Jackson Jr.,C,MEM,66.0,66.0,7.8,17.6,5.5,0.32,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,1.0,2.3,1.2,1.6,2.4,3.6,22.5,17.4,0.552,0.315,0.359,4.6,16.3,10.2,13.2,1.9,4.7,10.6,30.7,-0.2,2.8,2.6,0.059,0.0,0.4,0.4,1.3,11.9,0.221,0.39,0.066,0.008,3.4000000000000004,15.0,5.9
89,89,335,2024,Creator/Facilitator,Perimeter Defender,LeBron James,PF,LAL,69.0,69.0,9.6,17.8,5.1,0.412,12.7,0.589,0.597,4.2,5.6,0.747,0.8,6.4,7.2,2.4,8.2,1.2,0.5,3.4,1.1,25.5,23.4,0.628,0.288,0.315,3.0,20.9,12.4,37.2,1.6,1.3,14.3,29.4,4.9,2.7,7.6,0.15,5.5,0.9,6.4,5.1,11.7,0.339,0.221,0.078,0.073,6.9,9.9,3.9
90,90,336,2024,Slasher,Perimeter Defender,Jaime Jaquez Jr.,SF,MIA,73.0,20.0,4.5,9.2,2.7,0.325,6.5,0.557,0.537,1.8,2.2,0.805,1.1,2.7,3.8,1.7,2.5,1.0,0.2,1.5,2.2,11.7,12.5,0.573,0.29,0.245,4.9,12.0,8.4,13.3,1.8,0.8,12.8,18.7,0.9,2.5,3.4,0.079,-2.4,0.3,-2.1,-0.1,10.8,0.282,0.342,0.069,0.018,4.9,52.1,20.8
91,91,344,2024,No significant offensive role,No significant defensive role,Cameron Johnson,PF,BRK,58.0,47.0,4.8,10.7,6.1,0.391,4.6,0.519,0.557,1.5,1.9,0.789,0.9,3.4,4.3,2.4,2.4,0.8,0.3,1.0,1.8,13.4,14.5,0.582,0.57,0.176,3.9,14.9,9.2,12.9,1.5,0.8,7.9,19.8,1.9,1.4,3.3,0.098,0.9,-0.5,0.5,1.0,17.5,0.17,0.126,0.073,0.061,3.4000000000000004,33.1,13.2
92,92,345,2024,Slasher,Paint Protector,Jalen Johnson,SF,ATL,56.0,52.0,6.4,12.5,3.6,0.355,9.0,0.574,0.562,1.9,2.6,0.728,1.3,7.4,8.7,2.0,3.6,1.2,0.8,1.8,2.4,16.0,16.4,0.584,0.285,0.209,4.4,26.9,15.2,15.3,1.7,2.2,11.6,19.3,1.9,1.8,3.7,0.095,0.4,0.8,1.2,1.5,10.6,0.342,0.272,0.083,0.019,15.0,28.499999999999996,11.3
93,93,347,2024,Slasher,No significant defensive role,Keldon Johnson,SF,SAS,69.0,27.0,5.7,12.5,5.3,0.346,7.2,0.533,0.527,2.5,3.2,0.792,1.4,4.1,5.5,2.0,2.8,0.7,0.3,1.4,2.2,15.7,14.2,0.565,0.426,0.256,5.4,16.5,10.9,14.2,1.2,0.8,9.4,22.2,1.3,1.4,2.7,0.064,-0.3,-1.4,-1.7,0.2,13.4,0.261,0.256,0.038,0.019,3.8,30.0,11.9
94,94,351,2024,Creator/Facilitator,Paint Protector,Nikola Jokić,C,DEN,77.0,77.0,10.5,18.0,3.0,0.358,15.0,0.625,0.611,4.6,5.6,0.818,2.8,9.6,12.4,3.0,9.0,1.3,0.9,3.0,2.4,26.6,31.1,0.649,0.165,0.312,10.3,33.4,22.1,42.3,1.9,2.1,12.7,29.9,11.4,4.9,16.3,0.293,9.2,4.4,13.6,10.6,9.7,0.257,0.404,0.117,0.057,1.2,3.1,1.2
95,95,355,2024,No significant offensive role,Perimeter Defender,Herbert Jones,SF,NOP,73.0,73.0,3.8,7.6,3.5,0.416,4.1,0.575,0.598,1.8,2.1,0.87,1.0,2.5,3.5,2.2,2.6,1.4,0.8,1.2,2.9,11.0,13.3,0.64,0.461,0.276,3.8,9.6,6.7,11.2,2.3,2.7,12.3,14.1,3.0,3.1,6.1,0.132,-0.8,1.6,0.8,1.6,13.7,0.315,0.161,0.023,0.039,7.199999999999999,53.300000000000004,21.3
96,96,357,2024,No significant offensive role,No significant defensive role,Tre Jones,PG,SAS,75.0,46.0,3.9,7.7,2.4,0.339,5.3,0.584,0.56,1.3,1.5,0.87,0.8,2.9,3.7,4.1,6.2,1.0,0.1,1.5,1.2,9.9,14.7,0.594,0.317,0.199,3.2,12.6,7.9,30.8,1.8,0.4,15.3,15.2,3.1,1.4,4.5,0.105,-0.4,0.0,-0.4,0.8,11.5,0.324,0.25,0.097,0.012,0.2,41.5,16.5
97,97,358,2024,No significant offensive role,No significant defensive role,Tyus Jones,PG,WAS,66.0,66.0,4.9,10.1,3.9,0.414,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,7.3,1.1,0.3,1.0,0.7,12.0,16.5,0.578,0.384,0.06,1.2,9.7,5.4,34.8,1.8,0.8,8.8,16.5,3.7,0.7,4.4,0.108,1.5,-0.9,0.6,1.3,14.8,0.111,0.297,0.174,0.033,0.0,24.6,9.8
98,98,363,2024,Pure Shooter/Stretcher,No significant defensive role,Luke Kennard,SG,MEM,39.0,22.0,3.6,8.1,6.1,0.45,2.0,0.442,0.617,1.0,1.2,0.889,0.3,2.6,2.9,2.5,3.5,0.5,0.1,1.4,1.0,11.0,13.1,0.641,0.756,0.143,1.3,12.7,6.7,20.9,1.0,0.2,13.9,16.9,1.3,0.7,2.0,0.094,0.5,-0.9,-0.4,0.4,21.8,0.06,0.054,0.079,0.051,0.0,11.799999999999999,4.7
