,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,0,2010,Arron Afflalo,5,SG,5,DEN,5,82.0,1,75.0,4,3.3,9,7.1,9,3.0,5,0.434,1,4.1,10,0.488,6,0.557,1,0.9,10,1.2,10,0.735,8,0.7,7,2.4,8,3.1,8,1.9,4,1.7,8,0.6,9,0.4,5,0.9,10,2.7,4,8.8,9,10.9,10,0.576,3,0.426,2,0.168,10,3.1,6,9.9,8,6.5,8,9.3,7,1.0,9,1.0,5,10.5,8,14.0,10,2.8,5,1.4,8,4.3,7,0.092,7,-0.2,7,-0.2,6,-0.4,7,0.9,7,,10,,10,,10,,10,,10,,10,,10,1,1,0.0,10
1,1,2,2010,LaMarcus Aldridge,5,PF,5,POR,5,78.0,4,78.0,3,7.4,2,15.0,2,0.2,8,0.313,7,14.8,1,0.498,4,0.497,6,2.9,4,3.9,4,0.757,6,2.5,2,5.6,2,8.0,2,1.6,5,2.1,6,0.9,6,0.6,4,1.3,8,3.0,2,17.9,3,18.2,3,0.535,6,0.014,8,0.26,7,8.1,3,18.6,3,13.3,3,9.9,7,1.3,7,1.3,5,7.4,10,22.9,4,5.5,2,3.3,3,8.8,2,0.145,3,1.4,4,-0.2,6,1.2,4,2.3,3,10.8,7,0.247,8,0.215,2,0.21,1,0.314,2,7.8,2,37.5,3,0.014000000000000012,9,0.1,7
2,2,5,2010,Ray Allen*,5,SG,5,BOS,5,80.0,4,80.0,2,5.8,4,12.2,4,5.0,1,0.363,4,7.2,7,0.556,1,0.551,2,2.9,4,3.2,5,0.913,1,0.6,8,2.6,8,3.2,8,1.6,5,2.6,5,0.8,7,0.3,7,1.6,7,2.3,6,16.3,4,15.2,6,0.601,1,0.41,2,0.26,7,2.0,8,8.8,9,5.5,9,12.3,6,1.2,8,0.7,7,10.6,8,20.2,6,5.1,2,2.9,4,7.9,2,0.135,3,1.5,4,-0.3,6,1.2,4,2.3,3,15.8,2,0.224,8,0.085,8,0.084,7,0.196,6,1.0,7,28.599999999999998,4,0.41100000000000003,2,0.12,4
3,3,7,2010,Rafer Alston,5,PG,5,TOT,5,52.0,10,38.0,8,3.0,10,8.6,8,3.2,4,0.345,5,5.3,9,0.349,10,0.413,10,1.1,10,1.6,9,0.728,8,0.3,10,2.2,9,2.5,10,1.9,4,3.4,4,1.0,5,0.2,8,1.8,5,2.0,8,8.2,10,8.2,10,0.443,10,0.377,3,0.182,9,1.0,10,9.7,8,5.3,9,20.2,3,1.9,3,0.5,8,16.5,2,18.8,7,-1.6,10,1.2,8,-0.4,10,-0.013,10,-3.3,10,-0.5,7,-3.8,10,-0.6,10,14.7,3,0.233,8,0.168,3,0.049,9,0.173,7,0.0,10,19.0,6,0.377,3,0.11,4
4,4,15,2010,Carmelo Anthony,5,SF,5,DEN,5,69.0,8,69.0,5,10.0,1,21.8,1,2.7,5,0.316,6,19.1,1,0.478,7,0.478,8,7.4,1,8.9,1,0.83,3,2.2,3,4.4,4,6.6,3,1.1,8,3.2,4,1.3,2,0.4,5,3.0,1,3.3,1,28.2,1,22.2,1,0.548,5,0.125,7,0.407,2,6.7,3,13.1,6,9.9,4,15.9,4,1.7,5,0.9,6,10.6,8,33.4,1,5.6,2,2.4,5,7.9,2,0.145,3,3.5,1,-1.2,9,2.3,3,2.9,2,11.1,7,0.362,3,0.099,7,0.125,3,0.291,2,4.1000000000000005,4,10.7,8,0.123,7,0.11,4
5,5,17,2010,Gilbert Arenas,5,PG,5,WAS,5,32.0,10,32.0,9,7.9,1,19.3,1,5.7,1,0.348,5,13.6,2,0.437,10,0.462,9,4.8,2,6.5,1,0.739,8,0.5,9,3.6,6,4.2,6,1.9,4,7.2,1,1.3,2,0.3,7,3.7,1,3.0,2,22.6,1,18.7,3,0.511,9,0.294,4,0.336,4,1.6,9,11.6,6,6.5,8,36.3,1,1.8,4,0.6,8,14.2,3,31.9,1,0.9,9,0.9,9,1.8,10,0.072,8,2.9,2,-1.2,9,1.7,3,1.1,6,15.6,2,0.203,9,0.11,6,0.093,6,0.3,2,0.3,9,6.6000000000000005,9,0.29400000000000004,4,0.1,7
6,6,18,2010,Trevor Ariza,5,SF,5,HOU,5,72.0,7,71.0,4,5.5,5,13.9,3,5.7,1,0.334,5,8.2,6,0.436,10,0.462,9,2.1,6,3.2,5,0.649,10,1.1,5,4.5,4,5.6,4,1.7,5,3.8,3,1.8,1,0.6,4,2.2,3,2.3,6,14.9,5,13.3,8,0.488,10,0.407,2,0.228,8,3.3,6,14.7,5,8.8,5,16.7,4,2.4,1,1.1,5,12.8,5,21.2,5,0.1,10,3.1,3,3.2,8,0.058,9,-0.4,7,0.9,3,0.5,6,1.7,5,14.3,4,0.329,5,0.055,10,0.062,8,0.146,8,7.3999999999999995,3,21.6,5,0.40800000000000003,2,0.1,7
7,7,34,2010,Andrea Bargnani,5,PF,5,TOR,5,80.0,4,80.0,2,6.7,2,14.3,2,4.1,3,0.372,3,10.2,4,0.509,3,0.523,3,2.3,6,2.9,6,0.774,6,1.3,4,4.9,3,6.2,4,0.8,9,1.2,9,0.3,10,1.4,1,1.5,7,2.7,4,17.2,3,15.5,6,0.552,4,0.284,4,0.205,8,4.6,4,15.9,4,10.4,4,5.4,10,0.5,10,3.0,2,8.8,10,22.3,4,3.3,4,0.9,9,4.2,7,0.072,8,0.9,5,-1.7,10,-0.8,8,0.9,7,14.7,3,0.198,9,0.148,3,0.144,3,0.226,5,3.9,5,3.1,9,0.28400000000000003,4,0.0,10
8,8,35,2010,Matt Barnes,5,SF,5,ORL,5,81.0,3,58.0,7,3.3,9,6.9,9,2.6,5,0.319,6,4.3,9,0.586,1,0.546,2,1.3,9,1.8,9,0.74,8,1.3,4,4.2,4,5.5,4,1.2,7,1.7,8,0.7,8,0.4,5,1.4,8,2.3,6,8.8,9,13.6,8,0.576,3,0.372,3,0.262,7,6.1,4,18.0,3,12.3,3,10.1,7,1.5,6,1.1,5,15.3,2,16.2,9,2.5,6,3.4,3,5.9,4,0.135,3,-0.1,7,1.3,2,1.3,4,1.7,5,11.6,6,0.452,2,0.088,7,0.023,10,0.065,10,4.3,4,48.3,2,0.3719999999999999,3,0.2,2
9,9,39,2010,Shane Battier,5,SG,5,HOU,5,67.0,8,62.0,6,2.7,10,6.7,10,4.2,2,0.362,4,2.5,10,0.458,9,0.511,4,1.1,10,1.6,9,0.726,8,1.1,5,3.6,6,4.7,6,2.4,2,2.4,6,0.8,7,1.1,2,1.0,10,2.1,7,8.0,10,11.1,10,0.541,6,0.624,1,0.237,7,3.8,5,13.1,6,8.2,6,10.9,6,1.2,8,2.6,2,11.5,7,11.4,10,2.2,7,2.1,6,4.3,7,0.095,7,0.1,6,1.4,2,1.5,4,1.9,4,17.3,1,0.197,9,0.096,7,0.06,8,0.022,10,0.7000000000000001,8,47.0,2,0.625,1,0.2,2
