,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,0,2006,No significant offensive role,No significant defensive role,Shareef Abdur-Rahim,PF,SAC,72.0,30.0,4.6,8.8,0.3,0.227,8.5,0.536,0.529,3.0,3.9,0.784,1.5,3.5,5.0,1.4,2.1,0.7,0.6,1.5,3.2,12.3,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4.0,2.2,6.2,0.152,0.5,0.4,0.9,1.4,,,,,,,,1,0.0
1,1,3,2006,No significant offensive role,No significant defensive role,Ray Allen*,SG,SEA,78.0,78.0,8.7,19.2,8.4,0.412,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,1.5,3.7,1.3,0.2,2.4,1.9,25.1,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.4,-2.0,4.4,4.9,17.2,0.145,0.1,0.123,0.197,1.0999999999999999,17.0,0.43500000000000005,0.12
2,2,5,2006,No significant offensive role,Perimeter Defender,Rafer Alston,PG,HOU,63.0,63.0,4.4,11.7,5.0,0.327,6.8,0.418,0.449,1.6,2.3,0.692,0.6,3.5,4.0,2.7,6.7,1.6,0.2,2.5,3.1,12.1,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,0.2,3.1,3.4,0.067,-1.0,0.6,-0.4,1.0,15.7,0.225,0.117,0.041,0.195,0.0,21.2,0.42199999999999993,0.13
3,3,8,2006,No significant offensive role,No significant defensive role,Derek Anderson,SG,TOT,43.0,11.0,2.5,7.0,3.1,0.299,3.9,0.402,0.422,2.2,2.6,0.838,0.5,2.8,3.3,1.8,2.3,0.5,0.1,1.3,2.3,8.1,10.8,0.496,0.442,0.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,0.074,-1.3,0.1,-1.2,0.2,17.9,0.125,0.059,0.109,0.264,0.7000000000000001,29.099999999999998,0.44300000000000006,0.14
4,4,13,2006,No significant offensive role,No significant defensive role,Carmelo Anthony,SF,DEN,80.0,80.0,9.5,19.7,1.9,0.243,17.8,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,1.0,2.7,1.1,0.5,2.7,2.9,26.5,22.0,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,6.8,2.6,9.4,0.153,3.5,-0.9,2.7,3.5,10.5,0.429,0.059,0.077,0.339,10.9,15.1,0.09600000000000009,0.15
5,5,15,2006,Creator/Facilitator,No significant defensive role,Gilbert Arenas,PG,WAS,80.0,80.0,9.3,20.9,6.8,0.369,14.1,0.485,0.507,8.2,10.0,0.82,0.7,2.8,3.5,1.6,6.1,2.0,0.3,3.7,3.6,29.3,23.8,0.581,0.324,0.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,11.0,2.6,13.6,0.193,5.4,0.0,5.4,6.3,15.3,0.231,0.079,0.1,0.266,1.6,10.2,0.32399999999999995,0.1
6,6,23,2006,No significant offensive role,No significant defensive role,Chucky Atkins,PG-SG,TOT,71.0,41.0,3.2,8.1,3.9,0.354,4.2,0.431,0.479,1.8,2.3,0.791,0.3,1.4,1.7,2.3,2.8,0.6,0.0,1.2,2.1,9.5,12.9,0.526,0.478,0.284,1.6,6.8,4.2,20.0,1.4,0.1,11.9,20.2,2.1,1.4,3.6,0.1,-0.1,-0.8,-0.9,0.4,17.6,0.187,0.072,0.038,0.225,0.0,16.400000000000002,0.478,0.2
7,7,29,2006,Creator/Facilitator,No significant defensive role,Marcus Banks,PG,TOT,58.0,29.0,3.8,8.1,1.1,0.349,7.0,0.486,0.491,2.0,2.5,0.803,0.4,1.9,2.3,1.8,3.8,0.9,0.2,2.1,2.8,10.0,13.6,0.543,0.135,0.314,1.9,8.8,5.4,25.3,1.9,0.6,18.3,20.6,0.9,1.4,2.3,0.074,-1.4,-0.2,-1.7,0.1,13.0,0.346,0.041,0.047,0.432,0.8999999999999999,4.8,0.13400000000000012,0.2
8,8,32,2006,No significant offensive role,No significant defensive role,Leandro Barbosa,SG,PHO,57.0,11.0,4.8,9.9,3.4,0.444,6.5,0.501,0.558,1.9,2.6,0.755,0.5,2.1,2.6,1.7,2.8,0.8,0.1,1.6,2.5,13.1,15.1,0.589,0.346,0.259,2.2,8.1,5.2,14.4,1.5,0.3,12.3,20.3,2.6,1.2,3.8,0.115,0.4,-0.5,-0.1,0.8,12.0,0.427,0.069,0.065,0.093,0.2,31.6,0.3460000000000001,0.2
9,9,45,2006,Slasher,No significant defensive role,Tony Battie,C,ORL,82.0,82.0,3.4,6.7,0.1,0.0,6.7,0.513,0.507,1.1,1.6,0.664,1.8,3.8,5.6,0.5,0.6,0.6,0.8,1.1,3.0,7.9,12.2,0.531,0.011,0.243,8.3,16.9,12.7,3.7,1.1,2.5,12.6,14.9,1.7,2.2,3.8,0.083,-1.7,0.0,-1.8,0.1,8.6,0.313,0.245,0.261,0.17,12.5,0.0,0.010999999999999899,0.1
