,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,2,2016,Steven Adams,5,C,5,OKC,5,80.0,2,80.0,2,3.3,9,5.3,10,0.0,10,,10,5.3,8,0.613,1,0.613,1,1.4,8,2.5,7,0.582,10,2.7,1,3.9,5,6.7,3,0.7,10,0.8,10,0.5,10,1.1,2,1.1,9,2.8,2,8.0,10,15.5,6,0.621,1,0.0,10,0.46,2,12.5,1,16.1,4,14.4,2,4.3,10,1.0,10,3.3,2,14.1,3,12.6,10,4.2,3,2.3,5,6.5,3,0.155,3,0.0,6,0.2,5,0.2,6,1.1,6,2.2,10,0.721,1,0.258,2,0.016,10,0.005,10,27.700000000000003,1,,10,0.0,10,0.28,1
1,1,3,2016,Arron Afflalo,5,SG,5,NYK,5,71.0,7,57.0,6,5.0,5,11.3,5,3.4,6,0.382,3,7.9,6,0.469,6,0.5,6,1.5,8,1.8,9,0.84,3,0.3,10,3.4,6,3.7,7,1.7,5,2.0,7,0.4,10,0.1,10,1.2,9,2.0,8,12.8,6,10.9,9,0.531,7,0.298,6,0.164,9,1.1,10,11.0,7,6.1,8,9.9,7,0.5,10,0.3,10,8.7,9,17.9,7,1.8,7,0.9,9,2.7,8,0.055,9,-1.3,9,-1.6,10,-2.9,10,-0.5,10,14.8,4,0.115,10,0.178,4,0.193,1,0.217,3,0.3,9,42.4,1,0.29700000000000004,6,0.06,10
2,2,6,2016,LaMarcus Aldridge,5,PF,5,SAS,5,74.0,6,74.0,3,7.2,2,14.1,3,0.2,9,0.0,10,13.9,1,0.521,3,0.513,5,3.5,2,4.1,3,0.858,2,2.4,2,6.2,2,8.5,2,1.2,8,1.5,9,0.5,10,1.1,2,1.3,8,2.0,8,18.0,3,22.4,1,0.565,3,0.015,9,0.289,5,9.2,2,22.2,2,15.9,2,8.1,9,0.9,10,2.8,2,7.8,10,25.9,2,5.6,1,4.5,1,10.1,1,0.215,1,2.0,3,0.3,4,2.3,3,2.5,3,10.0,8,0.279,5,0.191,3,0.211,1,0.303,1,4.7,4,50.0,1,0.016000000000000014,9,0.1,7
3,3,9,2016,Tony Allen,5,SG,5,MEM,5,64.0,9,57.0,6,3.4,9,7.3,9,0.7,8,0.357,5,6.7,7,0.468,7,0.474,8,1.4,8,2.2,7,0.652,9,1.6,3,3.0,7,4.6,6,0.9,9,1.1,10,1.7,1,0.3,7,1.2,9,2.7,2,8.4,9,12.9,8,0.505,9,0.09,8,0.294,4,7.0,3,14.1,5,10.4,4,6.9,10,3.5,1,1.0,6,12.8,5,16.8,8,0.5,9,1.9,6,2.4,9,0.072,8,-2.2,10,1.2,2,-1.0,8,0.4,8,6.3,9,0.582,1,0.168,4,0.047,9,0.113,7,5.1,4,71.39999999999999,1,0.08999999999999997,8,0.19,4
4,4,10,2016,Al-Farouq Aminu,5,SF,5,POR,5,82.0,1,82.0,1,3.6,8,8.8,8,4.3,4,0.361,4,4.5,9,0.468,7,0.503,6,1.4,8,1.9,8,0.737,8,1.2,4,4.9,4,6.1,4,1.1,8,1.7,8,0.9,6,0.6,4,1.5,7,2.1,7,10.2,8,12.7,8,0.533,7,0.485,2,0.217,7,4.5,4,18.6,3,11.5,4,8.8,8,1.5,6,1.8,3,13.2,5,16.9,8,1.7,7,2.3,5,4.0,6,0.082,7,-0.2,7,0.2,5,0.1,6,1.2,5,14.9,4,0.252,6,0.121,7,0.047,9,0.095,8,6.1,3,41.0,2,0.485,2,0.16,4
5,5,19,2016,Ryan Anderson,5,PF,5,NOP,5,66.0,8,7.0,10,6.0,4,14.1,3,5.4,2,0.366,4,8.7,5,0.466,7,0.498,6,3.0,3,3.5,4,0.873,1,2.0,2,4.0,5,6.0,4,0.8,10,1.1,10,0.6,9,0.4,5,1.4,7,1.7,9,17.0,3,17.2,4,0.546,5,0.385,4,0.245,6,7.0,3,15.2,5,10.9,4,6.1,10,0.9,10,1.0,6,8.0,10,24.7,3,3.1,4,0.8,9,3.9,7,0.092,6,2.2,3,-2.4,10,-0.2,7,0.9,7,15.3,3,0.227,7,0.097,8,0.112,4,0.179,4,2.0,6,16.5,7,0.385,4,0.1,7
6,6,20,2016,Giannis Antetokounmpo,5,PG,5,MIL,5,80.0,2,79.0,2,6.4,3,12.7,4,1.4,8,0.257,9,11.3,2,0.537,2,0.52,3,3.7,2,5.1,2,0.724,8,1.4,4,6.2,2,7.7,2,1.7,5,4.3,3,1.2,3,1.4,2,2.6,2,3.2,1,16.9,3,18.8,3,0.566,3,0.108,8,0.404,2,4.6,4,20.0,3,12.4,3,20.0,3,1.7,4,3.4,2,14.8,3,22.3,5,4.2,3,2.9,3,7.1,2,0.121,4,1.3,4,0.7,3,2.1,3,2.9,2,7.5,9,0.509,2,0.18,4,0.058,8,0.143,6,14.299999999999999,1,32.1,3,0.10999999999999988,8,0.2,2
7,7,23,2016,Carmelo Anthony,5,SF,5,NYK,5,72.0,7,72.0,4,7.9,1,18.2,1,4.3,4,0.339,6,13.8,1,0.463,7,0.474,8,4.6,2,5.6,2,0.829,4,1.4,4,6.4,2,7.7,2,1.8,4,4.2,3,0.9,6,0.5,4,2.4,3,2.5,4,21.8,1,20.3,2,0.53,7,0.237,7,0.308,4,4.3,4,19.5,3,12.0,3,21.9,3,1.3,7,1.1,5,10.6,8,29.7,1,3.9,3,2.5,4,6.4,3,0.121,4,3.8,1,-0.5,7,3.3,2,3.4,2,14.0,5,0.213,8,0.087,8,0.208,1,0.255,2,1.7999999999999998,6,10.299999999999999,8,0.237,7,0.1,7
8,8,26,2016,Trevor Ariza,5,SF,5,HOU,5,81.0,2,81.0,1,4.4,7,10.6,6,6.2,1,0.371,3,4.4,9,0.478,5,0.523,3,1.6,7,2.0,8,0.783,6,0.8,6,3.7,6,4.5,6,1.6,5,2.3,6,2.0,1,0.3,7,1.4,7,2.2,6,12.7,6,12.9,8,0.551,5,0.581,1,0.187,9,2.6,6,11.6,7,7.1,7,10.0,7,2.8,1,0.8,7,10.8,7,15.7,9,3.1,4,2.3,5,5.4,5,0.09,7,0.1,6,0.3,4,0.4,5,1.7,4,16.2,2,0.255,6,0.054,10,0.035,10,0.077,9,6.800000000000001,3,41.5,2,0.579,1,0.2,2
9,9,38,2016,Harrison Barnes,5,SF,5,GSW,5,66.0,8,59.0,6,4.5,7,9.6,7,3.2,6,0.383,3,6.3,7,0.508,4,0.531,3,1.5,8,2.0,8,0.761,7,1.2,4,3.8,5,4.9,5,2.0,3,1.8,7,0.6,9,0.2,9,0.9,10,2.1,7,11.7,7,12.3,8,0.559,4,0.338,5,0.212,8,4.3,4,12.4,6,8.6,5,7.8,9,1.0,10,0.4,9,7.6,10,15.9,9,3.1,4,1.9,6,4.9,5,0.116,5,-0.2,7,-1.1,9,-1.3,9,0.3,9,13.9,5,0.227,7,0.147,5,0.104,5,0.183,4,9.3,2,44.4,1,0.33899999999999997,5,0.1,7
