,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,8,2009,Versatile Scorer,No significant defensive role,LaMarcus Aldridge,PF,POR,81.0,81.0,7.4,15.3,0.3,0.25,15.0,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.3,1.9,1.0,1.0,1.5,2.6,18.1,19.1,0.529,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,6.1,3.3,9.5,0.151,1.7,-0.4,1.3,2.5,11.0,0.245,0.211,0.179,0.343,9.8,64.3,0.02200000000000002,0.1
1,1,11,2009,No significant offensive role,No significant defensive role,Ray Allen*,SG,BOS,79.0,79.0,6.3,13.2,6.2,0.409,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,1.6,2.8,0.9,0.2,1.7,2.0,18.2,17.3,0.624,0.467,0.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,7.4,3.7,11.1,0.186,3.7,0.3,4.0,4.3,17.0,0.188,0.058,0.096,0.191,0.3,37.9,0.4670000000000001,0.14
2,2,14,2009,No significant offensive role,Perimeter Defender,Rafer Alston,PG,TOT,77.0,76.0,4.1,10.6,4.3,0.338,6.4,0.417,0.454,2.0,2.7,0.75,0.4,2.5,2.9,2.9,5.3,1.4,0.1,1.8,1.8,11.7,13.8,0.494,0.404,0.254,1.6,8.8,5.3,27.0,2.3,0.3,13.3,19.9,1.7,3.7,5.3,0.104,-0.3,1.1,0.8,1.8,14.5,0.279,0.14,0.051,0.126,0.0,9.700000000000001,0.4039999999999999,0.13
3,3,20,2009,Versatile Scorer,No significant defensive role,Carmelo Anthony,SF,DEN,66.0,66.0,8.1,18.3,2.6,0.371,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,1.1,3.4,1.1,0.4,3.0,3.0,22.8,19.0,0.532,0.141,0.388,5.6,17.0,11.5,18.1,1.7,0.8,12.3,31.5,2.4,2.6,5.0,0.105,1.5,-1.0,0.5,1.5,11.5,0.351,0.084,0.132,0.292,5.7,17.599999999999998,0.14100000000000001,0.1
4,4,23,2009,No significant offensive role,Perimeter Defender,Trevor Ariza,SF,LAL,82.0,20.0,3.3,7.3,2.3,0.319,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.6,1.8,1.7,0.3,1.1,2.0,8.9,15.5,0.544,0.32,0.284,6.4,13.4,10.0,10.4,3.5,0.9,11.5,16.6,2.5,3.5,6.1,0.146,0.2,2.2,2.4,2.3,12.3,0.435,0.05,0.037,0.158,12.2,42.9,0.31999999999999995,0.16
5,5,30,2009,No significant offensive role,No significant defensive role,D.J. Augustin,PG,CHA,72.0,12.0,3.7,8.6,3.4,0.439,5.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,2.1,3.5,0.6,0.0,1.7,1.9,11.8,14.9,0.587,0.396,0.375,1.1,7.5,4.3,22.6,1.2,0.1,14.1,20.8,3.6,1.5,5.1,0.128,1.4,-0.5,0.9,1.4,15.2,0.277,0.066,0.079,0.182,0.0,19.1,0.3959999999999999,0.1
6,6,31,2009,No significant offensive role,No significant defensive role,Kelenna Azubuike,SF,GSW,74.0,51.0,5.3,11.4,2.8,0.448,8.6,0.469,0.52,2.5,3.1,0.808,1.5,3.5,5.0,1.2,1.6,0.8,0.7,1.3,2.5,14.4,14.7,0.562,0.249,0.271,5.1,11.8,8.5,7.6,1.2,1.5,9.1,18.7,3.6,0.5,4.1,0.083,1.0,-1.5,-0.5,0.9,12.0,0.351,0.142,0.073,0.185,3.9,25.7,0.2490000000000001,0.1
7,7,36,2009,Slasher,No significant defensive role,Leandro Barbosa,SG,PHO,70.0,11.0,5.2,10.8,3.4,0.375,7.4,0.532,0.542,2.4,2.8,0.881,0.5,2.1,2.6,1.8,2.3,1.2,0.1,1.3,1.6,14.2,19.4,0.588,0.316,0.256,2.4,9.7,6.2,14.9,2.4,0.3,9.9,24.2,4.0,1.0,5.0,0.141,2.4,-0.4,1.9,1.7,13.0,0.337,0.096,0.092,0.158,0.0,35.8,0.31699999999999995,0.1
8,8,38,2009,Versatile Scorer,No significant defensive role,Andrea Bargnani,PF,TOR,78.0,59.0,5.5,12.3,3.7,0.409,8.6,0.468,0.512,2.8,3.4,0.831,0.9,4.4,5.3,0.7,1.2,0.4,1.2,1.7,3.1,15.4,14.6,0.559,0.304,0.278,3.4,16.4,10.0,6.4,0.7,3.1,11.2,22.7,1.8,2.0,3.9,0.076,-0.1,-0.7,-0.8,0.7,15.1,0.214,0.108,0.115,0.26,4.7,1.0,0.30299999999999994,0.1
9,9,39,2009,No significant offensive role,No significant defensive role,Matt Barnes,PF,PHO,77.0,40.0,3.7,8.8,4.4,0.343,4.3,0.505,0.51,1.3,1.8,0.743,1.0,4.4,5.5,1.6,2.8,0.7,0.3,1.7,2.7,10.2,12.6,0.537,0.506,0.202,4.6,18.5,11.8,14.2,1.2,0.9,15.0,18.3,1.6,1.4,3.0,0.069,0.2,-0.7,-0.4,0.8,15.8,0.234,0.129,0.053,0.077,3.4000000000000004,34.599999999999994,0.507,0.2
10,10,44,2009,Pure Shooter/Stretcher,No significant defensive role,Shane Battier,SG,HOU,60.0,59.0,2.4,5.9,4.0,0.384,2.0,0.462,0.538,0.9,1.1,0.821,0.9,3.9,4.8,2.9,2.3,0.8,0.9,0.8,1.9,7.3,10.7,0.568,0.669,0.189,3.1,12.9,8.2,10.0,1.3,1.9,11.3,9.9,2.3,2.9,5.2,0.123,0.1,1.9,2.0,2.0,18.7,0.153,0.093,0.04,0.045,0.6,41.4,0.669,0.2
11,11,47,2009,Versatile Scorer,No significant defensive role,Michael Beasley,PF,MIA,81.0,19.0,5.6,11.8,1.0,0.407,10.8,0.478,0.49,2.3,3.0,0.772,1.4,4.1,5.4,0.7,1.0,0.5,0.5,1.5,2.3,13.9,17.2,0.528,0.085,0.252,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,1.2,2.2,3.4,0.081,-0.2,-1.5,-1.7,0.1,11.4,0.284,0.165,0.135,0.331,4.0,29.599999999999998,0.08499999999999996,0.1
12,12,50,2009,No significant offensive role,No significant defensive role,Charlie Bell,SG,MIL,70.0,23.0,3.1,7.5,3.4,0.363,4.1,0.458,0.497,0.9,1.1,0.825,0.5,1.5,1.9,2.0,2.2,0.7,0.1,1.1,2.0,8.4,9.8,0.525,0.458,0.153,2.0,7.1,4.4,13.3,1.5,0.3,12.0,16.0,0.9,1.2,2.2,0.059,-1.4,-0.3,-1.7,0.2,18.5,0.153,0.017,0.061,0.311,0.4,44.6,0.45799999999999996,0.2
13,13,51,2009,No significant offensive role,No significant defensive role,Raja Bell,SG,TOT,67.0,66.0,4.5,10.2,4.0,0.421,6.2,0.448,0.52,1.3,1.5,0.853,0.6,3.0,3.6,1.6,2.1,0.7,0.1,1.3,2.5,11.9,10.7,0.548,0.396,0.149,2.2,10.5,6.4,10.1,1.1,0.3,10.6,16.3,2.0,1.6,3.6,0.074,-0.9,-0.4,-1.3,0.4,19.4,0.076,0.028,0.07,0.43,0.4,29.2,0.396,0.2
14,14,54,2009,No significant offensive role,No significant defensive role,Mike Bibby,PG,ATL,79.0,79.0,5.5,12.7,5.4,0.39,7.3,0.468,0.518,1.7,2.2,0.789,0.5,3.0,3.5,3.1,5.0,1.2,0.1,1.6,1.8,14.9,16.3,0.544,0.426,0.17,1.6,10.3,6.0,24.2,1.9,0.3,10.6,20.6,4.4,2.5,6.9,0.121,2.0,0.0,2.0,2.8,19.9,0.075,0.055,0.038,0.407,0.0,15.7,0.42500000000000004,0.2
15,15,55,2009,Paint Threat,Paint Protector,Andris Biedriņš,C,GSW,62.0,58.0,5.0,8.6,0.0,0.0,8.6,0.579,0.578,1.9,3.5,0.551,3.6,7.6,11.2,1.1,2.0,1.0,1.5,1.8,3.8,11.9,19.1,0.585,0.002,0.405,13.0,27.4,20.2,10.0,1.7,3.6,14.9,16.9,3.3,2.1,5.4,0.139,0.9,0.4,1.3,1.5,2.0,0.749,0.244,0.004,0.002,13.3,0.0,0.0010000000000000009,0.3
16,16,56,2009,Creator/Facilitator,No significant defensive role,Chauncey Billups,PG,TOT,79.0,79.0,5.2,12.4,5.0,0.408,7.4,0.425,0.501,5.3,5.8,0.913,0.4,2.6,3.0,2.9,6.4,1.2,0.2,2.2,2.0,17.7,18.8,0.592,0.405,0.467,1.4,8.4,5.0,28.9,1.7,0.5,13.0,21.7,7.9,2.2,10.1,0.174,3.8,-0.5,3.4,3.8,16.8,0.18,0.069,0.113,0.233,0.1,9.1,0.405,0.1
17,17,59,2009,Pure Shooter/Stretcher,No significant defensive role,Steve Blake,PG,POR,69.0,69.0,4.0,9.4,4.8,0.427,4.6,0.429,0.536,0.9,1.1,0.84,0.4,2.1,2.5,3.1,5.0,1.0,0.1,1.6,1.8,11.0,14.4,0.557,0.507,0.116,1.6,8.4,4.9,25.1,1.7,0.1,13.7,17.0,4.1,1.7,5.8,0.128,1.7,-0.2,1.5,1.9,19.0,0.114,0.06,0.079,0.24,0.0,38.1,0.507,0.2
18,18,60,2009,No significant offensive role,No significant defensive role,Andray Blatche,C,WAS,71.0,36.0,4.2,8.9,0.3,0.238,8.6,0.479,0.475,1.6,2.3,0.704,1.8,3.5,5.3,1.1,1.7,0.7,1.0,1.6,3.0,10.0,15.0,0.508,0.033,0.257,8.5,17.9,13.0,11.8,1.6,3.5,14.3,21.9,0.2,1.2,1.4,0.039,-1.8,-0.3,-2.0,0.0,8.5,0.421,0.165,0.16,0.221,7.8,14.299999999999999,0.03300000000000003,0.1
19,19,65,2009,Paint Threat,Paint Protector,Andrew Bogut,C,MIL,36.0,33.0,5.1,8.8,0.0,,8.8,0.577,0.577,1.6,2.7,0.571,3.3,7.0,10.3,0.8,2.0,0.6,1.0,2.4,3.6,11.7,16.2,0.586,0.0,0.309,11.8,27.7,19.4,10.7,1.1,2.7,19.3,17.8,1.0,1.6,2.6,0.112,0.0,1.3,1.3,1.0,3.5,0.599,0.309,0.066,0.025,13.200000000000001,,0.0010000000000000009,0.2
