,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,7,2014,Arron Afflalo,5,SG,5,ORL,5,73.0,6,73.0,4,6.4,3,13.8,3,4.1,3,0.427,1,9.7,4,0.473,6,0.522,4,3.8,2,4.6,3,0.815,4,0.4,9,3.2,7,3.6,7,1.7,4,3.4,4,0.5,10,0.0,10,2.0,4,1.9,8,18.2,2,16.0,5,0.574,3,0.297,5,0.332,4,1.4,10,10.2,8,5.8,8,16.9,4,0.7,10,0.1,10,11.2,7,23.3,4,4.3,2,1.0,9,5.3,5,0.099,6,1.4,3,-1.6,10,-0.2,7,1.1,6,16.1,3,0.157,9,0.081,9,0.161,2,0.304,1,0.2,9,30.0,4,0.29699999999999993,5,0.09,10
1,1,10,2014,LaMarcus Aldridge,5,PF,5,POR,5,69.0,8,69.0,5,9.4,1,20.6,1,0.2,8,0.2,9,20.4,1,0.461,7,0.459,9,4.3,2,5.2,2,0.822,3,2.4,2,8.7,1,11.1,1,1.4,6,2.6,5,0.9,6,1.0,2,1.8,5,2.1,7,23.2,1,21.8,1,0.507,9,0.011,9,0.253,6,7.2,3,25.5,1,16.5,2,13.0,6,1.3,8,1.9,3,7.2,10,29.8,1,4.0,3,3.5,2,7.5,3,0.144,3,2.3,2,0.1,5,2.3,2,2.7,2,12.5,6,0.186,8,0.162,5,0.226,1,0.415,1,2.7,6,6.7,9,0.01100000000000012,9,0.13,4
2,2,14,2014,Ray Allen*,5,SG,5,MIA,5,73.0,6,9.0,10,3.3,9,7.4,9,4.2,3,0.375,3,3.2,10,0.53,2,0.549,2,1.4,8,1.6,9,0.905,1,0.3,10,2.5,8,2.8,9,1.7,4,2.0,7,0.7,8,0.1,10,1.2,9,1.6,10,9.6,9,12.8,8,0.59,2,0.569,1,0.214,7,1.6,9,11.4,7,6.7,7,11.1,6,1.5,6,0.4,9,12.4,6,16.8,8,2.5,6,1.5,8,4.1,7,0.101,6,0.5,5,-0.9,8,-0.4,7,0.8,7,18.2,1,0.166,9,0.063,10,0.087,6,0.118,8,1.0999999999999999,7,41.099999999999994,2,0.5660000000000001,1,0.19,3
3,3,16,2014,Al-Farouq Aminu,5,SF,5,NOP,5,80.0,3,65.0,5,2.9,10,6.2,10,0.6,8,0.271,8,5.6,8,0.496,4,0.487,7,1.1,9,1.7,9,0.664,9,1.6,3,4.6,4,6.2,4,1.3,7,1.4,9,1.0,5,0.5,4,1.1,9,1.8,9,7.2,10,13.2,8,0.516,8,0.097,8,0.277,6,7.2,3,21.2,2,14.1,3,8.4,8,2.1,3,1.6,3,13.7,4,14.3,10,1.3,8,1.8,7,3.1,8,0.072,8,-0.9,8,0.3,4,-0.6,7,0.7,7,8.6,9,0.453,2,0.204,3,0.04,9,0.202,4,8.7,2,62.5,1,0.10099999999999998,8,0.14,4
4,4,22,2014,James Anderson,5,SG,5,PHI,5,80.0,3,62.0,6,3.9,8,9.0,8,4.4,3,0.328,7,4.6,9,0.53,2,0.511,5,1.0,9,1.3,9,0.726,8,0.7,7,3.0,7,3.8,7,1.5,5,1.9,7,0.9,6,0.4,5,1.3,8,1.9,8,10.1,8,10.9,10,0.53,7,0.49,2,0.148,9,2.7,6,11.7,7,7.0,7,9.9,7,1.6,5,1.0,5,12.2,6,15.9,9,0.9,9,0.9,9,1.9,9,0.039,10,-1.5,9,-1.0,9,-2.6,10,-0.3,10,15.1,4,0.308,5,0.098,8,0.049,9,0.056,10,5.7,3,27.1,4,0.489,2,0.17,4
5,5,24,2014,Giannis Antetokounmpo,5,SF,5,MIL,5,77.0,5,23.0,9,2.2,10,5.4,10,1.5,7,0.347,6,3.9,10,0.44,9,0.463,9,1.8,7,2.6,6,0.683,9,1.0,5,3.4,6,4.4,6,1.2,7,1.9,7,0.8,7,0.8,3,1.6,6,2.2,7,6.8,10,10.8,10,0.518,8,0.282,5,0.483,1,4.6,4,16.3,4,10.2,4,12.1,6,1.7,5,2.6,2,19.4,1,15.0,9,0.1,10,1.1,9,1.2,10,0.031,10,-2.4,10,-0.1,6,-2.5,10,-0.2,10,10.8,7,0.476,2,0.098,8,0.045,9,0.098,9,16.0,1,12.7,7,0.28300000000000003,5,0.2,2
6,6,25,2014,Carmelo Anthony,5,PF,5,NYK,5,77.0,5,77.0,3,9.6,1,21.3,1,5.4,2,0.402,1,15.9,1,0.469,7,0.503,5,6.0,1,7.0,1,0.848,2,1.9,3,6.2,2,8.1,2,1.2,7,3.1,4,1.2,3,0.7,3,2.6,2,2.9,2,27.4,1,24.4,1,0.561,4,0.253,6,0.329,4,5.6,3,19.4,3,12.3,3,15.8,5,1.7,5,1.5,3,9.5,9,32.4,1,8.1,1,2.5,4,10.7,1,0.172,2,5.8,1,-0.8,8,5.0,1,5.3,1,15.2,4,0.191,8,0.078,9,0.199,1,0.279,2,2.1999999999999997,6,8.0,8,0.2529999999999999,6,0.1,7
7,7,31,2014,Trevor Ariza,5,SF,5,WAS,5,77.0,5,77.0,3,5.1,5,11.1,5,5.7,1,0.407,1,5.3,8,0.509,3,0.562,1,1.9,6,2.5,6,0.772,6,1.3,4,4.9,3,6.2,4,1.5,5,2.5,6,1.6,1,0.3,7,1.7,6,2.3,6,14.4,4,15.8,5,0.59,2,0.518,1,0.226,7,4.1,5,16.3,4,10.1,4,10.8,7,2.4,2,0.6,8,12.3,6,17.8,7,4.3,2,3.7,2,8.0,2,0.141,3,1.3,3,1.0,2,2.3,2,3.0,2,16.6,2,0.254,6,0.07,10,0.033,10,0.124,8,5.0,4,39.6,2,0.519,1,0.2,2
8,8,35,2014,D.J. Augustin,5,PG,5,TOT,5,71.0,7,9.0,10,4.2,7,10.1,6,4.7,2,0.401,1,5.4,8,0.427,10,0.508,5,2.8,4,3.2,5,0.885,1,0.2,10,1.6,10,1.8,10,2.4,2,4.4,3,0.7,8,0.0,10,1.8,5,2.1,7,13.1,6,16.2,5,0.569,3,0.462,2,0.316,4,0.9,10,6.7,10,3.8,10,28.9,2,1.5,6,0.1,10,13.3,4,22.4,5,3.8,3,2.4,4,6.2,4,0.154,2,1.9,3,-0.4,7,1.4,4,1.7,4,16.6,2,0.224,7,0.096,8,0.068,7,0.149,7,0.0,10,19.0,6,0.46299999999999997,2,0.1,7
9,9,44,2014,Andrea Bargnani,5,C,5,NYK,5,42.0,10,39.0,8,5.3,5,12.0,5,2.6,6,0.278,8,9.4,4,0.487,5,0.472,8,2.0,6,2.4,7,0.824,3,1.6,3,3.6,6,5.3,5,0.8,9,1.1,9,0.3,10,1.2,2,1.4,8,2.4,5,13.3,5,14.5,6,0.51,8,0.215,7,0.203,8,6.3,3,14.7,5,10.4,4,6.1,10,0.6,10,3.7,1,9.6,9,22.4,5,0.8,9,0.7,10,1.5,10,0.058,9,-0.7,8,-1.6,10,-2.3,9,-0.1,9,13.7,5,0.207,7,0.165,5,0.147,3,0.265,2,2.6,6,1.9,9,0.21599999999999997,7,0.0,10
