,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
34,34,96,2022,Versatile Scorer,No significant defensive role,Jaylen Brown,SF,BOS,66.0,66.0,8.7,18.4,7.0,0.358,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,1.3,3.5,1.1,0.3,2.7,2.5,23.6,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,0.124,1.9,0.1,2.1,2.2,14.5,0.2,0.234,0.094,0.091,3.4000000000000004,3100.0,18.5,200.0,0.381,0.1
35,35,102,2022,Versatile Scorer,No significant defensive role,Jalen Brunson,SG,DAL,79.0,61.0,6.4,12.8,3.2,0.373,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,3.0,4.8,0.8,0.0,1.6,1.9,16.3,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,4.9,2.7,7.5,0.143,0.9,0.0,0.9,1.9,13.1,0.147,0.288,0.189,0.126,0.5,500.0,29.799999999999997,0.0,0.2500000000000001,0.1
36,36,106,2022,No significant offensive role,No significant defensive role,Reggie Bullock,SF,DAL,68.0,37.0,3.0,7.4,5.8,0.36,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,2.0,1.2,0.6,0.2,0.6,1.6,8.6,9.2,0.558,0.782,0.096,1.9,12.2,7.0,6.1,1.1,0.7,7.1,13.3,1.2,2.0,3.2,0.08,-1.4,0.0,-1.4,0.3,20.9,0.096,0.048,0.032,0.042,0.4,200.0,44.6,0.0,0.782,0.3
37,37,108,2022,No significant offensive role,Perimeter Defender,Alec Burks,SG,NYK,81.0,44.0,3.5,9.0,4.8,0.404,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,2.7,3.0,1.0,0.3,1.1,2.7,11.7,13.7,0.559,0.534,0.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,3.2,2.9,6.1,0.126,-0.4,1.2,0.8,1.7,17.4,0.124,0.165,0.111,0.066,0.4,300.0,22.6,0.0,0.534,0.2
38,38,110,2022,Creator/Facilitator,Perimeter Defender,Jimmy Butler,SF,MIA,57.0,57.0,7.0,14.5,2.0,0.233,12.5,0.52,0.496,6.9,8.0,0.87,1.8,4.1,5.9,2.6,5.5,1.6,0.5,2.1,1.5,21.4,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,6.2,2.9,9.2,0.228,4.5,1.9,6.3,4.0,9.6,0.306,0.291,0.195,0.068,5.1,3800.0,46.6,200.0,0.1399999999999999,0.1
39,39,112,2022,No significant offensive role,No significant defensive role,Kentavious Caldwell-Pope,SG,WAS,77.0,77.0,4.7,10.8,5.3,0.39,5.5,0.48,0.531,1.8,2.0,0.89,0.5,2.9,3.4,1.5,1.9,1.1,0.3,1.3,1.8,13.2,12.6,0.568,0.492,0.186,2.0,10.3,6.2,9.1,1.8,0.9,9.8,19.0,1.4,1.4,2.8,0.058,-0.9,-0.6,-1.5,0.3,18.1,0.105,0.117,0.112,0.175,1.0999999999999999,600.0,34.599999999999994,0.0,0.491,0.1
40,40,116,2022,Paint Threat,Rebounding Specialist,Clint Capela,C,ATL,74.0,73.0,5.0,8.2,0.0,0.0,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,2.0,1.2,0.7,1.3,0.6,2.2,11.1,21.4,0.604,0.002,0.28,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,5.6,2.7,8.3,0.195,2.1,-0.1,2.0,2.1,2.2,0.765,0.225,0.007,0.002,29.5,16400.0,0.0,100.0,0.0010000000000000009,0.3
41,41,123,2022,Slasher,Paint Protector,Wendell Carter Jr.,PF,ORL,62.0,61.0,5.8,11.0,3.5,0.327,7.6,0.615,0.576,2.3,3.3,0.691,2.2,8.2,10.5,1.5,2.8,0.6,0.7,1.9,2.7,15.0,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,2.6,2.4,5.0,0.129,1.0,0.6,1.6,1.7,12.1,0.327,0.202,0.101,0.057,14.299999999999999,9000.0,10.299999999999999,100.0,0.31299999999999994,0.1
42,42,124,2022,No significant offensive role,Perimeter Defender,Alex Caruso,SG,CHI,41.0,18.0,2.5,6.2,3.1,0.333,3.2,0.462,0.48,1.4,1.8,0.795,0.8,2.8,3.6,2.9,4.0,1.7,0.4,1.4,2.6,7.4,11.7,0.528,0.492,0.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,0.7,1.2,2.0,0.082,-2.2,2.3,0.2,0.6,15.4,0.258,0.145,0.043,0.063,2.3,400.0,37.3,200.0,0.491,0.2
43,43,137,2022,No significant offensive role,No significant defensive role,Jordan Clarkson,SG,UTA,79.0,1.0,5.9,14.1,7.6,0.318,6.5,0.535,0.504,1.8,2.2,0.828,0.8,2.6,3.5,1.6,2.5,0.8,0.2,1.6,1.9,16.0,14.9,0.532,0.536,0.156,3.5,10.2,7.0,14.5,1.5,0.7,9.8,26.8,1.5,2.0,3.5,0.079,0.5,-1.2,-0.6,0.7,16.9,0.099,0.272,0.075,0.018,1.2,800.0,19.3,200.0,0.536,0.2
