,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,#,%3PA,Att.,%FGA 3P,std_areas_FGA
68,68,262,2022,Creator/Facilitator,Perimeter Defender,Josh Giddey,SF,OKC,54.0,54.0,5.2,12.4,3.9,0.263,8.5,0.492,0.461,1.0,1.5,0.709,1.8,6.0,7.8,2.0,6.4,0.9,0.4,3.2,1.6,12.5,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,12.7,0.196,0.336,0.097,0.054,0.8999999999999999,400.0,20.200000000000003,0.0,0.31699999999999995,0.1
69,69,263,2022,Creator/Facilitator,Perimeter Defender,Shai Gilgeous-Alexander,PG,OKC,56.0,56.0,8.5,18.8,5.3,0.3,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5.0,2.1,5.9,1.3,0.8,2.8,2.5,24.5,20.9,0.557,0.282,0.385,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,0.113,2.9,0.5,3.4,2.7,12.1,0.22,0.32,0.131,0.047,2.3,2300.0,7.7,0.0,0.2819999999999999,0.1
70,70,266,2022,Paint Threat,Paint Protector,Rudy Gobert,C,UTA,66.0,66.0,5.5,7.7,0.1,0.0,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11.0,14.7,0.6,1.1,0.7,2.1,1.8,2.7,15.6,24.7,0.732,0.008,0.864,12.9,36.3,25.0,5.1,1.0,5.7,14.5,16.9,7.3,4.3,11.7,0.264,2.9,1.7,4.6,3.6,2.7,0.738,0.244,0.008,0.002,49.4,23300.0,0.0,200.0,0.008000000000000007,0.3
71,71,269,2022,Slasher,No significant defensive role,Aaron Gordon,PF,DEN,75.0,75.0,5.8,11.1,3.5,0.335,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,1.4,2.5,0.6,0.6,1.8,2.0,15.0,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,11.5,0.381,0.169,0.084,0.054,17.299999999999997,13000.0,41.9,400.0,0.31199999999999994,0.1
72,72,270,2022,Pure Shooter/Stretcher,No significant defensive role,Eric Gordon,SG,HOU,57.0,46.0,4.7,9.9,5.3,0.412,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2.0,1.4,2.7,0.5,0.3,1.9,1.1,13.4,12.1,0.614,0.534,0.239,1.0,6.5,3.7,14.1,0.8,1.0,14.6,18.6,1.5,-0.1,1.4,0.04,-0.1,-2.2,-2.3,-0.1,16.2,0.238,0.2,0.021,0.007,0.5,300.0,6.6000000000000005,0.0,0.534,0.2
73,73,271,2022,No significant offensive role,No significant defensive role,Devonte' Graham,PG,NOP,76.0,63.0,3.9,10.7,7.4,0.341,3.3,0.413,0.481,1.6,1.8,0.843,0.5,1.8,2.3,3.0,4.2,0.9,0.2,1.4,1.3,11.9,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21.0,1.6,0.5,10.7,19.5,1.6,1.2,2.8,0.062,0.2,-1.2,-1.0,0.5,21.2,0.082,0.07,0.055,0.102,0.1,100.0,13.0,400.0,0.6910000000000001,0.2
74,74,273,2022,Versatile Scorer,No significant defensive role,Jerami Grant,PF,DET,47.0,47.0,6.3,14.9,5.4,0.358,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,1.3,2.4,0.9,1.0,1.8,2.3,19.2,16.1,0.556,0.363,0.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,1.2,1.1,2.3,0.075,1.4,-0.2,1.2,1.2,15.2,0.202,0.149,0.106,0.18,4.9,2900.0,35.8,100.0,0.363,0.1
75,75,276,2022,Slasher,Perimeter Defender,Draymond Green,PF,GSW,46.0,44.0,2.9,5.6,1.2,0.296,4.4,0.586,0.556,1.3,2.0,0.659,1.0,6.3,7.3,2.3,7.0,1.3,1.1,3.0,3.0,7.5,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,0.8,2.8,3.6,0.131,-1.4,4.6,3.2,1.8,9.8,0.315,0.377,0.058,0.039,9.3,2100.0,22.2,400.0,0.21099999999999997,0.1
76,76,277,2022,No significant offensive role,No significant defensive role,Jalen Green,SG,HOU,67.0,67.0,6.1,14.2,6.8,0.343,7.4,0.502,0.508,2.8,3.5,0.797,0.5,2.9,3.4,1.3,2.6,0.7,0.3,2.0,1.5,17.3,12.5,0.547,0.48,0.247,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,15.7,0.271,0.129,0.031,0.088,8.7,6900.0,14.6,100.0,0.481,0.2
77,77,280,2022,Slasher,No significant defensive role,Jeff Green,PF,DEN,75.0,63.0,3.7,7.1,2.2,0.315,4.8,0.62,0.574,2.2,2.6,0.833,0.5,2.5,3.1,1.4,1.3,0.4,0.4,0.9,2.0,10.3,12.5,0.627,0.318,0.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,0.101,-1.2,-1.3,-2.5,-0.2,11.3,0.342,0.233,0.078,0.03,15.299999999999999,7400.0,54.800000000000004,200.0,0.31699999999999995,0.1
78,78,286,2022,No significant offensive role,No significant defensive role,Tyrese Haliburton,SG-PG,TOT,77.0,77.0,5.6,11.8,5.1,0.414,6.8,0.517,0.562,2.1,2.5,0.842,0.8,3.2,4.0,3.2,8.2,1.7,0.6,2.6,1.6,15.3,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19.0,5.2,1.8,7.0,0.125,2.7,-0.1,2.6,3.1,16.7,0.13,0.183,0.158,0.101,2.8000000000000003,2500.0,13.900000000000002,900.0,0.42800000000000005,0.1
79,79,291,2022,No significant offensive role,No significant defensive role,Tim Hardaway Jr.,SG,DAL,42.0,20.0,5.0,12.6,7.2,0.336,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.8,2.2,0.9,0.1,0.8,1.8,14.2,12.7,0.52,0.574,0.194,1.2,12.8,7.0,11.4,1.5,0.4,5.6,22.0,0.5,1.5,2.0,0.077,-0.4,0.2,-0.2,0.6,19.6,0.094,0.092,0.098,0.142,3.4000000000000004,1500.0,19.400000000000002,400.0,0.574,0.2
80,80,292,2022,Creator/Facilitator,Perimeter Defender,James Harden,PG,TOT,65.0,65.0,6.3,15.3,6.9,0.33,8.4,0.476,0.485,7.2,8.2,0.877,0.8,6.8,7.7,2.3,10.3,1.3,0.6,4.4,2.4,22.0,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,4.9,2.7,7.6,0.152,3.7,0.3,4.0,3.7,14.6,0.231,0.232,0.061,0.024,0.6,600.0,4.9,0.0,0.45199999999999996,0.2
81,81,301,2022,No significant offensive role,No significant defensive role,Gary Harris,SG,ORL,61.0,30.0,3.9,9.1,5.0,0.384,4.1,0.494,0.539,1.4,1.6,0.874,0.6,1.4,2.0,1.8,1.8,1.0,0.1,1.0,1.8,11.1,10.9,0.571,0.546,0.172,2.2,5.3,3.7,9.5,1.6,0.5,9.3,16.4,1.1,1.0,2.2,0.06,-2.0,-0.4,-2.4,-0.2,17.2,0.145,0.152,0.051,0.107,1.4000000000000001,700.0,46.400000000000006,0.0,0.545,0.2
82,82,303,2022,Versatile Scorer,No significant defensive role,Tobias Harris,PF,PHI,73.0,73.0,6.8,14.0,3.8,0.367,10.2,0.525,0.532,2.3,2.8,0.842,1.1,5.7,6.8,2.2,3.5,0.6,0.6,1.6,2.2,17.2,15.9,0.566,0.269,0.198,3.4,18.1,10.9,15.9,0.9,1.5,9.5,21.7,3.0,2.6,5.6,0.105,0.6,-0.6,0.0,1.3,11.7,0.25,0.282,0.156,0.043,4.5,4300.0,26.200000000000003,100.0,0.2689999999999999,0.1
83,83,305,2022,No significant offensive role,Perimeter Defender,Josh Hart,SG,TOT,54.0,53.0,5.3,10.5,3.9,0.343,6.6,0.601,0.569,3.0,3.9,0.758,1.1,6.0,7.2,2.0,4.1,1.1,0.2,2.1,2.8,14.9,16.1,0.61,0.374,0.371,3.7,20.7,12.0,18.9,1.7,0.7,14.7,18.6,2.8,1.5,4.4,0.117,0.5,0.5,0.9,1.3,12.4,0.399,0.134,0.06,0.033,3.5000000000000004,1900.0,16.900000000000002,0.0,0.374,0.2
84,84,312,2022,No significant offensive role,Perimeter Defender,Killian Hayes,PG,DET,66.0,40.0,2.7,7.0,2.5,0.263,4.4,0.452,0.431,0.9,1.1,0.77,0.5,2.6,3.2,2.5,4.2,1.2,0.5,1.7,2.8,6.9,9.3,0.461,0.364,0.161,2.2,12.0,6.9,24.6,2.3,1.9,18.4,15.7,-1.0,1.5,0.5,0.014,-4.3,0.8,-3.5,-0.6,14.3,0.163,0.253,0.135,0.085,3.1,1300.0,35.9,0.0,0.364,0.1
85,85,313,2022,Versatile Scorer,No significant defensive role,Gordon Hayward,SF,CHO,49.0,48.0,5.8,12.6,4.5,0.391,8.1,0.496,0.528,2.6,3.0,0.846,0.8,3.8,4.6,2.1,3.6,1.0,0.4,1.7,1.7,15.9,15.1,0.57,0.357,0.241,2.5,12.8,7.6,16.1,1.4,1.3,10.6,20.7,1.9,1.0,2.8,0.087,0.1,-0.8,-0.7,0.5,14.4,0.214,0.173,0.157,0.099,3.2,1900.0,20.5,0.0,0.357,0.1
86,86,320,2022,Versatile Scorer,No significant defensive role,Tyler Herro,SG,MIA,66.0,10.0,7.6,17.0,6.7,0.399,10.3,0.477,0.525,2.9,3.3,0.868,0.5,4.5,5.0,1.5,4.0,0.7,0.1,2.6,1.4,20.7,16.2,0.561,0.391,0.195,1.7,15.4,8.7,20.9,1.0,0.4,12.5,28.8,1.3,2.4,3.8,0.084,1.6,-0.9,0.7,1.5,16.0,0.137,0.193,0.156,0.123,1.4000000000000001,1400.0,20.7,500.0,0.391,0.1
87,87,321,2022,No significant offensive role,No significant defensive role,Buddy Hield,SG,TOT,81.0,32.0,5.5,13.6,8.8,0.366,4.7,0.482,0.526,1.4,1.6,0.874,0.8,3.5,4.4,1.5,2.8,0.9,0.3,1.9,2.3,15.6,12.9,0.548,0.652,0.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,0.8,1.1,1.9,0.036,0.5,-1.7,-1.2,0.5,19.7,0.132,0.083,0.069,0.064,0.6,700.0,15.4,200.0,0.6519999999999999,0.2
88,88,336,2022,Creator/Facilitator,Perimeter Defender,Jrue Holiday,PG,MIL,67.0,64.0,7.1,14.2,4.8,0.411,9.4,0.547,0.57,2.0,2.7,0.761,1.0,3.5,4.5,2.5,6.8,1.6,0.4,2.7,2.0,18.3,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15.0,23.5,4.5,2.4,6.9,0.15,2.9,0.3,3.2,2.9,13.6,0.222,0.246,0.124,0.071,0.4,400.0,10.299999999999999,100.0,0.3370000000000001,0.1
89,89,337,2022,No significant offensive role,No significant defensive role,Justin Holiday,SF-SG,TOT,74.0,65.0,3.5,8.9,6.5,0.367,2.4,0.467,0.528,0.7,0.8,0.806,0.4,2.2,2.6,1.9,1.7,0.8,0.4,0.9,2.1,10.1,9.5,0.543,0.728,0.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,0.8,0.6,1.4,0.033,-1.4,-0.8,-2.2,-0.1,20.7,0.104,0.048,0.044,0.076,2.1,1200.0,28.799999999999997,100.0,0.728,0.3
90,90,345,2022,No significant offensive role,Switchable Defender,Al Horford,C,BOS,69.0,69.0,3.9,8.2,3.8,0.336,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.8,3.4,0.7,1.3,0.9,1.9,10.2,16.7,0.574,0.466,0.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2,15.3,0.17,0.243,0.069,0.053,5.6000000000000005,3100.0,27.900000000000002,0.0,0.46499999999999997,0.1
91,91,346,2022,No significant offensive role,No significant defensive role,Talen Horton-Tucker,SG,LAL,60.0,19.0,3.7,9.0,3.0,0.269,5.9,0.492,0.462,1.7,2.1,0.8,0.6,2.6,3.2,1.9,2.7,1.0,0.5,1.4,2.5,10.0,11.0,0.503,0.338,0.232,2.6,11.1,6.9,14.9,1.9,1.7,12.1,19.2,-0.2,1.2,1.1,0.033,-3.2,-0.2,-3.3,-0.5,12.8,0.297,0.204,0.1,0.059,3.5000000000000004,1600.0,18.7,0.0,0.3400000000000001,0.1
92,92,353,2022,Pure Shooter/Stretcher,No significant defensive role,Kevin Huerter,SF,ATL,74.0,60.0,4.7,10.3,5.6,0.389,4.7,0.53,0.559,0.6,0.7,0.808,0.4,3.0,3.4,2.3,2.7,0.7,0.4,1.2,2.5,12.1,11.9,0.57,0.541,0.068,1.6,11.0,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1.0,2.8,0.062,-0.5,-0.7,-1.2,0.4,18.0,0.109,0.136,0.136,0.079,0.4,300.0,26.0,200.0,0.54,0.2
93,93,359,2022,No significant offensive role,No significant defensive role,De'Andre Hunter,SF,ATL,53.0,52.0,4.8,10.8,3.7,0.379,7.2,0.474,0.506,2.4,3.1,0.765,0.5,2.8,3.3,1.0,1.3,0.7,0.4,1.3,2.9,13.4,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,0.034,-2.4,-1.5,-3.9,-0.8,13.9,0.219,0.179,0.153,0.11,4.3,2200.0,40.5,0.0,0.33899999999999997,0.1
94,94,367,2022,No significant offensive role,No significant defensive role,Joe Ingles,SF,UTA,45.0,15.0,2.6,6.3,5.0,0.347,1.3,0.617,0.54,0.4,0.5,0.773,0.3,2.6,2.9,3.5,3.5,0.5,0.1,1.0,1.8,7.2,10.0,0.551,0.789,0.077,1.2,11.2,6.4,19.0,1.0,0.4,13.5,13.2,1.3,0.9,2.2,0.094,-0.7,0.5,-0.3,0.5,21.3,0.039,0.147,0.014,0.011,0.0,0.0,18.7,0.0,0.7889999999999999,0.3
95,95,368,2022,Creator/Facilitator,No significant defensive role,Brandon Ingram,SF,NOP,55.0,55.0,8.2,17.9,4.1,0.327,13.8,0.501,0.498,4.8,5.9,0.826,0.6,5.2,5.8,2.1,5.6,0.6,0.5,2.7,2.2,22.7,18.7,0.554,0.23,0.328,2.0,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,0.099,2.6,-0.6,2.0,1.9,14.6,0.14,0.152,0.249,0.229,4.5,3900.0,13.3,300.0,0.22999999999999998,0.0
96,96,369,2022,Creator/Facilitator,No significant defensive role,Kyrie Irving,PG,BRK,29.0,29.0,10.0,21.2,8.2,0.418,13.0,0.501,0.55,4.1,4.4,0.915,0.6,3.8,4.4,2.3,5.8,1.4,0.6,2.5,2.8,27.4,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,2.4,0.9,3.3,0.147,4.2,-1.2,3.0,1.4,16.5,0.093,0.188,0.203,0.128,0.2,100.0,14.6,0.0,0.3879999999999999,0.1
97,97,373,2022,No significant offensive role,Perimeter Defender,Jaren Jackson Jr.,PF,MEM,78.0,78.0,5.5,13.3,5.1,0.319,8.1,0.476,0.477,3.6,4.4,0.823,1.5,4.3,5.8,0.6,1.1,0.9,2.3,1.7,3.5,16.3,17.0,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1.0,13.1,0.218,0.335,0.055,0.005,5.1,4600.0,17.5,100.0,0.3869999999999999,0.2
98,98,380,2022,Versatile Scorer,No significant defensive role,Reggie Jackson,SG,LAC,75.0,75.0,6.4,16.3,6.8,0.326,9.5,0.439,0.46,1.8,2.2,0.847,0.5,3.1,3.6,2.1,4.8,0.7,0.2,2.3,2.1,16.8,12.1,0.488,0.419,0.133,1.8,10.2,6.1,24.6,1.2,0.5,11.8,27.6,-1.7,2.0,0.4,0.008,-1.4,-1.6,-3.0,-0.6,16.3,0.145,0.19,0.106,0.14,1.0999999999999999,1000.0,18.6,200.0,0.41900000000000004,0.1
99,99,381,2022,Creator/Facilitator,Perimeter Defender,LeBron James,C,LAL,56.0,56.0,11.4,21.8,8.0,0.359,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,1.8,6.2,1.3,1.1,3.5,2.2,30.3,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,13.8,0.325,0.141,0.073,0.094,7.000000000000001,8500.0,7.3999999999999995,0.0,0.3670000000000001,0.1
100,100,392,2022,Pure Shooter/Stretcher,Perimeter Defender,Cameron Johnson,PF,PHO,66.0,16.0,4.2,9.2,5.9,0.425,3.3,0.523,0.596,1.5,1.7,0.86,0.6,3.5,4.1,2.1,1.5,0.9,0.2,0.7,1.7,12.5,15.2,0.625,0.644,0.188,2.7,14.0,8.5,7.7,1.6,0.8,6.7,17.5,3.2,2.4,5.6,0.156,2.0,0.7,2.7,2.1,18.6,0.127,0.147,0.041,0.041,3.5000000000000004,1900.0,36.8,100.0,0.644,0.2
101,101,397,2022,Slasher,No significant defensive role,Keldon Johnson,SF,SAS,75.0,74.0,6.3,13.5,5.3,0.398,8.2,0.51,0.545,2.4,3.1,0.756,1.1,5.0,6.1,1.8,2.1,0.8,0.2,1.2,2.0,17.0,15.2,0.574,0.395,0.231,3.5,16.7,10.0,9.5,1.2,0.5,7.6,21.3,2.9,2.0,4.9,0.098,0.7,-1.2,-0.5,0.9,13.4,0.218,0.295,0.064,0.029,2.8000000000000003,2500.0,22.8,100.0,0.394,0.1
102,102,405,2022,Creator/Facilitator,Paint Protector,Nikola Jokić,C,DEN,74.0,74.0,10.3,17.7,3.9,0.337,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,2.1,7.9,1.5,0.9,3.8,2.6,27.1,32.8,0.661,0.22,0.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,10.2,0.268,0.384,0.082,0.046,2.5,3100.0,3.8,300.0,0.21999999999999997,0.1
103,103,411,2022,Slasher,Perimeter Defender,Herbert Jones,PF,NOP,78.0,69.0,3.5,7.4,2.2,0.337,5.2,0.533,0.525,1.8,2.1,0.84,1.3,2.5,3.8,1.6,2.1,1.7,0.8,1.3,3.1,9.5,12.3,0.573,0.293,0.283,4.5,9.6,7.0,10.0,2.7,2.5,13.4,13.7,2.1,2.5,4.6,0.096,-2.0,1.5,-0.5,0.9,10.7,0.413,0.205,0.016,0.073,10.4,5200.0,52.1,100.0,0.29300000000000004,0.1
104,104,421,2022,No significant offensive role,No significant defensive role,Cory Joseph,PG,DET,65.0,39.0,2.7,6.2,2.4,0.414,3.7,0.465,0.526,1.5,1.7,0.885,0.4,2.2,2.7,2.8,3.6,0.6,0.3,1.3,2.3,8.0,11.4,0.579,0.393,0.283,1.9,10.3,5.9,21.8,1.3,1.0,15.9,14.3,1.7,0.8,2.5,0.075,-2.0,-0.1,-2.1,0.0,14.7,0.22,0.21,0.065,0.113,0.3,0.0,24.8,200.0,0.392,0.1
105,105,426,2022,Pure Shooter/Stretcher,No significant defensive role,Luke Kennard,SG,LAC,70.0,13.0,4.1,9.1,6.0,0.449,3.1,0.449,0.598,1.0,1.1,0.896,0.3,3.0,3.3,2.3,2.1,0.6,0.1,0.9,1.4,11.9,13.3,0.619,0.662,0.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,0.113,0.8,-0.3,0.5,1.2,20.8,0.05,0.086,0.121,0.081,0.0,0.0,14.2,0.0,0.6619999999999999,0.2
106,106,433,2022,No significant offensive role,Switchable Defender,Maxi Kleber,PF,DAL,59.0,21.0,2.4,6.0,4.3,0.325,1.7,0.586,0.516,0.8,1.1,0.708,1.2,4.7,5.9,1.5,1.2,0.5,1.0,0.8,2.3,7.0,11.0,0.537,0.72,0.184,5.4,21.5,13.4,6.5,1.0,3.6,10.9,13.3,0.7,2.3,3.0,0.098,-1.6,1.2,-0.4,0.6,19.9,0.164,0.051,0.04,0.025,5.6000000000000005,2000.0,23.1,100.0,0.72,0.3
107,107,448,2022,Versatile Scorer,Rebounding Specialist,Kyle Kuzma,PF,WAS,66.0,66.0,6.4,14.2,5.7,0.341,8.5,0.526,0.52,2.4,3.3,0.712,1.1,7.4,8.5,1.3,3.5,0.6,0.9,2.6,1.9,17.1,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0.0,2.0,2.0,0.044,0.2,-0.4,-0.2,1.0,14.8,0.167,0.26,0.108,0.065,2.4,1900.0,22.7,100.0,0.3999999999999999,0.1
108,108,458,2022,Versatile Scorer,No significant defensive role,Zach LaVine,SG,CHI,67.0,67.0,8.4,17.7,7.1,0.389,10.6,0.534,0.554,4.8,5.6,0.853,0.3,4.3,4.6,1.7,4.5,0.6,0.3,2.6,1.8,24.4,20.0,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,0.12,3.9,-1.5,2.4,2.6,15.2,0.264,0.103,0.086,0.147,5.5,6200.0,13.900000000000002,0.0,0.4,0.1
109,109,463,2022,Versatile Scorer,No significant defensive role,Caris LeVert,SG,TOT,58.0,49.0,6.5,14.7,4.4,0.32,10.3,0.497,0.492,2.5,3.3,0.756,0.7,2.9,3.7,2.3,4.3,0.9,0.4,1.9,2.3,17.0,15.1,0.525,0.3,0.226,2.7,10.7,6.7,22.0,1.4,1.1,10.3,25.4,1.2,1.0,2.2,0.059,0.0,-1.2,-1.2,0.4,12.8,0.207,0.26,0.201,0.032,2.3,2000.0,12.9,0.0,0.30000000000000004,0.1
110,110,468,2022,Creator/Facilitator,No significant defensive role,Damian Lillard,PG,POR,29.0,29.0,7.7,19.0,9.8,0.324,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,2.5,7.3,0.6,0.4,2.9,1.3,24.0,18.5,0.55,0.514,0.328,1.3,11.6,6.2,34.0,0.8,1.0,11.6,29.3,1.7,0.1,1.7,0.079,4.0,-2.7,1.3,0.9,17.9,0.239,0.071,0.074,0.101,0.5,200.0,5.6000000000000005,0.0,0.515,0.2
111,111,469,2022,No significant offensive role,No significant defensive role,Nassir Little,SF,POR,42.0,23.0,3.5,7.5,3.7,0.331,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,1.3,0.6,0.9,1.0,2.0,9.8,13.5,0.575,0.489,0.298,5.7,18.7,11.9,7.4,1.1,3.3,10.1,15.8,1.2,0.6,1.7,0.076,-0.9,-0.6,-1.4,0.2,14.9,0.283,0.14,0.038,0.051,11.4,3200.0,27.900000000000002,0.0,0.488,0.2
112,112,478,2022,Pure Shooter/Stretcher,Perimeter Defender,Kyle Lowry,PG,MIA,63.0,63.0,4.4,10.0,6.1,0.377,3.9,0.539,0.555,2.3,2.8,0.851,0.5,4.0,4.5,2.8,7.5,1.1,0.3,2.7,2.8,13.4,15.0,0.6,0.609,0.278,1.8,13.0,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.143,1.1,0.8,2.0,2.1,19.8,0.121,0.091,0.091,0.088,0.0,0.0,14.7,400.0,0.609,0.2
113,113,487,2022,Slasher,No significant defensive role,Terance Mann,SF,LAC,81.0,33.0,4.1,8.5,2.6,0.365,6.0,0.535,0.539,1.6,2.0,0.78,1.3,4.0,5.2,2.6,2.6,0.7,0.3,1.0,2.2,10.8,13.4,0.572,0.301,0.238,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16.0,3.1,2.4,5.5,0.113,-0.8,0.2,-0.6,0.8,12.3,0.313,0.18,0.138,0.068,9.9,5600.0,38.9,500.0,0.30099999999999993,0.1
114,114,490,2022,No significant offensive role,No significant defensive role,Lauri Markkanen,SF,CLE,61.0,61.0,5.1,11.5,6.2,0.358,5.3,0.548,0.542,2.3,2.6,0.868,1.0,4.7,5.7,1.4,1.3,0.7,0.5,0.9,2.1,14.8,14.7,0.582,0.541,0.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,2.7,2.3,5.0,0.127,0.4,-0.1,0.4,1.1,16.5,0.226,0.144,0.061,0.028,8.1,5200.0,20.0,0.0,0.5409999999999999,0.2
115,115,493,2022,No significant offensive role,Perimeter Defender,Cody Martin,SF,CHO,71.0,11.0,2.9,6.0,2.2,0.384,3.7,0.542,0.554,1.1,1.5,0.701,1.2,2.9,4.0,2.8,2.5,1.2,0.5,0.9,1.6,7.7,12.7,0.579,0.376,0.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,2.4,1.5,3.9,0.101,-1.2,0.7,-0.5,0.7,12.1,0.39,0.137,0.045,0.052,9.2,3400.0,59.699999999999996,100.0,0.3759999999999999,0.2
116,116,498,2022,No significant offensive role,No significant defensive role,Garrison Mathews,SG,HOU,65.0,33.0,2.8,7.1,5.9,0.36,1.2,0.6,0.55,2.2,2.8,0.794,0.5,2.4,2.9,1.7,1.0,0.9,0.4,0.6,2.6,10.0,11.0,0.602,0.837,0.39,2.0,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,0.078,-1.3,-1.0,-2.3,-0.1,22.5,0.104,0.041,0.009,0.009,2.4,1000.0,24.4,0.0,0.837,0.3
117,117,501,2022,Slasher,No significant defensive role,Tyrese Maxey,PG,PHI,75.0,74.0,6.4,13.3,4.1,0.427,9.1,0.512,0.552,2.8,3.3,0.866,0.3,2.9,3.2,3.6,4.3,0.7,0.4,1.2,2.1,17.5,16.2,0.594,0.311,0.247,1.1,8.9,5.1,19.1,1.0,1.1,7.4,20.2,5.4,1.9,7.3,0.132,1.3,-0.7,0.6,1.8,12.9,0.258,0.237,0.121,0.073,1.7000000000000002,1400.0,18.099999999999998,200.0,0.31100000000000005,0.1
118,118,508,2022,Creator/Facilitator,No significant defensive role,CJ McCollum,SG-PG,TOT,62.0,62.0,8.6,18.8,7.6,0.388,11.2,0.509,0.539,1.9,2.7,0.682,0.9,3.5,4.3,2.6,5.1,1.1,0.4,2.0,2.0,22.1,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.081,3.2,-1.3,1.9,2.1,16.2,0.127,0.183,0.162,0.125,0.3,400.0,13.0,0.0,0.403,0.1
119,119,511,2022,No significant offensive role,Perimeter Defender,T.J. McConnell,PG,IND,27.0,8.0,3.7,7.7,1.2,0.303,6.5,0.514,0.505,0.7,0.9,0.826,0.7,2.6,3.3,4.5,4.9,1.1,0.4,1.1,2.0,8.5,15.1,0.525,0.159,0.111,3.4,12.2,7.7,28.7,2.2,1.3,11.7,16.2,1.0,0.4,1.3,0.098,-0.4,1.4,0.9,0.5,10.0,0.274,0.332,0.173,0.063,0.0,0.0,33.300000000000004,200.0,0.15799999999999992,0.1
