,level_0,index,Player,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,AST/TOV,AST/TOV ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
176,176,774,Russell Westbrook,PG,5,LAL,5,78,1,78,1,7.0,3,15.8,3,3.4,8,0.3,8,12.4,2,0.5,7,0.5,7,3.4,3,5.1,2,0.7,9,1.4,3,6.0,2,7.4,3,7.1,1,1.9,6,1.0,4,0.3,8,3.8,1,3.0,1,18.5,3,15.0,6,0.5,9,0.2,9,0.3,3,4.4,3,18.8,3,11.6,3,31.6,1,1.3,7,0.7,9,17.3,1,27.3,2,-0.6,10,2.3,4,1.7,9,0.0,10,-0.7,8,-0.9,8,-1.6,9,0.2,9,10.8,9,33.300000000000004,2,23.200000000000003,4,10.6,4,11.4,2,21.499999999999986,9,8.4,10
177,177,775,Coby White,PG,5,CHI,5,61,7,17,10,4.6,7,10.6,7,5.8,4,0.4,3,4.8,8,0.5,7,0.5,7,1.3,8,1.5,8,0.9,2,0.3,10,2.7,9,3.0,9,2.9,6,2.6,2,0.5,10,0.2,9,1.1,8,2.2,6,12.7,7,12.6,8,0.6,5,0.6,2,0.1,9,1.1,10,11.0,8,6.1,9,15.0,6,0.8,10,0.6,9,9.3,8,19.8,6,1.6,7,0.8,9,2.4,8,0.1,6,-0.4,7,-1.7,10,-2.1,9,0.0,9,17.4,3,18.3,6,13.0,8,6.5,7,7.3,5,54.900000000000006,2,18.0,3
178,178,776,Derrick White,SG,5,TOT,5,75,3,52,6,4.5,7,10.7,6,4.9,5,0.3,8,5.7,7,0.5,7,0.5,7,2.7,4,3.1,4,0.9,2,0.5,8,3.0,8,3.5,8,4.9,3,3.1,1,0.9,5,0.8,3,1.6,6,2.3,5,13.2,6,14.8,6,0.6,5,0.5,3,0.3,3,1.8,8,10.7,8,6.3,8,22.9,3,1.4,6,2.3,3,11.6,5,19.9,6,2.8,4,2.3,4,5.1,4,0.1,6,0.4,6,0.6,4,0.9,5,1.6,4,15.4,5,15.9,7,23.1,4,12.0,4,2.9000000000000004,8,46.1,4,14.6,6
179,179,781,Aaron Wiggins,SG,5,OKC,5,50,9,35,8,3.1,9,6.7,9,2.8,9,0.3,8,4.0,9,0.6,2,0.5,7,1.2,8,1.7,8,0.7,9,1.0,4,2.5,9,3.6,8,1.4,9,1.3,9,0.6,9,0.2,9,1.1,8,1.9,8,8.3,10,10.3,10,0.6,5,0.4,6,0.2,6,4.3,3,11.0,8,7.6,6,8.5,9,1.2,8,0.8,8,12.6,4,15.3,9,0.5,9,0.8,9,1.2,10,0.0,10,-3.4,10,-0.9,8,-4.3,10,-0.7,10,12.7,8,24.9,4,31.8,1,1.7999999999999998,10,0.6,10,40.9,5,16.2,4
180,180,782,Andrew Wiggins,SF,5,GSW,5,73,3,73,2,6.5,3,14.0,4,5.5,4,0.4,3,8.5,4,0.5,7,0.5,7,2.0,6,3.2,4,0.6,10,1.2,3,3.3,7,4.5,6,2.2,7,1.5,8,1.0,4,0.7,3,1.5,6,2.2,6,17.2,4,15.0,6,0.6,5,0.4,6,0.2,6,4.1,4,10.9,8,7.6,6,10.8,7,1.6,4,2.1,3,9.0,8,23.1,4,1.8,6,3.4,1,5.1,4,0.1,6,0.3,6,0.1,5,0.4,6,1.4,5,14.9,6,16.1,7,24.2,3,9.4,5,11.1,3,39.2,6,10.9,8
181,181,785,Grant Williams,PF,5,BOS,5,77,2,21,9,2.7,10,5.6,10,3.4,8,0.4,3,2.3,10,0.6,2,0.6,2,1.1,9,1.2,9,0.9,2,0.8,5,2.7,9,3.6,8,1.0,10,1.2,9,0.5,10,0.7,3,0.8,10,2.4,4,7.8,10,11.2,9,0.6,5,0.6,2,0.2,6,3.8,4,11.8,7,7.9,6,5.7,10,1.0,9,2.8,2,11.6,5,12.6,10,2.4,5,2.6,3,5.1,4,0.1,6,-1.4,9,1.1,2,-0.4,7,0.8,7,16.6,3,18.5,6,16.900000000000002,6,3.5000000000000004,9,1.4000000000000001,9,59.699999999999996,2,21.0,2
182,182,789,Robert Williams,C,5,BOS,5,61,7,61,5,4.4,7,6.0,10,0.0,10,0.0,10,6.0,6,0.7,1,0.7,1,1.1,9,1.5,8,0.7,9,3.9,1,5.7,3,9.6,1,2.0,8,2.0,5,0.9,5,2.2,1,1.0,8,2.2,6,10.0,9,22.1,1,0.7,1,0.0,10,0.2,6,14.6,1,20.5,2,17.6,1,9.7,8,1.5,5,6.8,1,13.4,3,11.5,10,6.0,1,3.9,1,9.9,1,0.3,1,2.4,3,3.1,1,5.5,1,3.4,2,2.4,10,77.2,1,19.8,5,1.4000000000000001,10,1.4000000000000001,9,0.19999999999998863,10,29.5,1
183,183,797,Christian Wood,C,5,HOU,5,68,5,67,4,6.5,3,12.9,4,4.9,5,0.4,3,8.0,4,0.6,2,0.6,2,3.0,3,4.9,2,0.6,10,1.6,2,8.5,1,10.1,1,2.3,7,1.2,9,0.8,7,1.0,2,1.9,4,2.5,3,17.9,3,19.1,3,0.6,5,0.4,6,0.4,2,5.7,3,30.4,1,18.0,1,12.2,7,1.2,8,2.8,2,11.0,6,23.3,4,2.9,4,2.0,5,4.9,5,0.1,6,2.1,3,-0.4,7,1.6,4,1.9,3,13.0,7,31.2,3,21.099999999999998,4,5.4,8,4.1000000000000005,7,38.2,6,13.6,6
184,184,808,Trae Young,PG,5,ATL,5,76,2,76,1,9.4,1,20.3,1,8.0,1,0.4,3,12.3,2,0.5,7,0.5,7,6.6,1,7.3,1,0.9,2,0.7,6,3.1,7,3.7,8,9.7,1,2.4,3,0.9,5,0.1,10,4.0,1,1.7,9,28.4,1,25.4,1,0.6,5,0.4,6,0.4,2,2.1,7,9.6,9,5.9,9,46.7,1,1.3,7,0.2,10,14.5,2,34.4,1,9.0,1,1.0,9,10.0,1,0.2,2,7.1,1,-2.0,10,5.2,1,4.8,1,16.5,4,15.9,7,20.4,5,11.600000000000001,4,12.6,2,39.5,6,10.2,8
185,185,811,Ivica Zubac,C,5,LAC,5,76,2,76,1,4.1,8,6.5,10,0.0,10,,10,6.5,6,0.6,2,0.6,2,2.2,5,3.0,5,0.7,9,2.9,1,5.6,3,8.5,2,1.6,9,1.1,10,0.5,10,1.0,2,1.5,6,2.7,2,10.3,8,19.2,2,0.7,1,0.0,10,0.5,1,12.8,1,23.7,2,18.4,1,9.8,8,1.0,9,3.5,2,16.1,2,16.8,8,4.3,2,2.9,2,7.2,2,0.2,2,-0.1,7,0.8,3,0.7,5,1.3,5,3.4,10,57.99999999999999,1,38.2,1,3.2,9,0.6,10,1.4210854715202004e-14,10,23.8,2
