,level_0,index,Player,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,AST/TOV,AST/TOV ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
152,152,645,D'Angelo Russell,PG,5,MIN,5,65,7,65,4,6.2,4,15.0,3,8.0,1,0.3,8,7.0,5,0.5,7,0.5,7,3.0,3,3.7,3,0.8,5,0.4,9,2.9,8,3.3,9,7.1,1,2.8,2,1.0,4,0.3,8,2.5,3,2.0,7,18.1,3,16.3,4,0.5,9,0.5,3,0.2,6,1.3,10,10.1,9,5.6,10,33.1,1,1.4,6,1.0,7,13.2,3,25.1,3,2.9,4,1.5,7,4.4,5,0.1,6,2.2,3,-1.5,10,0.8,5,1.4,5,18.2,2,12.8,8,12.8,8,10.4,5,10.9,3,53.1,3,16.6,4
153,153,647,Domantas Sabonis,PF,5,TOT,5,62,7,61,5,7.1,3,12.5,5,2.0,9,0.3,8,10.5,2,0.6,2,0.6,2,4.0,2,5.4,2,0.7,9,3.2,1,8.9,1,12.1,1,5.2,3,1.7,7,1.0,4,0.4,6,3.1,1,3.3,1,18.9,3,21.9,1,0.6,5,0.2,9,0.4,2,10.3,1,29.0,1,19.5,1,23.6,3,1.3,7,1.1,6,17.5,1,22.3,5,5.3,1,1.8,6,7.1,2,0.2,2,3.2,2,0.9,3,4.1,1,3.2,2,7.6,10,48.5,1,26.5,2,4.7,8,4.1000000000000005,7,16.200000000000003,9,16.5,4
154,154,657,Dennis Schröder,PG,5,TOT,5,64,7,29,9,4.9,6,11.3,6,3.9,7,0.3,8,7.4,5,0.5,7,0.5,7,2.5,4,2.9,5,0.8,5,0.5,8,2.8,9,3.3,9,4.6,3,2.1,4,0.8,7,0.1,10,2.2,3,2.4,4,13.5,6,13.0,8,0.5,9,0.3,8,0.2,6,2.0,7,10.5,9,6.3,8,24.2,3,1.4,6,0.4,10,15.1,2,22.6,4,1.0,8,1.9,6,2.9,7,0.1,6,-1.5,9,-0.4,7,-1.9,9,0.0,9,14.7,6,16.900000000000002,7,22.8,4,12.6,3,13.3,2,34.39999999999999,7,8.1,10
155,155,667,Pascal Siakam,PF,5,TOR,5,68,5,68,3,8.8,1,17.8,2,3.2,8,0.3,8,14.5,1,0.5,7,0.5,7,4.2,2,5.6,2,0.8,5,1.9,2,6.6,2,8.5,2,5.3,2,2.0,5,1.3,2,0.6,4,2.7,2,3.3,1,22.8,2,20.3,2,0.6,5,0.2,9,0.3,3,5.1,3,20.1,3,12.2,3,23.0,3,1.6,4,1.6,4,11.6,5,25.8,3,4.9,2,3.2,2,8.1,1,0.2,2,2.7,2,0.8,3,3.5,2,3.6,1,11.2,9,21.6,5,34.0,1,13.200000000000001,3,13.200000000000001,2,18.0,9,7.7,10
156,156,672,Anfernee Simons,SG,5,POR,5,57,8,30,9,6.2,4,14.0,4,7.8,1,0.4,3,6.2,6,0.5,7,0.6,2,1.8,6,2.0,7,0.9,2,0.5,8,2.2,10,2.6,10,3.9,4,2.0,5,0.5,10,0.1,10,2.0,4,1.9,8,17.3,4,15.3,5,0.6,5,0.6,2,0.2,6,1.6,9,8.5,10,4.9,10,22.2,4,0.9,10,0.4,10,11.9,5,24.8,3,2.0,6,-0.1,10,1.9,9,0.1,6,1.9,3,-2.7,10,-0.7,8,0.5,8,19.0,2,11.3,9,11.799999999999999,9,10.9,4,10.5,3,55.5,2,17.8,3
157,157,679,Marcus Smart,PG,5,BOS,5,71,4,71,3,4.2,7,10.1,7,5.1,5,0.3,8,5.0,7,0.5,7,0.5,7,2.0,6,2.5,6,0.8,5,0.6,7,3.2,7,3.8,7,5.9,2,2.7,2,1.7,1,0.3,8,2.2,3,2.3,5,12.1,7,13.6,7,0.5,9,0.5,3,0.2,6,2.0,7,10.5,9,6.4,8,25.6,3,2.6,1,0.7,9,16.6,1,18.3,7,1.9,6,3.7,1,5.6,3,0.1,6,-1.2,9,1.7,1,0.5,5,1.5,4,16.1,4,14.6,8,25.1,3,7.5,6,2.6,8,50.199999999999996,3,16.9,4
158,158,702,Isaiah Stewart,C,5,DET,5,71,4,71,3,3.5,9,6.9,9,0.6,10,0.3,8,6.3,6,0.5,7,0.5,7,1.0,9,1.5,8,0.7,9,3.2,1,5.5,3,8.7,2,1.2,10,1.0,10,0.3,10,1.1,1,1.2,7,3.0,1,8.3,10,14.0,7,0.6,5,0.1,10,0.2,6,12.8,1,24.5,1,18.4,1,6.9,9,0.6,10,3.9,1,13.7,3,14.6,9,1.6,7,1.8,6,3.4,7,0.1,6,-2.5,10,-0.8,8,-3.3,10,-0.6,10,5.6,10,58.4,1,24.3,3,3.9,9,4.1000000000000005,7,9.299999999999997,10,20.6,2
159,159,704,Jalen Suggs,PG,5,ORL,5,48,9,45,7,4.1,8,11.4,6,4.1,7,0.2,10,7.3,5,0.4,10,0.4,10,2.6,4,3.4,4,0.8,5,0.5,8,3.0,8,3.6,8,4.4,3,1.5,8,1.2,3,0.4,6,3.0,2,3.0,1,11.8,7,8.6,10,0.5,9,0.4,6,0.3,3,2.1,7,11.7,7,6.9,7,24.9,3,2.2,2,1.3,5,18.7,1,25.3,3,-3.0,10,1.3,8,-1.6,10,-0.1,10,-5.3,10,-0.2,6,-5.6,10,-1.2,10,13.3,7,26.3,4,24.5,3,6.9,6,6.6000000000000005,6,35.7,7,11.5,7
160,160,707,Jae'Sean Tate,PF,5,HOU,5,78,1,77,1,4.7,7,9.3,7,2.6,9,0.3,8,6.8,5,0.6,2,0.5,7,1.7,7,2.4,6,0.7,9,1.7,2,3.7,6,5.4,4,2.8,6,1.6,7,0.9,5,0.5,4,1.8,5,3.7,1,11.8,7,14.3,7,0.6,5,0.3,8,0.2,6,7.2,2,15.3,4,11.2,3,16.9,5,1.7,4,1.8,4,14.6,2,19.6,6,1.9,6,1.1,8,3.0,7,0.1,6,-1.3,9,-0.5,7,-1.8,9,0.1,9,9.2,9,41.4,1,29.5,2,1.0,10,0.4,10,27.69999999999999,8,16.4,4
161,161,708,Jayson Tatum,SF,5,BOS,5,76,2,76,1,9.3,1,20.6,1,8.6,1,0.4,3,12.0,2,0.5,7,0.5,7,5.3,1,6.2,1,0.8,5,1.1,4,6.9,2,8.0,2,4.4,3,1.5,8,1.0,4,0.6,4,2.9,2,2.3,5,26.9,1,21.8,2,0.6,5,0.4,6,0.3,3,3.5,4,20.2,3,12.1,3,21.1,4,1.4,6,1.6,4,10.9,6,32.1,1,5.0,2,4.6,1,9.6,1,0.2,2,4.3,1,0.6,4,5.0,1,4.8,1,15.2,5,22.0,5,17.599999999999998,6,8.799999999999999,5,10.0,3,41.60000000000001,5,11.8,7
162,162,724,Klay Thompson,SG,5,GSW,5,32,10,32,8,7.7,2,17.9,2,9.3,1,0.4,3,8.7,4,0.5,7,0.5,7,1.4,8,1.6,8,0.9,2,0.5,8,3.4,7,3.9,7,2.8,6,2.2,4,0.5,10,0.5,4,1.3,7,1.7,9,20.4,2,16.7,4,0.6,5,0.5,3,0.1,9,1.8,8,12.4,6,7.3,7,16.1,5,0.8,10,1.7,4,6.7,10,29.6,1,0.6,9,1.2,8,1.8,9,0.1,6,2.6,2,-1.6,10,1.1,4,0.7,7,18.9,2,6.1,10,12.9,8,16.2,2,13.100000000000001,2,51.699999999999996,3,16.2,4
163,163,730,Matisse Thybulle,SG,5,PHI,5,66,6,50,7,2.3,10,4.5,10,2.2,9,0.3,8,2.4,10,0.7,1,0.6,2,0.5,10,0.7,10,0.8,5,0.6,7,1.7,10,2.3,10,1.1,10,1.8,6,1.7,1,1.1,1,0.6,10,2.4,4,5.7,10,11.2,9,0.6,5,0.5,3,0.1,9,2.8,6,7.1,10,5.0,10,6.1,10,3.4,1,3.8,1,10.9,6,9.5,10,1.2,8,2.5,3,3.7,6,0.1,6,-2.2,10,3.3,1,1.1,4,1.3,5,13.1,7,40.699999999999996,1,9.700000000000001,9,1.7000000000000002,10,0.0,10,47.9,4,20.2,2
164,164,736,Karl-Anthony Towns,C,5,MIN,5,74,3,74,2,8.7,1,16.4,2,4.9,5,0.4,3,11.5,2,0.6,2,0.6,2,5.2,1,6.3,1,0.8,5,2.6,1,7.2,1,9.8,1,3.6,5,1.2,9,1.0,4,1.1,1,3.1,1,3.6,1,24.6,1,24.1,1,0.6,5,0.3,8,0.4,2,8.2,2,23.6,2,15.7,2,18.0,4,1.4,6,3.2,2,13.7,3,27.8,2,7.1,1,3.2,2,10.3,1,0.2,2,4.5,1,0.5,4,5.0,1,4.4,1,11.5,9,33.300000000000004,2,25.5,2,4.9,8,6.2,6,30.099999999999994,8,12.1,7
165,165,737,Gary Trent Jr.,SG,5,TOR,5,70,4,69,3,6.4,4,15.5,3,7.8,1,0.4,3,7.7,5,0.4,10,0.5,7,2.5,4,2.9,5,0.8,5,0.4,9,2.4,10,2.7,10,2.0,8,2.0,5,1.7,1,0.3,8,1.0,8,2.1,7,18.3,3,14.7,6,0.6,5,0.5,3,0.2,6,1.1,10,7.7,10,4.2,10,8.8,8,2.5,1,0.8,8,5.8,10,21.8,5,3.1,4,2.5,3,5.6,3,0.1,6,-0.1,7,0.3,4,0.2,6,1.3,5,18.5,2,8.7,10,13.100000000000001,8,11.3,4,16.7,1,50.2,3,15.3,5
