,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,0,2020,Steven Adams,5,C,5,OKC,5,63.0,5,63.0,3,4.5,7,7.6,9,0.0,10,0.333,8,7.5,5,0.594,1,0.593,1,1.9,6,3.2,4,0.582,10,3.3,1,6.0,2,9.3,2,1.5,7,2.3,6,0.8,7,1.1,2,1.5,6,1.9,8,10.9,8,20.5,2,0.604,2,0.006,10,0.421,1,14.0,1,24.0,2,19.2,1,13.2,6,1.5,5,3.4,2,14.2,3,17.3,8,3.8,2,2.7,2,6.5,2,0.185,2,1.9,3,1.1,2,2.9,2,2.1,2,,10,,10,,10,,10,,10,,10,,10,1,1,0.0,10
1,1,1,2020,Bam Adebayo,5,PF,5,MIA,5,72.0,1,72.0,1,6.1,4,11.0,6,0.2,10,0.143,10,10.8,3,0.564,2,0.558,3,3.7,2,5.3,2,0.691,9,2.4,1,7.8,1,10.2,1,1.8,5,5.1,2,1.1,3,1.3,1,2.8,2,2.5,4,15.9,4,20.3,2,0.598,3,0.018,10,0.484,1,8.5,2,24.9,1,17.0,1,24.2,3,1.7,4,3.8,1,17.6,1,21.2,5,4.6,1,3.9,1,8.5,1,0.168,2,1.4,4,2.0,1,3.4,2,3.3,1,5.8,10,0.481,1,0.301,1,0.144,2,0.056,6,21.9,1,57.099999999999994,1,0.017999999999999905,10,0.17,5
2,2,2,2020,LaMarcus Aldridge,5,C,5,SAS,5,53.0,8,53.0,6,7.4,2,15.0,3,3.0,8,0.389,3,12.0,2,0.519,5,0.532,5,3.0,3,3.6,4,0.827,4,1.9,2,5.5,3,7.4,2,1.7,6,2.4,6,0.7,8,1.6,1,1.4,7,2.4,5,18.9,3,19.7,3,0.571,5,0.198,9,0.241,5,6.3,2,17.8,3,12.0,3,11.4,6,1.0,9,4.4,1,7.8,10,23.4,4,3.0,3,1.4,7,4.5,4,0.122,4,1.8,3,-0.5,7,1.4,4,1.5,4,13.7,6,0.202,7,0.129,7,0.227,1,0.245,1,4.3999999999999995,4,18.5,5,0.19699999999999995,9,0.04,10
3,3,6,2020,Jarrett Allen,5,C,5,BRK,5,70.0,2,64.0,2,4.3,8,6.6,10,0.1,10,0.0,10,6.6,6,0.658,1,0.649,1,2.4,5,3.9,3,0.633,10,3.1,1,6.5,2,9.6,1,1.5,7,1.6,8,0.6,9,1.3,1,1.1,9,2.3,5,11.1,8,20.7,2,0.664,1,0.013,10,0.581,1,12.3,1,24.9,1,18.7,1,8.9,8,1.0,9,4.2,1,11.7,6,14.9,9,5.2,1,2.9,2,8.2,1,0.212,1,1.4,4,1.0,2,2.3,2,2.0,3,2.6,10,0.755,1,0.211,3,0.019,10,0.002,10,44.7,1,83.3,1,0.013000000000000012,10,0.29,1
4,4,12,2020,Giannis Antetokounmpo,5,PF,5,MIL,5,63.0,5,63.0,3,10.9,1,19.7,1,4.7,5,0.304,9,15.0,1,0.631,1,0.589,2,6.3,1,10.0,1,0.633,10,2.2,2,11.4,1,13.6,1,1.5,7,5.6,2,1.0,4,1.0,2,3.7,1,3.1,2,29.5,1,31.9,1,0.613,2,0.237,8,0.508,1,7.7,2,34.8,1,22.1,1,34.2,1,1.5,5,3.0,2,13.2,4,37.5,1,6.1,1,5.0,1,11.1,1,0.279,1,7.4,1,4.1,1,11.5,1,6.6,1,9.8,9,0.482,1,0.16,5,0.073,7,0.048,7,17.0,1,3.4000000000000004,10,0.237,8,0.16,5
5,5,15,2020,Carmelo Anthony,5,PF,5,POR,5,58.0,7,58.0,4,5.8,4,13.5,4,3.9,6,0.385,3,9.6,3,0.448,9,0.485,9,2.3,5,2.8,5,0.845,3,1.2,4,5.1,4,6.3,3,0.9,10,1.5,9,0.8,7,0.5,5,1.7,5,2.9,2,15.4,5,12.4,8,0.525,9,0.289,8,0.206,7,3.9,4,16.1,4,10.1,4,6.4,10,1.2,7,1.2,6,10.5,8,21.2,5,0.4,9,0.9,9,1.3,10,0.033,10,-1.8,9,-1.8,10,-3.6,10,-0.8,10,14.5,6,0.193,8,0.105,9,0.238,1,0.175,1,3.2,5,21.2,5,0.2889999999999999,8,0.1,8
6,6,16,2020,OG Anunoby,5,SF,5,TOR,5,69.0,2,68.0,1,4.1,8,8.2,8,3.3,8,0.39,2,4.9,8,0.583,2,0.584,2,1.0,9,1.5,8,0.706,9,1.2,4,4.1,5,5.3,5,1.5,7,1.6,8,1.4,2,0.7,3,1.1,9,2.4,5,10.6,8,13.2,8,0.6,3,0.403,5,0.18,8,4.2,4,14.2,6,9.3,5,7.5,9,2.2,2,2.1,3,11.5,6,14.3,9,2.1,5,3.7,1,5.7,2,0.134,3,-0.8,8,2.0,1,1.2,4,1.7,3,11.6,8,0.452,1,0.111,8,0.025,10,0.009,10,15.4,2,50.4,1,0.4029999999999999,5,0.2,3
7,7,18,2020,Trevor Ariza,5,SF,5,TOT,5,53.0,8,21.0,9,2.7,10,6.1,10,3.9,6,0.372,4,2.2,10,0.556,2,0.557,3,1.2,8,1.4,9,0.838,4,0.6,7,4.0,5,4.6,6,1.5,7,1.7,8,1.3,2,0.3,7,1.1,9,2.1,7,8.0,10,11.0,9,0.593,3,0.639,1,0.228,6,2.5,7,15.7,5,9.0,5,8.0,9,2.2,2,0.9,7,13.6,3,11.8,10,1.3,7,1.2,8,2.5,8,0.081,8,-1.4,9,0.9,3,-0.5,7,0.6,7,17.0,3,0.269,5,0.065,10,0.012,10,0.015,9,5.8999999999999995,3,37.7,2,0.639,1,0.2,3
8,8,21,2020,D.J. Augustin,5,PG,5,ORL,5,57.0,7,13.0,10,3.2,10,8.1,9,3.5,7,0.348,7,4.6,8,0.438,10,0.475,10,2.8,4,3.2,4,0.89,1,0.4,9,1.8,10,2.1,10,3.1,1,4.6,3,0.6,9,0.0,10,1.5,6,1.3,10,10.5,8,14.0,7,0.554,7,0.436,4,0.393,2,1.6,9,7.8,10,4.6,10,26.8,2,1.2,7,0.1,10,13.7,3,19.1,7,2.0,6,0.9,9,2.9,7,0.098,6,-0.3,7,-1.3,9,-1.6,9,0.2,8,15.9,4,0.197,7,0.167,5,0.121,3,0.078,5,0.0,10,12.9,7,0.43700000000000006,4,0.1,8
9,9,23,2020,Deandre Ayton,5,C,5,PHO,5,38.0,10,32.0,8,8.2,2,14.9,3,0.3,10,0.231,10,14.6,1,0.553,3,0.548,4,1.8,7,2.3,7,0.753,8,3.9,1,7.6,1,11.5,1,0.9,10,1.9,7,0.7,8,1.5,1,2.1,4,3.1,2,18.2,3,20.0,3,0.568,5,0.023,10,0.157,9,13.0,1,26.3,1,19.6,1,9.7,7,1.0,9,4.1,1,11.6,6,23.7,4,1.5,7,1.6,6,3.1,7,0.121,4,0.8,5,-0.4,6,0.4,6,0.7,7,6.7,10,0.461,1,0.227,2,0.188,1,0.1,4,16.400000000000002,1,15.4,6,0.02399999999999991,10,0.2,3
