,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,2,2018,Steven Adams,5,C,5,OKC,5,76.0,4,76.0,3,5.9,4,9.4,8,0.0,10,0.0,10,9.3,3,0.631,1,0.629,1,2.1,5,3.8,3,0.559,10,5.1,1,4.0,5,9.0,2,0.7,10,1.2,10,1.2,3,1.0,2,1.7,6,2.8,2,13.9,5,20.6,2,0.63,1,0.003,10,0.402,1,16.6,1,13.9,6,15.3,2,5.5,10,1.8,3,2.8,2,13.3,4,16.7,9,6.7,1,3.0,3,9.7,1,0.187,2,1.7,3,-0.6,7,1.1,4,2.0,3,2.6,10,0.708,1,0.233,2,0.052,9,0.004,10,24.2,1,0.0,10,0.0030000000000000027,10,0.27,1
1,1,6,2018,LaMarcus Aldridge,5,C,5,SAS,5,75.0,5,75.0,3,9.2,1,18.0,1,1.2,9,0.293,9,16.7,1,0.526,4,0.52,6,4.5,1,5.3,2,0.837,3,3.3,1,5.2,3,8.5,2,1.3,7,2.0,7,0.6,9,1.2,2,1.5,6,2.1,6,23.1,1,25.0,1,0.57,4,0.068,9,0.296,4,10.8,1,17.3,4,14.0,2,11.3,6,0.9,10,3.0,2,6.8,10,29.1,2,7.4,1,3.5,2,10.9,1,0.209,1,4.3,1,-0.4,6,3.9,2,3.7,2,9.8,9,0.275,4,0.212,3,0.256,1,0.189,2,3.5999999999999996,4,16.3,6,0.06800000000000006,9,0.07,10
2,2,10,2018,Al-Farouq Aminu,5,PF,5,POR,5,69.0,7,67.0,5,3.3,9,8.4,9,4.9,4,0.369,5,3.5,10,0.432,10,0.503,8,0.9,10,1.2,9,0.738,8,1.4,3,6.2,2,7.6,2,1.1,9,1.2,10,1.1,4,0.6,4,1.1,9,2.0,7,9.3,9,12.0,9,0.522,9,0.582,1,0.137,9,5.2,3,22.3,2,13.8,2,5.8,10,1.9,3,1.6,4,11.3,7,14.8,10,0.9,9,3.2,2,4.2,5,0.097,6,-0.7,8,1.1,2,0.4,5,1.3,5,16.5,2,0.215,6,0.12,7,0.026,10,0.057,9,4.1000000000000005,4,28.000000000000004,3,0.5820000000000001,1,0.2,3
3,3,12,2018,Kyle Anderson,5,SF,5,SAS,5,74.0,5,67.0,5,3.1,10,5.9,10,0.8,9,0.333,7,5.1,8,0.556,2,0.549,3,1.4,8,2.0,7,0.712,8,1.1,4,4.2,5,5.4,4,2.1,3,2.7,5,1.6,1,0.8,3,1.3,8,1.5,10,7.9,10,15.9,5,0.582,3,0.13,9,0.333,2,4.7,3,17.6,4,11.1,4,14.7,5,2.9,1,2.5,2,15.8,2,13.5,10,2.4,5,3.8,1,6.2,3,0.151,2,-0.4,7,3.3,1,2.9,2,2.4,3,8.4,9,0.388,2,0.249,2,0.128,4,0.105,6,3.9,4,64.9,1,0.13,9,0.11,4
4,4,13,2018,Ryan Anderson,5,PF,5,HOU,5,66.0,7,50.0,7,3.1,10,7.3,10,5.1,4,0.386,3,2.1,10,0.539,2,0.568,2,1.1,9,1.4,9,0.774,6,1.4,3,3.6,6,5.0,5,1.5,6,0.9,10,0.4,10,0.3,7,0.6,10,1.9,8,9.3,9,12.6,8,0.592,3,0.706,1,0.194,7,6.2,3,15.4,5,10.8,4,5.1,10,0.7,10,1.0,6,7.5,10,14.4,10,3.1,4,1.7,7,4.8,5,0.132,3,0.9,4,-0.8,8,0.1,5,0.9,6,20.4,1,0.142,9,0.044,10,0.04,9,0.069,8,1.9,7,10.9,8,0.705,1,0.26,1
5,5,15,2018,Giannis Antetokounmpo,5,PF,5,MIL,5,75.0,5,75.0,3,9.9,1,18.7,1,1.9,8,0.307,8,16.8,1,0.554,2,0.545,3,6.5,1,8.5,1,0.76,7,2.1,2,8.0,1,10.0,1,1.6,6,4.8,3,1.5,2,1.4,1,3.0,1,3.1,1,26.9,1,27.3,1,0.598,2,0.1,9,0.457,1,6.7,2,25.3,2,16.0,2,23.7,3,2.0,3,3.3,2,11.7,6,31.2,1,8.3,1,3.6,2,11.9,1,0.207,1,5.3,1,0.9,3,6.2,1,5.7,1,8.4,9,0.454,2,0.173,4,0.114,4,0.16,3,12.2,2,10.7,8,0.09899999999999998,9,0.1,7
6,6,16,2018,Carmelo Anthony,5,PF,5,OKC,5,78.0,3,78.0,2,6.1,3,15.0,3,6.1,2,0.357,6,8.9,4,0.437,10,0.476,9,1.9,6,2.5,6,0.767,7,0.9,5,4.9,3,5.8,4,1.0,9,1.3,9,0.6,9,0.6,4,1.3,8,2.5,3,16.2,3,12.7,8,0.503,10,0.406,4,0.165,8,2.9,6,17.7,4,10.0,4,6.5,10,0.9,10,1.8,4,7.3,10,23.2,4,1.2,8,2.5,4,3.7,6,0.071,8,-0.6,8,-1.3,9,-1.9,9,0.0,9,17.1,2,0.12,10,0.063,10,0.184,1,0.228,1,2.0,6,11.600000000000001,7,0.405,4,0.1,7
7,7,19,2018,Trevor Ariza,5,SF,5,HOU,5,67.0,7,67.0,5,4.0,8,9.7,7,6.9,1,0.368,5,2.8,10,0.519,4,0.542,3,1.1,9,1.3,9,0.854,2,0.5,8,3.9,6,4.4,6,2.0,4,1.6,8,1.5,2,0.2,9,0.8,10,2.0,7,11.7,8,11.8,9,0.567,4,0.71,1,0.137,9,1.7,8,12.9,6,7.3,7,6.8,9,2.1,2,0.5,9,7.0,10,14.4,10,2.6,4,2.8,3,5.3,4,0.113,4,0.0,6,0.7,3,0.7,4,1.5,4,18.0,1,0.22,6,0.052,10,0.008,10,0.011,10,2.9000000000000004,5,39.2,1,0.709,1,0.3,1
8,8,33,2018,Lonzo Ball,5,PG,5,LAL,5,52.0,9,50.0,7,3.9,8,10.8,6,5.7,3,0.305,9,5.2,8,0.42,10,0.44,10,0.6,10,1.4,9,0.451,10,1.3,3,5.6,2,6.9,3,2.8,1,7.2,1,1.7,1,0.8,3,2.6,2,2.3,5,10.2,9,12.5,8,0.444,10,0.523,2,0.126,10,4.2,4,17.3,4,10.8,4,29.2,2,2.4,1,2.0,3,18.6,1,17.4,8,-0.5,10,2.5,4,2.0,9,0.053,9,-0.7,8,1.6,1,1.0,4,1.3,5,16.1,3,0.273,4,0.092,8,0.053,9,0.059,9,3.0,5,11.5,8,0.523,2,0.2,3
9,9,35,2018,Harrison Barnes,5,PF,5,DAL,5,77.0,4,77.0,2,7.0,2,15.7,2,4.3,5,0.357,6,11.4,2,0.478,7,0.494,8,3.4,3,4.1,3,0.827,4,1.0,4,5.1,3,6.1,4,1.3,7,2.0,7,0.6,9,0.2,9,1.5,6,1.2,10,18.9,2,15.8,5,0.539,7,0.276,7,0.259,5,3.1,5,17.1,4,9.9,4,9.9,7,0.9,10,0.5,9,8.1,10,25.2,3,2.0,6,1.9,6,3.8,6,0.07,8,0.8,5,-1.3,9,-0.5,7,1.0,6,13.2,6,0.21,7,0.205,3,0.136,3,0.172,3,3.1,5,25.5,3,0.27700000000000014,7,0.0,10
