,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,2,2018,Paint Threat,No significant defensive role,Steven Adams,C,OKC,76.0,76.0,5.9,9.4,0.0,0.0,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4.0,9.0,0.7,1.2,1.2,1.0,1.7,2.8,13.9,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3.0,9.7,0.187,1.7,-0.6,1.1,2.0,2.6,0.708,0.233,0.052,0.004,24.2,0.0,0.0030000000000000027,0.27
1,1,6,2018,Slasher,No significant defensive role,LaMarcus Aldridge,C,SAS,75.0,75.0,9.2,18.0,1.2,0.293,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,1.3,2.0,0.6,1.2,1.5,2.1,23.1,25.0,0.57,0.068,0.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,4.3,-0.4,3.9,3.7,9.8,0.275,0.212,0.256,0.189,3.5999999999999996,16.3,0.06800000000000006,0.07
2,2,10,2018,No significant offensive role,Perimeter Defender,Al-Farouq Aminu,PF,POR,69.0,67.0,3.3,8.4,4.9,0.369,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.1,1.2,1.1,0.6,1.1,2.0,9.3,12.0,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3,16.5,0.215,0.12,0.026,0.057,4.1000000000000005,28.000000000000004,0.5820000000000001,0.2
3,3,12,2018,Slasher,Perimeter Defender,Kyle Anderson,SF,SAS,74.0,67.0,3.1,5.9,0.8,0.333,5.1,0.556,0.549,1.4,2.0,0.712,1.1,4.2,5.4,2.1,2.7,1.6,0.8,1.3,1.5,7.9,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.4,3.3,2.9,2.4,8.4,0.388,0.249,0.128,0.105,3.9,64.9,0.13,0.11
4,4,13,2018,Pure Shooter/Stretcher,No significant defensive role,Ryan Anderson,PF,HOU,66.0,50.0,3.1,7.3,5.1,0.386,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5.0,1.5,0.9,0.4,0.3,0.6,1.9,9.3,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,0.132,0.9,-0.8,0.1,0.9,20.4,0.142,0.044,0.04,0.069,1.9,10.9,0.705,0.26
5,5,15,2018,Slasher,Paint Protector,Giannis Antetokounmpo,PF,MIL,75.0,75.0,9.9,18.7,1.9,0.307,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8.0,10.0,1.6,4.8,1.5,1.4,3.0,3.1,26.9,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,8.4,0.454,0.173,0.114,0.16,12.2,10.7,0.09899999999999998,0.1
6,6,16,2018,Versatile Scorer,No significant defensive role,Carmelo Anthony,PF,OKC,78.0,78.0,6.1,15.0,6.1,0.357,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.0,1.3,0.6,0.6,1.3,2.5,16.2,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0,17.1,0.12,0.063,0.184,0.228,2.0,11.600000000000001,0.405,0.1
7,7,19,2018,No significant offensive role,Perimeter Defender,Trevor Ariza,SF,HOU,67.0,67.0,4.0,9.7,6.9,0.368,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,2.0,1.6,1.5,0.2,0.8,2.0,11.7,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,0.113,0.0,0.7,0.7,1.5,18.0,0.22,0.052,0.008,0.011,2.9000000000000004,39.2,0.709,0.3
8,8,33,2018,No significant offensive role,Perimeter Defender,Lonzo Ball,PG,LAL,52.0,50.0,3.9,10.8,5.7,0.305,5.2,0.42,0.44,0.6,1.4,0.451,1.3,5.6,6.9,2.8,7.2,1.7,0.8,2.6,2.3,10.2,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,-0.5,2.5,2.0,0.053,-0.7,1.6,1.0,1.3,16.1,0.273,0.092,0.053,0.059,3.0,11.5,0.523,0.2
9,9,35,2018,Versatile Scorer,No significant defensive role,Harrison Barnes,PF,DAL,77.0,77.0,7.0,15.7,4.3,0.357,11.4,0.478,0.494,3.4,4.1,0.827,1.0,5.1,6.1,1.3,2.0,0.6,0.2,1.5,1.2,18.9,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2.0,1.9,3.8,0.07,0.8,-1.3,-0.5,1.0,13.2,0.21,0.205,0.136,0.172,3.1,25.5,0.27700000000000014,0.0
10,10,36,2018,Slasher,No significant defensive role,Will Barton,SG,DEN,81.0,40.0,5.7,12.7,5.2,0.37,7.5,0.51,0.528,2.2,2.8,0.805,0.9,4.2,5.0,2.3,4.1,1.0,0.6,1.8,2.1,15.7,16.2,0.562,0.411,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1,13.3,0.284,0.201,0.057,0.047,4.0,9.0,0.4109999999999999,0.1
11,11,37,2018,No significant offensive role,No significant defensive role,Nicolas Batum,SG,CHO,64.0,64.0,4.2,10.2,4.3,0.336,5.9,0.473,0.486,1.7,2.0,0.831,0.9,3.9,4.8,2.8,5.5,1.0,0.4,2.0,1.1,11.6,14.4,0.523,0.422,0.2,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,1.7,1.8,3.5,0.084,0.5,-0.1,0.4,1.2,17.5,0.109,0.063,0.197,0.209,1.5,10.9,0.42200000000000004,0.1
12,12,40,2018,No significant offensive role,Perimeter Defender,Kent Bazemore,SG,ATL,65.0,65.0,4.4,10.4,4.2,0.394,6.2,0.438,0.5,2.5,3.1,0.796,0.4,3.4,3.8,1.5,3.5,1.5,0.7,2.4,2.3,12.9,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,0.2,2.0,2.2,0.059,-0.4,1.0,0.6,1.2,14.7,0.226,0.139,0.08,0.149,3.1,28.499999999999996,0.406,0.1
13,13,41,2018,Versatile Scorer,No significant defensive role,Bradley Beal,SG,WAS,82.0,82.0,8.3,18.1,6.5,0.375,11.6,0.507,0.527,3.6,4.5,0.791,0.7,3.7,4.4,1.7,4.5,1.2,0.4,2.6,2.0,22.6,18.4,0.564,0.357,0.249,2.3,11.5,6.9,21.0,1.6,1.1,11.5,27.6,4.4,2.5,6.9,0.111,2.9,-0.7,2.2,3.1,15.2,0.206,0.104,0.146,0.187,3.4000000000000004,9.8,0.357,0.1
14,14,44,2018,No significant offensive role,No significant defensive role,Marco Belinelli,SG,TOT,80.0,2.0,4.2,9.6,4.9,0.377,4.6,0.509,0.539,1.9,2.0,0.908,0.3,1.6,1.9,1.6,1.9,0.8,0.2,1.2,1.1,12.1,14.1,0.581,0.517,0.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8,18.9,0.126,0.05,0.064,0.242,0.8,14.399999999999999,0.518,0.2
