,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,4,2017,Paint Threat,No significant defensive role,Steven Adams,C,OKC,80.0,80.0,4.7,8.2,0.0,0.0,8.2,0.572,0.571,2.0,3.2,0.611,3.5,4.2,7.7,0.6,1.1,1.1,1.0,1.8,2.4,11.3,16.5,0.589,0.002,0.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,0.13,-0.2,0.0,-0.2,1.1,3.7,0.557,0.388,0.046,0.005,19.8,0.0,0.0039999999999998925,0.23
1,1,5,2017,No significant offensive role,No significant defensive role,Arron Afflalo,SG,SAC,61.0,45.0,3.0,6.9,2.5,0.411,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.9,1.3,0.3,0.1,0.7,1.7,8.4,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-2.1,-1.5,-3.6,-0.7,16.8,0.1,0.117,0.186,0.236,0.2,38.4,0.361,0.09
2,2,8,2017,Versatile Scorer,No significant defensive role,LaMarcus Aldridge,PF,SAS,72.0,72.0,6.9,14.6,0.8,0.411,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.4,1.9,0.6,1.2,1.4,2.2,17.3,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7,11.8,0.222,0.194,0.202,0.328,4.1000000000000005,41.099999999999994,0.053999999999999826,0.09
3,3,10,2017,No significant offensive role,Perimeter Defender,Tony Allen,SG,MEM,71.0,66.0,3.9,8.4,0.8,0.278,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.0,1.4,1.6,0.4,1.4,2.5,9.1,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-2.0,1.1,-1.0,0.5,5.6,0.652,0.166,0.03,0.061,2.7,70.39999999999999,0.09099999999999997,0.23
4,4,11,2017,No significant offensive role,Perimeter Defender,Al-Farouq Aminu,PF,POR,61.0,25.0,3.0,7.6,3.5,0.33,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.1,1.6,1.0,0.7,1.5,1.7,8.7,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,0.051,-1.4,0.4,-1.1,0.4,14.0,0.32,0.135,0.03,0.06,5.800000000000001,35.8,0.45500000000000007,0.16
5,5,18,2017,Pure Shooter/Stretcher,No significant defensive role,Ryan Anderson,PF,HOU,72.0,72.0,4.5,10.7,7.0,0.403,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,1.1,0.9,0.4,0.2,0.8,2.0,13.6,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.117,1.7,-2.0,-0.4,0.9,19.9,0.144,0.074,0.035,0.092,0.8999999999999999,14.2,0.655,0.2
6,6,19,2017,Creator/Facilitator,Perimeter Defender,Giannis Antetokounmpo,SF,MIL,80.0,80.0,8.2,15.7,2.3,0.272,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,1.9,5.4,1.6,1.9,2.9,3.1,22.9,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,8.7,0.496,0.149,0.064,0.146,16.400000000000002,11.1,0.1449999999999999,0.2
7,7,20,2017,Versatile Scorer,No significant defensive role,Carmelo Anthony,SF,NYK,74.0,74.0,8.1,18.8,5.7,0.359,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,1.4,2.9,0.8,0.5,2.1,2.7,22.4,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,3.2,1.5,4.7,0.089,2.3,-1.6,0.7,1.7,16.6,0.127,0.076,0.211,0.284,1.0999999999999999,10.9,0.30200000000000005,0.1
8,8,22,2017,No significant offensive role,Perimeter Defender,Trevor Ariza,SF,HOU,80.0,80.0,4.1,10.0,6.9,0.344,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.4,2.2,1.8,0.3,0.9,1.7,11.7,12.3,0.548,0.695,0.158,2.1,15.9,9.0,8.8,2.5,0.6,7.9,14.1,2.8,3.2,6.0,0.104,-0.1,1.1,1.0,2.1,18.6,0.207,0.054,0.013,0.031,4.1000000000000005,35.099999999999994,0.695,0.3
9,9,32,2017,Versatile Scorer,No significant defensive role,Harrison Barnes,PF,DAL,79.0,79.0,7.6,16.2,2.8,0.351,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.2,1.5,0.8,0.2,1.3,1.6,19.2,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.078,0.4,-1.2,-0.8,0.8,13.1,0.183,0.186,0.194,0.265,4.5,28.4,0.17200000000000004,0.0
10,10,33,2017,No significant offensive role,No significant defensive role,Matt Barnes,SF,TOT,74.0,18.0,2.5,6.4,3.6,0.331,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,1.9,2.6,0.6,0.4,1.4,2.5,7.1,10.3,0.514,0.556,0.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,0.3,1.7,2.0,0.053,-1.7,0.3,-1.4,0.3,16.8,0.22,0.114,0.032,0.08,1.9,25.5,0.554,0.2
11,11,36,2017,Versatile Scorer,No significant defensive role,Will Barton,SG,DEN,60.0,19.0,4.9,11.1,3.9,0.37,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,2.1,3.4,0.8,0.5,1.6,1.8,13.7,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.093,1.2,-1.0,0.2,1.0,13.0,0.303,0.174,0.095,0.077,2.9000000000000004,13.600000000000001,0.3510000000000001,0.1
12,12,38,2017,Creator/Facilitator,No significant defensive role,Nicolas Batum,SG,CHO,77.0,77.0,5.1,12.7,5.3,0.333,7.4,0.453,0.472,3.2,3.7,0.856,0.6,5.6,6.2,2.4,5.9,1.1,0.4,2.5,1.4,15.1,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1.0,15.0,22.3,1.7,2.8,4.6,0.084,0.6,0.2,0.8,1.9,17.3,0.117,0.102,0.182,0.185,1.3,8.9,0.4139999999999999,0.1
13,13,41,2017,No significant offensive role,Perimeter Defender,Kent Bazemore,SF,ATL,73.0,64.0,4.0,9.9,3.6,0.346,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,1.4,2.4,1.2,0.7,1.7,2.3,11.0,11.6,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.052,-2.1,1.1,-1.0,0.5,14.8,0.272,0.1,0.062,0.198,2.1,32.7,0.368,0.1
14,14,42,2017,Versatile Scorer,No significant defensive role,Bradley Beal,SG,WAS,77.0,77.0,8.3,17.2,7.2,0.404,10.0,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,1.8,3.5,1.1,0.3,2.0,2.2,23.1,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.9,1.6,8.5,0.152,4.2,-1.0,3.3,3.5,15.9,0.238,0.101,0.085,0.157,3.8,15.4,0.41900000000000004,0.1
15,15,45,2017,No significant offensive role,No significant defensive role,Marco Belinelli,SG,CHO,74.0,0.0,3.6,8.3,3.8,0.36,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.2,2.0,0.6,0.1,0.9,1.2,10.5,13.3,0.566,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2.0,1.2,3.2,0.087,-0.6,-0.5,-1.1,0.4,18.7,0.132,0.052,0.052,0.306,0.3,14.499999999999998,0.45799999999999996,0.2
16,16,52,2017,No significant offensive role,Perimeter Defender,Patrick Beverley,SG,HOU,67.0,67.0,3.4,8.1,4.3,0.382,3.8,0.463,0.521,1.1,1.4,0.768,1.4,4.4,5.9,2.8,4.2,1.5,0.4,1.5,3.3,9.5,13.0,0.546,0.53,0.175,5.0,15.8,10.4,18.8,2.3,1.0,14.6,14.1,2.9,2.4,5.3,0.123,-0.2,1.4,1.1,1.6,15.9,0.21,0.173,0.055,0.033,0.4,32.300000000000004,0.529,0.2
17,17,56,2017,Creator/Facilitator,No significant defensive role,Eric Bledsoe,PG,PHO,66.0,66.0,6.8,15.7,4.7,0.335,11.0,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,1.9,6.3,1.4,0.5,3.4,2.5,21.1,20.5,0.563,0.3,0.443,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,4.0,1.4,5.3,0.118,3.7,-0.1,3.6,3.1,13.8,0.278,0.143,0.105,0.178,0.4,7.7,0.29600000000000004,0.1
18,18,57,2017,No significant offensive role,No significant defensive role,Bojan Bogdanović,SF,TOT,81.0,54.0,4.6,10.4,4.8,0.367,5.6,0.512,0.53,2.7,3.0,0.893,0.5,3.0,3.4,0.9,1.4,0.4,0.1,1.6,1.8,13.7,13.5,0.585,0.464,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12.1,22.4,2.0,0.9,2.9,0.067,-0.1,-2.1,-2.2,-0.1,15.1,0.29,0.102,0.077,0.067,2.5,22.7,0.46399999999999997,0.2
