,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,0,2004,Shareef Abdur-Rahim,5,PF,5,TOT,5,85.0,1,56.0,7,5.9,4,12.4,4,0.4,7,0.265,7,12.0,2,0.482,4,0.48,5,4.4,2,5.0,3,0.869,1,2.2,3,5.3,2,7.5,2,0.9,9,2.0,7,0.8,8,0.4,5,2.2,4,2.6,5,16.3,4,19.9,2,0.557,2,0.032,8,0.407,2,8.2,3,19.0,3,13.6,3,12.3,6,1.4,8,1.0,5,12.9,6,24.4,3,6.1,2,2.0,6,8.1,3,0.145,3,2.3,2,-0.7,7,1.6,4,2.4,4,7.9,9,0.351,3,0.309,1,0.132,5,0.18,7,6.800000000000001,3,17.4,6,0.028000000000000025,8,0.12,3
1,1,4,2004,Ray Allen*,5,SG,5,SEA,5,56.0,9,56.0,7,8.0,1,18.2,1,6.8,1,0.392,2,11.4,3,0.468,5,0.512,2,4.4,2,4.8,3,0.904,1,1.2,6,3.9,5,5.1,5,1.7,4,4.8,3,1.3,3,0.2,8,2.8,2,2.4,6,23.0,1,21.7,1,0.566,2,0.372,2,0.266,6,3.8,6,11.8,6,7.8,6,23.3,3,1.8,5,0.4,9,12.1,7,27.8,1,6.5,2,0.4,10,6.9,4,0.153,2,5.5,1,-1.5,9,4.0,1,3.2,2,15.3,3,0.181,8,0.138,5,0.146,4,0.164,7,2.1,6,22.5,5,0.371,2,0.09,10
2,2,5,2004,Rafer Alston,5,PG,5,MIA,5,82.0,2,28.0,9,3.5,9,9.3,7,5.3,1,0.371,3,4.0,10,0.382,10,0.481,5,1.3,9,1.6,9,0.769,5,0.3,10,2.4,9,2.8,9,2.8,1,4.5,3,1.4,2,0.2,8,1.6,7,2.6,5,10.2,8,13.7,8,0.509,7,0.568,1,0.175,9,1.2,10,9.1,9,5.1,10,24.9,3,2.4,2,0.6,7,13.5,5,17.3,8,3.1,5,2.8,4,5.9,5,0.11,5,0.2,6,0.7,3,0.9,5,1.9,5,17.9,1,0.174,9,0.086,8,0.047,10,0.124,9,0.1,9,13.4,7,0.569,1,0.19,3
3,3,7,2004,Derek Anderson,5,SG,5,POR,5,51.0,10,46.0,8,4.5,6,12.0,5,5.1,1,0.305,6,6.9,8,0.428,9,0.44,9,3.0,4,3.7,4,0.824,3,0.5,9,3.1,7,3.6,8,2.5,2,4.5,3,1.3,3,0.1,10,1.8,6,1.5,10,13.6,5,15.1,6,0.499,8,0.423,1,0.307,5,1.7,9,10.2,8,6.0,8,21.1,3,2.0,3,0.1,10,11.5,8,20.5,5,2.7,5,0.9,9,3.6,8,0.097,7,0.8,5,-0.5,7,0.3,6,1.0,7,18.1,1,0.145,9,0.025,10,0.093,8,0.314,2,2.0,7,23.200000000000003,5,0.42300000000000004,1,0.15,3
4,4,9,2004,Shandon Anderson,5,SG,5,NYK,5,80.0,4,37.0,9,3.0,9,7.1,9,1.6,6,0.281,7,5.5,9,0.463,6,0.454,8,1.5,8,2.0,8,0.764,5,0.7,8,2.1,10,2.8,9,1.0,8,1.5,8,0.9,7,0.2,8,1.5,7,2.3,7,7.9,10,10.1,10,0.5,8,0.227,4,0.285,6,3.1,7,9.7,8,6.5,8,10.2,8,1.8,5,0.7,6,15.7,2,17.7,8,0.2,10,1.5,7,1.7,10,0.042,10,-2.4,10,0.1,5,-2.4,10,-0.2,10,11.2,6,0.346,4,0.14,5,0.129,6,0.158,8,2.5,6,58.599999999999994,1,0.22699999999999998,4,0.08,10
5,5,10,2004,Carmelo Anthony,5,SF,5,DEN,5,82.0,2,82.0,1,7.6,1,17.9,1,2.6,5,0.322,5,15.3,1,0.444,8,0.449,8,5.0,1,6.4,1,0.777,5,2.2,3,3.8,5,6.1,4,0.9,9,2.8,5,1.2,4,0.5,4,3.0,1,2.7,4,21.0,1,17.6,4,0.509,7,0.146,6,0.358,3,6.8,4,12.1,6,9.4,5,13.8,5,1.7,5,1.0,5,12.7,7,28.5,1,3.7,4,2.4,5,6.1,5,0.098,6,1.6,4,-1.6,10,0.1,6,1.6,5,10.3,7,0.452,2,0.065,9,0.06,10,0.277,3,8.7,2,7.9,8,0.14600000000000002,6,0.2,2
6,6,15,2004,Gilbert Arenas,5,PG,5,WAS,5,55.0,10,52.0,7,6.5,3,16.6,2,6.1,1,0.375,2,10.6,4,0.401,10,0.46,8,4.3,2,5.8,1,0.748,7,1.0,7,3.6,5,4.6,6,1.2,7,5.0,2,1.9,1,0.2,8,4.1,1,3.2,2,19.6,2,16.0,5,0.512,6,0.364,2,0.347,4,2.9,7,11.1,7,6.9,7,25.5,2,2.6,2,0.4,9,17.7,1,27.4,1,1.1,9,1.5,7,2.6,9,0.061,9,1.1,4,-1.0,8,0.1,6,1.1,6,15.5,3,0.22,7,0.111,6,0.084,9,0.221,5,2.0,7,14.7,6,0.364,2,0.1,6
7,7,17,2004,Darrell Armstrong,5,PG,5,NOH,5,79.0,5,22.0,10,3.7,8,9.3,7,5.4,1,0.315,6,3.9,10,0.508,1,0.487,4,1.6,8,1.8,9,0.854,1,0.8,7,2.1,10,2.9,9,2.0,3,3.9,4,1.7,1,0.2,8,2.0,5,1.9,9,10.6,7,15.6,6,0.525,5,0.583,1,0.196,9,3.1,7,8.5,9,5.7,9,24.3,3,3.2,1,0.5,8,16.2,2,19.4,6,2.8,5,2.5,5,5.3,5,0.114,5,1.3,4,1.1,2,2.4,3,2.5,3,18.6,1,0.174,9,0.027,10,0.056,10,0.16,7,0.5,8,20.3,5,0.583,1,0.2,2
8,8,18,2004,Carlos Arroyo,5,PG,5,UTA,5,71.0,8,71.0,5,4.8,6,10.8,6,1.6,6,0.325,5,9.2,5,0.462,6,0.466,7,2.5,5,3.2,5,0.804,4,0.6,9,2.0,10,2.6,10,2.3,2,5.0,2,0.9,7,0.1,10,2.2,4,2.3,7,12.6,6,16.8,4,0.517,6,0.152,6,0.293,5,2.5,8,9.0,9,5.7,9,34.6,1,1.7,5,0.2,10,15.2,3,23.7,3,3.5,4,1.2,8,4.7,6,0.112,5,2.0,3,-1.1,9,0.9,5,1.5,6,14.5,4,0.22,7,0.052,10,0.145,5,0.431,1,0.0,10,17.9,6,0.1519999999999999,6,0.1,6
9,9,19,2004,Chucky Atkins,5,PG,5,TOT,5,64.0,9,24.0,10,3.0,9,7.6,9,3.8,3,0.336,5,3.8,10,0.457,6,0.48,5,1.1,10,1.5,10,0.753,6,0.1,10,1.3,10,1.5,10,2.5,2,3.5,4,0.7,9,0.0,10,1.4,8,1.6,10,8.4,9,12.1,9,0.511,7,0.498,1,0.2,8,0.7,10,6.2,10,3.5,10,24.7,3,1.5,7,0.1,10,14.9,3,18.5,7,1.5,8,1.3,8,2.7,9,0.085,8,-0.3,7,-0.9,8,-1.1,8,0.3,8,18.3,1,0.186,8,0.043,10,0.054,10,0.219,5,0.0,10,21.2,5,0.498,1,0.2,2
10,10,23,2004,Vin Baker,5,PF,5,TOT,5,54.0,10,33.0,9,3.9,8,8.0,9,0.1,9,0.333,5,7.9,7,0.483,3,0.483,5,2.1,6,2.9,6,0.726,8,2.1,3,3.1,7,5.2,5,0.9,9,1.2,9,0.5,10,0.6,4,1.4,8,3.0,3,9.8,8,14.8,7,0.53,4,0.007,9,0.363,3,10.0,2,14.4,4,12.2,4,9.0,9,1.1,9,1.9,3,13.3,6,20.1,6,1.7,8,1.1,9,2.8,9,0.101,6,-1.0,8,-1.1,9,-2.1,9,0.0,9,7.2,9,0.405,2,0.273,2,0.144,5,0.171,7,4.3999999999999995,5,0.0,9,0.006999999999999895,9,0.1,6
11,11,31,2004,Brent Barry,5,SG,5,SEA,5,59.0,9,53.0,7,3.6,8,7.2,9,4.3,2,0.452,1,3.0,10,0.577,1,0.637,1,1.5,8,1.9,9,0.827,2,0.4,10,3.1,7,3.5,8,2.4,2,5.8,1,1.4,2,0.3,6,2.4,3,2.1,8,10.8,7,18.3,3,0.668,1,0.59,1,0.258,6,1.4,10,11.9,6,6.7,8,30.5,1,2.5,2,0.7,6,22.6,1,15.8,9,4.9,3,0.7,9,5.7,5,0.151,2,3.2,2,0.1,5,3.2,2,2.4,4,17.8,1,0.22,7,0.068,9,0.028,10,0.094,10,2.8000000000000003,6,12.7,7,0.59,1,0.2,2
12,12,37,2004,Shane Battier,5,SF,5,MEM,5,79.0,5,1.0,10,3.1,9,6.9,10,2.4,5,0.349,4,4.5,10,0.496,2,0.506,2,1.5,8,2.1,8,0.732,8,1.3,5,2.5,9,3.8,7,1.9,3,1.3,9,1.3,3,0.7,3,0.7,10,2.4,6,8.5,9,15.3,6,0.544,3,0.343,2,0.302,5,5.9,4,11.8,6,8.8,5,8.4,9,2.7,1,2.2,3,8.3,10,15.5,9,3.5,4,2.3,5,5.9,5,0.145,3,1.1,4,1.5,1,2.6,2,2.3,4,14.4,4,0.219,7,0.11,6,0.138,5,0.19,6,2.1999999999999997,6,65.10000000000001,1,0.34299999999999997,2,0.1,6
13,13,43,2004,Raja Bell,5,SG,5,UTA,5,82.0,2,4.0,10,4.0,7,9.8,7,2.0,6,0.373,2,7.8,7,0.418,9,0.447,8,2.4,6,3.0,6,0.786,4,0.7,8,2.2,9,2.9,9,0.9,9,1.3,9,0.8,8,0.2,8,1.4,8,3.2,2,11.2,7,12.7,9,0.5,8,0.206,5,0.308,5,3.6,6,11.3,7,7.4,6,10.2,8,1.7,5,0.5,8,10.8,9,23.6,3,2.2,7,1.5,7,3.7,8,0.088,7,-1.2,9,-0.8,8,-2.0,9,0.0,9,15.7,2,0.18,9,0.056,9,0.112,7,0.446,1,1.7000000000000002,7,42.8,2,0.20599999999999996,5,0.1,6
14,14,47,2004,Mike Bibby,5,PG,5,SAC,5,82.0,2,82.0,1,6.4,3,14.3,3,4.6,2,0.392,2,9.7,5,0.479,4,0.514,2,3.7,3,4.5,3,0.815,3,0.8,7,2.6,8,3.4,8,2.6,2,5.4,2,1.4,2,0.2,8,2.1,5,1.8,10,18.4,2,19.3,2,0.564,2,0.323,3,0.319,4,2.6,8,7.8,10,5.3,9,24.5,3,1.9,4,0.4,9,11.6,8,22.9,4,8.0,1,1.3,8,9.3,2,0.151,2,3.4,2,-1.0,8,2.4,3,3.3,2,15.1,3,0.232,7,0.077,9,0.067,9,0.301,3,0.1,9,32.300000000000004,3,0.32299999999999995,3,0.1,6
15,15,48,2004,Chauncey Billups,5,PG,5,DET,5,78.0,5,78.0,3,5.0,5,12.8,4,4.3,2,0.388,2,8.5,6,0.396,10,0.459,8,5.2,1,5.9,1,0.878,1,0.4,10,3.1,7,3.5,8,2.4,2,5.7,2,1.1,5,0.1,10,2.4,3,2.3,7,16.9,3,18.6,3,0.55,2,0.336,3,0.462,2,1.5,10,10.0,8,5.8,9,29.3,1,1.7,5,0.2,10,13.6,5,23.5,4,7.1,1,4.2,2,11.3,1,0.198,1,3.1,2,0.5,4,3.6,1,3.9,1,15.2,3,0.245,6,0.05,10,0.13,5,0.239,5,0.3,9,16.400000000000002,6,0.3360000000000001,3,0.1,6
16,16,53,2004,Mark Blount,5,C,5,BOS,5,82.0,2,73.0,4,4.2,7,7.4,9,0.0,10,,10,7.4,8,0.566,1,0.566,1,1.9,7,2.7,6,0.719,8,2.5,2,4.7,3,7.2,3,0.5,10,0.9,10,1.0,6,1.3,2,1.8,6,3.1,2,10.3,8,16.0,5,0.601,1,0.0,10,0.366,3,10.1,2,17.9,3,14.0,2,5.4,10,1.7,5,3.4,2,17.6,1,16.1,9,3.7,4,2.9,4,6.5,4,0.131,4,-0.6,8,0.1,5,-0.5,7,0.9,7,6.1,10,0.505,1,0.205,2,0.154,4,0.136,8,11.4,2,,9,0.0,10,0.2,2
17,17,54,2004,Keith Bogans,5,SF,5,ORL,5,73.0,7,36.0,9,2.5,10,6.2,10,2.6,5,0.358,3,3.7,10,0.434,8,0.477,6,0.9,10,1.4,10,0.631,10,1.5,4,2.9,8,4.3,7,1.3,6,1.3,9,0.6,9,0.1,10,1.0,10,1.8,10,6.8,10,11.0,10,0.499,8,0.412,2,0.227,8,6.6,4,13.7,5,10.1,5,8.7,9,1.4,8,0.4,9,13.1,6,14.5,10,1.3,9,0.0,10,1.3,10,0.034,10,-0.5,7,-2.0,10,-2.4,10,-0.2,10,15.5,3,0.251,6,0.057,9,0.075,9,0.205,6,0.7000000000000001,8,46.5,1,0.41200000000000003,2,0.1,6
18,18,56,2004,Carlos Boozer,5,PF,5,CLE,5,75.0,6,75.0,4,6.3,3,12.0,5,0.1,9,0.167,8,11.9,3,0.526,1,0.524,1,2.9,4,3.8,4,0.768,5,3.1,1,8.4,1,11.4,1,1.1,7,2.0,7,1.0,6,0.7,3,1.8,6,2.7,4,15.5,4,20.8,1,0.567,1,0.007,9,0.317,4,9.8,2,26.8,1,18.3,1,10.3,7,1.5,7,1.5,4,11.6,8,20.0,6,6.1,2,3.4,3,9.4,2,0.174,2,2.4,2,-0.2,6,2.1,3,2.7,3,7.4,9,0.451,2,0.159,4,0.229,2,0.154,8,9.1,2,0.0,9,0.007000000000000006,9,0.1,6
