,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,2,2015,Paint Threat,No significant defensive role,Steven Adams,C,OKC,70.0,67.0,3.1,5.7,0.0,0.0,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.6,0.9,0.5,1.2,1.4,3.2,7.7,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3,2.9,0.604,0.351,0.038,0.003,21.3,0.0,0.0040000000000000036,0.24
1,1,4,2015,No significant offensive role,No significant defensive role,Arron Afflalo,SG,TOT,78.0,72.0,4.8,11.3,4.3,0.354,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.1,1.7,0.5,0.1,1.5,2.1,13.3,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,1.6,1.0,2.6,0.05,-1.4,-1.1,-2.5,-0.3,15.9,0.124,0.136,0.161,0.202,0.0,38.7,0.377,0.09
2,2,10,2015,Versatile Scorer,Rebounding Specialist,LaMarcus Aldridge,PF,POR,71.0,71.0,9.3,19.9,1.5,0.352,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.0,1.7,0.7,1.0,1.7,1.8,23.4,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1,12.3,0.193,0.163,0.206,0.365,2.0,29.5,0.07300000000000006,0.09
3,3,12,2015,Slasher,Perimeter Defender,Tony Allen,SG,MEM,63.0,41.0,3.6,7.2,0.5,0.345,6.8,0.505,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.0,1.4,2.0,0.5,1.4,2.6,8.6,14.6,0.528,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0.9,3.2,4.1,0.119,-1.5,3.1,1.6,1.5,4.3,0.69,0.165,0.031,0.051,5.3,62.1,0.06299999999999994,0.25
4,4,20,2015,No significant offensive role,No significant defensive role,Ryan Anderson,PF,NOP,61.0,5.0,4.8,12.0,5.9,0.34,6.1,0.457,0.483,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.9,0.5,0.3,1.0,1.9,13.7,15.6,0.524,0.492,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,2.6,0.9,3.5,0.1,1.8,-2.1,-0.3,0.7,16.5,0.214,0.092,0.082,0.119,1.0,14.799999999999999,0.493,0.15
5,5,21,2015,Slasher,Perimeter Defender,Giannis Antetokounmpo,SG,MIL,81.0,71.0,4.7,9.6,0.5,0.159,9.1,0.511,0.496,3.2,4.3,0.741,1.2,5.5,6.7,1.2,2.6,0.9,1.0,2.1,3.1,12.7,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4.0,6.2,0.117,-1.2,1.2,0.0,1.2,7.2,0.506,0.178,0.067,0.192,12.9,15.9,0.05700000000000016,0.2
6,6,22,2015,Versatile Scorer,No significant defensive role,Carmelo Anthony,SF,NYK,40.0,40.0,9.0,20.2,4.5,0.341,15.7,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,1.4,3.1,1.0,0.4,2.2,2.2,24.2,21.5,0.531,0.222,0.294,5.7,16.0,10.7,18.0,1.5,1.0,8.9,32.2,2.2,0.6,2.9,0.097,4.9,-1.9,3.0,1.8,13.9,0.221,0.089,0.185,0.283,2.0,8.9,0.22199999999999998,0.1
7,7,26,2015,No significant offensive role,Perimeter Defender,Trevor Ariza,SF,HOU,82.0,82.0,4.5,11.1,6.8,0.35,4.3,0.485,0.509,1.5,1.7,0.853,0.9,4.7,5.6,1.5,2.5,1.9,0.2,1.7,2.3,12.8,12.7,0.539,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,2.7,3.9,6.6,0.108,-0.1,1.1,1.0,2.2,17.2,0.225,0.047,0.035,0.081,5.6000000000000005,37.7,0.6119999999999999,0.2
8,8,28,2015,Paint Threat,Rebounding Specialist,Ömer Aşık,C,NOP,76.0,76.0,2.8,5.4,0.0,,5.4,0.517,0.517,1.7,3.0,0.582,3.2,6.6,9.8,0.7,0.9,0.4,0.7,1.3,1.9,7.3,15.5,0.545,0.0,0.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,2.8,2.2,5.0,0.12,-0.4,-0.9,-1.2,0.4,1.4,0.896,0.09,0.012,0.002,22.3,,0.0,0.4
9,9,29,2015,No significant offensive role,No significant defensive role,D.J. Augustin,PG,TOT,82.0,14.0,3.1,7.9,3.0,0.337,4.9,0.436,0.463,2.2,2.5,0.868,0.2,1.7,2.0,2.4,4.3,0.6,0.0,1.8,1.1,9.5,13.9,0.527,0.38,0.317,1.1,7.9,4.4,28.2,1.3,0.1,16.4,19.8,2.5,0.9,3.4,0.083,0.4,-1.6,-1.2,0.4,13.7,0.25,0.209,0.057,0.104,0.0,17.9,0.38,0.1
10,10,37,2015,Versatile Scorer,No significant defensive role,Andrea Bargnani,C,NYK,29.0,22.0,5.7,12.4,1.4,0.366,11.0,0.466,0.475,3.0,3.7,0.813,1.1,3.3,4.4,1.1,1.6,0.1,0.9,1.4,1.8,14.8,16.6,0.527,0.114,0.296,4.6,14.4,9.3,11.3,0.1,2.9,9.3,26.4,0.8,0.2,0.9,0.058,1.1,-2.2,-1.1,0.2,13.0,0.152,0.188,0.211,0.335,1.9,0.0,0.1140000000000001,0.1
11,11,38,2015,No significant offensive role,No significant defensive role,Harrison Barnes,SF,GSW,82.0,82.0,3.9,8.0,2.6,0.405,5.4,0.519,0.548,1.3,1.8,0.72,1.4,4.1,5.5,1.6,1.4,0.7,0.2,0.9,1.8,10.1,13.4,0.573,0.328,0.229,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,3.7,3.0,6.7,0.139,0.2,-0.1,0.1,1.2,12.9,0.309,0.122,0.081,0.16,10.4,52.6,0.32799999999999996,0.1
