,index,Player,Pos,Offensive Profile,Defensive Profile,Team,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA 3P,std_areas_FGA
153,153.0,Jakob Poeltl,C,Paint Threat,Switchable Defender,SAS,67.0,6.0,9.8,0.0,1.0,9.7,0.62,0.62,1.4,2.8,0.5,3.9,5.5,9.3,2.8,0.7,1.7,1.7,1.6,3.1,13.5,20.8,0.61,0.0,0.29,13.9,20.0,16.9,14.0,1.1,5.0,12.7,18.3,4.4,2.5,6.9,0.17,0.9,0.7,1.6,1.7,4.7,47.099999999999994,39.1,13.3,0.5,1.4210854715202004e-14,19.6
154,154.0,Jordan Poole,SG,No significant offensive role,No significant defensive role,GSW,51.0,6.2,13.9,7.6,0.36,6.3,0.55,0.55,3.2,3.5,0.92,0.4,3.0,3.4,4.0,0.8,0.3,1.6,2.5,2.7,18.5,16.1,0.6,0.55,0.25,1.7,10.5,6.2,21.0,1.3,1.0,13.7,26.0,3.1,2.9,6.0,0.13,1.3,-0.3,1.0,1.7,17.8,14.2,18.2,6.6000000000000005,6.1,54.9,18.0
155,155.0,Kevin Porter Jr.,PG,Creator/Facilitator,No significant defensive role,HOU,61.0,5.5,13.2,6.8,0.38,6.5,0.46,0.51,2.0,3.2,0.64,0.7,3.7,4.4,6.2,1.1,0.4,2.0,3.1,2.6,15.6,13.5,0.53,0.51,0.24,2.5,13.0,7.7,30.7,1.7,1.0,17.7,24.1,0.0,0.8,0.8,0.02,-0.1,-1.6,-1.6,0.2,16.5,20.3,15.7,5.800000000000001,7.1,51.1,16.5
156,156.0,Bobby Portis,C,Paint Threat,Rebounding Specialist,MIL,59.0,5.8,12.1,4.7,0.39,7.4,0.53,0.56,1.2,1.6,0.75,2.5,6.6,9.1,1.2,0.7,0.7,0.9,1.3,2.4,14.6,17.7,0.57,0.39,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,2.9,2.6,5.5,0.13,1.2,-1.0,0.2,1.1,14.5,21.9,18.5,12.6,8.200000000000001,38.8,10.5
157,157.0,Kristaps Porziņģis,PF,Versatile Scorer,Switchable Defender,TOT,51.0,6.9,15.0,4.9,0.31,10.1,0.53,0.51,4.9,5.6,0.87,2.0,6.1,8.1,2.3,0.7,1.6,1.4,1.6,2.7,20.2,23.7,0.58,0.33,0.37,7.7,23.1,15.4,13.7,1.3,5.0,8.3,29.5,3.2,2.4,5.6,0.18,3.3,0.6,3.9,2.2,14.3,21.4,18.3,18.6,8.9,32.8,7.7
158,158.0,Kristaps Porziņģis,PF,Versatile Scorer,Switchable Defender,TOT,51.0,6.9,15.0,4.9,0.31,10.1,0.53,0.51,4.9,5.6,0.87,2.0,6.1,8.1,2.3,0.7,1.6,1.4,1.6,2.7,20.2,23.7,0.58,0.33,0.37,7.7,23.1,15.4,13.7,1.3,5.0,8.3,29.5,3.2,2.4,5.6,0.18,3.3,0.6,3.9,2.2,14.3,23.0,16.1,19.1,7.7,34.099999999999994,8.7
159,159.0,Norman Powell,SF-SG,Versatile Scorer,No significant defensive role,TOT,41.0,6.2,13.4,5.6,0.42,7.8,0.49,0.55,4.2,5.2,0.81,0.4,2.8,3.2,2.1,0.9,0.5,1.4,1.5,2.4,19.0,16.3,0.6,0.42,0.38,1.5,9.7,5.4,10.8,1.4,1.4,8.9,23.1,2.4,0.4,2.8,0.09,1.2,-1.5,-0.3,0.6,14.4,25.6,17.9,5.800000000000001,8.9,41.800000000000004,12.9
160,160.0,Norman Powell,SF-SG,Versatile Scorer,No significant defensive role,TOT,41.0,6.2,13.4,5.6,0.42,7.8,0.49,0.55,4.2,5.2,0.81,0.4,2.8,3.2,2.1,0.9,0.5,1.4,1.5,2.4,19.0,16.3,0.6,0.42,0.38,1.5,9.7,5.4,10.8,1.4,1.4,8.9,23.1,2.4,0.4,2.8,0.09,1.2,-1.5,-0.3,0.6,14.4,26.400000000000002,17.2,5.2,9.0,42.199999999999996,13.3
161,161.0,Julius Randle,PF,Creator/Facilitator,Rebounding Specialist,NYK,72.0,7.1,17.3,5.4,0.31,11.9,0.46,0.46,4.2,5.6,0.76,1.7,8.2,9.9,5.1,0.7,0.5,1.5,3.4,2.8,20.1,15.7,0.51,0.31,0.32,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,-0.3,3.4,3.1,0.06,0.4,0.2,0.5,1.6,13.8,25.4,15.2,13.700000000000001,14.399999999999999,31.30000000000001,7.1
162,162.0,Josh Richardson,SG,No significant offensive role,Perimeter Lockdown Defender,TOT,7.0,3.6,8.2,3.8,0.42,4.4,0.46,0.53,1.5,1.7,0.89,0.6,2.2,2.8,1.8,0.9,0.4,1.8,1.0,1.8,10.2,12.8,0.57,0.46,0.2,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,1.6,2.0,3.5,0.11,-0.6,0.7,0.1,0.9,17.2,10.9,15.4,17.8,9.9,46.0,13.3
163,163.0,Josh Richardson,SG,No significant offensive role,Perimeter Lockdown Defender,TOT,7.0,3.6,8.2,3.8,0.42,4.4,0.46,0.53,1.5,1.7,0.89,0.6,2.2,2.8,1.8,0.9,0.4,1.8,1.0,1.8,10.2,12.8,0.57,0.46,0.2,2.8,9.4,6.2,10.1,1.7,1.6,10.2,17.6,1.6,2.0,3.5,0.11,-0.6,0.7,0.1,0.9,17.1,10.8,15.5,17.5,10.8,45.400000000000006,13.0
164,164.0,Duncan Robinson,SG,No significant offensive role,No significant defensive role,MIA,68.0,3.7,9.2,7.9,0.37,1.3,0.57,0.56,0.6,0.8,0.84,0.3,2.3,2.6,1.6,0.5,0.2,2.0,0.8,2.5,10.9,10.6,0.57,0.86,0.08,1.4,9.8,5.6,9.3,1.0,0.7,7.4,17.7,1.9,2.0,3.9,0.09,-0.3,-0.3,-0.6,0.7,22.7,7.7,3.9,1.2,1.2,86.0,33.1
165,165.0,Mitchell Robinson,C,Paint Threat,Perimeter Lockdown Defender,NYK,62.0,3.6,4.8,0.0,,4.8,0.76,0.76,1.2,2.5,0.49,4.1,4.5,8.6,0.5,0.8,1.8,0.6,0.8,2.7,8.5,20.7,0.72,0.0,0.53,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,5.3,3.2,8.5,0.22,1.0,1.2,2.2,2.0,1.2,91.8,8.200000000000001,0.0,0.0,0.0,36.0
166,166.0,Derrick Rose,PG,Creator/Facilitator,No significant defensive role,NYK,4.0,4.7,10.5,3.5,0.4,7.0,0.47,0.51,1.2,1.2,0.97,0.8,2.2,3.0,4.0,0.8,0.5,2.7,1.5,0.6,12.0,16.9,0.54,0.34,0.11,3.5,9.8,6.6,27.5,1.7,1.9,11.9,22.5,0.8,0.7,1.4,0.11,2.3,0.0,2.3,0.7,13.4,24.5,23.0,8.799999999999999,10.2,33.5,9.3
167,167.0,Terry Rozier,SG,No significant offensive role,No significant defensive role,CHO,73.0,7.1,16.0,8.1,0.37,7.9,0.52,0.54,2.1,2.4,0.85,0.8,3.5,4.3,4.5,1.3,0.3,3.5,1.3,1.6,19.3,17.6,0.57,0.51,0.15,2.4,11.3,6.8,19.7,1.8,1.0,7.2,23.2,4.3,1.6,5.9,0.12,2.4,-0.7,1.7,2.3,16.4,18.099999999999998,16.5,8.200000000000001,6.4,50.800000000000004,16.1
168,168.0,Ricky Rubio,PG,Creator/Facilitator,Perimeter Lockdown Defender,CLE,8.0,4.4,12.1,5.1,0.34,7.0,0.38,0.43,2.6,3.0,0.85,0.4,3.7,4.1,6.6,1.4,0.2,2.5,2.6,2.2,13.1,14.0,0.49,0.42,0.25,1.7,14.1,8.0,34.6,2.5,0.6,16.5,24.9,-0.1,1.4,1.3,0.06,-1.0,1.2,0.2,0.5,15.4,19.7,16.5,13.600000000000001,7.8,42.4,11.9
169,169.0,D'Angelo Russell,PG,Creator/Facilitator,No significant defensive role,MIN,65.0,6.2,15.0,8.0,0.34,7.0,0.49,0.5,3.0,3.7,0.82,0.4,2.9,3.3,7.1,1.0,0.3,2.8,2.5,2.0,18.1,16.3,0.54,0.53,0.25,1.3,10.1,5.6,33.1,1.4,1.0,13.2,25.1,2.9,1.5,4.4,0.1,2.2,-1.5,0.8,1.4,18.2,12.8,12.8,10.4,10.9,53.1,16.6
170,170.0,Domantas Sabonis,PF,Paint Threat,Rebounding Specialist,TOT,61.0,7.1,12.5,2.0,0.31,10.5,0.62,0.6,4.0,5.4,0.74,3.2,8.9,12.1,5.2,1.0,0.4,1.7,3.1,3.3,18.9,21.9,0.64,0.16,0.43,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,0.16,3.2,0.9,4.1,3.2,7.6,48.5,26.5,4.7,4.1000000000000005,16.200000000000003,16.5
171,171.0,Domantas Sabonis,PF,Paint Threat,Rebounding Specialist,TOT,61.0,7.1,12.5,2.0,0.31,10.5,0.62,0.6,4.0,5.4,0.74,3.2,8.9,12.1,5.2,1.0,0.4,1.7,3.1,3.3,18.9,21.9,0.64,0.16,0.43,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,0.16,3.2,0.9,4.1,3.2,7.9,51.1,22.6,4.2,3.2,18.89999999999999,17.4
172,172.0,Dennis Schröder,PG,No significant offensive role,No significant defensive role,TOT,29.0,4.9,11.3,3.9,0.34,7.4,0.48,0.49,2.5,2.9,0.85,0.5,2.8,3.3,4.6,0.8,0.1,2.1,2.2,2.4,13.5,13.0,0.54,0.34,0.25,2.0,10.5,6.3,24.2,1.4,0.4,15.1,22.6,1.0,1.9,2.9,0.08,-1.5,-0.4,-1.9,0.0,14.7,16.900000000000002,22.8,12.6,13.3,34.39999999999999,8.1
173,173.0,Dennis Schröder,PG,No significant offensive role,No significant defensive role,TOT,29.0,4.9,11.3,3.9,0.34,7.4,0.48,0.49,2.5,2.9,0.85,0.5,2.8,3.3,4.6,0.8,0.1,2.1,2.2,2.4,13.5,13.0,0.54,0.34,0.25,2.0,10.5,6.3,24.2,1.4,0.4,15.1,22.6,1.0,1.9,2.9,0.08,-1.5,-0.4,-1.9,0.0,14.5,16.3,24.0,13.200000000000001,13.700000000000001,32.8,7.5
174,174.0,Pascal Siakam,PF,Slasher,Perimeter Lockdown Defender,TOR,68.0,8.8,17.8,3.2,0.34,14.5,0.53,0.52,4.2,5.6,0.75,1.9,6.6,8.5,5.3,1.3,0.6,2.0,2.7,3.3,22.8,20.3,0.56,0.18,0.31,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.15,2.7,0.8,3.5,3.6,11.2,21.6,34.0,13.200000000000001,13.200000000000001,18.0,7.7
175,175.0,Anfernee Simons,SG,No significant offensive role,No significant defensive role,POR,30.0,6.2,14.0,7.8,0.4,6.2,0.49,0.56,1.8,2.0,0.89,0.5,2.2,2.6,3.9,0.5,0.1,2.0,2.0,1.9,17.3,15.3,0.58,0.56,0.15,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,2.0,-0.1,1.9,0.06,1.9,-2.7,-0.7,0.5,19.0,11.3,11.799999999999999,10.9,10.5,55.5,17.8
176,176.0,Marcus Smart,PG,No significant offensive role,Perimeter Lockdown Defender,BOS,71.0,4.2,10.1,5.1,0.33,5.0,0.51,0.5,2.0,2.5,0.79,0.6,3.2,3.8,5.9,1.7,0.3,2.7,2.2,2.3,12.1,13.6,0.54,0.5,0.25,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,0.12,-1.2,1.7,0.5,1.5,16.1,14.6,25.1,7.5,2.6,50.199999999999996,16.9
177,177.0,Isaiah Stewart,C,No significant offensive role,Rebounding Specialist,DET,71.0,3.5,6.9,0.6,0.33,6.3,0.53,0.53,1.0,1.5,0.72,3.2,5.5,8.7,1.2,0.3,1.1,1.0,1.2,3.0,8.3,14.0,0.55,0.09,0.21,12.8,24.5,18.4,6.9,0.6,3.9,13.7,14.6,1.6,1.8,3.4,0.09,-2.5,-0.8,-3.3,-0.6,5.6,58.4,24.3,3.9,4.1000000000000005,9.299999999999997,20.6
178,178.0,Jalen Suggs,PG,No significant offensive role,No significant defensive role,ORL,45.0,4.1,11.4,4.1,0.21,7.3,0.44,0.4,2.6,3.4,0.77,0.5,3.0,3.6,4.4,1.2,0.4,1.5,3.0,3.0,11.8,8.6,0.46,0.36,0.3,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3.0,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,13.3,26.3,24.5,6.9,6.6000000000000005,35.7,11.5
179,179.0,Jae'Sean Tate,PF,No significant offensive role,No significant defensive role,HOU,77.0,4.7,9.3,2.6,0.31,6.8,0.57,0.54,1.7,2.4,0.71,1.7,3.7,5.4,2.8,0.9,0.5,1.6,1.8,3.7,11.8,14.3,0.57,0.28,0.25,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,1.9,1.1,3.0,0.07,-1.3,-0.5,-1.8,0.1,9.2,41.4,29.5,1.0,0.4,27.69999999999999,16.4
180,180.0,Jayson Tatum,SF,Versatile Scorer,Switchable Defender,BOS,76.0,9.3,20.6,8.6,0.35,12.0,0.52,0.53,5.3,6.2,0.85,1.1,6.9,8.0,4.4,1.0,0.6,1.5,2.9,2.3,26.9,21.8,0.58,0.42,0.3,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,5.0,4.6,9.6,0.17,4.3,0.6,5.0,4.8,15.2,22.0,17.599999999999998,8.799999999999999,10.0,41.60000000000001,11.8
181,181.0,Klay Thompson,SG,No significant offensive role,No significant defensive role,GSW,32.0,7.7,17.9,9.3,0.38,8.7,0.48,0.53,1.4,1.6,0.9,0.5,3.4,3.9,2.8,0.5,0.5,2.2,1.3,1.7,20.4,16.7,0.55,0.52,0.09,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,0.6,1.2,1.8,0.09,2.6,-1.6,1.1,0.7,18.9,6.1,12.9,16.2,13.100000000000001,51.699999999999996,16.2
182,182.0,Matisse Thybulle,SG,No significant offensive role,Perimeter Lockdown Defender,PHI,50.0,2.3,4.5,2.2,0.31,2.4,0.67,0.57,0.5,0.7,0.79,0.6,1.7,2.3,1.1,1.7,1.1,1.8,0.6,2.4,5.7,11.2,0.59,0.48,0.14,2.8,7.1,5.0,6.1,3.4,3.8,10.9,9.5,1.2,2.5,3.7,0.11,-2.2,3.3,1.1,1.3,13.1,40.699999999999996,9.700000000000001,1.7000000000000002,0.0,47.9,20.2
183,183.0,Karl-Anthony Towns,C,Paint Threat,Switchable Defender,MIN,74.0,8.7,16.4,4.9,0.41,11.5,0.58,0.59,5.2,6.3,0.82,2.6,7.2,9.8,3.6,1.0,1.1,1.2,3.1,3.6,24.6,24.1,0.64,0.3,0.38,8.2,23.6,15.7,18.0,1.4,3.2,13.7,27.8,7.1,3.2,10.3,0.2,4.5,0.5,5.0,4.4,11.5,33.300000000000004,25.5,4.9,6.2,30.099999999999994,12.1
184,184.0,Gary Trent Jr.,SG,Versatile Scorer,Perimeter Lockdown Defender,TOR,69.0,6.4,15.5,7.8,0.38,7.7,0.44,0.51,2.5,2.9,0.85,0.4,2.4,2.7,2.0,1.7,0.3,2.0,1.0,2.1,18.3,14.7,0.55,0.5,0.19,1.1,7.7,4.2,8.8,2.5,0.8,5.8,21.8,3.1,2.5,5.6,0.11,-0.1,0.3,0.2,1.3,18.5,8.7,13.100000000000001,11.3,16.7,50.2,15.3
185,185.0,P.J. Tucker,PF,Paint Threat,Perimeter Lockdown Defender,MIA,70.0,2.9,6.0,2.7,0.42,3.3,0.54,0.58,0.6,0.9,0.74,1.4,4.0,5.5,2.1,0.8,0.2,2.3,0.9,2.3,7.6,11.3,0.59,0.45,0.14,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,2.4,2.6,5.0,0.12,-0.8,1.4,0.6,1.3,13.8,19.900000000000002,25.5,7.9,1.6,45.099999999999994,15.1
186,186.0,Myles Turner,C,Paint Threat,Rebounding Specialist,IND,42.0,4.8,9.4,4.4,0.33,5.0,0.66,0.59,1.9,2.5,0.75,1.5,5.5,7.1,1.0,0.7,2.8,0.8,1.3,2.8,12.9,17.4,0.62,0.47,0.27,5.8,21.3,13.4,5.1,1.1,8.3,10.9,17.1,1.7,1.4,3.1,0.12,0.1,1.4,1.4,1.1,14.8,24.2,21.6,4.8,2.8000000000000003,46.60000000000001,15.8
187,187.0,Jonas Valančiūnas,C,Paint Threat,Paint Protector/Rim Defender,NOP,74.0,6.9,12.7,2.1,0.36,10.5,0.58,0.57,3.2,3.9,0.82,3.1,8.3,11.4,2.6,0.6,0.8,1.1,2.4,3.3,17.8,21.2,0.62,0.17,0.31,10.9,31.2,20.8,14.0,0.9,2.6,14.4,23.8,4.6,2.7,7.3,0.16,2.0,-0.1,1.9,2.2,9.1,33.300000000000004,32.4,13.200000000000001,4.3,16.799999999999997,11.3
188,188.0,Jarred Vanderbilt,PF,Paint Threat,Perimeter Lockdown Defender,MIN,67.0,2.9,4.9,0.2,0.14,4.7,0.6,0.59,1.2,1.8,0.66,2.9,5.5,8.4,1.3,1.3,0.6,1.3,1.0,2.4,6.9,15.3,0.61,0.04,0.36,12.0,23.9,17.8,6.7,2.5,2.4,14.8,10.9,3.1,2.9,6.0,0.15,-0.8,1.0,0.2,1.1,3.1,72.6,21.099999999999998,2.1999999999999997,0.3,3.8000000000000114,27.3
189,189.0,Fred VanVleet,PG,Creator/Facilitator,Perimeter Lockdown Defender,TOR,65.0,6.8,16.9,9.9,0.38,7.0,0.44,0.51,3.0,3.4,0.87,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.6,2.5,20.3,17.3,0.55,0.58,0.2,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,3.9,2.8,6.7,0.13,3.1,0.5,3.6,3.5,19.9,8.6,12.2,9.1,11.600000000000001,58.5,19.3
190,190.0,Devin Vassell,SF,No significant offensive role,No significant defensive role,SAS,32.0,4.6,10.8,5.4,0.36,5.4,0.49,0.52,1.2,1.4,0.84,0.6,3.7,4.3,1.9,1.1,0.6,2.4,0.8,2.0,12.3,13.3,0.54,0.5,0.13,2.4,14.3,8.3,9.7,1.9,1.8,6.7,18.9,1.3,2.0,3.3,0.08,-0.5,0.0,-0.5,0.7,17.3,13.100000000000001,12.6,15.1,9.6,49.599999999999994,14.9
191,191.0,Nikola Vučević,C,Versatile Scorer,Paint Protector/Rim Defender,CHI,73.0,7.5,15.8,4.5,0.31,11.3,0.54,0.52,1.3,1.7,0.76,1.9,9.1,11.0,3.2,1.0,1.0,1.7,1.9,2.5,17.6,18.2,0.53,0.29,0.1,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,1.4,3.2,4.5,0.09,0.8,0.1,0.9,1.8,13.0,22.3,25.3,13.700000000000001,10.100000000000001,28.599999999999994,7.0
192,192.0,Franz Wagner,SF,Versatile Scorer,No significant defensive role,ORL,79.0,5.8,12.3,3.4,0.35,8.9,0.51,0.52,2.4,2.8,0.86,1.1,3.4,4.5,2.9,0.9,0.4,1.9,1.5,2.1,15.2,14.7,0.56,0.28,0.22,3.6,11.9,7.7,15.7,1.4,1.3,10.0,21.2,2.1,1.9,4.0,0.08,-0.4,-0.3,-0.7,0.8,10.4,29.5,36.7,4.3,1.6,27.900000000000006,14.3
193,193.0,Kemba Walker,PG,No significant offensive role,No significant defensive role,NYK,37.0,4.0,10.0,5.4,0.37,4.6,0.44,0.5,1.6,1.9,0.84,0.4,2.6,3.0,3.5,0.7,0.2,2.7,1.3,1.0,11.6,13.9,0.54,0.54,0.19,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1.0,0.9,1.8,0.09,0.7,-0.2,0.4,0.6,18.0,13.8,13.0,8.4,11.1,53.699999999999996,17.0
194,194.0,P.J. Washington,C,Paint Threat,No significant defensive role,CHO,28.0,3.8,8.2,4.6,0.36,3.6,0.61,0.57,0.9,1.2,0.72,1.3,3.9,5.2,2.3,0.9,0.9,1.8,1.3,2.3,10.3,13.6,0.59,0.57,0.15,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,1.8,1.6,3.4,0.09,-0.2,0.2,-0.1,0.9,15.8,28.599999999999998,13.200000000000001,1.5,0.2,56.5,20.9
195,195.0,Russell Westbrook,PG,Creator/Facilitator,No significant defensive role,LAL,78.0,7.0,15.8,3.4,0.3,12.4,0.48,0.48,3.4,5.1,0.67,1.4,6.0,7.4,7.1,1.0,0.3,1.9,3.8,3.0,18.5,15.0,0.51,0.22,0.32,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,0.03,-0.7,-0.9,-1.6,0.2,10.8,33.300000000000004,23.200000000000003,10.6,11.4,21.499999999999986,8.4
196,196.0,Coby White,PG,No significant offensive role,No significant defensive role,CHI,17.0,4.6,10.6,5.8,0.38,4.8,0.49,0.54,1.3,1.5,0.86,0.3,2.7,3.0,2.9,0.5,0.2,2.6,1.1,2.2,12.7,12.6,0.56,0.55,0.14,1.1,11.0,6.1,15.0,0.8,0.6,9.3,19.8,1.6,0.8,2.4,0.07,-0.4,-1.7,-2.1,0.0,17.4,18.3,13.0,6.5,7.3,54.900000000000006,18.0
197,197.0,Derrick White,SG,No significant offensive role,No significant defensive role,TOT,52.0,4.5,10.7,4.9,0.31,5.7,0.52,0.49,2.7,3.1,0.86,0.5,3.0,3.5,4.9,0.9,0.8,3.1,1.6,2.3,13.2,14.8,0.55,0.46,0.29,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,0.11,0.4,0.6,0.9,1.6,15.4,15.9,23.1,12.0,2.9000000000000004,46.1,14.6
198,198.0,Derrick White,SG,No significant offensive role,No significant defensive role,TOT,52.0,4.5,10.7,4.9,0.31,5.7,0.52,0.49,2.7,3.1,0.86,0.5,3.0,3.5,4.9,0.9,0.8,3.1,1.6,2.3,13.2,14.8,0.55,0.46,0.29,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,0.11,0.4,0.6,0.9,1.6,15.2,16.8,22.8,12.6,2.5,45.3,14.3
199,199.0,Derrick White,SG,No significant offensive role,No significant defensive role,TOT,52.0,4.5,10.7,4.9,0.31,5.7,0.52,0.49,2.7,3.1,0.86,0.5,3.0,3.5,4.9,0.9,0.8,3.1,1.6,2.3,13.2,14.8,0.55,0.46,0.29,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,0.11,0.4,0.6,0.9,1.6,16.0,13.5,23.9,10.4,3.9,48.300000000000004,15.6
200,200.0,Aaron Wiggins,SG,No significant offensive role,No significant defensive role,OKC,35.0,3.1,6.7,2.8,0.3,4.0,0.57,0.52,1.2,1.7,0.73,1.0,2.5,3.6,1.4,0.6,0.2,1.3,1.1,1.9,8.3,10.3,0.56,0.41,0.25,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.05,-3.4,-0.9,-4.3,-0.7,12.7,24.9,31.8,1.7999999999999998,0.6,40.9,16.2
201,201.0,Andrew Wiggins,SF,Versatile Scorer,No significant defensive role,GSW,73.0,6.5,14.0,5.5,0.39,8.5,0.51,0.54,2.0,3.2,0.63,1.2,3.3,4.5,2.2,1.0,0.7,1.5,1.5,2.2,17.2,15.0,0.56,0.39,0.23,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,1.8,3.4,5.1,0.1,0.3,0.1,0.4,1.4,14.9,16.1,24.2,9.4,11.1,39.2,10.9
202,202.0,Grant Williams,PF,Pure Shooter/Stretcher,No significant defensive role,BOS,21.0,2.7,5.6,3.4,0.41,2.3,0.57,0.6,1.1,1.2,0.9,0.8,2.7,3.6,1.0,0.5,0.7,1.2,0.8,2.4,7.8,11.2,0.64,0.6,0.22,3.8,11.8,7.9,5.7,1.0,2.8,11.6,12.6,2.4,2.6,5.1,0.13,-1.4,1.1,-0.4,0.8,16.6,18.5,16.900000000000002,3.5000000000000004,1.4000000000000001,59.699999999999996,21.0
203,203.0,Robert Williams,C,Paint Threat,Perimeter Lockdown Defender,BOS,61.0,4.4,6.0,0.0,0.0,6.0,0.74,0.74,1.1,1.5,0.72,3.9,5.7,9.6,2.0,0.9,2.2,2.0,1.0,2.2,10.0,22.1,0.74,0.0,0.24,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,6.0,3.9,9.9,0.26,2.4,3.1,5.5,3.4,2.4,77.2,19.8,1.4000000000000001,1.4000000000000001,0.19999999999998863,29.5
204,204.0,Christian Wood,C,Paint Threat,Paint Protector/Rim Defender,HOU,67.0,6.5,12.9,4.9,0.39,8.0,0.57,0.58,3.0,4.9,0.62,1.6,8.5,10.1,2.3,0.8,1.0,1.2,1.9,2.5,17.9,19.1,0.6,0.38,0.38,5.7,30.4,18.0,12.2,1.2,2.8,11.0,23.3,2.9,2.0,4.9,0.11,2.1,-0.4,1.6,1.9,13.0,31.2,21.099999999999998,5.4,4.1000000000000005,38.2,13.6
205,205.0,Trae Young,PG,Creator/Facilitator,No significant defensive role,ATL,76.0,9.4,20.3,8.0,0.38,12.3,0.51,0.54,6.6,7.3,0.9,0.7,3.1,3.7,9.7,0.9,0.1,2.4,4.0,1.7,28.4,25.4,0.6,0.4,0.36,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,0.18,7.1,-2.0,5.2,4.8,16.5,15.9,20.4,11.600000000000001,12.6,39.5,10.2
206,206.0,Ivica Zubac,C,Paint Threat,Switchable Defender,LAC,76.0,4.1,6.5,0.0,,6.5,0.63,0.63,2.2,3.0,0.73,2.9,5.6,8.5,1.6,0.5,1.0,1.1,1.5,2.7,10.3,19.2,0.66,0.0,0.46,12.8,23.7,18.4,9.8,1.0,3.5,16.1,16.8,4.3,2.9,7.2,0.19,-0.1,0.8,0.7,1.3,3.4,57.99999999999999,38.2,3.2,0.6,1.4210854715202004e-14,23.8
Average,103.0,,,Versatile Scorer,No significant defensive role,,52.6,5.6,12.1,4.9,0.3,7.3,0.5,0.5,2.5,3.1,0.8,1.1,4.3,5.4,3.6,1.0,0.6,2.0,1.8,2.2,15.4,16.0,0.6,0.4,0.2,3.9,15.2,9.6,17.9,1.5,1.7,11.8,21.4,2.5,1.9,4.5,0.1,0.8,0.0,0.8,1.5,,,,,,,
