,index,Player,Pos,Offensive Profile,Defensive Profile,Team,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA 3P,std_areas_FGA
112,112.0,Keldon Johnson,SF,Versatile Scorer,No significant defensive role,SAS,74.0,6.3,13.5,5.3,0.4,8.2,0.51,0.55,2.4,3.1,0.76,1.1,5.0,6.1,2.1,0.8,0.2,1.8,1.2,2.0,17.0,15.2,0.57,0.4,0.23,3.5,16.7,10.0,9.5,1.2,0.5,7.6,21.3,2.9,2.0,4.9,0.1,0.7,-1.2,-0.5,0.9,13.4,21.8,29.5,6.4,2.9000000000000004,39.400000000000006,13.8
113,113.0,Nikola Jokić,C,Creator/Facilitator,Perimeter Lockdown Defender,DEN,74.0,10.3,17.7,3.9,0.34,13.8,0.65,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,2.1,3.8,2.6,27.1,32.8,0.66,0.22,0.36,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.3,9.2,4.5,13.7,9.8,10.2,26.8,38.4,8.200000000000001,4.6,22.0,12.4
114,114.0,Herbert Jones,PF,No significant offensive role,Perimeter Lockdown Defender,NOP,69.0,3.5,7.4,2.2,0.34,5.2,0.53,0.52,1.8,2.1,0.84,1.3,2.5,3.8,2.1,1.7,0.8,1.6,1.3,3.1,9.5,12.3,0.57,0.29,0.28,4.5,9.6,7.0,10.0,2.7,2.5,13.4,13.7,2.1,2.5,4.6,0.1,-2.0,1.5,-0.5,0.9,10.7,41.3,20.5,1.6,7.3,29.299999999999997,14.4
115,115.0,Cory Joseph,PG,No significant offensive role,No significant defensive role,DET,39.0,2.7,6.2,2.4,0.41,3.7,0.46,0.53,1.5,1.7,0.88,0.4,2.2,2.7,3.6,0.6,0.3,2.8,1.3,2.3,8.0,11.4,0.58,0.39,0.28,1.9,10.3,5.9,21.8,1.3,1.0,15.9,14.3,1.7,0.8,2.5,0.08,-2.0,-0.1,-2.1,0.0,14.7,22.0,21.0,6.5,11.3,39.2,11.2
116,116.0,Luke Kennard,SG,Pure Shooter/Stretcher,No significant defensive role,LAC,13.0,4.1,9.1,6.0,0.45,3.1,0.45,0.6,1.0,1.1,0.9,0.3,3.0,3.3,2.1,0.6,0.1,2.3,0.9,1.4,11.9,13.3,0.62,0.66,0.12,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,0.11,0.8,-0.3,0.5,1.2,20.8,5.0,8.6,12.1,8.1,66.2,23.2
117,117.0,Maxi Kleber,PF,No significant offensive role,Switchable Defender,DAL,21.0,2.4,6.0,4.3,0.32,1.7,0.59,0.52,0.8,1.1,0.71,1.2,4.7,5.9,1.2,0.5,1.0,1.5,0.8,2.3,7.0,11.0,0.54,0.72,0.18,5.4,21.5,13.4,6.5,1.0,3.6,10.9,13.3,0.7,2.3,3.0,0.1,-1.6,1.2,-0.4,0.6,19.9,16.400000000000002,5.1,4.0,2.5,72.0,26.5
118,118.0,Kyle Kuzma,PF,Versatile Scorer,Rebounding Specialist,WAS,66.0,6.4,14.2,5.7,0.34,8.5,0.53,0.52,2.4,3.3,0.71,1.1,7.4,8.5,3.5,0.6,0.9,1.3,2.6,1.9,17.1,15.2,0.55,0.4,0.23,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0.0,2.0,2.0,0.04,0.2,-0.4,-0.2,1.0,14.8,16.7,26.0,10.8,6.5,40.0,11.9
119,119.0,Zach LaVine,SG,Versatile Scorer,No significant defensive role,CHI,67.0,8.4,17.7,7.1,0.39,10.6,0.53,0.55,4.8,5.6,0.85,0.3,4.3,4.6,4.5,0.6,0.3,1.7,2.6,1.8,24.4,20.0,0.6,0.4,0.32,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,0.12,3.9,-1.5,2.4,2.6,15.2,26.400000000000002,10.299999999999999,8.6,14.7,40.0,11.8
120,120.0,Caris LeVert,SG,Versatile Scorer,No significant defensive role,TOT,49.0,6.5,14.7,4.4,0.32,10.3,0.5,0.49,2.5,3.3,0.76,0.7,2.9,3.7,4.3,0.9,0.4,2.3,1.9,2.3,17.0,15.1,0.52,0.3,0.23,2.7,10.7,6.7,22.0,1.4,1.1,10.3,25.4,1.2,1.0,2.2,0.06,0.0,-1.2,-1.2,0.4,12.8,20.7,26.0,20.1,3.2,29.999999999999986,9.2
121,121.0,Caris LeVert,SG,Versatile Scorer,No significant defensive role,TOT,49.0,6.5,14.7,4.4,0.32,10.3,0.5,0.49,2.5,3.3,0.76,0.7,2.9,3.7,4.3,0.9,0.4,2.3,1.9,2.3,17.0,15.1,0.52,0.3,0.23,2.7,10.7,6.7,22.0,1.4,1.1,10.3,25.4,1.2,1.0,2.2,0.06,0.0,-1.2,-1.2,0.4,13.0,19.5,25.900000000000002,21.099999999999998,3.2,30.299999999999997,9.2
