,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,1,2011,No significant offensive role,No significant defensive role,Arron Afflalo,SG,DEN,69.0,69.0,4.5,9.1,3.6,0.423,5.5,0.546,0.581,2.0,2.4,0.847,0.7,3.0,3.6,2.4,2.4,0.5,0.4,1.0,2.2,12.6,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,0.128,1.7,-0.3,1.4,2.0,14.8,0.241,0.132,0.077,0.155,0.2,58.099999999999994,0.395,0.11
1,1,8,2011,Slasher,No significant defensive role,LaMarcus Aldridge,PF,POR,81.0,81.0,8.7,17.5,0.3,0.174,17.2,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,1.1,2.1,1.0,1.2,1.9,2.7,21.8,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,0.166,2.6,-0.5,2.1,3.4,9.3,0.32,0.271,0.155,0.238,11.700000000000001,21.7,0.016000000000000014,0.11
2,2,10,2011,No significant offensive role,No significant defensive role,Ray Allen*,SG,BOS,80.0,80.0,6.0,12.2,4.7,0.444,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,1.8,2.7,1.0,0.2,1.5,1.8,16.5,16.4,0.615,0.387,0.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,0.166,2.3,0.6,2.9,3.6,16.3,0.173,0.085,0.121,0.235,1.5,39.2,0.386,0.11
3,3,20,2011,Versatile Scorer,No significant defensive role,Carmelo Anthony,SF,TOT,77.0,77.0,8.9,19.5,3.3,0.378,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,1.1,2.9,0.9,0.6,2.7,2.9,25.6,21.7,0.557,0.167,0.403,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,5.4,2.5,7.9,0.138,3.2,-1.2,1.9,2.7,12.4,0.321,0.101,0.124,0.286,3.6999999999999997,17.1,0.16799999999999993,0.09
4,4,24,2011,Creator/Facilitator,No significant defensive role,Gilbert Arenas,PG,TOT,70.0,16.0,3.8,10.5,4.7,0.297,5.8,0.423,0.433,1.7,2.2,0.784,0.3,2.4,2.7,1.6,3.9,1.1,0.3,2.5,2.7,10.8,10.8,0.471,0.446,0.208,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,-1.6,2.2,0.5,0.014,-2.2,-0.3,-2.4,-0.2,18.3,0.123,0.109,0.08,0.243,0.0,8.3,0.44500000000000006,0.13
5,5,27,2011,No significant offensive role,Perimeter Defender,Trevor Ariza,SF,NOH,75.0,75.0,4.0,10.2,3.6,0.303,6.5,0.45,0.451,1.8,2.6,0.701,0.8,4.6,5.4,1.4,2.2,1.6,0.4,1.6,2.4,11.0,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,-0.4,3.8,3.4,0.062,-1.7,1.3,-0.4,1.0,13.5,0.286,0.165,0.064,0.129,6.4,38.4,0.3560000000000001,0.1
6,6,37,2011,Creator/Facilitator,No significant defensive role,D.J. Augustin,PG,CHA,82.0,82.0,4.9,11.7,4.1,0.333,7.6,0.461,0.474,3.3,3.6,0.906,0.5,2.3,2.7,3.2,6.1,0.7,0.0,1.9,1.9,14.4,15.9,0.541,0.348,0.31,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,0.108,1.7,-1.6,0.1,1.5,14.3,0.312,0.109,0.045,0.187,0.0,12.0,0.347,0.1
7,7,43,2011,Versatile Scorer,No significant defensive role,Leandro Barbosa,SG,TOR,58.0,0.0,5.1,11.3,3.7,0.338,7.6,0.505,0.505,1.9,2.4,0.796,0.2,1.5,1.7,1.5,2.1,0.9,0.1,1.4,1.9,13.3,15.3,0.539,0.326,0.21,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,1.4,0.1,1.5,0.052,0.4,-1.7,-1.3,0.2,13.0,0.381,0.103,0.031,0.159,0.2,39.4,0.32599999999999996,0.1
8,8,45,2011,Versatile Scorer,No significant defensive role,Andrea Bargnani,C,TOR,66.0,66.0,8.0,17.8,3.4,0.345,14.4,0.472,0.48,4.3,5.3,0.82,1.1,4.1,5.2,0.8,1.8,0.5,0.7,2.3,2.4,21.4,16.4,0.533,0.19,0.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,2.2,0.3,2.5,0.052,1.2,-2.6,-1.4,0.4,13.9,0.178,0.188,0.18,0.264,2.4,1.3,0.18999999999999995,0.0
9,9,51,2011,No significant offensive role,No significant defensive role,Brandon Bass,PF,ORL,76.0,51.0,4.4,8.5,0.0,0.0,8.5,0.516,0.515,2.5,3.1,0.815,1.8,3.8,5.6,0.6,0.8,0.4,0.7,1.3,2.1,11.2,15.9,0.571,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,3.2,3.1,6.3,0.153,-0.3,0.5,0.2,1.1,10.4,0.298,0.132,0.236,0.332,13.8,0.0,0.0020000000000000018,0.1
10,10,53,2011,Pure Shooter/Stretcher,Perimeter Defender,Shane Battier,SF,TOT,82.0,59.0,2.8,6.2,3.3,0.382,3.0,0.525,0.55,0.8,1.1,0.688,1.1,3.5,4.5,2.3,2.3,0.8,1.0,1.0,1.9,7.6,12.3,0.567,0.525,0.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,2.9,2.2,5.1,0.103,0.6,0.9,1.4,2.0,15.7,0.183,0.232,0.029,0.031,0.2,50.9,0.5249999999999999,0.2
11,11,56,2011,No significant offensive role,No significant defensive role,Nicolas Batum,SF,POR,80.0,67.0,4.6,10.1,4.3,0.345,5.8,0.535,0.528,1.7,2.1,0.841,1.4,3.2,4.5,1.5,1.5,0.9,0.6,1.0,2.4,12.4,14.8,0.563,0.424,0.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,4.4,2.3,6.6,0.126,1.1,0.0,1.1,2.0,15.2,0.286,0.077,0.051,0.162,7.199999999999999,41.5,0.42400000000000004,0.1
12,12,60,2011,Versatile Scorer,No significant defensive role,Michael Beasley,SF,MIN,73.0,73.0,7.7,17.1,2.2,0.366,14.8,0.463,0.474,3.0,4.0,0.753,1.6,4.0,5.6,0.8,2.2,0.7,0.7,2.7,3.0,19.2,15.5,0.51,0.132,0.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,0.7,1.0,1.7,0.035,0.0,-1.8,-1.8,0.1,12.6,0.193,0.23,0.176,0.27,3.0,14.000000000000002,0.131,0.0
13,13,63,2011,No significant offensive role,No significant defensive role,Marco Belinelli,SG,NOH,80.0,69.0,3.8,8.6,4.1,0.414,4.6,0.458,0.534,1.2,1.6,0.784,0.2,1.7,1.9,1.2,1.2,0.5,0.1,1.0,1.8,10.5,12.1,0.56,0.469,0.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,1.9,1.5,3.4,0.084,0.2,-0.8,-0.6,0.7,18.3,0.132,0.068,0.072,0.259,1.0,34.599999999999994,0.469,0.2
