,index,Player,Pos,Team,Team ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,AST/TOV,AST/TOV ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
42,42.0,Mikal Bridges,SF,PHO,5,56.0,5,6.3,4,13.6,4,4.7,6,0.39,3,9.0,3,0.5,8,0.53,7,2.8,4,3.1,5,0.9,1,1.0,5,3.3,7,4.3,7,3.6,5,1.2,2,0.8,2,2.6,2,1.4,7,2.1,7,17.2,4,14.8,6,0.57,7,0.34,7,0.23,7,3.0,6,10.4,8,6.6,8,14.1,6,1.6,4,2.0,3,8.5,9,19.2,6,2.7,4,2.2,4,4.9,4,0.12,5,0.4,6,0.6,4,1.0,4,1.6,4,15.1,5,14.7,8,17.5,7,23.3,1,8.5,3,36.0,6,9.3,9
43,43.0,Mikal Bridges,SG,BRK,5,27.0,9,8.9,2,18.6,1,6.7,2,0.38,3,11.9,2,0.53,6,0.54,6,5.9,1,6.6,1,0.89,2,0.9,6,3.6,6,4.5,6,2.7,6,1.0,4,0.6,3,1.5,8,1.8,4,1.6,9,26.1,1,21.3,2,0.61,3,0.36,6,0.36,2,2.9,6,11.7,7,7.4,7,12.9,7,1.4,6,1.5,4,7.8,10,30.3,1,1.7,7,0.8,9,2.5,8,0.13,4,4.0,2,-0.8,8,3.3,2,1.2,5,14.5,6,17.0,7,17.599999999999998,7,22.7,1,7.8,3,34.900000000000006,7,8.9,9
44,44.0,Mikal Bridges,SG,BRK,5,27.0,9,8.9,2,18.6,1,6.7,2,0.38,3,11.9,2,0.53,6,0.54,6,5.9,1,6.6,1,0.89,2,0.9,6,3.6,6,4.5,6,2.7,6,1.0,4,0.6,3,1.5,8,1.8,4,1.6,9,26.1,1,21.3,2,0.61,3,0.36,6,0.36,2,2.9,6,11.7,7,7.4,7,12.9,7,1.4,6,1.5,4,7.8,10,30.3,1,1.7,7,0.8,9,2.5,8,0.13,4,4.0,2,-0.8,8,3.3,2,1.2,5,14.1,6,18.5,6,17.7,7,22.400000000000002,1,7.3,4,34.099999999999994,7,8.6,10
45,45.0,Mikal Bridges,SG,BRK,5,27.0,9,8.9,2,18.6,1,6.7,2,0.38,3,11.9,2,0.53,6,0.54,6,5.9,1,6.6,1,0.89,2,0.9,6,3.6,6,4.5,6,2.7,6,1.0,4,0.6,3,1.5,8,1.8,4,1.6,9,26.1,1,21.3,2,0.61,3,0.36,6,0.36,2,2.9,6,11.7,7,7.4,7,12.9,7,1.4,6,1.5,4,7.8,10,30.3,1,1.7,7,0.8,9,2.5,8,0.13,4,4.0,2,-0.8,8,3.3,2,1.2,5,15.1,5,14.7,8,17.5,7,23.3,1,8.5,3,36.0,6,9.3,9
46,46.0,Malcolm Brogdon,PG,BOS,5,0.0,10,5.3,6,10.9,6,4.4,6,0.44,1,6.5,6,0.51,7,0.57,4,2.4,5,2.7,6,0.87,2,0.6,8,3.6,6,4.2,7,3.7,4,0.7,8,0.3,7,2.5,3,1.5,6,1.6,9,14.9,5,18.2,3,0.62,3,0.41,5,0.25,6,2.7,7,14.7,5,8.8,5,21.5,3,1.3,7,0.9,7,10.8,7,22.8,4,3.6,3,2.2,4,5.8,3,0.16,2,2.3,2,0.6,4,2.8,2,2.1,3,14.4,6,18.7,6,23.9,3,8.200000000000001,6,7.5,4,41.7,5,12.5,7
47,47.0,Dillon Brooks,SF,MEM,5,73.0,2,5.4,5,13.6,4,6.0,3,0.33,7,7.6,5,0.45,10,0.47,10,1.6,7,2.1,7,0.78,6,0.6,8,2.7,9,3.3,9,2.6,7,0.9,6,0.2,9,1.9,6,1.4,7,3.3,1,14.3,5,9.4,10,0.49,10,0.44,4,0.16,9,2.2,8,9.5,9,5.8,9,11.7,7,1.4,6,0.7,8,8.9,9,21.8,4,-0.8,10,2.4,3,1.6,9,0.03,10,-3.4,10,-0.5,7,-3.9,10,-1.1,10,15.8,4,15.7,8,19.0,6,13.8,3,7.199999999999999,4,44.3,4,12.7,7
48,48.0,Bruce Brown,SF,DEN,5,31.0,8,4.5,7,9.3,7,3.2,8,0.36,5,6.1,6,0.55,5,0.55,6,1.5,8,1.9,8,0.76,7,0.8,7,3.3,7,4.1,7,3.4,5,1.1,3,0.6,3,2.3,4,1.5,6,2.4,5,11.5,7,13.3,8,0.57,7,0.34,7,0.21,8,3.3,6,13.0,6,8.3,6,15.7,5,1.9,2,2.0,3,13.2,4,17.8,7,1.7,7,2.6,2,4.3,5,0.09,7,-1.1,8,0.6,4,-0.5,7,0.9,6,12.0,8,26.200000000000003,4,26.6,2,8.6,6,3.2,7,35.39999999999999,6,12.1,8
49,49.0,Jaylen Brown,SF,BOS,5,67.0,3,10.1,1,20.6,1,7.3,2,0.34,7,13.4,1,0.58,3,0.55,6,3.9,2,5.1,2,0.76,7,1.2,4,5.7,3,6.9,3,3.5,5,1.1,3,0.4,6,1.2,9,2.9,2,2.6,3,26.6,1,19.1,3,0.58,6,0.35,7,0.25,6,3.6,5,17.0,4,10.4,4,16.5,5,1.5,5,0.9,7,11.4,6,31.4,1,1.6,7,3.4,1,5.0,4,0.1,6,1.5,4,-0.2,6,1.3,4,2.0,3,13.6,7,23.7,5,20.3,5,10.100000000000001,4,9.3,3,36.599999999999994,6,10.0,9
50,50.0,Troy Brown Jr.,SF,LAL,5,45.0,7,2.6,10,6.1,10,3.7,7,0.38,3,2.4,10,0.5,8,0.55,6,0.4,10,0.5,10,0.87,2,0.8,7,3.2,7,4.1,7,1.3,10,0.8,7,0.2,9,2.2,4,0.6,10,1.6,9,7.1,10,9.6,10,0.56,8,0.6,2,0.08,10,3.7,5,13.7,5,8.9,5,6.6,10,1.5,5,0.7,8,9.2,8,12.1,10,1.0,8,2.0,4,2.9,7,0.08,7,-1.8,9,0.8,3,-1.0,8,0.5,7,17.5,2,16.6,7,14.799999999999999,8,3.2,9,4.9,5,60.5,2,20.9,2
51,51.0,Jalen Brunson,PG,NYK,5,68.0,3,8.6,2,17.6,2,4.7,6,0.42,1,12.8,1,0.52,7,0.55,6,4.8,2,5.8,2,0.83,4,0.6,8,3.0,8,3.5,8,6.2,2,0.9,6,0.2,9,3.0,2,2.1,3,2.2,6,24.0,2,21.2,2,0.6,4,0.27,8,0.33,3,1.8,9,9.3,9,5.6,9,28.7,2,1.3,7,0.6,9,9.4,8,27.2,2,6.9,1,1.8,5,8.7,1,0.18,2,4.4,2,-0.5,7,3.9,1,3.5,1,12.9,7,14.899999999999999,8,33.1,1,17.2,2,7.9,3,26.89999999999999,8,8.9,9
52,52.0,Reggie Bullock,SF,DAL,5,55.0,5,2.5,10,6.0,10,5.1,5,0.38,3,0.9,10,0.56,4,0.57,4,0.3,10,0.5,10,0.7,9,0.4,9,3.2,7,3.6,8,1.4,10,0.7,8,0.2,9,2.8,2,0.5,10,2.1,7,7.2,10,7.7,10,0.58,6,0.84,1,0.08,10,1.6,9,12.5,6,7.0,8,6.2,10,1.1,9,0.5,9,6.9,10,10.0,10,1.3,7,1.4,7,2.8,7,0.06,8,-2.3,10,-0.3,6,-2.6,10,-0.4,10,21.7,1,7.7,10,4.0,10,1.9,10,1.9,8,84.5,1,32.3,1
53,53.0,Jimmy Butler,PF,MIA,5,64.0,4,7.5,2,13.9,3,1.6,9,0.35,6,12.3,1,0.56,4,0.56,5,7.4,1,8.7,1,0.85,3,2.2,2,3.7,5,5.9,4,5.3,3,1.8,1,0.3,7,3.3,1,1.6,6,1.3,10,22.9,2,27.6,1,0.65,1,0.12,9,0.62,1,7.5,2,13.3,6,10.3,4,27.1,2,2.7,1,1.0,6,8.2,9,25.6,3,9.4,1,2.9,2,12.3,1,0.28,1,6.7,1,2.0,1,8.7,1,5.8,1,8.3,9,31.4,3,34.1,1,15.8,2,5.5,5,13.200000000000003,9,11.0,8
54,54.0,Kentavious Caldwell-Pope,SG,DEN,5,76.0,1,3.8,8,8.3,8,4.2,6,0.42,1,4.1,9,0.5,8,0.57,4,1.4,8,1.6,8,0.82,5,0.5,8,2.3,10,2.7,10,2.4,7,1.5,1,0.5,4,2.2,4,1.1,8,1.9,8,10.8,8,11.5,9,0.6,4,0.5,3,0.2,8,1.7,9,8.1,10,5.0,10,9.8,8,2.3,1,1.3,5,11.1,6,14.1,9,2.0,6,2.5,3,4.5,4,0.09,7,-1.6,9,0.6,4,-1.0,8,0.6,7,17.3,2,13.600000000000001,9,11.4,9,8.1,6,15.5,1,51.4,3,15.9,5
55,55.0,Clint Capela,C,ATL,5,63.0,4,5.4,5,8.2,8,0.0,10,0.0,10,8.2,4,0.65,1,0.65,1,1.2,8,2.0,7,0.6,10,4.0,1,7.1,1,11.0,1,0.9,10,0.7,8,1.2,1,1.1,10,0.8,10,2.1,7,12.0,7,22.1,2,0.66,1,0.0,10,0.24,7,16.1,1,29.4,1,22.7,1,4.7,10,1.2,8,3.9,1,8.3,9,15.7,8,4.9,2,2.4,3,7.2,2,0.2,1,2.3,2,-0.1,6,2.2,3,1.8,3,2.1,10,76.1,1,21.8,4,0.4,10,0.4,10,1.2999999999999972,10,29.2,1
56,56.0,Wendell Carter Jr.,C,ORL,5,54.0,6,5.6,5,10.8,6,3.9,7,0.36,5,6.8,6,0.62,2,0.59,2,2.5,5,3.4,4,0.74,8,2.1,2,6.6,1,8.7,2,2.3,7,0.5,10,0.6,3,1.2,9,1.9,4,2.8,2,15.2,5,17.3,4,0.62,3,0.37,6,0.32,4,8.0,2,25.3,1,16.6,2,12.0,7,0.9,10,1.9,3,13.2,4,20.5,6,2.6,5,2.0,4,4.6,4,0.13,4,0.9,5,0.1,5,1.0,4,1.3,5,13.3,7,28.199999999999996,4,17.9,7,10.100000000000001,4,7.000000000000001,4,36.800000000000004,6,11.1,8
57,57.0,Jordan Clarkson,SG,UTA,5,61.0,4,7.5,2,16.9,2,7.5,1,0.34,7,9.4,3,0.53,6,0.52,8,3.3,3,4.0,4,0.82,5,1.2,4,2.9,8,4.0,8,4.4,4,0.5,10,0.2,9,1.5,8,3.0,1,2.0,8,20.8,2,14.7,7,0.56,8,0.44,4,0.24,7,4.0,5,9.3,9,6.7,8,20.9,4,0.8,10,0.6,9,14.0,3,27.8,2,0.9,8,0.8,9,1.7,9,0.04,9,1.0,5,-2.4,10,-1.4,8,0.3,8,15.7,4,10.9,10,30.099999999999998,2,13.0,3,1.6,8,44.4,4,15.3,5
58,58.0,Nic Claxton,C,BRK,5,76.0,1,5.4,5,7.7,8,0.0,10,0.0,10,7.7,5,0.71,1,0.7,1,1.8,6,3.2,5,0.54,10,2.4,2,6.8,1,9.2,1,1.9,8,0.9,6,2.5,1,1.5,8,1.3,7,2.8,2,12.6,7,20.8,2,0.69,1,0.0,10,0.42,1,9.3,2,25.1,1,17.4,2,9.3,8,1.4,6,7.1,1,12.1,5,15.4,8,5.2,1,4.0,1,9.2,1,0.2,1,0.9,5,2.2,1,3.1,2,2.9,2,2.7,10,67.10000000000001,1,30.3,2,2.1999999999999997,9,0.0,10,0.3999999999999915,10,26.2,1
59,59.0,John Collins,PF,ATL,5,71.0,2,5.1,6,10.0,6,3.4,7,0.29,9,6.6,6,0.62,2,0.56,5,2.0,6,2.5,6,0.8,6,1.1,5,5.4,3,6.5,3,1.2,10,0.6,9,1.0,2,1.1,10,1.1,8,3.1,1,13.1,6,13.6,7,0.59,5,0.34,7,0.25,6,3.9,5,20.0,3,11.9,3,5.3,10,0.9,10,2.9,2,9.1,8,17.1,7,2.1,5,2.1,4,4.2,5,0.1,6,-1.4,9,0.2,5,-1.3,8,0.4,8,12.0,8,28.999999999999996,3,20.7,5,10.9,4,4.5,6,34.900000000000006,7,11.2,8
60,60.0,Mike Conley,PG,TOT,5,66.0,3,3.9,8,9.1,7,5.2,4,0.38,3,3.9,9,0.49,9,0.54,6,2.1,6,2.5,6,0.83,4,0.5,8,2.2,10,2.7,10,6.7,1,1.1,3,0.2,9,4.5,1,1.5,6,2.1,7,11.9,7,14.7,7,0.58,6,0.57,2,0.28,5,1.8,9,7.9,10,4.9,10,29.4,2,1.7,3,0.6,9,13.1,4,16.3,8,4.1,2,1.4,7,5.5,3,0.13,4,1.0,5,-0.1,6,0.9,5,1.5,4,18.3,2,8.4,10,20.200000000000003,5,10.8,4,3.1,7,57.49999999999999,2,19.6,3
61,61.0,Mike Conley,PG,TOT,5,66.0,3,3.9,8,9.1,7,5.2,4,0.38,3,3.9,9,0.49,9,0.54,6,2.1,6,2.5,6,0.83,4,0.5,8,2.2,10,2.7,10,6.7,1,1.1,3,0.2,9,4.5,1,1.5,6,2.1,7,11.9,7,14.7,7,0.58,6,0.57,2,0.28,5,1.8,9,7.9,10,4.9,10,29.4,2,1.7,3,0.6,9,13.1,4,16.3,8,4.1,2,1.4,7,5.5,3,0.13,4,1.0,5,-0.1,6,0.9,5,1.5,4,18.3,2,8.5,10,21.3,4,9.9,4,3.5000000000000004,7,56.8,2,19.3,3
62,62.0,Mike Conley,PG,UTA,5,42.0,7,3.6,9,8.7,7,5.0,5,0.36,5,3.8,9,0.47,10,0.51,9,1.8,6,2.2,7,0.81,5,0.4,9,2.1,10,2.5,10,7.7,1,1.0,4,0.2,9,4.5,1,1.7,5,2.2,6,10.7,8,13.9,7,0.55,8,0.57,2,0.26,6,1.5,9,7.5,10,4.5,10,34.0,1,1.6,4,0.7,8,15.1,3,16.1,8,2.2,5,0.8,9,3.0,7,0.11,5,0.7,5,-0.5,7,0.2,6,0.7,7,18.3,2,8.4,10,20.200000000000003,5,10.8,4,3.1,7,57.49999999999999,2,19.6,3
63,63.0,Mike Conley,PG,UTA,5,42.0,7,3.6,9,8.7,7,5.0,5,0.36,5,3.8,9,0.47,10,0.51,9,1.8,6,2.2,7,0.81,5,0.4,9,2.1,10,2.5,10,7.7,1,1.0,4,0.2,9,4.5,1,1.7,5,2.2,6,10.7,8,13.9,7,0.55,8,0.57,2,0.26,6,1.5,9,7.5,10,4.5,10,34.0,1,1.6,4,0.7,8,15.1,3,16.1,8,2.2,5,0.8,9,3.0,7,0.11,5,0.7,5,-0.5,7,0.2,6,0.7,7,18.3,2,8.5,10,21.3,4,9.9,4,3.5000000000000004,7,56.8,2,19.3,3
64,64.0,Torrey Craig,PF,PHO,5,60.0,5,2.9,10,6.3,10,3.2,8,0.4,2,3.1,10,0.52,7,0.56,5,0.4,10,0.6,10,0.71,9,1.8,3,3.6,6,5.4,4,1.5,9,0.6,9,0.8,2,1.7,7,0.9,10,2.3,5,7.4,10,11.6,9,0.57,7,0.51,3,0.09,10,8.1,2,16.3,4,12.1,3,7.9,9,1.3,7,2.9,2,12.3,5,13.0,9,1.5,7,2.5,3,4.0,5,0.1,6,-1.3,9,0.7,3,-0.6,7,0.7,7,15.0,5,26.6,4,13.8,8,6.2,7,2.8000000000000003,7,50.599999999999994,3,17.3,4
65,65.0,Stephen Curry,PG,GSW,5,56.0,5,10.0,1,20.2,1,11.4,1,0.43,1,8.8,4,0.58,3,0.61,2,4.6,2,5.0,2,0.92,1,0.7,7,5.4,3,6.1,4,6.3,2,0.9,6,0.4,6,2.0,5,3.2,1,2.1,7,29.4,1,24.1,1,0.66,1,0.56,2,0.25,6,2.3,8,16.8,4,9.7,5,30.0,1,1.3,7,0.9,7,12.5,5,31.0,1,5.8,1,2.0,4,7.8,1,0.19,1,7.5,1,0.1,5,7.5,1,4.7,1,18.8,1,10.7,10,19.1,6,6.3,7,7.6,4,56.3,2,18.7,3
66,66.0,Anthony Davis,C,LAL,5,54.0,6,9.7,1,17.2,2,1.3,9,0.26,10,15.9,1,0.59,3,0.57,4,6.2,1,7.9,1,0.78,6,3.5,1,9.1,1,12.5,1,2.6,7,1.1,3,2.0,1,1.2,9,2.2,3,2.6,3,25.9,1,27.8,1,0.63,2,0.08,10,0.46,1,11.3,1,27.6,1,19.7,1,13.0,7,1.5,5,5.1,1,9.5,8,28.4,2,5.5,1,3.4,1,9.0,1,0.23,1,4.6,1,1.7,1,6.3,1,4.0,1,8.2,9,34.8,2,32.300000000000004,1,13.4,3,11.700000000000001,2,7.799999999999997,9,11.2,8
67,67.0,DeMar DeRozan,SF,CHI,5,74.0,2,8.9,2,17.6,2,1.9,9,0.32,8,15.7,1,0.53,6,0.52,8,6.2,1,7.1,1,0.87,2,0.5,8,4.2,4,4.6,6,5.1,3,1.1,3,0.5,4,2.4,3,2.1,3,2.5,4,24.5,2,20.6,2,0.59,5,0.11,9,0.4,2,1.5,9,12.8,6,7.2,7,22.3,3,1.5,5,1.3,5,9.1,8,27.8,2,5.4,1,3.2,1,8.5,1,0.15,2,1.7,3,0.3,5,2.0,3,2.6,2,13.7,7,16.5,7,12.5,9,26.3,1,33.800000000000004,1,10.900000000000006,9,8.7,9
68,68.0,Spencer Dinwiddie,SG-PG,TOT,5,79.0,1,5.8,4,13.3,4,6.2,3,0.37,4,7.1,5,0.5,8,0.52,8,3.4,3,4.2,3,0.81,5,0.4,9,3.1,8,3.4,9,6.5,2,0.8,7,0.3,7,3.6,1,1.8,4,2.4,5,17.3,4,16.0,5,0.57,7,0.47,4,0.31,4,1.2,10,10.2,9,5.7,9,28.1,2,1.2,8,0.8,8,10.8,7,22.1,4,4.5,2,1.8,5,6.3,2,0.11,5,1.6,3,-0.9,8,0.7,5,1.8,3,15.7,4,18.6,6,20.599999999999998,5,9.2,5,5.0,5,46.599999999999994,4,14.5,6
69,69.0,Spencer Dinwiddie,SG-PG,TOT,5,79.0,1,5.8,4,13.3,4,6.2,3,0.37,4,7.1,5,0.5,8,0.52,8,3.4,3,4.2,3,0.81,5,0.4,9,3.1,8,3.4,9,6.5,2,0.8,7,0.3,7,3.6,1,1.8,4,2.4,5,17.3,4,16.0,5,0.57,7,0.47,4,0.31,4,1.2,10,10.2,9,5.7,9,28.1,2,1.2,8,0.8,8,10.8,7,22.1,4,4.5,2,1.8,5,6.3,2,0.11,5,1.6,3,-0.9,8,0.7,5,1.8,3,16.0,4,18.4,7,19.7,6,7.9,6,4.8,6,49.20000000000001,3,15.7,5
70,70.0,Spencer Dinwiddie,SG-PG,TOT,5,79.0,1,5.8,4,13.3,4,6.2,3,0.37,4,7.1,5,0.5,8,0.52,8,3.4,3,4.2,3,0.81,5,0.4,9,3.1,8,3.4,9,6.5,2,0.8,7,0.3,7,3.6,1,1.8,4,2.4,5,17.3,4,16.0,5,0.57,7,0.47,4,0.31,4,1.2,10,10.2,9,5.7,9,28.1,2,1.2,8,0.8,8,10.8,7,22.1,4,4.5,2,1.8,5,6.3,2,0.11,5,1.6,3,-0.9,8,0.7,5,1.8,3,15.0,5,18.8,6,22.2,4,11.799999999999999,3,5.3,5,41.900000000000006,5,12.4,7
71,71.0,Spencer Dinwiddie,SG,DAL,5,53.0,6,6.0,4,13.1,4,6.4,2,0.4,2,6.7,6,0.5,8,0.56,5,3.2,3,3.9,4,0.82,5,0.4,9,2.7,9,3.1,9,5.3,3,0.7,8,0.3,7,3.1,1,1.7,5,2.3,5,17.7,4,16.1,5,0.6,4,0.49,3,0.3,4,1.2,10,9.4,9,5.2,10,23.8,3,1.1,9,0.8,8,10.3,7,21.9,4,3.3,3,1.0,8,4.3,5,0.11,5,2.0,3,-1.2,9,0.9,5,1.3,5,15.7,4,18.6,6,20.599999999999998,5,9.2,5,5.0,5,46.599999999999994,4,14.5,6
72,72.0,Spencer Dinwiddie,SG,DAL,5,53.0,6,6.0,4,13.1,4,6.4,2,0.4,2,6.7,6,0.5,8,0.56,5,3.2,3,3.9,4,0.82,5,0.4,9,2.7,9,3.1,9,5.3,3,0.7,8,0.3,7,3.1,1,1.7,5,2.3,5,17.7,4,16.1,5,0.6,4,0.49,3,0.3,4,1.2,10,9.4,9,5.2,10,23.8,3,1.1,9,0.8,8,10.3,7,21.9,4,3.3,3,1.0,8,4.3,5,0.11,5,2.0,3,-1.2,9,0.9,5,1.3,5,16.0,4,18.4,7,19.7,6,7.9,6,4.8,6,49.20000000000001,3,15.7,5
73,73.0,Spencer Dinwiddie,SG,DAL,5,53.0,6,6.0,4,13.1,4,6.4,2,0.4,2,6.7,6,0.5,8,0.56,5,3.2,3,3.9,4,0.82,5,0.4,9,2.7,9,3.1,9,5.3,3,0.7,8,0.3,7,3.1,1,1.7,5,2.3,5,17.7,4,16.1,5,0.6,4,0.49,3,0.3,4,1.2,10,9.4,9,5.2,10,23.8,3,1.1,9,0.8,8,10.3,7,21.9,4,3.3,3,1.0,8,4.3,5,0.11,5,2.0,3,-1.2,9,0.9,5,1.3,5,15.0,5,18.8,6,22.2,4,11.799999999999999,3,5.3,5,41.900000000000006,5,12.4,7
74,74.0,Spencer Dinwiddie,PG,BRK,5,26.0,9,5.5,5,13.7,3,5.7,3,0.29,9,8.0,4,0.49,9,0.46,10,3.8,3,4.7,2,0.8,6,0.3,10,3.8,5,4.1,7,9.1,1,1.1,3,0.3,7,4.3,1,2.1,3,2.4,5,16.5,4,15.8,5,0.52,10,0.42,5,0.35,3,1.1,10,11.7,7,6.6,8,36.5,1,1.5,5,0.7,8,11.8,6,22.5,4,1.2,8,0.8,9,2.0,8,0.1,6,0.7,5,-0.5,7,0.2,6,0.5,7,15.7,4,18.6,6,20.599999999999998,5,9.2,5,5.0,5,46.599999999999994,4,14.5,6
75,75.0,Spencer Dinwiddie,PG,BRK,5,26.0,9,5.5,5,13.7,3,5.7,3,0.29,9,8.0,4,0.49,9,0.46,10,3.8,3,4.7,2,0.8,6,0.3,10,3.8,5,4.1,7,9.1,1,1.1,3,0.3,7,4.3,1,2.1,3,2.4,5,16.5,4,15.8,5,0.52,10,0.42,5,0.35,3,1.1,10,11.7,7,6.6,8,36.5,1,1.5,5,0.7,8,11.8,6,22.5,4,1.2,8,0.8,9,2.0,8,0.1,6,0.7,5,-0.5,7,0.2,6,0.5,7,16.0,4,18.4,7,19.7,6,7.9,6,4.8,6,49.20000000000001,3,15.7,5
76,76.0,Spencer Dinwiddie,PG,BRK,5,26.0,9,5.5,5,13.7,3,5.7,3,0.29,9,8.0,4,0.49,9,0.46,10,3.8,3,4.7,2,0.8,6,0.3,10,3.8,5,4.1,7,9.1,1,1.1,3,0.3,7,4.3,1,2.1,3,2.4,5,16.5,4,15.8,5,0.52,10,0.42,5,0.35,3,1.1,10,11.7,7,6.6,8,36.5,1,1.5,5,0.7,8,11.8,6,22.5,4,1.2,8,0.8,9,2.0,8,0.1,6,0.7,5,-0.5,7,0.2,6,0.5,7,15.0,5,18.8,6,22.2,4,11.799999999999999,3,5.3,5,41.900000000000006,5,12.4,7
77,77.0,Donte DiVincenzo,SG,GSW,5,36.0,8,3.3,9,7.5,9,5.3,4,0.4,2,2.3,10,0.52,7,0.57,4,0.8,10,1.0,10,0.82,5,1.1,5,3.4,6,4.5,6,3.5,5,1.3,2,0.1,10,2.2,4,1.6,6,1.8,9,9.4,9,12.8,8,0.59,5,0.7,1,0.13,9,4.7,4,14.0,5,9.4,5,17.3,5,2.4,1,0.5,9,16.4,1,15.1,8,1.9,6,2.3,3,4.2,5,0.11,5,-0.6,8,1.3,2,0.7,5,1.3,5,19.7,1,12.4,9,13.100000000000001,9,2.6,9,1.9,8,70.0,1,25.4,1
78,78.0,Luka Dončić,PG,DAL,5,66.0,3,10.9,1,22.0,1,8.2,1,0.34,7,13.8,1,0.59,3,0.56,5,7.8,1,10.5,1,0.74,8,0.8,7,7.8,1,8.6,2,8.0,1,1.4,1,0.5,4,2.2,4,3.6,1,2.5,4,32.4,1,28.7,1,0.61,3,0.37,6,0.48,1,2.6,7,25.4,1,13.8,2,42.3,1,1.9,2,1.2,6,11.9,5,37.6,1,7.3,1,2.9,2,10.2,1,0.2,1,7.6,1,1.4,2,8.9,1,6.6,1,14.7,6,17.599999999999998,7,25.2,3,14.499999999999998,3,5.4,5,37.300000000000004,6,10.7,9
79,79.0,Luguentz Dort,SF,OKC,5,73.0,2,4.6,7,11.8,5,5.5,4,0.33,7,6.3,6,0.44,10,0.47,10,2.7,4,3.5,4,0.77,7,1.7,3,2.9,8,4.6,6,2.1,8,1.0,4,0.3,7,1.8,6,1.2,8,3.3,1,13.7,6,11.3,9,0.51,10,0.47,4,0.3,4,5.9,3,10.4,8,8.1,6,9.2,8,1.6,4,0.9,7,8.5,9,19.8,6,0.9,8,2.1,4,2.9,7,0.06,8,-2.0,9,-1.0,9,-3.0,10,-0.6,10,14.2,6,30.099999999999998,3,17.4,7,3.2,9,2.4,8,46.9,4,16.9,4
80,80.0,Ayo Dosunmu,SG,CHI,5,51.0,6,3.5,9,7.1,9,2.4,8,0.31,9,4.8,8,0.58,3,0.55,6,0.8,10,1.0,10,0.8,6,0.6,8,2.2,10,2.8,10,2.6,7,0.8,7,0.3,7,2.2,4,1.2,8,2.3,5,8.6,9,10.2,10,0.57,7,0.33,7,0.14,9,2.5,7,9.3,9,5.9,9,13.2,7,1.4,6,1.2,6,14.0,3,14.9,8,0.7,9,2.2,4,2.9,7,0.07,8,-3.0,10,0.6,4,-2.5,9,-0.2,10,11.2,8,41.099999999999994,2,14.7,8,7.000000000000001,7,4.0,6,33.2,7,14.6,6
81,81.0,Kevin Durant,PF,TOT,5,47.0,7,10.3,1,18.3,2,4.9,5,0.4,2,13.4,1,0.62,2,0.61,2,6.5,1,7.1,1,0.92,1,0.4,9,6.3,2,6.7,3,5.0,3,0.7,8,1.4,1,1.5,8,3.3,1,2.1,7,29.1,1,25.9,1,0.68,1,0.27,8,0.39,2,1.2,10,19.5,3,10.5,4,24.5,3,1.0,9,3.4,1,13.4,4,30.7,1,4.7,2,2.1,4,6.8,2,0.19,1,6.0,1,1.2,2,7.1,1,3.9,1,15.1,5,11.0,10,16.2,8,29.2,1,16.8,1,26.799999999999997,8,6.9,10
82,82.0,Kevin Durant,PF,TOT,5,47.0,7,10.3,1,18.3,2,4.9,5,0.4,2,13.4,1,0.62,2,0.61,2,6.5,1,7.1,1,0.92,1,0.4,9,6.3,2,6.7,3,5.0,3,0.7,8,1.4,1,1.5,8,3.3,1,2.1,7,29.1,1,25.9,1,0.68,1,0.27,8,0.39,2,1.2,10,19.5,3,10.5,4,24.5,3,1.0,9,3.4,1,13.4,4,30.7,1,4.7,2,2.1,4,6.8,2,0.19,1,6.0,1,1.2,2,7.1,1,3.9,1,14.9,5,12.3,9,16.3,7,29.2,1,16.5,1,25.700000000000003,8,6.4,10
