,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,0,2006,Shareef Abdur-Rahim,5,PF,5,SAC,5,72.0,7,30.0,8,4.6,6,8.8,7,0.3,8,0.227,8,8.5,6,0.536,1,0.529,3,3.0,5,3.9,4,0.784,5,1.5,4,3.5,6,5.0,5,1.4,6,2.1,7,0.7,8,0.6,4,1.5,7,3.2,2,12.3,6,17.2,4,0.588,1,0.035,8,0.44,2,6.4,4,14.8,5,10.6,4,13.2,6,1.3,7,1.6,3,12.5,6,20.1,6,4.0,4,2.2,6,6.2,4,0.152,3,0.5,5,0.4,4,0.9,4,1.4,5,,10,,10,,10,,10,,10,,10,,10,1,1,0.0,10
1,1,3,2006,Ray Allen*,5,SG,5,SEA,5,78.0,5,78.0,3,8.7,1,19.2,1,8.4,1,0.412,1,10.9,3,0.486,4,0.544,2,4.2,2,4.6,3,0.903,1,0.9,6,3.3,6,4.3,6,1.5,6,3.7,4,1.3,3,0.2,7,2.4,3,1.9,10,25.1,1,22.2,2,0.59,1,0.435,2,0.239,8,2.8,7,10.6,7,6.6,7,17.2,4,1.8,3,0.4,8,10.2,9,27.4,2,9.8,1,-0.3,10,9.5,2,0.15,3,6.4,1,-2.0,10,4.4,2,4.9,1,17.2,1,0.145,10,0.1,6,0.123,5,0.197,7,1.0999999999999999,7,17.0,6,0.43500000000000005,2,0.12,4
2,2,5,2006,Rafer Alston,5,PG,5,HOU,5,63.0,8,63.0,5,4.4,6,11.7,4,5.0,1,0.327,6,6.8,7,0.418,10,0.449,9,1.6,8,2.3,8,0.692,8,0.6,8,3.5,6,4.0,7,2.7,1,6.7,1,1.6,1,0.2,7,2.5,2,3.1,2,12.1,6,12.6,8,0.475,10,0.423,2,0.194,9,1.8,9,10.4,7,6.1,8,30.8,1,2.3,2,0.5,7,16.4,2,18.8,7,0.2,10,3.1,3,3.4,8,0.067,9,-1.0,8,0.6,3,-0.4,7,1.0,6,15.7,2,0.225,8,0.117,5,0.041,10,0.195,7,0.0,10,21.2,6,0.42199999999999993,2,0.13,4
3,3,8,2006,Derek Anderson,5,SG,5,TOT,5,43.0,10,11.0,10,2.5,10,7.0,9,3.1,4,0.299,7,3.9,10,0.402,10,0.422,10,2.2,6,2.6,7,0.838,2,0.5,8,2.8,7,3.3,8,1.8,4,2.3,6,0.5,9,0.1,9,1.3,9,2.3,8,8.1,9,10.8,10,0.496,9,0.442,2,0.366,4,2.4,7,13.3,5,8.0,6,15.7,5,1.2,8,0.5,7,13.3,5,18.2,8,0.5,9,1.1,9,1.6,10,0.074,8,-1.3,9,0.1,5,-1.2,8,0.2,9,17.9,1,0.125,10,0.059,9,0.109,5,0.264,4,0.7000000000000001,8,29.099999999999998,4,0.44300000000000006,2,0.14,4
4,4,13,2006,Carmelo Anthony,5,SF,5,DEN,5,80.0,3,80.0,2,9.5,1,19.7,1,1.9,6,0.243,8,17.8,1,0.506,3,0.493,5,7.2,1,8.9,1,0.808,3,1.5,4,3.4,6,4.9,5,1.0,8,2.7,5,1.1,4,0.5,4,2.7,2,2.9,4,26.5,1,22.0,2,0.563,3,0.097,7,0.451,2,4.9,4,10.7,7,7.8,6,14.3,6,1.5,6,1.1,4,10.4,9,32.0,1,6.8,2,2.6,4,9.4,2,0.153,2,3.5,2,-0.9,8,2.7,3,3.5,2,10.5,7,0.429,2,0.059,9,0.077,7,0.339,2,10.9,2,15.1,7,0.09600000000000009,7,0.15,4
5,5,15,2006,Gilbert Arenas,5,PG,5,WAS,5,80.0,3,80.0,2,9.3,1,20.9,1,6.8,1,0.369,3,14.1,2,0.485,5,0.507,4,8.2,1,10.0,1,0.82,3,0.7,7,2.8,7,3.5,7,1.6,5,6.1,2,2.0,1,0.3,6,3.7,1,3.6,1,29.3,1,23.8,1,0.581,2,0.324,3,0.479,2,2.0,8,7.8,10,4.8,10,27.0,2,2.5,1,0.6,6,12.8,5,30.5,1,11.0,1,2.6,4,13.6,1,0.193,1,5.4,1,0.0,5,5.4,1,6.3,1,15.3,3,0.231,7,0.079,7,0.1,6,0.266,4,1.6,7,10.2,8,0.32399999999999995,3,0.1,7
6,6,23,2006,Chucky Atkins,5,PG-SG,5,TOT,5,71.0,7,41.0,8,3.2,9,8.1,8,3.9,3,0.354,4,4.2,10,0.431,9,0.479,7,1.8,8,2.3,8,0.791,4,0.3,10,1.4,10,1.7,10,2.3,2,2.8,5,0.6,9,0.0,10,1.2,9,2.1,9,9.5,8,12.9,8,0.526,7,0.478,1,0.284,7,1.6,9,6.8,10,4.2,10,20.0,4,1.4,6,0.1,10,11.9,7,20.2,6,2.1,7,1.4,8,3.6,7,0.1,6,-0.1,7,-0.8,8,-0.9,8,0.4,8,17.6,1,0.187,9,0.072,8,0.038,10,0.225,6,0.0,10,16.400000000000002,7,0.478,1,0.2,2
7,7,29,2006,Marcus Banks,5,PG,5,TOT,5,58.0,9,29.0,9,3.8,8,8.1,8,1.1,7,0.349,4,7.0,7,0.486,4,0.491,6,2.0,7,2.5,8,0.803,4,0.4,9,1.9,10,2.3,10,1.8,4,3.8,3,0.9,5,0.2,7,2.1,4,2.8,5,10.0,8,13.6,8,0.543,5,0.135,6,0.314,5,1.9,8,8.8,9,5.4,9,25.3,2,1.9,3,0.6,6,18.3,1,20.6,6,0.9,9,1.4,8,2.3,9,0.074,8,-1.4,9,-0.2,6,-1.7,9,0.1,9,13.0,5,0.346,4,0.041,10,0.047,9,0.432,1,0.8999999999999999,8,4.8,9,0.13400000000000012,6,0.2,2
8,8,32,2006,Leandro Barbosa,5,SG,5,PHO,5,57.0,9,11.0,10,4.8,5,9.9,7,3.4,4,0.444,1,6.5,8,0.501,4,0.558,1,1.9,8,2.6,7,0.755,6,0.5,8,2.1,9,2.6,9,1.7,4,2.8,5,0.8,6,0.1,9,1.6,7,2.5,6,13.1,5,15.1,6,0.589,1,0.346,3,0.259,8,2.2,8,8.1,9,5.2,9,14.4,5,1.5,6,0.3,9,12.3,6,20.3,6,2.6,6,1.2,8,3.8,7,0.115,5,0.4,6,-0.5,7,-0.1,6,0.8,7,12.0,6,0.427,2,0.069,8,0.065,8,0.093,9,0.2,9,31.6,3,0.3460000000000001,3,0.2,2
9,9,45,2006,Tony Battie,5,C,5,ORL,5,82.0,1,82.0,1,3.4,9,6.7,10,0.1,9,0.0,10,6.7,8,0.513,3,0.507,4,1.1,10,1.6,9,0.664,9,1.8,3,3.8,5,5.6,4,0.5,10,0.6,10,0.6,9,0.8,3,1.1,10,3.0,3,7.9,9,12.2,9,0.531,6,0.011,9,0.243,8,8.3,3,16.9,4,12.7,3,3.7,10,1.1,8,2.5,2,12.6,6,14.9,9,1.7,7,2.2,6,3.8,7,0.083,7,-1.7,9,0.0,5,-1.8,9,0.1,9,8.6,9,0.313,5,0.245,1,0.261,1,0.17,7,12.5,1,0.0,10,0.010999999999999899,9,0.1,7
