,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,2,2015,Steven Adams,5,C,5,OKC,5,70.0,6,67.0,4,3.1,10,5.7,10,0.0,10,0.0,10,5.7,8,0.547,1,0.544,2,1.5,8,2.9,5,0.502,10,2.8,1,4.6,4,7.5,2,0.6,10,0.9,10,0.5,9,1.2,2,1.4,7,3.2,1,7.7,10,14.1,7,0.549,4,0.005,9,0.514,1,12.2,1,19.3,3,15.8,2,5.5,10,1.1,9,3.8,1,16.8,2,14.3,10,1.9,7,2.2,5,4.1,6,0.111,5,-1.5,9,0.2,4,-1.3,9,0.3,9,2.9,10,0.604,1,0.351,1,0.038,9,0.003,10,21.3,1,0.0,10,0.0040000000000000036,10,0.24,1
1,1,4,2015,Arron Afflalo,5,SG,5,TOT,5,78.0,3,72.0,3,4.8,6,11.3,5,4.3,3,0.354,4,7.1,7,0.466,7,0.491,6,2.1,6,2.5,7,0.843,2,0.3,10,2.8,8,3.2,8,1.1,8,1.7,7,0.5,9,0.1,10,1.5,6,2.1,6,13.3,5,10.7,10,0.533,6,0.377,3,0.224,7,1.1,10,9.7,8,5.3,9,8.2,9,0.8,10,0.2,10,10.7,7,19.0,7,1.6,7,1.0,9,2.6,8,0.05,9,-1.4,9,-1.1,9,-2.5,10,-0.3,10,15.9,3,0.124,10,0.136,6,0.161,2,0.202,4,0.0,10,38.7,2,0.377,3,0.09,10
2,2,10,2015,LaMarcus Aldridge,5,PF,5,POR,5,71.0,6,71.0,4,9.3,1,19.9,1,1.5,7,0.352,5,18.5,1,0.475,6,0.479,7,4.3,2,5.1,2,0.845,2,2.5,2,7.7,1,10.2,1,1.0,9,1.7,7,0.7,8,1.0,2,1.7,5,1.8,8,23.4,1,22.8,1,0.528,6,0.074,8,0.256,6,7.7,3,22.9,2,15.5,2,9.2,8,1.0,9,1.9,3,7.2,10,30.2,1,4.9,2,3.7,2,8.6,2,0.165,2,3.2,2,-0.3,7,2.9,2,3.1,2,12.3,6,0.193,8,0.163,5,0.206,1,0.365,1,2.0,6,29.5,3,0.07300000000000006,8,0.09,10
3,3,12,2015,Tony Allen,5,SG,5,MEM,5,63.0,8,41.0,7,3.6,9,7.2,9,0.5,8,0.345,5,6.8,7,0.505,3,0.505,5,1.3,9,2.0,8,0.627,9,1.6,3,2.8,8,4.4,6,1.0,9,1.4,9,2.0,1,0.5,4,1.4,7,2.6,3,8.6,9,14.6,7,0.528,6,0.064,8,0.277,5,7.2,3,12.2,7,9.7,4,8.1,9,4.1,1,1.5,4,14.4,3,16.6,8,0.9,9,3.2,2,4.1,6,0.119,5,-1.5,9,3.1,1,1.6,4,1.5,5,4.3,10,0.69,1,0.165,5,0.031,10,0.051,10,5.3,3,62.1,1,0.06299999999999994,8,0.25,1
4,4,20,2015,Ryan Anderson,5,PF,5,NOP,5,61.0,9,5.0,10,4.8,6,12.0,5,5.9,1,0.34,6,6.1,7,0.457,8,0.483,7,2.1,6,2.5,7,0.854,2,1.8,3,3.1,7,4.8,5,0.9,9,0.9,10,0.5,9,0.3,6,1.0,10,1.9,8,13.7,5,15.6,6,0.524,7,0.492,2,0.207,8,7.3,3,12.7,6,10.0,4,5.4,10,1.0,9,0.9,6,7.2,10,23.4,4,2.6,5,0.9,9,3.5,7,0.1,6,1.8,4,-2.1,10,-0.3,7,0.7,7,16.5,2,0.214,7,0.092,9,0.082,6,0.119,8,1.0,8,14.799999999999999,7,0.493,2,0.15,4
5,5,21,2015,Giannis Antetokounmpo,5,SG,5,MIL,5,81.0,2,71.0,4,4.7,6,9.6,7,0.5,8,0.159,9,9.1,4,0.511,3,0.496,6,3.2,3,4.3,3,0.741,7,1.2,4,5.5,2,6.7,3,1.2,8,2.6,5,0.9,6,1.0,2,2.1,3,3.1,1,12.7,6,14.8,7,0.552,4,0.056,8,0.445,1,4.5,4,19.7,3,12.2,3,13.1,5,1.5,6,2.8,2,15.6,2,19.6,7,2.2,6,4.0,1,6.2,3,0.117,5,-1.2,9,1.2,2,0.0,6,1.2,5,7.2,9,0.506,2,0.178,4,0.067,8,0.192,4,12.9,1,15.9,7,0.05700000000000016,8,0.2,2
6,6,22,2015,Carmelo Anthony,5,SF,5,NYK,5,40.0,10,40.0,7,9.0,1,20.2,1,4.5,3,0.341,6,15.7,1,0.474,6,0.482,7,4.7,1,5.9,1,0.797,5,1.8,3,4.8,3,6.6,3,1.4,7,3.1,4,1.0,5,0.4,5,2.2,3,2.2,5,24.2,1,21.5,2,0.531,6,0.222,6,0.294,5,5.7,3,16.0,4,10.7,4,18.0,4,1.5,6,1.0,5,8.9,9,32.2,1,2.2,6,0.6,10,2.9,8,0.097,6,4.9,1,-1.9,10,3.0,2,1.8,4,13.9,4,0.221,7,0.089,9,0.185,2,0.283,2,2.0,6,8.9,8,0.22199999999999998,6,0.1,7
7,7,26,2015,Trevor Ariza,5,SF,5,HOU,5,82.0,1,82.0,1,4.5,6,11.1,5,6.8,1,0.35,5,4.3,10,0.485,5,0.509,4,1.5,8,1.7,9,0.853,2,0.9,6,4.7,3,5.6,4,1.5,6,2.5,5,1.9,1,0.2,8,1.7,5,2.3,4,12.8,5,12.7,8,0.539,5,0.61,1,0.157,9,2.9,6,14.4,5,8.6,5,11.1,6,2.6,1,0.5,8,12.7,5,16.5,9,2.7,5,3.9,1,6.6,3,0.108,5,-0.1,7,1.1,2,1.0,4,2.2,3,17.2,2,0.225,7,0.047,10,0.035,10,0.081,9,5.6000000000000005,3,37.7,2,0.6119999999999999,1,0.2,2
8,8,28,2015,Ömer Aşık,5,C,5,NOP,5,76.0,4,76.0,2,2.8,10,5.4,10,0.0,10,,10,5.4,8,0.517,2,0.517,3,1.7,7,3.0,5,0.582,10,3.2,1,6.6,1,9.8,1,0.7,10,0.9,10,0.4,10,0.7,3,1.3,8,1.9,8,7.3,10,15.5,6,0.545,5,0.0,10,0.546,1,14.0,1,28.8,1,21.4,1,5.4,10,0.8,10,2.1,3,15.7,2,14.0,10,2.8,4,2.2,5,5.0,4,0.12,5,-0.4,7,-0.9,8,-1.2,8,0.4,8,1.4,10,0.896,1,0.09,9,0.012,10,0.002,10,22.3,1,,10,0.0,10,0.4,1
9,9,29,2015,D.J. Augustin,5,PG,5,TOT,5,82.0,1,14.0,10,3.1,10,7.9,9,3.0,6,0.337,6,4.9,9,0.436,9,0.463,9,2.2,5,2.5,7,0.868,2,0.2,10,1.7,10,2.0,10,2.4,2,4.3,3,0.6,9,0.0,10,1.8,4,1.1,10,9.5,9,13.9,8,0.527,6,0.38,3,0.317,4,1.1,10,7.9,10,4.4,10,28.2,2,1.3,7,0.1,10,16.4,2,19.8,6,2.5,5,0.9,9,3.4,7,0.083,7,0.4,6,-1.6,10,-1.2,8,0.4,8,13.7,5,0.25,6,0.209,3,0.057,8,0.104,8,0.0,10,17.9,6,0.38,3,0.1,7
10,10,37,2015,Andrea Bargnani,5,C,5,NYK,5,29.0,10,22.0,9,5.7,4,12.4,4,1.4,8,0.366,4,11.0,3,0.466,7,0.475,8,3.0,3,3.7,4,0.813,4,1.1,5,3.3,7,4.4,6,1.1,8,1.6,8,0.1,10,0.9,2,1.4,7,1.8,8,14.8,4,16.6,4,0.527,6,0.114,8,0.296,4,4.6,4,14.4,5,9.3,5,11.3,6,0.1,10,2.9,2,9.3,9,26.4,2,0.8,9,0.2,10,0.9,10,0.058,8,1.1,5,-2.2,10,-1.1,8,0.2,9,13.0,5,0.152,9,0.188,4,0.211,1,0.335,1,1.9,7,0.0,10,0.1140000000000001,8,0.1,7
