,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,0,2005,Shareef Abdur-Rahim,5,PF,5,POR,5,54.0,9,49.0,7,6.2,3,12.4,4,0.7,7,0.385,2,11.7,3,0.51,2,0.514,3,4.1,3,4.7,3,0.866,1,2.3,3,5.0,3,7.3,3,1.0,8,2.1,6,0.9,6,0.5,4,2.2,4,2.8,4,16.8,3,18.7,3,0.581,2,0.058,7,0.379,4,7.9,3,16.0,4,12.1,4,10.7,7,1.4,7,1.0,5,13.0,5,22.1,4,3.9,4,1.5,7,5.4,5,0.139,3,1.6,4,-0.6,7,0.9,5,1.4,5,,10,,10,,10,,10,,10,,10,,10,1,1,0.0,10
1,1,5,2005,Ray Allen*,5,SG,5,SEA,5,78.0,4,78.0,3,8.2,1,19.2,1,7.1,1,0.376,3,12.0,3,0.459,6,0.498,4,4.8,2,5.5,2,0.883,1,1.0,6,3.4,6,4.4,6,1.7,4,3.7,4,1.1,4,0.1,9,2.2,4,2.1,9,23.9,1,20.9,2,0.555,3,0.372,2,0.286,6,3.2,7,10.7,7,6.9,7,18.1,4,1.5,6,0.1,10,9.2,10,28.0,1,9.7,1,1.0,9,10.7,1,0.168,2,5.3,1,-1.2,9,4.1,2,4.8,1,15.8,2,0.185,9,0.103,7,0.138,4,0.201,7,2.1,7,18.5,6,0.373,2,0.09,10
2,2,7,2005,Rafer Alston,5,PG,5,TOR,5,80.0,3,78.0,3,5.0,5,12.2,4,4.9,2,0.357,4,7.3,7,0.451,7,0.485,6,2.4,6,3.2,5,0.74,8,0.5,9,3.0,7,3.5,8,3.0,1,6.4,1,1.5,2,0.1,9,2.1,4,2.7,5,14.2,5,16.5,5,0.522,7,0.399,2,0.265,7,1.7,9,10.1,8,5.8,9,31.7,1,2.2,2,0.2,9,13.5,4,21.2,5,3.8,4,1.7,7,5.5,5,0.098,7,1.4,4,-0.5,7,0.9,5,2.0,4,14.3,4,0.302,5,0.103,7,0.049,10,0.147,8,0.0,10,10.0,8,0.399,2,0.13,4
3,3,9,2005,Derek Anderson,5,SG,5,POR,5,47.0,10,32.0,9,3.2,9,8.3,8,3.2,4,0.384,2,5.1,9,0.392,10,0.463,8,1.5,9,1.9,9,0.805,4,0.5,9,2.2,9,2.7,9,2.0,3,3.0,4,0.8,7,0.1,9,1.5,7,1.9,9,9.2,9,11.7,9,0.503,9,0.386,2,0.223,8,2.4,8,9.2,9,6.0,8,18.9,4,1.6,5,0.2,9,14.0,4,18.5,7,0.7,9,0.6,10,1.3,10,0.052,10,-0.6,8,-0.6,7,-1.2,9,0.2,9,16.9,2,0.153,9,0.074,8,0.092,7,0.294,3,1.0,8,26.5,4,0.387,2,0.12,4
4,4,16,2005,Carmelo Anthony,5,SF,5,DEN,5,75.0,5,75.0,3,7.1,2,16.4,2,2.1,5,0.266,7,14.3,2,0.455,7,0.448,9,6.1,1,7.6,1,0.796,5,1.9,4,3.8,5,5.7,5,0.9,9,2.6,5,0.9,6,0.4,5,3.0,1,3.1,2,20.8,2,16.7,4,0.526,6,0.128,6,0.466,2,6.3,4,12.5,6,9.4,5,13.1,6,1.3,7,0.9,5,13.1,5,29.2,1,2.3,7,2.6,4,4.9,6,0.09,8,0.4,6,-1.6,10,-1.2,9,0.5,8,10.5,7,0.433,2,0.067,9,0.067,9,0.305,3,7.9,3,12.0,8,0.1280000000000001,6,0.15,4
5,5,18,2005,Gilbert Arenas,5,PG,5,WAS,5,80.0,3,80.0,2,8.2,1,19.0,1,7.0,1,0.365,3,12.0,3,0.469,5,0.498,4,6.5,1,8.0,1,0.814,4,1.0,6,3.7,5,4.7,6,1.7,4,5.1,2,1.7,1,0.3,6,3.0,1,3.1,2,25.5,1,21.3,2,0.565,3,0.369,2,0.42,3,2.8,7,10.5,7,6.5,7,22.9,3,2.2,2,0.5,8,11.8,7,27.3,2,9.2,1,2.3,5,11.5,1,0.169,2,4.7,1,-0.4,6,4.2,2,5.2,1,15.2,3,0.233,7,0.11,6,0.109,6,0.179,7,1.7999999999999998,7,13.700000000000001,7,0.369,2,0.1,7
6,6,26,2005,Chucky Atkins,5,PG,5,LAL,5,82.0,1,82.0,1,4.7,6,11.1,5,5.5,1,0.387,2,5.5,9,0.466,6,0.523,2,2.0,7,2.5,7,0.803,5,0.4,10,2.0,10,2.4,10,2.4,2,4.4,3,0.9,6,0.0,10,1.8,5,2.2,8,13.6,5,13.4,8,0.558,3,0.5,1,0.223,8,1.2,10,6.4,10,3.8,10,20.6,3,1.3,7,0.1,10,13.1,5,17.9,8,4.7,3,-0.2,10,4.5,6,0.074,9,0.6,5,-1.7,10,-1.1,8,0.6,8,18.1,1,0.187,8,0.043,10,0.054,9,0.216,6,0.0,10,21.8,5,0.5,1,0.2,2
7,7,46,2005,Shane Battier,5,SG,5,MEM,5,80.0,3,72.0,4,3.4,9,7.7,9,2.2,5,0.395,2,5.5,9,0.461,6,0.499,4,2.3,6,2.9,6,0.789,5,2.0,4,3.2,7,5.2,5,1.8,4,1.6,8,1.1,4,1.0,3,0.9,10,2.5,6,9.9,8,14.8,7,0.555,3,0.289,4,0.372,4,7.6,3,12.1,6,9.8,5,8.3,8,2.0,3,2.4,3,9.5,9,14.8,9,4.4,3,3.4,2,7.8,3,0.149,3,1.1,4,1.3,2,2.4,3,2.8,2,11.0,7,0.378,3,0.14,4,0.098,7,0.095,9,3.9,5,54.800000000000004,1,0.28900000000000003,4,0.1,7
8,8,48,2005,Raja Bell,5,SG,5,UTA,5,63.0,8,32.0,9,4.8,6,10.6,6,2.1,5,0.403,1,8.5,5,0.467,6,0.495,5,1.8,8,2.4,8,0.747,7,0.8,7,2.4,9,3.2,8,1.1,7,1.4,9,0.7,8,0.1,9,1.3,9,3.3,1,12.3,6,12.2,9,0.527,6,0.201,5,0.225,8,3.2,7,10.9,7,7.0,7,9.3,8,1.3,7,0.4,8,9.7,9,20.9,5,1.6,8,0.6,10,2.2,9,0.06,9,-1.0,9,-1.2,9,-2.2,10,-0.1,10,17.0,1,0.135,10,0.049,9,0.091,7,0.523,1,0.8999999999999999,8,49.3,1,0.20199999999999996,5,0.2,2
9,9,51,2005,Mike Bibby,5,PG,5,SAC,5,80.0,3,80.0,2,7.0,2,15.8,2,4.6,2,0.36,4,11.3,3,0.477,5,0.495,5,4.0,3,5.2,3,0.775,6,1.0,6,3.2,7,4.2,7,2.7,2,6.8,1,1.6,1,0.4,5,2.5,2,2.4,7,19.6,2,19.2,2,0.543,5,0.288,4,0.327,5,2.8,7,9.2,9,6.0,8,28.1,2,2.1,3,0.7,6,12.3,6,23.8,3,6.6,1,1.9,6,8.5,2,0.133,4,3.1,2,-0.5,7,2.6,2,3.6,2,16.1,2,0.184,9,0.085,7,0.051,10,0.392,1,0.0,10,15.9,7,0.28800000000000003,4,0.1,7
