,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,4,2017,Steven Adams,5,C,5,OKC,5,80.0,2,80.0,1,4.7,6,8.2,8,0.0,10,0.0,10,8.2,4,0.572,1,0.571,2,2.0,6,3.2,4,0.611,10,3.5,1,4.2,4,7.7,2,0.6,10,1.1,10,1.1,4,1.0,2,1.8,5,2.4,4,11.3,7,16.5,4,0.589,3,0.002,10,0.392,2,13.0,1,15.4,5,14.2,2,5.4,10,1.8,4,2.6,2,16.0,2,16.2,8,3.3,4,3.1,2,6.5,3,0.13,3,-0.2,7,0.0,5,-0.2,6,1.1,5,3.7,10,0.557,1,0.388,1,0.046,9,0.005,10,19.8,1,0.0,10,0.0039999999999998925,10,0.23,1
1,1,5,2017,Arron Afflalo,5,SG,5,SAC,5,61.0,9,45.0,7,3.0,9,6.9,9,2.5,8,0.411,1,4.4,9,0.457,9,0.514,5,1.4,8,1.5,9,0.892,1,0.1,10,1.9,10,2.0,10,1.9,5,1.3,9,0.3,10,0.1,10,0.7,10,1.7,9,8.4,9,8.9,10,0.559,5,0.36,5,0.221,6,0.7,10,8.4,10,4.6,10,7.4,9,0.7,10,0.3,10,8.4,9,14.4,9,1.2,8,0.2,10,1.4,10,0.043,10,-2.1,10,-1.5,10,-3.6,10,-0.7,10,16.8,3,0.1,10,0.117,7,0.186,1,0.236,2,0.2,9,38.4,2,0.361,5,0.09,10
2,2,8,2017,LaMarcus Aldridge,5,PF,5,SAS,5,72.0,7,72.0,4,6.9,3,14.6,3,0.8,9,0.411,1,13.8,1,0.48,7,0.488,8,3.1,3,3.8,3,0.812,5,2.4,1,4.9,3,7.3,2,1.4,7,1.9,7,0.6,9,1.2,2,1.4,7,2.2,5,17.3,3,18.6,3,0.532,8,0.053,10,0.258,5,8.5,2,16.6,4,12.7,3,9.9,7,1.0,9,3.0,2,7.7,10,24.5,3,3.5,3,3.7,1,7.2,3,0.149,3,0.7,5,0.1,5,0.8,4,1.7,4,11.8,8,0.222,7,0.194,3,0.202,1,0.328,1,4.1000000000000005,4,41.099999999999994,2,0.053999999999999826,10,0.09,10
3,3,10,2017,Tony Allen,5,SG,5,MEM,5,71.0,7,66.0,5,3.9,8,8.4,8,0.8,9,0.278,9,7.6,5,0.479,7,0.473,9,1.1,9,1.8,8,0.615,10,2.3,2,3.2,7,5.5,4,1.0,9,1.4,9,1.6,1,0.4,6,1.4,7,2.5,3,9.1,9,13.3,7,0.493,10,0.091,9,0.218,6,9.6,1,13.8,5,11.7,3,8.4,8,3.1,1,1.4,4,13.3,4,17.9,7,0.2,10,2.9,3,3.1,8,0.077,8,-2.0,10,1.1,2,-1.0,8,0.5,8,5.6,10,0.652,1,0.166,4,0.03,10,0.061,9,2.7,5,70.39999999999999,1,0.09099999999999997,9,0.23,1
4,4,11,2017,Al-Farouq Aminu,5,PF,5,POR,5,61.0,9,25.0,9,3.0,9,7.6,9,3.5,6,0.33,8,4.2,9,0.445,9,0.468,10,1.6,7,2.2,7,0.706,9,1.3,4,6.1,2,7.4,2,1.1,9,1.6,8,1.0,5,0.7,3,1.5,6,1.7,9,8.7,9,11.3,9,0.506,9,0.455,3,0.292,4,4.8,4,23.5,2,14.1,2,7.9,8,1.7,4,2.0,3,15.2,2,15.4,9,-0.1,10,2.0,6,1.9,9,0.051,10,-1.4,9,0.4,4,-1.1,8,0.4,8,14.0,6,0.32,3,0.135,6,0.03,10,0.06,9,5.800000000000001,3,35.8,2,0.45500000000000007,3,0.16,4
5,5,18,2017,Ryan Anderson,5,PF,5,HOU,5,72.0,7,72.0,4,4.5,7,10.7,6,7.0,1,0.403,2,3.7,9,0.446,9,0.55,3,1.8,6,2.1,7,0.86,2,1.6,3,3.0,7,4.6,5,1.1,9,0.9,10,0.4,10,0.2,8,0.8,10,2.0,6,13.6,5,13.5,7,0.583,3,0.655,1,0.194,8,5.8,3,11.2,7,8.5,5,4.7,10,0.7,10,0.5,9,6.2,10,17.9,7,4.0,3,1.1,9,5.2,4,0.117,4,1.7,3,-2.0,10,-0.4,7,0.9,6,19.9,1,0.144,9,0.074,9,0.035,9,0.092,7,0.8999999999999999,8,14.2,7,0.655,1,0.2,2
6,6,19,2017,Giannis Antetokounmpo,5,SF,5,MIL,5,80.0,2,80.0,1,8.2,2,15.7,2,2.3,8,0.272,9,13.5,1,0.563,1,0.541,3,5.9,1,7.7,1,0.77,7,1.8,2,7.0,1,8.8,1,1.9,5,5.4,2,1.6,1,1.9,1,2.9,1,3.1,1,22.9,2,26.1,1,0.599,2,0.143,9,0.486,1,5.9,3,22.6,2,14.3,2,26.6,2,2.3,2,4.7,1,13.3,4,28.3,2,7.9,1,4.5,1,12.4,1,0.21,1,4.9,1,2.4,1,7.3,1,6.7,1,8.7,9,0.496,1,0.149,5,0.064,7,0.146,5,16.400000000000002,1,11.1,8,0.1449999999999999,9,0.2,2
7,7,20,2017,Carmelo Anthony,5,SF,5,NYK,5,74.0,6,74.0,3,8.1,2,18.8,1,5.7,2,0.359,5,13.1,1,0.466,8,0.488,8,4.1,2,4.9,2,0.833,4,0.8,6,5.1,3,5.9,4,1.4,7,2.9,5,0.8,7,0.5,4,2.1,4,2.7,2,22.4,2,17.9,3,0.535,7,0.303,6,0.263,5,2.6,6,16.0,4,9.3,5,14.5,5,1.2,8,1.1,6,9.0,8,29.1,2,3.2,4,1.5,7,4.7,5,0.089,6,2.3,3,-1.6,10,0.7,5,1.7,4,16.6,3,0.127,10,0.076,9,0.211,1,0.284,1,1.0999999999999999,7,10.9,8,0.30200000000000005,7,0.1,7
8,8,22,2017,Trevor Ariza,5,SF,5,HOU,5,80.0,2,80.0,1,4.1,7,10.0,6,6.9,1,0.344,7,3.0,10,0.556,2,0.528,4,1.2,8,1.6,8,0.738,8,0.7,6,5.1,3,5.7,4,2.4,2,2.2,6,1.8,1,0.3,7,0.9,9,1.7,9,11.7,7,12.3,8,0.548,6,0.695,1,0.158,9,2.1,7,15.9,4,9.0,5,8.8,8,2.5,1,0.6,8,7.9,10,14.1,10,2.8,5,3.2,2,6.0,4,0.104,5,-0.1,6,1.1,2,1.0,4,2.1,3,18.6,1,0.207,7,0.054,10,0.013,10,0.031,10,4.1000000000000005,4,35.099999999999994,2,0.695,1,0.3,1
9,9,32,2017,Harrison Barnes,5,PF,5,DAL,5,79.0,3,79.0,2,7.6,2,16.2,2,2.8,7,0.351,6,13.4,1,0.492,5,0.498,7,3.1,3,3.6,4,0.861,2,1.2,4,3.8,5,5.0,5,1.2,8,1.5,8,0.8,7,0.2,8,1.3,7,1.6,9,19.2,2,16.3,5,0.541,7,0.173,8,0.22,6,3.7,5,13.1,6,8.2,6,7.7,8,1.2,8,0.5,9,6.8,10,25.3,3,2.5,5,2.1,6,4.6,5,0.078,8,0.4,5,-1.2,9,-0.8,7,0.8,6,13.1,7,0.183,8,0.186,3,0.194,1,0.265,1,4.5,4,28.4,3,0.17200000000000004,8,0.0,10
