,level_0,index,Season,Player,Player ranked,Pos,Pos ranked,Team,Team ranked,G,G ranked,GS,GS ranked,FG,FG ranked,FGA,FGA ranked,3PA,3PA ranked,3P%,3P% ranked,2PA,2PA ranked,2P%,2P% ranked,eFG%,eFG% ranked,FT,FT ranked,FTA,FTA ranked,FT%,FT% ranked,ORB,ORB ranked,DRB,DRB ranked,TRB,TRB ranked,AST/TOV,AST/TOV ranked,AST,AST ranked,STL,STL ranked,BLK,BLK ranked,TOV,TOV ranked,PF,PF ranked,PTS,PTS ranked,PER,PER ranked,TS%,TS% ranked,3PAr,3PAr ranked,FTr,FTr ranked,ORB%,ORB% ranked,DRB%,DRB% ranked,TRB%,TRB% ranked,AST%,AST% ranked,STL%,STL% ranked,BLK%,BLK% ranked,TOV%,TOV% ranked,USG%,USG% ranked,OWS,OWS ranked,DWS,DWS ranked,WS,WS ranked,WS/48,WS/48 ranked,OBPM,OBPM ranked,DBPM,DBPM ranked,BPM,BPM ranked,VORP,VORP ranked,Average distance (ft.) of FGA,Average distance (ft.) of FGA ranked,%FGA 0-3,%FGA 0-3 ranked,%FGA 3-10,%FGA 3-10 ranked,%FGA 10-16,%FGA 10-16 ranked,%FGA 16-3P,%FGA 16-3P ranked,%FGA,%FGA ranked,%3PA,%3PA ranked,%FGA 3P,%FGA 3P ranked,std_areas_FGA,std_areas_FGA ranked
0,0,2,2013,Arron Afflalo,5,SF,5,ORL,5,64.0,9,64.0,6,6.2,3,14.1,2,3.8,4,0.3,7,10.4,3,0.489,4,0.478,8,3.0,3,3.5,4,0.857,2,0.5,8,3.3,6,3.7,7,1.5,6,3.2,4,0.6,9,0.2,8,2.2,3,2.1,6,16.5,3,13.0,9,0.527,7,0.265,5,0.246,6,1.4,9,10.3,7,5.8,8,14.6,5,0.9,10,0.4,9,12.1,6,22.5,4,1.5,8,0.5,10,2.0,10,0.042,10,-1.1,9,-1.8,10,-2.9,10,-0.5,10,14.8,4,0.175,9,0.128,6,0.202,1,0.23,4,0.6,8,30.4,4,0.265,5,0.05,10
1,1,7,2013,LaMarcus Aldridge,5,PF,5,POR,5,74.0,7,74.0,4,8.6,1,17.8,1,0.2,8,0.143,8,17.6,1,0.488,4,0.485,7,3.8,2,4.7,2,0.81,4,2.4,2,6.7,2,9.1,2,1.4,7,2.6,5,0.8,7,1.2,2,1.9,4,2.5,3,21.1,1,20.4,2,0.53,6,0.011,8,0.264,5,7.2,3,20.9,2,14.0,3,13.0,6,1.2,8,2.5,2,8.9,10,26.5,2,4.8,2,2.3,5,7.2,3,0.124,4,1.7,3,-0.4,7,1.3,4,2.3,3,11.7,7,0.215,8,0.192,4,0.197,1,0.385,1,4.7,4,28.599999999999998,4,0.010999999999999899,8,0.12,4
2,2,9,2013,Ray Allen*,5,SG,5,MIA,5,79.0,4,0.0,10,3.7,8,8.2,8,4.2,3,0.419,1,4.0,10,0.48,5,0.555,2,1.8,7,2.0,8,0.886,1,0.5,8,2.2,9,2.7,9,1.3,7,1.7,7,0.8,7,0.2,8,1.3,8,1.6,9,10.9,7,14.7,7,0.599,1,0.51,1,0.243,6,2.6,7,10.1,8,6.6,7,10.2,7,1.7,5,0.6,8,12.5,6,19.3,6,3.4,5,1.9,6,5.4,5,0.126,4,1.1,5,-0.8,8,0.3,6,1.2,7,16.9,2,0.194,8,0.083,9,0.104,5,0.109,8,0.6,8,41.0,3,0.51,1,0.16,4
3,3,10,2013,Tony Allen,5,SG,5,MEM,5,79.0,4,79.0,2,3.6,9,8.1,9,0.3,8,0.125,8,7.8,6,0.458,8,0.447,10,1.7,7,2.4,7,0.717,8,1.5,4,3.1,7,4.6,5,1.0,9,1.2,9,1.5,2,0.6,4,1.2,9,2.7,2,8.9,9,13.2,8,0.489,10,0.038,8,0.293,4,6.6,4,13.8,5,10.2,5,7.6,9,3.1,1,1.7,4,11.5,7,17.8,8,1.0,9,4.1,1,5.1,6,0.115,5,-2.0,10,2.4,1,0.4,6,1.2,7,7.8,9,0.52,1,0.149,5,0.063,8,0.23,4,8.0,3,62.5,1,0.038000000000000034,8,0.17,4
4,4,11,2013,Al-Farouq Aminu,5,SF,5,NOH,5,76.0,6,71.0,5,3.0,10,6.2,10,0.3,8,0.211,8,6.0,8,0.486,5,0.479,8,1.3,9,1.8,9,0.737,8,1.8,3,5.9,2,7.7,2,0.9,9,1.4,8,1.2,3,0.7,4,1.5,7,2.0,7,7.3,10,13.7,8,0.519,7,0.04,8,0.289,5,7.9,3,26.2,1,16.9,2,7.8,8,2.4,2,2.1,3,17.8,1,14.6,10,0.7,9,2.4,5,3.1,8,0.073,9,-1.3,9,1.2,2,-0.1,7,1.0,7,7.1,9,0.489,2,0.224,3,0.08,6,0.167,7,19.0,1,42.1,2,0.040000000000000036,8,0.16,4
5,5,21,2013,Ryan Anderson,5,PF,5,NOH,5,81.0,2,22.0,9,5.8,4,13.8,3,6.9,1,0.382,3,6.9,7,0.464,7,0.519,4,1.9,6,2.2,7,0.844,2,2.4,2,4.0,5,6.4,4,1.0,9,1.2,9,0.5,10,0.4,6,1.2,9,2.2,5,16.2,3,18.1,3,0.548,5,0.5,1,0.161,9,8.9,2,15.9,4,12.4,4,6.9,9,0.9,10,1.0,6,7.5,10,24.0,3,5.7,1,0.8,9,6.5,3,0.125,4,4.1,1,-2.1,10,2.0,3,2.5,3,17.4,2,0.191,8,0.097,8,0.069,7,0.143,8,1.0999999999999999,8,13.600000000000001,7,0.5,1,0.2,2
6,6,22,2013,Carmelo Anthony,5,PF,5,NYK,5,67.0,8,67.0,6,10.0,1,22.2,1,6.2,1,0.379,3,16.0,1,0.476,6,0.502,5,6.3,1,7.6,1,0.83,3,2.0,3,4.9,3,6.9,3,1.0,9,2.6,5,0.8,7,0.5,5,2.6,2,3.1,1,28.7,1,24.8,1,0.56,4,0.278,5,0.344,3,6.1,4,15.9,4,10.8,4,14.1,6,1.1,9,1.1,6,9.3,10,35.6,1,7.5,1,2.0,6,9.5,1,0.184,1,6.0,1,-1.7,10,4.3,1,3.9,1,14.3,4,0.262,6,0.074,9,0.159,2,0.227,4,2.1999999999999997,6,12.3,8,0.278,5,0.1,7
7,7,24,2013,Trevor Ariza,5,SF,5,WAS,5,56.0,9,15.0,9,3.4,9,8.1,9,3.7,4,0.364,4,4.3,9,0.463,7,0.501,5,1.4,8,1.7,9,0.821,4,0.8,6,4.0,5,4.8,5,1.3,7,2.0,7,1.3,3,0.4,6,1.5,7,1.3,10,9.5,9,14.0,8,0.538,6,0.463,2,0.211,8,3.3,5,16.9,4,10.0,5,12.7,6,2.5,2,1.1,6,14.6,3,17.9,8,0.7,9,2.4,5,3.1,8,0.102,6,0.1,7,2.0,1,2.1,3,1.6,5,15.9,3,0.273,6,0.058,10,0.053,8,0.153,7,3.8,5,40.699999999999996,3,0.46299999999999997,2,0.2,2
8,8,26,2013,Ömer Aşık,5,C,5,HOU,5,82.0,1,82.0,1,4.0,8,7.5,9,0.0,10,0.0,10,7.5,6,0.542,2,0.541,2,2.0,6,3.6,3,0.562,10,3.4,1,8.3,1,11.7,1,0.4,10,0.9,10,0.6,9,1.1,2,2.1,4,2.7,2,10.1,8,14.9,7,0.558,4,0.002,10,0.487,1,12.8,1,31.0,1,22.0,1,4.6,10,0.9,10,2.7,2,18.8,1,16.3,9,2.0,7,3.5,2,5.5,5,0.108,6,-1.3,9,-0.3,7,-1.6,9,0.3,9,2.5,10,0.788,1,0.184,4,0.013,10,0.013,10,21.7,1,100.0,1,0.0020000000000000018,10,0.3,1
9,9,36,2013,Andrea Bargnani,5,PF,5,TOR,5,35.0,10,25.0,9,4.9,5,12.2,4,3.5,4,0.309,7,8.7,5,0.436,9,0.444,10,1.9,6,2.2,7,0.844,2,0.7,7,2.9,7,3.7,7,0.7,10,1.1,9,0.6,9,0.7,4,1.5,7,1.8,8,12.7,6,11.2,10,0.482,10,0.289,4,0.181,9,3.0,6,12.3,6,7.6,6,6.6,9,1.1,9,1.8,4,10.5,9,23.8,3,-0.5,10,0.6,10,0.1,10,0.007,10,-1.1,9,-1.6,10,-2.7,10,-0.2,10,16.1,3,0.115,10,0.141,6,0.162,2,0.293,2,1.4000000000000001,7,5.7,9,0.2889999999999999,4,0.1,7
