,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,0,2020,No significant offensive role,Perimeter Defender,Steven Adams,C,OKC,63.0,63.0,4.5,7.6,0.0,0.333,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6.0,9.3,1.5,2.3,0.8,1.1,1.5,1.9,10.9,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,,,,,,,,1,0.0
1,1,1,2020,Slasher,Perimeter Defender,Bam Adebayo,PF,MIA,72.0,72.0,6.1,11.0,0.2,0.143,10.8,0.564,0.558,3.7,5.3,0.691,2.4,7.8,10.2,1.8,5.1,1.1,1.3,2.8,2.5,15.9,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,5.8,0.481,0.301,0.144,0.056,21.9,57.099999999999994,0.017999999999999905,0.17
2,2,2,2020,Versatile Scorer,No significant defensive role,LaMarcus Aldridge,C,SAS,53.0,53.0,7.4,15.0,3.0,0.389,12.0,0.519,0.532,3.0,3.6,0.827,1.9,5.5,7.4,1.7,2.4,0.7,1.6,1.4,2.4,18.9,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,13.7,0.202,0.129,0.227,0.245,4.3999999999999995,18.5,0.19699999999999995,0.04
3,3,6,2020,Paint Threat,Switchable Defender,Jarrett Allen,C,BRK,70.0,64.0,4.3,6.6,0.1,0.0,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.5,1.6,0.6,1.3,1.1,2.3,11.1,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,2.6,0.755,0.211,0.019,0.002,44.7,83.3,0.013000000000000012,0.29
4,4,12,2020,Creator/Facilitator,Paint Protector,Giannis Antetokounmpo,PF,MIL,63.0,63.0,10.9,19.7,4.7,0.304,15.0,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,1.5,5.6,1.0,1.0,3.7,3.1,29.5,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,9.8,0.482,0.16,0.073,0.048,17.0,3.4000000000000004,0.237,0.16
5,5,15,2020,Versatile Scorer,No significant defensive role,Carmelo Anthony,PF,POR,58.0,58.0,5.8,13.5,3.9,0.385,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,0.9,1.5,0.8,0.5,1.7,2.9,15.4,12.4,0.525,0.289,0.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,14.5,0.193,0.105,0.238,0.175,3.2,21.2,0.2889999999999999,0.1
6,6,16,2020,No significant offensive role,Perimeter Defender,OG Anunoby,SF,TOR,69.0,68.0,4.1,8.2,3.3,0.39,4.9,0.583,0.584,1.0,1.5,0.706,1.2,4.1,5.3,1.5,1.6,1.4,0.7,1.1,2.4,10.6,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,2.0,1.2,1.7,11.6,0.452,0.111,0.025,0.009,15.4,50.4,0.4029999999999999,0.2
7,7,18,2020,Pure Shooter/Stretcher,Perimeter Defender,Trevor Ariza,SF,TOT,53.0,21.0,2.7,6.1,3.9,0.372,2.2,0.556,0.557,1.2,1.4,0.838,0.6,4.0,4.6,1.5,1.7,1.3,0.3,1.1,2.1,8.0,11.0,0.593,0.639,0.228,2.5,15.7,9.0,8.0,2.2,0.9,13.6,11.8,1.3,1.2,2.5,0.081,-1.4,0.9,-0.5,0.6,17.0,0.269,0.065,0.012,0.015,5.8999999999999995,37.7,0.639,0.2
8,8,21,2020,No significant offensive role,No significant defensive role,D.J. Augustin,PG,ORL,57.0,13.0,3.2,8.1,3.5,0.348,4.6,0.438,0.475,2.8,3.2,0.89,0.4,1.8,2.1,3.1,4.6,0.6,0.0,1.5,1.3,10.5,14.0,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,2.0,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2,15.9,0.197,0.167,0.121,0.078,0.0,12.9,0.43700000000000006,0.1
9,9,23,2020,No significant offensive role,Rebounding Specialist,Deandre Ayton,C,PHO,38.0,32.0,8.2,14.9,0.3,0.231,14.6,0.553,0.548,1.8,2.3,0.753,3.9,7.6,11.5,0.9,1.9,0.7,1.5,2.1,3.1,18.2,20.0,0.568,0.023,0.157,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,1.5,1.6,3.1,0.121,0.8,-0.4,0.4,0.7,6.7,0.461,0.227,0.188,0.1,16.400000000000002,15.4,0.02399999999999991,0.2
