,level_0,index,Season,Offensive Profile,Defensive Profile,Player,Pos,Team,G,GS,FG,FGA,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST/TOV,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Average distance (ft.) of FGA,%FGA 0-3,%FGA 3-10,%FGA 10-16,%FGA 16-3P,%FGA,%3PA,%FGA 3P,std_areas_FGA
0,0,3,2019,Paint Threat,Perimeter Defender,Steven Adams,C,OKC,80.0,80.0,6.0,10.1,0.0,0.0,10.1,0.596,0.595,1.8,3.7,0.5,4.9,4.6,9.5,0.9,1.6,1.5,1.0,1.7,2.6,13.9,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.7,0.4,1.1,2.1,3.5,0.645,0.294,0.058,0.0,19.0,0.0,0.0029999999999998916,0.25
1,1,7,2019,Slasher,No significant defensive role,LaMarcus Aldridge,C,SAS,81.0,81.0,8.4,16.3,0.5,0.238,15.8,0.528,0.522,4.3,5.1,0.847,3.1,6.1,9.2,1.3,2.4,0.5,1.3,1.8,2.2,21.3,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,2.4,-0.6,1.8,2.6,9.7,0.27,0.246,0.252,0.201,4.2,9.5,0.030999999999999917,0.09
2,2,10,2019,Paint Threat,Switchable Defender,Jarrett Allen,C,BRK,80.0,80.0,4.2,7.1,0.6,0.133,6.5,0.629,0.595,2.5,3.5,0.709,2.4,6.0,8.4,1.1,1.4,0.5,1.5,1.3,2.3,10.9,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,4.4,3.3,7.6,0.175,0.2,1.4,1.6,1.9,4.3,0.678,0.22,0.021,0.002,34.300000000000004,86.7,0.07899999999999996,0.25
3,3,12,2019,No significant offensive role,Switchable Defender,Al-Farouq Aminu,PF,POR,81.0,81.0,3.2,7.3,3.5,0.343,3.9,0.514,0.514,1.9,2.1,0.867,1.4,6.1,7.5,1.4,1.3,0.8,0.4,0.9,1.8,9.4,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.6,0.7,1.5,13.9,0.351,0.105,0.029,0.044,7.9,31.1,0.471,0.18
4,4,14,2019,Slasher,Perimeter Defender,Kyle Anderson,SF,MEM,43.0,40.0,3.5,6.4,0.8,0.265,5.6,0.583,0.56,0.9,1.5,0.578,1.1,4.7,5.8,2.3,3.0,1.3,0.9,1.3,2.6,8.0,12.8,0.569,0.123,0.232,4.1,18.1,11.0,15.0,2.1,2.7,16.0,12.6,0.8,1.8,2.7,0.1,-1.6,2.4,0.8,0.9,7.9,0.464,0.261,0.051,0.101,1.0999999999999999,61.8,0.12299999999999989,0.15
5,5,19,2019,Creator/Facilitator,Paint Protector,Giannis Antetokounmpo,PF,MIL,72.0,72.0,10.0,17.3,2.8,0.256,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,1.6,5.9,1.3,1.5,3.7,3.2,27.7,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,6.3,4.1,10.4,7.4,7.7,0.573,0.152,0.051,0.063,24.6,4.3999999999999995,0.16100000000000003,0.2
6,6,24,2019,Pure Shooter/Stretcher,No significant defensive role,Ryan Arcidiacono,PG,CHI,81.0,32.0,2.3,5.2,2.7,0.373,2.5,0.527,0.544,1.1,1.3,0.873,0.3,2.4,2.7,4.1,3.3,0.8,0.0,0.8,2.1,6.7,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12.0,11.7,2.8,0.9,3.7,0.09,-2.0,0.1,-1.9,0.1,16.8,0.172,0.165,0.091,0.053,0.0,22.6,0.5190000000000001,0.2
7,7,25,2019,No significant offensive role,No significant defensive role,Trevor Ariza,SF,TOT,69.0,69.0,4.3,10.7,6.3,0.334,4.4,0.493,0.498,1.9,2.4,0.793,0.7,4.7,5.4,2.5,3.7,1.3,0.3,1.5,1.9,12.5,12.1,0.534,0.59,0.223,2.3,15.2,8.6,14.8,1.8,0.7,11.6,16.6,1.3,1.2,2.5,0.052,-0.7,-0.6,-1.3,0.4,16.6,0.262,0.091,0.023,0.034,4.2,29.7,0.59,0.2
8,8,28,2019,Slasher,No significant defensive role,D.J. Augustin,PG,ORL,81.0,81.0,3.9,8.4,3.8,0.421,4.5,0.511,0.566,2.2,2.6,0.866,0.5,2.0,2.5,3.3,5.3,0.6,0.0,1.6,1.4,11.7,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5.0,1.9,6.9,0.146,1.1,-0.7,0.5,1.4,15.2,0.267,0.137,0.075,0.061,0.1,17.4,0.45999999999999996,0.2
9,9,29,2019,Slasher,Rebounding Specialist,Deandre Ayton,C,PHO,71.0,70.0,7.2,12.3,0.1,0.0,12.2,0.588,0.585,2.0,2.7,0.746,3.1,7.1,10.3,1.0,1.8,0.9,0.9,1.8,2.9,16.3,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.128,1.3,-1.1,0.2,1.2,6.7,0.478,0.217,0.154,0.146,16.3,25.0,0.0050000000000000044,0.2
10,10,31,2019,Slasher,No significant defensive role,Marvin Bagley III,PF,SAC,62.0,4.0,5.7,11.4,1.5,0.313,9.8,0.534,0.525,2.9,4.2,0.691,2.6,5.0,7.6,0.6,1.0,0.5,1.0,1.6,1.9,14.9,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1.0,3.2,10.7,24.2,2.0,1.6,3.6,0.11,0.5,-1.5,-1.0,0.4,8.7,0.363,0.31,0.126,0.065,11.200000000000001,21.9,0.1359999999999999,0.1
11,11,36,2019,No significant offensive role,Perimeter Defender,Lonzo Ball,PG,LAL,47.0,45.0,3.9,9.7,4.9,0.329,4.9,0.482,0.488,0.4,1.0,0.417,1.1,4.2,5.3,2.5,5.4,1.5,0.4,2.2,2.4,9.9,11.7,0.487,0.5,0.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.6,0.052,-1.6,1.3,-0.3,0.6,15.4,0.309,0.096,0.046,0.048,6.1,17.1,0.501,0.2
12,12,39,2019,Versatile Scorer,No significant defensive role,Harrison Barnes,PF-SF,TOT,77.0,77.0,5.6,13.3,5.7,0.395,7.6,0.439,0.504,3.0,3.6,0.824,0.7,3.9,4.7,1.2,1.5,0.6,0.2,1.3,1.6,16.4,12.8,0.55,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,2.0,1.6,3.6,0.068,-0.2,-1.2,-1.4,0.4,14.9,0.195,0.212,0.096,0.067,3.1,29.7,0.42999999999999994,0.1
