Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
22,LaMelo Ball,PG,22,CHO,22,711,20.5,.561,.466,.246,4.3,14.1,8.9,41.9,2.7,0.5,15.0,33.7,,0.5,0.4,0.9,.064,,3.6,-0.6,3.0,0.9,ballla01
23,Mo Bamba,C,25,PHI,29,293,17.9,.577,.247,.269,15.4,24.2,19.8,7.1,1.8,7.9,15.4,17.9,,0.3,0.6,0.8,.138,,-1.8,0.6,-1.2,0.1,bambamo01
24,Paolo Banchero,PF,21,ORL,52,1810,17.2,.541,.230,.411,3.8,19.3,11.4,24.2,1.5,1.4,12.4,29.8,,0.5,2.6,3.1,.082,,1.1,0.1,1.2,1.5,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.8,.597,.460,.201,2.8,12.1,7.3,28.1,1.4,1.4,11.6,28.8,,1.5,1.3,2.8,.105,,3.4,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,BOS,24,171,9.7,.468,.314,.392,7.8,13.6,10.8,14.2,1.4,1.5,14.3,17.6,,0.0,0.2,0.2,.062,,-5.1,0.6,-4.4,-0.1,bantoda01
27,Dominick Barlow,PF,20,SAS,22,295,14.1,.537,.089,.354,9.4,18.2,13.7,11.9,1.4,3.5,5.2,13.7,,0.4,0.3,0.7,.108,,-1.9,0.2,-1.7,0.0,barlodo01
28,Harrison Barnes,PF,31,SAC,50,1499,11.5,.620,.552,.249,3.0,8.1,5.5,5.4,1.2,0.5,7.0,15.0,,1.8,0.9,2.7,.085,,-0.9,-1.3,-2.2,-0.1,barneha02
29,Scottie Barnes,SG,22,TOR,51,1798,19.3,.574,.331,.272,6.8,18.4,12.5,24.2,1.7,3.6,13.2,24.7,,2.2,1.9,4.0,.108,,2.8,0.8,3.6,2.5,barnesc01
30,RJ Barrett,SG,23,TOT,41,1280,15.6,.568,.313,.326,2.9,15.9,9.3,14.0,0.8,1.1,9.7,25.8,,1.1,1.1,2.3,.085,,0.2,-1.4,-1.1,0.3,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.1,.536,.335,.320,2.8,13.2,8.0,12.5,0.8,1.1,9.6,27.2,,0.4,0.8,1.1,.071,,-0.6,-1.6,-2.2,0.0,barrerj01
30,RJ Barrett,SG,23,TOR,15,514,17.8,.625,.275,.338,3.2,19.7,11.3,16.2,0.9,1.2,9.9,23.6,,0.8,0.4,1.1,.107,,1.5,-1.0,0.5,0.3,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,12.0,28.4,20.0,14.0,1.8,7.1,26.0,11.8,,0.3,0.3,0.6,.147,,-2.0,3.0,1.0,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.7,.348,.800,.080,1.5,12.8,7.3,9.8,0.6,2.4,3.7,15.3,,-0.1,0.1,0.0,-0.015,,-5.4,-0.7,-6.1,-0.1,batesem01
33,Keita Bates-Diop,SF,28,PHO,39,597,11.3,.525,.427,.240,6.2,12.9,9.7,7.3,1.8,3.0,7.3,13.0,,0.4,0.7,1.1,.085,,-1.5,0.2,-1.3,0.1,bateske01
34,Nicolas Batum,PF,35,TOT,34,846,11.5,.684,.719,.104,5.5,11.6,8.6,11.6,1.3,2.6,13.0,8.2,,1.4,0.8,2.2,.127,,0.0,0.7,0.7,0.6,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.7,.500,.875,.000,0.0,14.2,7.4,11.0,2.7,6.7,11.1,7.3,,0.0,0.1,0.1,.098,,-1.5,4.4,2.8,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,31,792,11.6,.695,.709,.110,5.8,11.5,8.6,11.6,1.2,2.3,13.1,8.2,,1.4,0.7,2.1,.129,,0.1,0.5,0.6,0.5,batumni01
35,Bradley Beal,SG,30,PHO,28,940,14.8,.580,.314,.215,3.0,11.3,7.4,20.7,1.3,0.8,13.5,24.2,,0.7,0.7,1.4,.073,,-0.8,-1.5,-2.4,-0.1,bealbr01
36,Malik Beasley,SG,27,MIL,50,1483,10.7,.624,.724,.055,2.6,11.9,7.4,6.0,1.2,0.3,7.6,13.9,,1.5,0.9,2.4,.077,,-0.6,-0.9,-1.5,0.2,beaslma01
37,MarJon Beauchamp,SF,23,MIL,37,546,8.6,.577,.454,.142,4.1,12.7,8.6,6.7,1.0,0.9,13.8,13.5,,0.1,0.3,0.4,.039,,-2.7,-1.1,-3.8,-0.2,beaucma01
38,Jules Bernard,SG,24,WAS,6,28,3.6,.292,.667,.000,7.5,11.6,9.5,22.5,1.7,2.9,14.3,21.1,,-0.1,0.0,-0.1,-0.152,,-7.2,-1.2,-8.4,0.0,bernaju01
39,Dāvis Bertāns,PF,31,OKC,15,91,17.2,.675,.923,.577,2.6,9.4,6.2,12.2,1.6,3.1,3.0,16.1,,0.3,0.1,0.4,.227,,3.1,0.8,3.9,0.1,bertada01
40,Patrick Beverley,PG,35,PHI,47,919,11.5,.547,.452,.261,3.6,13.9,8.7,20.5,1.3,1.7,15.4,14.7,,0.7,0.9,1.6,.083,,-1.5,0.0,-1.5,0.1,beverpa01
41,Saddiq Bey,SF,24,ATL,50,1620,12.8,.551,.523,.288,8.4,13.8,11.0,5.7,1.3,0.3,6.7,16.3,,2.1,0.4,2.6,.076,,-0.1,-1.9,-2.0,0.0,beysa01
